,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
0,HMDB0000114,Glycerylphosphorylethanolamine,C5H14NO6P,215.1415,215.055873697,"(2-aminoethoxy)(2,3-dihydroxypropoxy)phosphinic acid",glycerophosphorylethanolamine,1190-00-7,NCCOP(O)(=O)OCC(O)CO,"InChI=1S/C5H14NO6P/c6-1-2-11-13(9,10)12-4-5(8)3-7/h5,7-8H,1-4,6H2,(H,9,10)",JZNWSCPGTDBMEW-UHFFFAOYSA-N
1,HMDB0000391,7-Ketodeoxycholic acid,C24H38O5,406.5555,406.271924326,"(4R)-4-[(1S,2S,5R,7S,10R,11S,14R,15R,16S)-5,16-dihydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",7-ketodeoxycholic acid,911-40-0,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-18,20,22,25,27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,20+,22+,23+,24-/m1/s1",RHCPKKNRWFXMAT-RRWYKFPJSA-N
2,HMDB0000400,"3,7-Dihydroxy-12-oxocholanoic acid",C24H38O5,406.5555,406.271924326,"(4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyl-16-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",12-ketochenodeoxycholic acid,2458-08-4,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)C(=O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-19,22,25-26H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,22+,23+,24-/m1/s1",MIHNUBCEFJLAGN-DMMBONCOSA-N
3,HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.5714,408.28757439,"(4R)-4-[(1S,2R,5R,7R,8S,9R,10S,11S,14R,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2R,5R,7R,8S,9R,10S,11S,14R,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",2393-59-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21+,22-,23-,24-/m1/s1",DKPMWHFRUGMUKF-CRKPLTDNSA-N
4,HMDB0000417,"3D,7D,11D-Phytanic acid",C20H40O2,312.5304,312.302830524,"(3R,7R,11R)-3,7,11,15-tetramethylhexadecanoic acid",phytanoic acid,18654-64-3,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CC(O)=O,"InChI=1S/C20H40O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h16-19H,6-15H2,1-5H3,(H,21,22)/t17-,18-,19-/m1/s1",RLCKHJSFHOZMDR-GUDVDZBRSA-N
5,HMDB0000446,N-alpha-Acetyl-L-lysine,C8H16N2O3,188.227,188.116092383,(2S)-6-amino-2-acetamidohexanoic acid,nα-acetyllysine,1946-82-3,CC(=O)N[C@@H](CCCCN)C(O)=O,"InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1",VEYYWZRYIYDQJM-ZETCQYMHSA-N
6,HMDB0000453,delta-Hexanolactone,C6H10O2,114.1424,114.068079564,6-methyloxan-2-one,hexanolactone,823-22-3,CC1CCCC(=O)O1,"InChI=1S/C6H10O2/c1-5-3-2-4-6(7)8-5/h5H,2-4H2,1H3",RZTOWFMDBDPERY-UHFFFAOYSA-N
7,HMDB0000467,Nutriacholic acid,C24H38O4,390.5561,390.277009704,"(4S)-4-[(1S,2S,5R,7S,10R,11S,15R)-5-hydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4S)-4-[(1S,2S,5R,7S,10R,11S,15R)-5-hydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",4651-67-6,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17?,18-,19-,22-,23-,24+/m0/s1",DXOCDBGWDZAYRQ-QPVZPPSOSA-N
8,HMDB0000477,"7Z,10Z-Hexadecadienoic acid",C16H28O2,252.3923,252.20893014,"(7Z,10Z)-hexadeca-7,10-dienoic acid","7Z,10Z-hexadecadienoic acid",28290-73-5,CCCCC\C=C/C\C=C/CCCCCC(O)=O,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h6-7,9-10H,2-5,8,11-15H2,1H3,(H,17,18)/b7-6-,10-9-",WPJGPAAPSBVXNU-HZJYTTRNSA-N
9,HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",C27H48O5,452.667,452.350174646,"(1S,2S,5R,7S,9R,10R,15R,16S)-14-[(2S,4S)-4,6-dihydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol","(1S,2S,5R,7S,9R,10R,15R,16S)-14-[(2S,4S)-4,6-dihydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol",59906-15-9,[H]C1CC([C@@H](C)C[C@H](O)CC(C)(C)O)[C@]2(C)C1[C@]1([H])[C@H](O)C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@@H]2O,"InChI=1S/C27H48O5/c1-15(10-18(29)14-25(2,3)32)19-6-7-20-24-21(13-23(31)27(19,20)5)26(4)9-8-17(28)11-16(26)12-22(24)30/h15-24,28-32H,6-14H2,1-5H3/t15-,16-,17+,18-,19?,20?,21-,22+,23-,24-,26-,27+/m0/s1",OXSBBBPDYVCAKC-CTSLUMRNSA-N
