,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
0,HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),C48H93NO11S,892.33,891.646933993,"[(2R,5S,6R)-3,5-dihydroxy-2-{[(2S,3R,4E)-3-hydroxy-2-tetracosanamidooctadec-4-en-1-yl]oxy}-6-(hydroxymethyl)oxan-4-yl]oxidanesulfonic acid",C24 sulfatide,151122-71-3,[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC,"InChI=1S/C48H93NO11S/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-44(52)49-41(42(51)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2)40-58-48-46(54)47(60-61(55,56)57)45(53)43(39-50)59-48/h35,37,41-43,45-48,50-51,53-54H,3-34,36,38-40H2,1-2H3,(H,49,52)(H,55,56,57)/b37-35+/t41-,42+,43+,45-,46?,47?,48+/m0/s1",MEAZTWJVOWHKJM-YQTIZROBSA-N
1,HMDB0000048,Melibiose,C12H22O11,342.2965,342.116211546,"(2S,3R,4S,5S,6R)-6-({[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol","(2S,3R,4S,5S,6R)-6-({[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol",13299-20-2,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5+,6-,7+,8+,9-,10-,11+,12+/m1/s1",DLRVVLDZNNYCBX-CQHUIXDMSA-N
2,HMDB0000055,Cellobiose,C12H22O11,342.2965,342.116211546,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-{[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}oxane-3,4,5-triol",β-cellobiose,528-50-7,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12+/m1/s1",GUBGYTABKSRVRQ-QRZGKKJRSA-N
3,HMDB0000302,Uridine diphosphategalactose,C15H24N2O17P2,566.3018,566.055020376,"[({[(2R,3S,4R,5R)-5-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]({[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy})phosphinic acid","{[(2R,3S,4R,5R)-5-(2,4-dioxo-3H-pyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy(hydroxy)phosphoryl}oxy([(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy)phosphinic acid",2956-16-3,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14-/m1/s1",HSCJRCZFDFQWRP-ABVWGUQPSA-N
4,HMDB0000333,Isohomovanillic acid,C9H10O4,182.1733,182.057908808,2-(3-hydroxy-4-methoxyphenyl)acetic acid,isohomovanillic acid,1131-94-8,COC1=CC=C(CC(O)=O)C=C1O,"InChI=1S/C9H10O4/c1-13-8-3-2-6(4-7(8)10)5-9(11)12/h2-4,10H,5H2,1H3,(H,11,12)",BWXLCOBSWMQCGP-UHFFFAOYSA-N
5,HMDB0000338,2-Hydroxyestradiol,C18H24O3,288.3814,288.172544634,"(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-4,5,14-triol","(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-4,5,14-triol",362-05-0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3,"InChI=1S/C18H24O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,17,19-21H,2-7H2,1H3/t11-,12+,14-,17-,18-/m0/s1",DILDHNKDVHLEQB-XSSYPUMDSA-N
6,HMDB0000339,2-Methylbutyrylglycine,C7H13NO3,159.183,159.089543287,2-(2-methylbutanamido)acetic acid,2-methylbutyrylglycine,52320-67-9,CCC(C)C(=O)NCC(O)=O,"InChI=1S/C7H13NO3/c1-3-5(2)7(11)8-4-6(9)10/h5H,3-4H2,1-2H3,(H,8,11)(H,9,10)",HOACIBQKYRHBOW-UHFFFAOYSA-N
7,HMDB0000341,2-Octenedioic acid,C8H12O4,172.1785,172.073558872,(2E)-oct-2-enedioic acid,(E)-oct-2-enedioic acid,5698-50-0,OC(=O)CCCC\C=C\C(O)=O,"InChI=1S/C8H12O4/c9-7(10)5-3-1-2-4-6-8(11)12/h3,5H,1-2,4,6H2,(H,9,10)(H,11,12)/b5-3+",BNTPVRGYUHJFHN-HWKANZROSA-N
8,HMDB0000354,2-Methyl-3-hydroxybutyric acid,C5H10O3,118.1311,118.062994186,3-hydroxy-2-methylbutanoic acid,nilic acid,473-86-9,CC(O)C(C)C(O)=O,"InChI=1S/C5H10O3/c1-3(4(2)6)5(7)8/h3-4,6H,1-2H3,(H,7,8)",VEXDRERIMPLZLU-UHFFFAOYSA-N
9,HMDB0000366,2-Deoxyribonic acid,C5H10O5,150.1299,150.05282343,"(3S,4R)-3,4,5-trihydroxypentanoic acid","(3S,4R)-3,4,5-trihydroxypentanoic acid",29625-75-0,OC[C@@H](O)[C@@H](O)CC(O)=O,"InChI=1S/C5H10O5/c6-2-4(8)3(7)1-5(9)10/h3-4,6-8H,1-2H2,(H,9,10)/t3-,4+/m0/s1",VBUWJOHKCBQXNU-IUYQGCFVSA-N
