,index_adap,name
0,28,Methyl tetradecanoate
1,42,Methyl stearate
2,1436,Acetic acid
3,1441,Dodecanoic acid
4,1582,Methyl stearate
5,1646,Hexacosane
6,1660,Nonadecane
7,1667,Docosane
8,1680,Eicosane
9,1695,Tetradecane
10,1720,Octadecane
11,1738,Hexadecane
12,1748,Tetradecane
13,1863,Methyl stearate
14,1873,Nonadecane
15,1883,Hexadecane
16,1889,Tridecane
17,1893,Octadecane
18,1918,Heneicosane
19,1929,Hexadecane
20,1933,Heptadecane
21,1935,Nonadecane
22,1974,Heptadecane
23,1981,Pentadecane
24,1993,Tridecane
25,1994,Octadecane
26,2019,Octacosane
27,2020,Heneicosane
28,2029,Heptadecane
29,2035,Heneicosane
30,2055,Benzophenone
31,2058,Hexacosane
32,2088,Hexacosane
33,2100,Octacosane
34,2186,Acetone
35,2187,4-Heptanone
36,2197,"2,4-Di-tert-butylphenol"
37,2204,Pyrrole
38,3270,Acetophenone
39,3640,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
40,4150,Undecane
41,4153,Pentadecane
42,4158,Undecane
43,4179,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
44,4230,Pentadecane
45,4231,Tetradecane
46,4237,Undecane
47,4243,Nonadecane
48,4249,Octadecane
49,4276,Octadecane
50,4282,Octacosane
51,4300,Tridecane
52,4302,Nonadecane
53,4309,Octacosane
54,4313,Octacosane
55,4326,Octacosane
56,4427,Methyl stearate
57,4864,Benzophenone
58,4886,Heptadecane
59,4969,Nonadecane
60,4971,Octadecane
61,4972,Nonadecane
62,4989,Pentadecane
63,4995,Heptadecane
64,5058,Cholesterol
65,5088,Heneicosane
66,5094,Pentadecane
67,5137,Hexacosane
68,5181,Octadecane
69,5213,Octadecane
70,5216,Octadecane
71,5362,Squalene
72,5798,"2,4-Di-tert-butylphenol"
73,7706,"2,4-Di-tert-butylphenol"
74,8069,"2,4-Di-tert-butylphenol"
75,8092,"2,4-Di-tert-butylphenol"
76,8260,Heptadecane
77,8763,Hexadecane
78,8808,Heneicosane
79,8866,Heptadecane
80,8885,Heptadecane
81,8936,Tridecane
82,8981,Heptadecane
83,8983,Heptadecane
84,8996,Heptadecane
85,9001,Heneicosane
86,9026,Hexadecane
87,9041,Heptadecane
88,9055,Pentadecane
89,9075,Nonadecane
90,9081,Heptadecane
91,9323,Nonadecane
92,9385,Hexacosane
93,11666,Amitriptyline
94,13944,Squalene
95,13955,Doxepin
96,14381,Hexadecane
97,15128,Oxprenolol
98,15230,Chloroquine
99,17822,Phenol
100,17865,Methyl stearate
101,17874,Methyl tetradecanoate
102,17881,Methyl stearate
103,18195,Isoetharine
104,18336,Methamphetamine
105,18447,Tinidazole
106,18631,Squalene
107,18771,Theobromine
108,19160,Methyl tetradecanoate
109,19254,Eicosane
110,19512,Methyl tetradecanoate
111,19580,Squalene
112,19619,Pentadecane
113,19643,Tridecane
114,19692,Squalene
115,19727,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
116,19732,Pentadecane
117,19740,Octadecane
118,19798,Methyl stearate
119,19799,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
120,19909,Octadecane
121,19984,Hexadecane
122,20024,Methyl stearate
123,20036,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
124,20096,Nonadecane
125,20109,Pentadecane
126,20158,Nonadecane
127,20160,Octadecane
128,20161,Nonadecane
129,20177,Heneicosane
130,20201,Methyl stearate
131,20322,Eicosane
132,20324,Octadecane
133,20347,Nonadecane
134,20350,Nonadecane
135,20381,Benzaldehyde
136,20401,Methyl stearate
137,20577,Tridecane
138,20578,Docosane
139,20628,Pentadecane
140,20633,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
141,20636,Heptadecane
142,20669,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
143,20732,Octadecane
144,20783,Tridecane
