,index_adap,name
0,1435,Butanoic acid
1,1436,Acetic acid
2,1438,Propanoic acid
3,1680,Eicosane
4,1918,Heneicosane
5,2020,Heneicosane
6,2035,Heneicosane
7,2182,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"
8,2187,4-Heptanone
9,2197,"2,4-Di-tert-butylphenol"
10,2204,Pyrrole
11,2205,"Butanoic acid, methyl ester"
12,4797,"Heptanoic acid, methyl ester"
13,5058,Cholesterol
14,5088,Heneicosane
15,5362,Squalene
16,5798,"2,4-Di-tert-butylphenol"
17,7706,"2,4-Di-tert-butylphenol"
18,7716,Viagra
19,8069,"2,4-Di-tert-butylphenol"
20,8092,"2,4-Di-tert-butylphenol"
21,8808,Heneicosane
22,9001,Heneicosane
23,13654,1-Butanamine
24,13944,Squalene
25,17822,Phenol
26,17888,Meglumine
27,18215,Etiracetam
28,18352,Methyl valerate
29,18631,Squalene
30,19254,Eicosane
31,19580,Squalene
32,19692,Squalene
33,20177,Heneicosane
34,20322,Eicosane
