,index_adap,name
0,28,Methyl tetradecanoate
1,42,Methyl stearate
2,1435,Butanoic acid
3,1436,Acetic acid
5,1438,Propanoic acid
6,1441,Dodecanoic acid
7,1582,Methyl stearate
8,1646,Hexacosane
9,1660,Nonadecane
10,1667,Docosane
11,1680,Eicosane
13,1695,Tetradecane
14,1720,Octadecane
15,1738,Hexadecane
16,1748,Tetradecane
17,1863,Methyl stearate
18,1873,Nonadecane
19,1883,Hexadecane
20,1889,Tridecane
21,1893,Octadecane
22,1918,Heneicosane
24,1929,Hexadecane
25,1933,Heptadecane
26,1935,Nonadecane
27,1974,Heptadecane
28,1981,Pentadecane
29,1993,Tridecane
30,1994,Octadecane
31,2019,Octacosane
32,2020,Heneicosane
34,2029,Heptadecane
,2035,Heneicosane
,2055,Benzophenone
,2058,Hexacosane
,2088,Hexacosane
,2100,Octacosane
,2182,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"
,2186,Acetone
,2187,4-Heptanone
,2197,"2,4-Di-tert-butylphenol"
,2204,Pyrrole
,2205,"Butanoic acid, methyl ester"
,3270,Acetophenone
,3640,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,4150,Undecane
,4153,Pentadecane
,4158,Undecane
,4179,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,4230,Pentadecane
,4231,Tetradecane
,4237,Undecane
,4243,Nonadecane
,4249,Octadecane
,4276,Octadecane
,4282,Octacosane
,4300,Tridecane
,4302,Nonadecane
,4309,Octacosane
,4313,Octacosane
,4326,Octacosane
,4427,Methyl stearate
,4797,"Heptanoic acid, methyl ester"
,4864,Benzophenone
,4886,Heptadecane
,4969,Nonadecane
,4971,Octadecane
,4972,Nonadecane
,4989,Pentadecane
,4995,Heptadecane
,5058,Cholesterol
,5088,Heneicosane
,5094,Pentadecane
,5137,Hexacosane
,5181,Octadecane
,5213,Octadecane
,5216,Octadecane
,5362,Squalene
,5798,"2,4-Di-tert-butylphenol"
,7706,"2,4-Di-tert-butylphenol"
,7716,Viagra
,8069,"2,4-Di-tert-butylphenol"
,8092,"2,4-Di-tert-butylphenol"
,8260,Heptadecane
,8763,Hexadecane
,8808,Heneicosane
,8866,Heptadecane
,8885,Heptadecane
,8936,Tridecane
,8981,Heptadecane
,8983,Heptadecane
,8996,Heptadecane
,9001,Heneicosane
,9026,Hexadecane
,9041,Heptadecane
,9055,Pentadecane
,9075,Nonadecane
,9081,Heptadecane
,9323,Nonadecane
,9385,Hexacosane
,11666,Amitriptyline
,13654,1-Butanamine
,13944,Squalene
,13955,Doxepin
,14381,Hexadecane
,15128,Oxprenolol
,15230,Chloroquine
,17822,Phenol
,17865,Methyl stearate
,17874,Methyl tetradecanoate
,17881,Methyl stearate
,17888,Meglumine
,18195,Isoetharine
,18215,Etiracetam
,18336,Methamphetamine
,18352,Methyl valerate
,18447,Tinidazole
,18631,Squalene
,18771,Theobromine
,19160,Methyl tetradecanoate
,19254,Eicosane
,19512,Methyl tetradecanoate
,19580,Squalene
,19619,Pentadecane
,19643,Tridecane
,19692,Squalene
,19727,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,19732,Pentadecane
,19740,Octadecane
,19798,Methyl stearate
,19799,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,19909,Octadecane
,19984,Hexadecane
,20024,Methyl stearate
,20036,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,20096,Nonadecane
,20109,Pentadecane
,20158,Nonadecane
,20160,Octadecane
,20161,Nonadecane
,20177,Heneicosane
,20201,Methyl stearate
,20322,Eicosane
,20324,Octadecane
,20347,Nonadecane
,20350,Nonadecane
,20381,Benzaldehyde
,20401,Methyl stearate
,20577,Tridecane
,20578,Docosane
,20628,Pentadecane
,20633,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,20636,Heptadecane
,20669,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester"
,20732,Octadecane
,20783,Tridecane
