Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#1 147.0000@5.9449 MS1+,,1,replib,29328,234.111,234,192,959,75,"Lactic Acid, 2TMS derivative",17596962,331664,HXRGKEOWDNVHPA-UHFFFAOYSA-N
#3 147.0000@11.2320 MS1+,,1,replib,12340,569.288,569,342,951,17.6,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-",130405106,306820,LLVFXXKDPAPSCJ-HAVVHWLPSA-N
#4 103.0000@13.6144 MS1+,,1,mainlib,280239,580.249,580,171,874,89.6,"Edetic Acid, 4TMS derivative",0,366669,CRAGZODMDSNPHZ-UHFFFAOYSA-N
#5 147.0000@5.9234 MS1+,,1,replib,12155,220.131,220,-168,885,42.8,"Propylene glycol, 2TMS derivative",17887273,149404,KNPUTZLNTMEYOY-UHFFFAOYSA-N
#6 147.0000@11.3418 MS1+,,1,replib,12339,569.288,569,278,954,17.3,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705737,306821,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#7 147.0000@6.4437 MS1+,,1,mainlib,168161,372.324,372,-258,859,23.3,4-Pentamethyldisilyloxyhexadecane,0,216952,UUOVAWBMZKWJHU-UHFFFAOYSA-N
#8 103.0000@11.0821 MS1+,,1,replib,12080,569.288,569,-117,922,7.6,"D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime",56196146,380174,ACDMQGXCXUQPRR-FCDQGJHFSA-N
#9 147.0000@7.3101 MS1+,,1,mainlib,168874,204.111,204,299,873,96,"Urea, 2TMS derivative",18297637,149254,MASDFXZJIDNRTR-UHFFFAOYSA-N
#10 147.0000@7.2875 MS1+,,1,mainlib,168874,204.111,204,299,874,96.7,"Urea, 2TMS derivative",18297637,149254,MASDFXZJIDNRTR-UHFFFAOYSA-N
#11 86.0000@5.5833 MS1+,,1,mainlib,70227,159.108,159,638,938,94.7,"Morpholine, TMS derivative",13368428,473348,JJOWIQMPCCUIGA-UHFFFAOYSA-N
#12 299.0000@7.4600 MS1+,,1,replib,41975,314.095,314,196,855,93.7,"Silanol, trimethyl-, phosphate (3:1)",10497059,334839,QJMMCGKXBZVAEI-UHFFFAOYSA-N
#13 103.0000@11.1301 MS1+,,1,mainlib,49468,569.288,569,-134,908,11,"L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)",0,380175,ACDMQGXCXUQPRR-NMWGTECJSA-N
#14 116.0000@6.2546 MS1+,,1,mainlib,118506,233.127,233,141,947,40.5,"Alanine, 2TMS derivative",2899447,476603,FRWXSKQFKDEAOY-UHFFFAOYSA-N
#16 117.0000@12.0190 MS1+,,1,replib,11923,328.28,328,415,909,88.7,"Palmitic Acid, TMS derivative",55520893,150381,HKNNSWCACQFVIK-UHFFFAOYSA-N
#17 174.0000@7.7364 MS1+,,1,replib,33559,291.151,291,138,935,63.7,"Glycine, 3TMS derivative",5630820,452907,YVBMCPFZLGEMJT-UHFFFAOYSA-N
#18 204.0000@11.5868 MS1+,,1,mainlib,233930,540.261,540,-155,932,5.9,".beta.-D-Glucopyranose, 5TMS derivative",2775908,380337,PPFHNIVPOLWPCF-UHFFFAOYSA-N
#19 117.0000@12.9274 MS1+,,1,replib,22899,356.311,356,383,901,89.7,"Stearic acid, TMS derivative",18748919,472480,DDLPZVTUKLKVQB-UHFFFAOYSA-N
#20 142.0000@7.6923 MS1+,,1,replib,28585,259.142,259,477,980,84.7,"L-Proline, 2TMS derivative",7364478,452791,DKGIXVJPGFXLRM-UHFFFAOYSA-N
#21 147.0000@6.6613 MS1+,,1,replib,29334,248.126,248,354,918,75.1,"3-Hydroxybutyric acid, 2TMS derivative",55133943,281713,YWRIHOYCAHATJN-UHFFFAOYSA-N
