Id,Mz,Intensity,SpectrumId
62919527,43.026,0.002265,2152538
62919528,44.0109,0.003468,2152538
62919529,44.9868,0.028212,2152538
62919530,46.979,0.003746,2152538
62919531,55.0403,0.002162,2152538
62919532,58.0625,0.002614,2152538
62919533,59.0315,0.009033,2152538
62919534,64.9912,0.001927,2152538
62919535,66.9961,0.002026,2152538
62919536,73.0199,0.380425,2152538
62919537,74.036,0.037216,2152538
62919538,74.9986,0.011546,2152538
62919539,76.0284,0.002385,2152538
62919540,77.0063,0.00409,2152538
62919541,79.0226,0.002234,2152538
62919542,91.0419,0.001946,2152538
62919543,93.0065,0.003672,2152538
62919544,101.0258,0.00198,2152538
62919545,103.0378,0.004932,2152538
62919546,105.0391,0.003425,2152538
62919547,111.03,0.001903,2152538
62919548,116.0398,0.002645,2152538
62919549,117.0504,0.004046,2152538
62919550,119.0245,0.002684,2152538
62919551,121.0129,0.00196,2152538
62919552,129.0274,0.002824,2152538
62919553,131.0374,0.004443,2152538
62919554,133.0431,0.010803,2152538
62919555,134.0309,0.003007,2152538
62919556,135.0547,0.002469,2152538
62919557,141.0409,0.003881,2152538
62919558,147.0157,0.037991,2152538
62919559,148.0696,0.01179,2152538
62919560,149.0418,0.010413,2152538
62919561,151.0285,0.003695,2152538
62919562,167.0464,0.004284,2152538
62919563,189.0735,0.023854,2152538
62919564,190.1147,0.002835,2152538
62919565,191.0596,0.008654,2152538
62919566,193.0385,0.006958,2152538
62919567,204.0723,0.225985,2152538
62919568,205.114,0.043804,2152538
62919569,206.1049,0.015738,2152538
62919570,207.0969,0.002578,2152538
62919571,221.0867,0.004145,2152538
62919572,223.085,0.002263,2152538
62919573,239.0838,0.003472,2152538
62919574,254.1272,0.005544,2152538
62919575,255.1316,0.0074,2152538
62919576,256.1436,0.003492,2152538
62919577,267.1171,0.002096,2152538
62919578,282.1031,0.004324,2152538
62919579,283.1185,0.005234,2152538
62919580,331.1331,0.003145,2152538
62919581,356.1099,0.003399,2152538
62919582,358.1528,0.002111,2152538
62919583,372.1382,0.004829,2152538
