Id,Mz,Intensity,SpectrumId
63501614,50.08,0.004679,2155637
63501615,51.01,0.007255,2155637
63501616,52.02,0.024797,2155637
63501617,53.05,0.003988,2155637
63501618,55.11,0.017834,2155637
63501619,56.06,0.004096,2155637
63501620,57.08,0.003637,2155637
63501621,59.03,0.008634,2155637
63501622,69,0.007312,2155637
63501623,73.06,0.017854,2155637
63501624,75.03,0.17523,2155637
63501625,76.03,0.003101,2155637
63501626,77.02,0.037093,2155637
63501627,78.02,0.014698,2155637
63501628,83.07,0.038016,2155637
63501629,84.07,0.002271,2155637
63501630,87.02,0.002827,2155637
63501631,89.04,0.044181,2155637
63501632,91.06,0.007293,2155637
63501633,93.02,0.003111,2155637
63501634,96.99,0.003133,2155637
63501635,101.07,0.003767,2155637
63501636,103.04,0.04614,2155637
63501637,113.08,0.007524,2155637
63501638,115.05,0.005553,2155637
63501639,128.02,0.002239,2155637
63501640,133.02,0.006007,2155637
63501641,155.04,0.002784,2155637
63501642,159.1,0.427379,2155637
63501643,160.11,0.04073,2155637
63501644,161.06,0.007738,2155637
63501645,171.09,0.002249,2155637
63501646,185.1,0.003514,2155637
63501647,207.09,0.013334,2155637
