4_4,4_7,6_6,6_11,8_8,8_15,12_12,16_16
5078,2836,2565,5333,3491,5718,2733,2397
3282,3131,3839,4733,4228,4966,3965,1885
2540,3452,3415,3181,2211,2475,2485,2071
2032,3040,2750,2968,2197,2568,3279,1835
12589,14576,2192,2504,2579,2680,2812,4853
2765,3800,3233,3746,3448,3089,4461,5990
17921,18534,16872,5062,4393,4666,6639,7416
2097,2602,10399,3516,3300,3206,2619,3107
2152,3099,8912,2899,3530,3787,3191,3495
1921,2896,5895,3016,2928,3386,3125,3670
2356,3254,14299,4666,5474,3213,3742,2522
14275,17292,7795,11881,10298,9235,3639,3413
2049,3041,4886,7210,3338,3320,3232,4555
3246,2624,2592,2484,4654,3062,3055,2906
2363,2058,3225,2823,3544,3146,2380,2990
15457,14867,14799,2969,2947,3236,2792,2897
4771,2945,2798,2786,2956,3158,4134,2408
7841,3867,3331,3200,2755,5409,9984,2623
5039,3118,3858,3707,2646,2852,11965,2452
4020,2843,3758,3742,2504,3094,5662,3092
3079,2747,4172,2437,3101,2797,5414,2812
3378,2801,2925,3747,2380,3033,5189,2524
4255,2614,3038,3770,2472,2924,5957,2293
18881,10818,15575,15724,13699,12174,28262,2380
3306,2693,2624,2994,2918,2957,11496,2439
2658,5522,2905,2441,2616,2912,6461,2389
2673,4839,2560,2806,6575,2885,4930,2704
3114,3616,2844,2891,2785,3699,3713,2821
15529,2741,2669,2935,2789,3065,5387,2679
5166,5422,2632,2960,3063,3047,4770,3941
13775,10391,3016,2493,2955,2951,3985,2430
4734,2529,2587,2578,2775,2920,3453,2548
15058,10882,3119,4533,3658,5149,7797,3515
4188,3569,3587,2697,2476,3153,3747,2388
2606,3211,2761,3376,2480,3064,3220,2604
3183,2922,2670,2945,2935,3064,5594,2468
2944,2816,5921,8665,9449,2903,6920,2589
3022,3389,2684,3827,2914,3153,3539,2543
10100,8803,11510,15939,3201,3782,4724,4923
2725,4011,2905,3807,2854,2918,2821,4802
2488,3295,3002,2793,2784,2905,3435,3905
2576,2657,2960,2925,2669,3046,3110,3711
2985,3104,3140,2803,2805,3082,2915,4524
2676,3091,2606,3107,2697,2969,2762,3098
4072,3856,3152,3668,3160,2843,3063,2700
9921,2491,2628,3281,2617,3059,2961,4036
9207,10880,2568,2897,2965,2934,2985,2527
2717,3066,2641,3035,2874,3225,3058,2656
2583,2986,3118,3701,2637,2992,2727,2642
2623,3429,3125,3004,3601,3031,2936,2784
4317,5675,5559,4974,3722,3313,2956,2835
2998,5326,4157,3734,3458,3083,2807,2420
2517,3236,2978,3576,3474,2839,2785,2667
2531,2835,3111,4422,3391,2933,2806,2722
3467,4429,3959,3418,3346,3174,3246,2658
2808,3409,3469,3940,3934,3025,3098,3248
3925,6246,8309,8544,3394,3201,2854,2574
3497,4069,3866,4403,2766,3076,2846,2444
2825,2804,2969,5036,2940,3262,2818,2782
2887,3256,3359,5616,2775,3494,2859,2633
2841,3101,2753,3614,2579,3055,2800,2428
2774,3723,2839,5387,2790,3046,2850,2434
4950,7180,6698,9475,9028,7839,4186,3727
10121,2581,2825,4601,2812,3424,2986,2690
2718,6173,2903,3727,2868,3024,3180,2622
2599,2799,3016,3432,2968,2858,4171,3014
3085,4044,2762,3423,2992,2903,3346,2694
2491,3202,3148,3824,3165,3313,4045,3583
3148,3795,4252,4100,3600,3161,3583,3984
4840,3074,2809,2902,3191,3045,3854,3381
3968,3205,2779,3486,2704,3361,3488,3368
5182,3017,3160,3363,2845,3371,3713,7492
10559,4245,2962,3668,3435,3188,3582,2878
