,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
2789,369965,,Unknown,,,27.857667,,1265045.0,0,0,1,GAS,141.0,0,,,207.02,314.98,253.01,331.05,254.04,269.05,194.99,209.01,132.98,119.05,119.05,192.95,154.06,149.04,211.07,132.05
9603,376779,,"L-Glutamic acid, 3TMS derivative",,,14.35105,0.517062,1271765.0,0,0,1,GAS,151.0,0,,,73.06,128.08,73.06,147.07,156.07,248.14,230.1,348.16,246.12,84.04,75.03,218.13,129.07,204.1,100.05,148.06
9606,376782,,Unknown,,,19.286333,0.482863,1271768.0,0,0,1,GAS,151.0,0,,,73.06,73.06,191.1,306.16,217.13,319.17,265.11,218.12,307.15,204.11,432.21,219.11,192.1,133.04,148.06,221.09
10498,377674,,Unknown,,,9.821983,0.703794,1272660.0,0,0,1,GAS,153.0,0,,,73.06,73.06,283.06,314.13,207.04,192.98,133.02,191.0,147.06,316.1,225.05,315.13,211.01,302.1,284.06,134.98
10502,377678,,"L-Glutamic acid, 3TMS derivative",,,14.350883,0.368518,1272664.0,0,0,1,GAS,153.0,0,,,73.06,73.06,128.08,147.06,156.08,230.1,248.13,348.15,246.13,218.1,84.05,75.04,363.16,129.07,100.05,258.09
10504,377680,,"D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)",,,17.347167,0.609015,1272666.0,0,0,1,GAS,153.0,0,,,73.06,205.11,73.06,147.06,160.07,320.17,217.12,321.16,206.11,103.04,157.06,129.06,229.12,117.03,189.07,207.1
10995,378171,,Unknown,,,19.2865,0.821949,1273157.0,0,0,1,GAS,154.0,0,,,73.06,147.05,73.06,191.09,306.16,265.12,204.1,218.13,319.15,307.16,219.11,192.1,129.06,133.04,221.1,291.12
11366,378542,,Unknown,,,9.8219,0.802473,1273528.0,0,0,1,GAS,155.0,0,,,73.05,73.05,300.1,283.05,207.03,315.11,301.11,192.99,133.0,147.05,190.99,316.09,225.04,302.08,210.99,134.98
13336,415754,,MSF_000000733970,354.2303,,,,,0,0,0,LC_MSMS_POS,157.0,0,,,85.0284,65.0382,65.0382,73.0458,129.9563,264.0294,108.0521,,,,,,,,,
26639,2161802,16116,16116 (Siduron),487.3039,[2M+Na]+,11.98,,,0,1,0,LC_MSMS_POS,234.0,0,232.157563,C14H20N2O,255.1462,218.3444,152.959,152.9295,152.9372,,,,,,,,,,,
26906,2162069,38235,38235 (Thiofanox),241.0979,[M+Na]+,10.63,,,0,1,0,LC_MSMS_POS,234.0,0,218.108899,C9H18N2O2S,185.0796,184.0767,57.0701,61.0108,98.0213,106.0628,107.0655,183.9137,186.0715,241.0988,199.083,209.1158,100.886,57.0764,153.7755,167.3454
26951,2162114,4936,4936 (Propargite),373.1441,[M+Na]+,15.25,,,0,1,0,LC_MSMS_POS,234.0,0,350.15518,C19H26O4S,373.1396,142.9777,81.0701,107.0491,57.0701,175.1114,231.1745,253.1543,309.1821,79.0538,163.1109,57.0766,373.1452,187.5431,79.0154,60.8133
27171,2162334,4091,4091 (Metformin),130.1088,[M+H]+,0.74,,,0,1,0,LC_MSMS_POS,235.0,0,129.101445,C4H11N5,130.1087,60.0558,71.0603,88.0868,85.0504,113.0818,60.0493,130.0875,84.9598,116.9663,129.9858,60.063,112.9712,98.9549,102.9686,62.1901
27258,2162421,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
