,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
2789,369965,,Unknown,,,27.857667,,1265045.0,0,0,1,GAS,141.0,0,,,207.02,314.98,253.01,331.05,254.04,269.05,194.99,209.01,132.98,119.05,119.05,192.95,154.06,149.04,211.07,132.05
2831,370007,,"3-Methylpentan-1-ol, O-tert-butyldimethylsilyl ether",,,8.135767,0.04558,1265085.0,0,0,1,GAS,142.0,0,,,159.1196,75.0261,73.0468,83.0856,93.0367,89.0417,55.0543,160.1232,59.0312,103.0573,46.9948,45.0156,101.0419,44.9791,76.0257,115.0574
2967,370143,,Unknown,,,9.537167,0.071224,1265161.0,0,0,1,GAS,142.0,0,,,113.0962,95.0856,73.0468,42.9998,75.0261,155.0157,225.0591,43.0542,114.0994,130.0765,240.0315,115.0574,278.106,131.0343,71.0856,109.1014
2974,370150,,Unknown,,,29.269833,0.554351,1265186.0,0,0,1,GAS,142.0,0,,,149.0447,43.0542,73.0468,207.0324,42.9998,299.0709,217.1078,225.0591,281.0509,209.012,429.0893,147.0655,44.9791,319.1576,69.07,191.092
3008,370184,,"Ethanol, TMS derivative",,,8.369317,0.304905,1265211.0,0,0,1,GAS,142.0,0,,,103.0211,75.0261,73.0469,121.0285,104.0257,115.0574,46.9948,44.9792,76.0257,105.0337,45.0155,59.0312,93.0367,85.0468,187.1117,61.0105
3069,370245,,"L-Tryptophan, 3TMS derivative",,,24.267167,0.782785,1265259.0,0,0,1,GAS,142.0,0,,,202.1047,73.0468,203.0915,291.1505,239.2368,43.0542,42.9998,45.0155,200.0711,218.1023,240.1232,147.0655,204.0997,81.0699,83.0492,207.0324
3146,370322,,Unknown,,,8.8453,,1265329.0,0,0,1,GAS,142.0,0,,,92.9922,123.0029,75.0261,124.9999,94.9894,73.0469,55.0543,103.0574,93.9919,124.0024,165.0546,45.0156,115.0574,44.9792,207.0325,46.9948
3152,370328,,Unknown,,,8.863267,0.024049,1265334.0,0,0,1,GAS,142.0,0,,,92.9924,123.0028,75.0262,94.9893,124.9998,73.0469,152.0527,166.0626,103.0576,55.0544,93.9919,124.0023,45.0156,165.0545,44.9792,46.9949
3309,370485,,1-(2-(3-Cyclohexenyl)ethyl)silatrane,,,37.506,0.104387,1265483.0,0,0,1,GAS,142.0,0,,,174.1127,175.1123,176.1098,454.4266,457.2873,73.0468,86.0421,380.3715,43.0542,100.0575,42.9998,281.0509,111.1168,455.4296,458.2894,191.0007
3569,370745,,"Nonaethylene glycol, 2TMS derivative",,,44.561167,0.048579,1265738.0,0,0,1,GAS,142.0,0,,,73.0468,117.0731,161.1166,87.0261,45.0156,116.0654,75.0261,101.0418,89.0417,207.0324,74.0463,103.0211,71.0856,42.9998,43.0542,281.0509
3608,370784,,Unknown,,,44.592833,0.111748,1265776.0,0,0,1,GAS,142.0,0,,,73.0468,117.0731,161.1165,87.0261,45.0155,116.0654,75.0261,89.0417,101.0418,43.0542,71.0856,85.1011,57.0699,74.0463,103.0211,42.9998
3609,370785,,Unknown,,,8.50245,,1265777.0,0,0,1,GAS,142.0,0,,,73.0468,117.073,75.026,131.0342,129.0732,173.1355,159.0651,45.0155,74.0463,44.9792,253.0168,221.084,143.0886,50.0151,76.0256,144.0921
3630,370806,,Unknown,,,19.358667,0.003446,1265797.0,0,0,1,GAS,142.0,0,,,345.1601,255.1237,346.1677,42.9998,239.0731,128.0891,257.1028,347.1534,85.0468,183.0835,109.1014,43.0542,419.1731,225.0591,419.1938,77.0217
3674,370850,,Unknown,,,51.504,0.006491,1265841.0,0,0,1,GAS,142.0,0,,,73.0468,161.0825,161.1166,117.0731,205.1076,45.0156,89.0417,42.9998,133.0502,57.0699,43.0542,187.1117,249.1395,105.0732,215.1795,121.0648
3760,370936,,Unknown,,,57.028333,0.041646,1265927.0,0,0,1,GAS,142.0,0,,,207.0324,281.051,225.059,208.0323,253.0168,42.9998,282.0506,71.0855,69.0699,226.0584,43.0542,271.0277,133.0135,151.0415,75.0261,327.0352
3856,371032,,Unknown,,,38.332333,,1266023.0,0,0,1,GAS,142.0,0,,,207.0325,225.0528,341.0171,281.0509,267.0094,253.017,315.0308,324.9971,43.0542,327.0355,326.9656,248.9888,191.0008,75.0261,42.9998,111.1168
3930,371106,,Unknown,,,59.277833,0.004622,1266096.0,0,0,1,GAS,142.0,0,,,73.0468,117.073,161.1165,87.0261,207.0324,116.0654,42.9998,45.0155,147.0655,89.0417,75.0261,43.0542,101.0418,341.0185,281.0508,191.0013
4023,371199,,Unknown,,,36.424,0.046903,1266189.0,0,0,1,GAS,142.0,0,,,85.1011,71.0856,57.0699,43.0542,99.1167,113.1326,127.148,141.1639,326.9656,155.1795,50.0151,169.1812,42.9998,207.0324,225.059,70.0778
4024,371200,,Unknown,,,18.593333,,1266190.0,0,0,1,GAS,142.0,0,,,207.0323,225.0589,332.0772,221.084,297.1392,99.1169,221.1353,44.0077,155.0156,429.0889,355.0693,266.9997,341.0185,209.0278,191.0013,44.0576
4063,371239,,Unknown,,,30.612667,,1266229.0,0,0,1,GAS,142.0,0,,,71.0856,85.1013,57.0699,117.0367,43.0542,129.0367,99.117,75.0261,113.1327,397.3487,131.0888,116.0654,141.164,127.1484,42.9998,44.0577
4064,371240,,Unknown,,,37.820333,0.065596,1266230.0,0,0,1,GAS,142.0,0,,,207.0324,281.0509,43.0178,341.0172,253.017,283.0279,429.0891,327.0355,299.061,359.0281,73.0469,83.0856,210.0111,71.0856,343.0147,43.0542
