4_4,4_7,6_6,6_11,8_8,8_15,12_12,16_16
1489,6947,756,2365,840,1762,2027,2645
1129,955,801,835,826,1073,2388,2482
829,1585,1060,1394,1241,882,1290,3169
808,750,693,823,796,949,1408,1861
848,665,707,708,846,1238,1388,1971
830,622,1045,1158,929,1130,1875,2913
918,1182,916,1930,945,1590,1969,1692
899,842,1580,1240,962,1164,1542,2103
862,1009,1524,2616,2169,1256,2485,2668
1324,1643,1083,1149,1196,1514,1713,2195
1697,2232,919,876,2055,1166,2339,5817
1269,1237,875,1039,1364,1374,2139,2768
1297,1142,1018,1492,1446,1542,1855,2253
1924,2684,793,2815,1303,1668,2564,2139
1129,1060,780,901,1051,1145,1828,2039
1226,1095,1046,1675,1127,1580,1636,2003
2030,1438,891,1137,1127,1377,1719,2469
994,1072,747,1101,1142,1167,2060,3112
1136,931,783,960,1213,1190,1921,3664
1694,2585,1476,1972,1204,1540,1356,2640
1192,1697,1137,1588,1239,1288,1373,1926
2044,1575,1191,2161,1192,1289,1263,1889
1133,1442,803,1439,1401,1230,1336,1637
1276,1353,784,1141,1422,1220,1424,1655
1213,1059,815,1255,1046,1182,1246,1733
1426,1193,829,1390,1089,1392,1366,1976
1187,1261,998,1086,964,1177,1511,1726
1416,1205,1255,1399,1034,1315,1349,2199
1465,2268,1113,2612,1046,1414,1975,1905
1257,1206,970,1603,1070,1472,1828,1799
1296,1761,939,1647,1003,2005,1700,1717
2120,1399,1023,1030,1387,1256,1549,2037
1960,1151,1062,1635,1301,1385,1698,2443
1262,1525,1256,1434,1250,1692,1678,1930
1549,1384,1060,1065,1162,1360,1696,1759
1496,1674,2128,1189,1117,1762,1725,1679
1245,1546,982,1237,1045,1259,1612,1685
1374,1177,1182,1088,1058,1438,1564,1695
1952,1260,1180,1240,1084,1330,1543,1702
1478,1549,1128,1131,1154,1443,1647,1773
2344,1300,1143,1114,1242,1702,1689,1776
2694,1350,1296,1235,1212,1589,1622,2104
2210,1823,1555,1797,1910,1432,1848,2480
1911,2511,3000,1309,2246,1781,1990,1753
1539,1420,1698,1174,1195,1522,1980,2337
1574,1740,1073,1326,1115,1682,1896,1837
1532,1596,1626,1382,1340,1819,1686,1820
1492,1284,1113,1365,1078,1425,1690,1786
1406,1500,1071,2648,1049,1338,1628,1714
1649,1532,1269,1607,1162,1684,1834,1758
2107,2490,1299,1922,1067,2451,1883,1752
1457,1415,1474,1671,1091,1828,1679,1798
1864,2761,1316,2316,1669,2028,2931,1985
1407,1748,1208,1364,1615,1801,1815,1808
1522,1413,1529,1228,1690,1929,2247,1853
1953,1545,1431,1175,2097,2063,2054,1880
1412,1588,1547,1258,3013,1816,1381,1803
1626,1965,1279,1217,3289,1643,2965,3473
1485,1487,1292,1496,2793,1873,4193,3022
1889,1541,1182,1269,2914,1859,1996,2155
1636,1372,1183,1249,2704,1605,1399,2455
1679,1975,1558,1579,1927,1967,2018,2254
1395,1334,1366,1384,1824,1490,1819,2134
1814,1469,1162,1652,5495,1686,1981,2260
1649,1659,1182,1872,6686,1619,1783,2174
1507,1309,1434,1189,4537,1506,1791,2247
2759,1677,1498,1329,1979,1650,1896,2348
1675,1728,1475,1298,3141,1650,3153,2264
1686,1914,1603,1419,3029,1691,1918,2236
2099,1502,1208,1491,1918,1545,2181,2275
1737,1651,2046,1294,1699,2016,2442,2070
1657,1413,1232,1185,2007,1698,2591,2225
1619,1366,1235,1151,1616,1575,1592,2170
