Name,SpectrumId,ClusterId,SubmissionId
Unknown,376415,1271401,148
Unknown,376419,1271405,148
Unknown,376558,1271544,148
Unknown,376426,1271412,148
Unknown,376578,1271564,148
Unknown,376537,1271523,148
Unknown,376757,1271743,148
Unknown,376646,1271632,148
Unknown,376636,1271622,148
Unknown,376638,1271624,148
Unknown,376735,1271721,148
Unknown,376758,1271744,148
Unknown,376767,1271753,148
N-Hydroxy-N-phenyl-2-furamide,376658,1271644,148
Unknown,376754,1271740,148
"2-(2-(diethylamino)ethoxy)ethyl acetate",376678,1271664,148
Unknown,376741,1271727,148
"l-Norvaline, N-benzyloxycarbonyl-, heptyl ester",376501,1271487,148
Unknown,376577,1271563,148
"Hexanoic acid, 3-(benzylamino)-, ethyl ester",376512,1271498,148
Unknown,376744,1271730,148
Unknown,376675,1271661,148
Unknown,376657,1271643,148
Unknown,376713,1271699,148
Unknown,376651,1271637,148
Unknown,376647,1271633,148
Unknown,376719,1271705,148
Unknown,376688,1271674,148
Unknown,376717,1271703,148
"Anisole, 2-(benzyloxy)-5-(2-nitrovinyl)-",376603,1271589,148
"Benzenebutanoic acid, .gamma.-oxo-, ethyl ester",376406,1271391,148
"1,3-Benzenediol, o-(4-butylbenzoyl)-o'-(2-furoyl)-",376402,1271391,148
Unknown,376671,1271657,148
Unknown,369430,1264510,139
"4-Oxo-4-phenylbutyric acid, pentyl ester",376446,1271432,148
Quindoxin,376556,1271542,148
Unknown,376539,1271525,148
"1,3,5-Trisiloxane, 1,1,3,3,5,5-hexamethyl-1,5-di(tert.butyl)-",369351,1264432,139
"1,3,5-Trisiloxane, 1,1,3,3,5,5-hexamethyl-1,5-di(tert.butyl)-",369359,1264440,139
Unknown,369373,1264454,139
"1,3,5-Trisiloxane, 1,1,3,3,5,5-hexamethyl-1,5-di(tert.butyl)-",369372,1264453,139
Unknown,376629,1271615,148
Unknown,376453,1271439,148
Unknown,369551,1264631,139
"Hydroxylamine, 2TBDMS derivative",369371,1264452,139
"Hydroxylamine, 2TBDMS derivative",369394,1264474,139
Unknown,376450,1271436,148
Unknown,369666,1264746,139
Unknown,376610,1271596,148
"2',4'-Dinitrobenzanilide",376526,1271512,148
Unknown,369506,1264586,139
Unknown,369543,1264623,139
"Tetradonium Bromide",376443,1271429,148
Unknown,369406,1264486,139
Unknown,369401,1264481,139
".beta.-d-Lyxofuranoside, phenyl",369442,1264522,139
"2-Amino-1,1,3-tricyanopropene",369386,1264466,139
Unknown,369621,1264701,139
"1H-Pyrazole-3-carboxylic acid, 1-methyl-, 4-(3-fluorophenylcarbamoyl)phenyl ester",376524,1271510,148
Unknown,376478,1271464,148
Unknown,369606,1264686,139
"3,19:14,15-Diepoxypregnan-20-one, 3,11,18-triacetoxy-",369511,1264591,139
Unknown,376751,1271737,148
Unknown,369601,1264681,139
Unknown,369512,1264592,139
Unknown,376770,1271756,148
Unknown,369521,1264601,139
Unknown,369527,1264607,139
Unknown,369976,1265056,139
Unknown,369522,1264602,139
Unknown,369590,1264670,139
"Benzamide, 2,5-dichloro-N-[2-(4-morpholyl)ethyl]-",369547,1264627,139
"1,2-Dithiane, 1,1-dioxide",369423,1264503,139
Unknown,369493,1264573,139
"Anisole, 2-(benzyloxy)-5-(2-nitrovinyl)-",376669,1271655,148
Unknown,369523,1264603,139
Unknown,369557,1264637,139
Unknown,369605,1264685,139
"6-Chloro-7-fluoro-4-oxo-1-(1-phenylethyl)-1,4-dihydroquinoline-3-carboxylic acid",376421,1271407,148
(Dimethyl)[2-(5-methyl-3-morpholin-4-ylmethyl-1H-indol-2-yl)ethyl]amine,376513,1271499,148
"Methanesulfonic acid, TMS derivative",369451,1264531,139
"4-(3-Chlorophenyl)-1-(furan-2-ylmethyl)-4H,5H,7H-pyrazolo[3,4-b]pyridin-6-one",376597,1271583,148
Unknown,369421,1264501,139
Unknown,369433,1264513,139
"5H-Pyrrolo[2,3-b]pyrazine-2,3-dicarbonitrile, 6-amino-5-(2-dimethylaminoethyl)-7-(1-methyl-1H-benzoimidazol-2-yl)-",376568,1271554,148
"N-(tert-butyldimethylsilyl)-2,2,2-trifluoro-N-methylacetamide",377264,1272250,150
"N-(tert-butyldimethylsilyl)-2,2,2-trifluoro-N-methylacetamide",376809,1271795,149
"N-(tert-butyldimethylsilyl)-2,2,2-trifluoro-N-methylacetamide",378582,1273568,153
"N-(tert-butyldimethylsilyl)-2,2,2-trifluoro-N-methylacetamide",378214,1273200,152
"N-(tert-butyldimethylsilyl)-2,2,2-trifluoro-N-methylacetamide",377742,1272728,151
"2-Methyl-1-pentanol, TBDMS derivative",377342,1272328,150
"1-Hexanol, TMS derivative",377841,1272827,151
"1-Hexanol, TMS derivative",378256,1273242,152
"2-Methyl-1-pentanol, TBDMS derivative",378629,1273615,153
"1-Hexanol, TMS derivative",376878,1271864,149
Unknown,369537,1264617,139
Unknown,369243,1264324,138
Unknown,377468,1272454,150
Unknown,369075,1264156,138
"Silanamine, N-(2,2-dimethylpropylidene)-1,1,1-trimethyl-",369380,1264460,139
Unknown,369410,1264490,139
Unknown,369384,1264464,139
"Propylene glycol, 2TMS derivative",378174,1273160,152
Unknown,378632,1273618,153
"Propylene glycol, 2TMS derivative",377248,1272234,150
"Propylene glycol, 2TMS derivative",376803,1271789,149
"2,3-Butanediol, 2TMS derivative",377666,1272652,151
"4H-Pyrazolo[3,4-b]pyran-5-carbonitrile, 6-amino-3-methyl-4-phenyl-",376672,1271658,148
Unknown,378859,1273845,153
Unknown,378863,1273849,153
Unknown,378366,1273352,152
Unknown,377498,1272484,150
Unknown,377984,1272970,151
Unknown,378032,1273018,151
Unknown,377031,1272017,149
Dicyclopentadiene,369103,1264184,138
Unknown,369778,1264858,139
Unknown,369567,1264647,139
Unknown,377571,1272557,150
Unknown,378425,1273411,152
Unknown,378896,1273882,153
Unknown,369180,1264261,138
Unknown,369520,1264600,139
Unknown,377953,1272939,151
Unknown,377057,1272043,149
Unknown,377978,1272964,151
Unknown,378806,1273792,153
Unknown,377047,1272033,149
Unknown,378394,1273380,152
Unknown,377476,1272462,150
Unknown,377540,1272526,150
Unknown,369682,1264762,139
Unknown,377085,1272071,149
Unknown,377993,1272979,151
Unknown,369395,1264475,139
Unknown,377535,1272521,150
Unknown,378027,1273013,151
Unknown,378541,1273527,152
Unknown,378021,1273007,151
Unknown,378895,1273881,153
"Bis(tert-butyldimethylsilyl) carbonate",369374,1264433,139
Unknown,377147,1272133,149
Unknown,377076,1272062,149
Unknown,378049,1273035,151
