,Name,SpectrumId,ClusterId,SubmissionId,species,instrument name,column name,ms instrument name,sample source,disease
0,Unknown,376415,1271401,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
1,Unknown,376419,1271405,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
2,Unknown,376558,1271544,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
3,Unknown,376426,1271412,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
4,Unknown,376578,1271564,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
5,Unknown,376537,1271523,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
6,Unknown,376757,1271743,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
7,Unknown,376646,1271632,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
8,Unknown,376636,1271622,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
9,Unknown,376638,1271624,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
10,Unknown,376735,1271721,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
11,Unknown,376758,1271744,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
12,Unknown,376767,1271753,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
13,N-Hydroxy-N-phenyl-2-furamide,376658,1271644,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
14,Unknown,376754,1271740,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
15,2-(2-(diethylamino)ethoxy)ethyl acetate,376678,1271664,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
16,Unknown,376741,1271727,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
17,"l-Norvaline, N-benzyloxycarbonyl-, heptyl ester",376501,1271487,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
18,Unknown,376577,1271563,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
19,"Hexanoic acid, 3-(benzylamino)-, ethyl ester",376512,1271498,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
20,Unknown,376744,1271730,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
21,Unknown,376675,1271661,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
22,Unknown,376657,1271643,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
23,Unknown,376713,1271699,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
24,Unknown,376651,1271637,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
25,Unknown,376647,1271633,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
26,Unknown,376719,1271705,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
27,Unknown,376688,1271674,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
28,Unknown,376717,1271703,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
29,"Anisole, 2-(benzyloxy)-5-(2-nitrovinyl)-",376603,1271589,148,rat,agilent 1290,waters acquity beh c18,bruker maxis impact qtof,feces,cancer
