Unknown,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#1 43.0000@3.2301 MS1+,1,replib,2834,58.042,58,284,920,78.1,Acetone,67641,455363,CSCPPACGZOOCGX-UHFFFAOYSA-N
#2 43.0000@6.0084 MS1+,1,replib,3109,114.104,114,237,935,51.0,4-Heptanone,123193,69039,HCFAJYNVAYBARA-UHFFFAOYSA-N
#3 41.0000@3.6407 MS1+,1,replib,7304,86.110,86,165,944,63.8,n-Hexane,110543,61280,VLKZOEOYAKHREP-UHFFFAOYSA-N
#4 57.0000@7.1256 MS1+,1,mainlib,27314,144.115,144,-219,857,36.4,"Propanoic acid, 2,2-dimethyl-, propyl ester",5129351,161163,QMKUYPGVVVLYSR-UHFFFAOYSA-N
#6 207.0000@5.4155 MS1+,1,replib,37275,222.056,222,290,892,81.4,"Cyclotrisiloxane, hexamethyl-",541059,238029,HTDJPCNNEPUOOQ-UHFFFAOYSA-N
#7 133.0000@9.0180 MS1+,1,mainlib,145446,134.073,134,-103,934,34.6,"Benzaldehyde, 3,5-dimethyl-",5779953,136575,NBEFMISJJNGCIZ-UHFFFAOYSA-N
#8 74.0000@8.1654 MS1+,1,replib,12994,158.131,158,201,944,80.7,"Octanoic acid, methyl ester",111115,5519,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
#9 39.0000@6.1103 MS1+,1,mainlib,89341,99.014,99,284,917,82.2,Allyl Isothiocyanate,57067,290850,ZOJBYZNEUISWFT-UHFFFAOYSA-N
#10 74.0000@8.9308 MS1+,1,replib,12988,172.146,172,-124,915,29.6,"Nonanoic acid, methyl ester",1731846,107485,IJXHLVMUNBOGRR-UHFFFAOYSA-N
#11 74.0000@9.6462 MS1+,1,replib,12999,200.178,200,109,921,29.6,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#12 44.0000@5.0117 MS1+,1,replib,80,57.021,57,810,920,98.8,"Acetonitrile, hydroxy-",107164,288305,LTYRAPJYLUPLCI-UHFFFAOYSA-N
#13 43.0000@10.2224 MS1+,1,replib,2318,226.193,226,223,856,95.3,"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",126863,245706,LXOFYPKXCSULTL-UHFFFAOYSA-N
#14 191.0000@10.8839 MS1+,1,mainlib,221233,206.167,206,133,928,72.7,"2,4-Di-tert-butylphenol",96764,228966,ICKWICRCANNIBI-UHFFFAOYSA-N
#16 56.0000@3.8465 MS1+,1,replib,6592,84.094,84,-117,892,54.7,"Cyclopentane, methyl-",96377,114428,GDOPTJXRTPNYNR-UHFFFAOYSA-N
#17 74.0000@10.9505 MS1+,1,replib,12999,200.178,200,-100,944,37.2,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#18 74.0000@6.4690 MS1+,1,mainlib,56275,130.099,130,405,913,90.3,"Hexanoic acid, methyl ester",106707,333742,NUKZAGXMHTUAFE-UHFFFAOYSA-N
#19 43.0000@6.6111 MS1+,1,replib,2872,128.120,128,405,959,88.8,"2-Heptanone, 4-methyl-",6137060,35099,BIFPSSTVLFHHEI-UHFFFAOYSA-N
#20 74.0000@14.1208 MS1+,1,replib,13025,214.193,214,-108,953,22.9,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
#22 281.0000@6.9061 MS1+,1,replib,41370,296.075,296,237,886,86.4,"Cyclotetrasiloxane, octamethyl-",556672,221332,HMMGMWAXVFQUOA-UHFFFAOYSA-N
#23 41.0000@5.2754 MS1+,1,replib,7304,86.110,86,155,925,48.3,n-Hexane,110543,61280,VLKZOEOYAKHREP-UHFFFAOYSA-N
#24 60.0000@10.8320 MS1+,1,mainlib,35908,162.053,162,189,925,45.6,".beta.-D-Glucopyranose, 1,6-anhydro-",498077,98147,TWNIBLMWSKIRAT-BYIBVSMXSA-N
#25 67.0000@4.8726 MS1+,1,mainlib,37375,67.042,67,603,978,95.8,Pyrrole,109977,34529,KAESVJOAVNADME-UHFFFAOYSA-N
#26 74.0000@13.1673 MS1+,1,replib,12999,200.178,200,-100,947,20.7,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#27 43.0000@4.6178 MS1+,1,mainlib,10383,102.068,102,654,972,98.4,"Butanoic acid, methyl ester",623427,118791,UUIQMZJEGPQKFD-UHFFFAOYSA-N
#28 104.0000@6.2230 MS1+,1,replib,13782,104.063,104,-155,852,27.8,"1,3,5,7-Cyclooctatetraene",629209,113230,KDUIUFJBNGTBMD-BONZMOEMSA-N
#29 74.0000@12.1167 MS1+,1,replib,13002,228.209,228,-110,949,24.1,"Tridecanoic acid, methyl ester",1731880,77574,JNDDPBOKWCBQSM-UHFFFAOYSA-N
#30 91.0000@7.9733 MS1+,1,replib,16730,120.058,120,144,959,38.9,"Benzaldehyde, 3-methyl-",620235,2146,OVWYEQOVUDKZNU-UHFFFAOYSA-N
#31 41.0000@8.6995 MS1+,1,mainlib,3105,182.203,182,-297,878,6.2,"4-Tridecene, (Z)-",41446542,142617,UJZLNVCZGZKIHR-CLFYSBASSA-N
#32 57.0000@16.7139 MS1+,1,mainlib,6697,233.042,233,-407,818,10.1,"2-Piperidinone, N-[4-bromo-n-butyl]-",195194800,251632,OBYSASJZICHTJD-UHFFFAOYSA-N
