Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
209455104,239162112,231098096,211250192,228627408,219210256,196069072,226224064,224933616,208391792,206442304,203885472,67321656,15323289,63587328
410423616,390456800,380281344,384363008,391173344,393616448,346005792,418178080,412949344,345541184,371126144,370536704,161451840,39602904,161965440
238142176,256571392,303082400,358003136,385445120,371819616,340027744,369670176,362634944,327273600,358509312,347150240,224690928,58043568,210901568
173714,186574,176646,51626,39741,66055,55125,85364,84788,0,0,0,80625,3736,40995
954667,881009,886734,164784,224800,288551,332870,372931,414102,5826,0,20568,1205222,233153,1029356
1166705,1154616,1453994,0,5407,7260,168244,180959,228854,0,0,0,1654175,430946,1490084
4021421,4066812,4285975,669769,682536,838389,1606579,1527601,1482744,45106,42260,0,5688810,1474260,4744205
2784130,2878658,3010714,721870,1055403,1407193,1163511,1294741,1415389,251246,317863,315015,2699190,629431,2646905
72275058,64494951,72990945,40877586,39431832,39501432,35181606,38997586,40774294,38037221,38304408,39399641,42663456,22111153,40987981
43734001,46171762,43068931,36582131,36196444,33128310,18819837,20421428,19045655,32463418,33959934,33873151,33429006,15145652,31911525
21614739,20495373,21894464,25522092,26195565,22692600,17534492,20290755,19844194,20301926,19909515,22576990,25811565,7480457,23864628
28525140,30132175,34685276,39016367,42808641,35297831,31450136,36642699,35960371,37983168,39308619,37047064,41406201,13313407,43827184
27745824,31880551,43010550,48361750,48594663,49596124,39641360,44402058,44369474,45628933,45102455,46344677,48038915,16637982,50196501
64451,37774,51574,122602,146400,166095,33382,30323,23370,139689,136733,151990,68236,41358,39127
10712851,10797255,9894367,10658548,10186146,10555905,8915238,11394410,10539767,9672491,10239809,11296426,9905755,3007084,10395058
8460133,8149124,8870275,7880351,7646528,8365446,5423370,5080646,5069834,8900037,8636444,9462655,8751753,3101075,8966560
23563861,21436014,22095696,21145418,20872404,19051336,17183442,20333050,19154330,18139836,17737841,19811598,23027475,7148764,24301997
27407622,28935570,30042930,27237466,28304008,28580363,22880703,25558735,26696673,25079267,26731447,28286555,30703453,10338410,31877842
38308576,40564479,41513308,38513714,39867850,37100060,34590722,38667643,39369092,34337021,36524708,35719226,41239508,13272533,41364134
18501533,19731455,18915384,19222316,19555618,17525095,16001810,19034054,18139778,15946104,17757774,18909409,21338711,6381189,20864134
21808767,20937692,25257938,27197107,30172435,26684252,27180565,31130425,30578644,23226920,24937309,23460209,23385289,4993066,22345940
34235081,33889617,42940231,56574262,57276957,52119700,46945976,52978958,52597196,44877742,47918297,48187444,42218018,10017290,44587526
3876987,3770868,4595241,5063821,5037134,4788750,4372320,4726965,4713255,4255452,4735263,4526362,4017818,1094391,4010807
6576920,7090430,8798526,10802888,11320574,10399092,9292926,9831828,10559438,9105314,10102980,10280533,9588758,2999814,9944047
2973610,3147146,4247796,5880792,5920603,5543147,5024648,5226920,5340231,4743762,5176499,5148842,5348527,1446753,5633865
282607,356393,281338,372190,379133,428462,134185,363378,426823,312741,390154,382742,349597,5229,299507
3652417,3956477,4841140,5171483,5896492,5108925,4715165,5124677,5137311,4915037,5185909,5436175,3377112,1085075,3503080
1866246,1878359,2365477,2881180,3008252,2722748,2215315,2174546,2277233,2531015,2755271,2768168,2204707,596809,2179713
1224876,1359453,1500534,1614721,1808534,1463918,1412444,1548748,1578408,1324706,1419023,1608822,560854,92250,460955
2254637,2427296,3172754,3626560,3723544,3402096,2846172,3122950,3018085,3094166,3484733,3516207,1560694,381077,1468370
1074577,1127455,1599924,1943371,2102751,1936469,1540214,1479232,1648628,1747976,1882827,1884425,1107079,278522,1168231
1353222,1356263,1673163,1976811,2003196,1804627,1660445,1844938,1943906,1691780,1769112,1888319,515052,100009,460157
2359100,2388048,3156340,4181516,4375956,4031721,3388025,3561951,3593900,3586596,3707370,4013873,1630063,356822,1500449
572751,608728,789404,1260181,1277605,1139551,897877,934815,987218,1005207,1067946,1176773,593862,107731,586562
33699962,37338692,34671589,42150106,44934918,39690726,43659780,52969315,56529613,31471109,33578859,32370965,43794637,8444528,44784188
113074700,106124704,113351655,121798425,122399874,108782777,113314280,110962835,113962121,78334037,93605337,96605585,86259057,17844031,93122759
154889157,168165515,180418112,139936380,152758477,134662438,107545869,110519190,119152880,97399197,109221054,106575641,118266661,21148975,122976457
73054701,69390567,72283555,92633510,92076061,79831028,71573314,82449931,77564112,63311159,71784040,67067673,78785791,18046548,90262837
56059865,58066036,64985079,56205608,62947513,57018559,33237166,36980794,35425169,32986959,37087042,38531581,39746624,6855472,38622401
13891006,13523652,17647173,22387424,22022472,19674404,26004721,31536130,28994301,15959441,18279053,17594783,17874868,4365883,17716552
12598273,12978557,12669688,6202880,6901726,5695367,4953342,5514927,6551360,5594508,5712843,6209331,6225273,1439224,6832884
8508628,7676696,9283808,10204591,10610099,9450710,8725257,10748643,11029864,8725696,9128084,9103566,8989774,2174978,9321250
12655287,12429864,14887055,12737902,12629365,12513800,14034236,16789001,15822388,9402678,11014760,11023340,11951486,3140777,11845770
119490090,126337796,135931036,19956704,21287260,18567594,28426128,30312007,30878306,13233624,15577937,14520293,20831101,4501122,19898317
6890950,7502941,8012179,7716645,9069454,7573403,49902848,55252220,55827120,5852687,6275834,6206983,8364624,1842154,8255193
2376829,2134991,2487599,2237637,2283270,2283495,2148303,2178605,2197103,1890242,2075934,2245059,2477311,669065,2478579
3572510,3710135,3767939,2648996,3017430,1814824,1520975,1755882,1746645,2197152,2244636,2207962,2727725,922482,2840897
4993340,4082469,4177951,16464197,16765665,15841076,7207271,8644323,8640007,13227692,15526765,16631941,5054491,1123188,4607250
1576524,1645220,1840230,3150105,3052102,2920499,12753547,14237329,14934059,4221836,4670906,4820093,466921,69495,250422
1551744,1635304,1926808,1942194,1891384,1723785,1540422,1667981,1781010,1495357,1752597,1701123,1917634,429799,1813900
2789459,2878901,3128316,3171993,3179136,3124762,2391808,2686849,2814187,2711964,2713838,3045832,3088424,886015,3351365
2908485,2801456,3535270,4026785,4399357,3598061,3003610,3192365,3435393,2879453,3662719,3961196,3777931,1040326,3800300
4567390,4664672,5017866,6873288,7657881,6832408,4429496,5197285,5689604,5522263,5850705,6190218,5792986,1528914,6399965
1318599,1214409,1648790,1321853,1314312,1181438,1152707,1447607,1491000,903733,1013681,1087676,1285772,266954,1302846
1495220,1448462,1635628,1694770,1649997,1605845,1380226,1541323,1547731,1279626,1460993,1485344,1553186,306100,1546359
2583266,2849389,2848789,2909954,2975501,2668488,2249544,2673562,2930825,2474524,2623416,2551250,2826846,586283,2653009
