Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
0,,1_AC 10:0-d3,319.2681,0.568,209455104,239162112,231098096,211250192,228627408,219210256,196069072,226224064,224933616,208391792,206442304,203885472,67321656,15323289,63587328
1,,1_AC 12:0-d3,347.2995,0.72,410423616,390456800,380281344,384363008,391173344,393616448,346005792,418178080,412949344,345541184,371126144,370536704,161451840,39602904,161965440
2,,1_AC 18:0-d3,431.394,2.31,238142176,256571392,303082400,358003136,385445120,371819616,340027744,369670176,362634944,327273600,358509312,347150240,224690928,58043568,210901568
3,,1_CE 14:1-d7,619.6187_624.5748,9.6935,173714,186574,176646,51626,39741,66055,55125,85364,84788,0,0,0,80625,3736,40995
4,,1_CE 16:1-d7,647.6491_652.6055_668.5791,10.242,954667,881009,886734,164784,224800,288551,332870,372931,414102,5826,0,20568,1205222,233153,1029356
5,,1_CE 18:1-d7,675.6801_680.636_696.6085,10.74966667,1166705,1154616,1453994,0,5407,7260,168244,180959,228854,0,0,0,1654175,430946,1490084
6,,1_CE 20:3-d7,699.681_704.6367_720.6079,10.377,4021421,4066812,4285975,669769,682536,838389,1606579,1527601,1482744,45106,42260,0,5688810,1474260,4744205
7,,1_CE 22:4-d7,725.6962_730.6525_746.624,10.47533333,2784130,2878658,3010714,721870,1055403,1407193,1163511,1294741,1415389,251246,317863,315015,2699190,629431,2646905
8,,1_Cer 16:1-d7 (d18:1-d7/16:1),565.5312_581.5037_543.5495,4.981333333,72275058,64494951,72990945,40877586,39431832,39501432,35181606,38997586,40774294,38037221,38304408,39399641,42663456,22111153,40987981
9,,1_Cer 18:1-d7 (d18:1-d7/18:1),593.5628_609.5353_571.581,5.63,43734001,46171762,43068931,36582131,36196444,33128310,18819837,20421428,19045655,32463418,33959934,33873151,33429006,15145652,31911525
10,,1_Cer 20:1-d7 (d18:1-d7/20:1),621.5944_637.5688_599.6128,6.254333333,21614739,20495373,21894464,25522092,26195565,22692600,17534492,20290755,19844194,20301926,19909515,22576990,25811565,7480457,23864628
11,,1_Cer 22:1-d7 (d18:1-d7/22:1),649.6261_665.5979_627.6443,6.894,28525140,30132175,34685276,39016367,42808641,35297831,31450136,36642699,35960371,37983168,39308619,37047064,41406201,13313407,43827184
12,,1_Cer 24:1-d7 (d18:1-d7/24:1),677.6572_693.6315_655.6754,7.526666667,27745824,31880551,43010550,48361750,48594663,49596124,39641360,44402058,44369474,45628933,45102455,46344677,48038915,16637982,50196501
13,,1_Cholesterol-d7 iSTD,376.3964,4.769,64451,37774,51574,122602,146400,166095,33382,30323,23370,139689,136733,151990,68236,41358,39127
14,,1_CUDA iSTD,341.2812,0.735,10712851,10797255,9894367,10658548,10186146,10555905,8915238,11394410,10539767,9672491,10239809,11296426,9905755,3007084,10395058
15,,1_DG 17:0-14:1-d5,575.5428_580.4988_596.472,5.874,8460133,8149124,8870275,7880351,7646528,8365446,5423370,5080646,5069834,8900037,8636444,9462655,8751753,3101075,8966560
16,,1_DG 17:0-16:1-d5,603.5745_608.5298_624.5037,6.515,23563861,21436014,22095696,21145418,20872404,19051336,17183442,20333050,19154330,18139836,17737841,19811598,23027475,7148764,24301997
17,,1_DG 17:0-18:1-d5,631.6061_636.561_652.5345,7.164,27407622,28935570,30042930,27237466,28304008,28580363,22880703,25558735,26696673,25079267,26731447,28286555,30703453,10338410,31877842
18,,1_DG 17:0-20:3-d5,655.6064_660.5609_676.5345,6.801333333,38308576,40564479,41513308,38513714,39867850,37100060,34590722,38667643,39369092,34337021,36524708,35719226,41239508,13272533,41364134
19,,1_DG 17:0-22:4-d5,681.6218_686.5766_702.5505_664.5945,6.97875,18501533,19731455,18915384,19222316,19555618,17525095,16001810,19034054,18139778,15946104,17757774,18909409,21338711,6381189,20864134
20,,1_LPC 15:0-d5,509.3395_525.3147_487.3575,1.147,21808767,20937692,25257938,27197107,30172435,26684252,27180565,31130425,30578644,23226920,24937309,23460209,23385289,4993066,22345940
21,,1_LPC 17:0-d5,537.3709_553.3451_515.3884,1.758666667,34235081,33889617,42940231,56574262,57276957,52119700,46945976,52978958,52597196,44877742,47918297,48187444,42218018,10017290,44587526
