2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
989787,1050623,1116647,3501012,3449964,3398807,3317863,3543898,3538058,3461220,3345826,3579892,3573427,3535864,3396488
2535205,2674583,2786148,5542424,5485989,5449832,5584310,5581173,5540173,5453708,5628148,5597504,5608108,5556840,5604409
4070720,4222305,4290952,6066548,6262378,5942264,5717647,6026194,6273742,5928838,5753408,6157564,6221917,5900061,5803838
3457,3047,3241,0,1874,12398,0,0,1795,11866,0,0,1679,11500,0
6525,6909,6575,1587,5326,16056,0,1423,4758,15037,1178,1386,4833,15289,0
352062,348650,349639,428235,445773,1169704,478351,429395,443270,1176233,471334,425994,445132,1168301,466678
242244,236233,234259,368399,205776,484424,379779,366998,203464,481997,377853,369284,202273,479605,374083
86936,84824,83719,172501,264161,255546,136576,171292,261021,256777,137087,171889,263278,255631,136919
174452,173398,175109,283778,322052,383401,319649,281096,322883,379240,316506,279763,323939,381143,318109
252236,251584,255546,365006,477761,828081,403661,365250,473362,833930,392899,366716,473235,828539,402820
6022,5739,6333,9502,4066,2684,8156,9400,4310,2297,8097,8903,4501,2698,8484
0,6675,5919,9783,0,12741,8985,9659,0,12609,9143,9126,0,11976,8793
0,14781,14861,19190,0,39040,20483,17192,0,39053,19682,18206,0,37925,20664
22763,22089,21459,30221,40176,64248,31676,28974,40540,65813,32887,28726,40293,64615,32115
68972,66961,67521,100157,119531,221665,101662,101171,118871,217374,97420,97436,118321,208742,96596
43047,43201,42685,74860,110663,131103,62703,70351,109806,132883,61282,69910,107712,127717,63092
189860,202578,208144,451962,537887,499995,506693,458636,540072,502835,518858,468150,559244,523938,522830
401160,422972,437458,953704,1107213,1036056,1082498,967544,1142571,1076684,1104384,997204,1152526,1089877,1132394
0,15406,15523,21855,23856,22296,22615,21119,23711,23780,22840,0,24188,0,22748
0,192812,193405,324327,387161,355323,361473,322804,2220,346777,358985,322528,392187,350544,366939
6624,6529,6494,7488,8274,8552,8483,7690,8714,9185,8901,7377,8808,9008,8685
0,0,4528,6651,7394,7509,0,0,0,0,7179,7077,0,7385,7477
4119,41941,42182,75594,86545,80996,85026,78903,89022,83042,85922,78556,86375,83278,87234
96950,97618,97424,171359,183866,178563,184057,167886,184108,176044,183767,164187,185682,176766,182860
51180,51773,52303,81989,115443,88155,90125,83264,117368,0,88500,79888,112778,85540,88151
4111,4318,3914,4264,5468,4948,5010,4392,5118,5231,5206,4848,4961,0,4700
15145,14851,14670,31646,36623,34359,36687,32594,35882,33056,2249,32541,2275,2130,34328
0,0,0,1884,0,0,2506,2122,0,0,34987,2205,34924,35286,2190
2948,3113,2987,10042,11380,9911,10553,9001,12107,10135,11004,10336,11139,10249,11089
20464,20175,21493,6846,85053,80577,82759,7094,84301,81872,81788,73796,82203,80534,83447
509306,526466,535842,934472,1209128,855486,852223,932926,1210614,857777,844384,934286,1200535,859085,854876
1344143,1353320,1365558,1901116,1890879,2750092,2080935,1871933,1886261,2746096,2081335,1862372,1867606,2730574,2068579
1546761,1609154,1631374,3104285,1356058,3579633,2870967,3101586,1352191,3543108,2889570,3076498,1336371,3544032,2876044
1077149,1071712,1074528,1545957,1177050,777911,1720918,1535749,1176978,770808,1719336,1529120,1164302,775191,1708827
484344,488778,492948,989065,585049,1251746,894935,981133,576601,1256436,893697,971669,575718,1253927,900839
292201,284417,283853,502947,330435,934459,693893,498687,327506,945158,692853,494002,321736,941884,690754
127977,127162,127833,210252,251447,205362,214889,209408,251294,206375,212569,210580,247045,201939,211889
177386,179052,176253,300485,351304,300582,290320,293642,355793,303096,288753,298668,348780,302934,291455
163767,164218,163023,226578,177957,0,231955,227809,173991,0,233067,222519,172810,0,229297
52244,51528,53283,94384,0,105939,82965,96733,8952,106847,83253,93523,0,105922,82207
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6684,0,0,6852,0,10038,6611,0,0,9935,5877,7190,0,9786,0
481796,495354,515141,802000,1040855,1128794,2428,808116,1057241,1121765,882910,806876,1034101,1133975,889755
431798,435572,453204,640108,1007398,2199849,751028,641860,1006209,2178664,753080,640937,1005860,2179046,761320
119399,121851,121636,282289,432186,219829,312042,281112,432662,217807,308586,281452,426402,215165,309856
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375816,379049,383043,532659,642552,828206,546023,530978,651461,826596,544973,528532,640985,822938,549895
153741,153506,158260,275126,330594,259204,300460,270772,321428,257425,295953,269011,318562,258507,285994
335537,336705,336529,568100,644216,574087,697441,565342,637641,560880,670446,567531,633683,568274,657961
891115,901417,897213,1356615,1339665,1255328,1183681,1335833,1333397,1266848,1155543,1317671,1315174,1250459,1126885
1773303,1768539,1765856,1790571,2337944,2414207,1178122,1766425,2299790,2428071,1186970,1729695,2292433,2401867,1122080
