,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
26647,23159,7.837,982.78143,w/o MS2:TG 8:0_15:2_38:10,[M+H]+,False,13.91,982.78583,530,True,True,False,90.8,99.8,,,,0,6441,26093,0,0,0,9105,21362,0,0,0,10334,21832,0,0,1.9000286867656573
1377,18522,4.461,815.48468,RIKEN P-VS1 ID-11976 from Mouse_Lung_WT_N_F1AA,[M+Na]+,True,8.34,815.47412,430,True,True,True,79.6,99.9,72.3,78.2,66.7,0,96774,267352,0,0,0,114330,285287,0,0,0,101015,292617,15291,0,1.900387411797383
10225,9127,2.862,469.14288,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,22070,18858,45661,0,0,27102,18137,48703,0,0,29950,14202,45536,0,0,1.9010077159617005
21070,18907,5.686,826.61957,w/o MS2:HexCer 16:1;2O/28:6;O,[M+2H]2+,False,10.16,826.61908,530,True,True,False,99.9,99.9,,,,0,0,0,1691518,0,0,0,0,1571671,1223444,0,0,0,1563564,1288898,1.9011042392096515
1315,20102,5.542,862.56146,PS 40:4,[M+Na]+,True,8.73,862.55688,420,True,True,True,98.6,100.0,54.5,74.4,100.0,0,0,0,91479,83787,0,0,0,0,107493,0,0,0,111030,109317,1.9021558035657167
23672,22435,10.356,943.71436,w/o MS2:RIKEN P-VS1 ID-16464 from Mouse_Kidney_WT_N_F1EPA,[M+H]+,False,14.2,943.71393,530,True,True,False,99.9,99.9,,,,8041,0,142696,204897,278477,0,0,134527,250316,238285,0,0,138546,214144,269163,1.9025380800486678
6799,4707,6.864,310.31033,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,46743,0,178480,81387,66289,0,0,92774,88611,0,0,0,89891,81902,1.903101975084134
316,12177,7.162,586.54047,DG 32:0|DG 16:0_16:0,[M+NH4]+,True,11.52,586.54053,410,True,True,True,100.0,99.9,74.1,83.0,100.0,90333,75648,123782,0,42091,89686,71592,134740,19384,39115,97844,65033,138018,24088,40137,1.9048477309618466
26996,17732,8.462,792.70776,w/o MS2:TG 8:0_8:0_30:2,[M+H]+,False,13.74,792.70758,530,True,True,False,100.0,99.9,,,,0,0,0,152129,122703,0,0,0,138809,0,0,0,0,165331,128732,1.9053062880869736
14205,16762,12.426,762.84308,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,12727,13143,34964,78088,53641,11718,14830,41691,68598,56253,14778,14958,37461,84145,52483,1.9064327512314903
12400,12614,2.189,605.28949,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,29354,30476,21645,17766,16412,31594,32000,22386,19560,15448,29086,29769,26331,17491,12750,1.9064348154320272
1741,17998,7.387,801.68396,SM 41:1;2O|SM 18:1;2O/23:0,[M+H]+,True,12.76,801.68439,410,True,True,True,100.0,99.9,84.0,84.3,100.0,840715,8125839,19929430,461742,1992040,846183,7989271,19764040,402638,1942453,907508,8113828,19566548,445020,1836071,1.9064618759448897
11455,10998,1.53,538.30536,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,18764,27532,21806,18357,7837,20243,27619,23746,17512,11449,25087,28604,24634,19854,11947,1.907010153795085
4940,2690,4.852,225.20992,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,51751,0,0,0,64315,62823,0,0,0,68769,63834,1.9073534429568137
21145,19581,2.921,846.65082,w/o MS2:HexCer 16:1;3O/28:4;(2OH),[M+H]+,False,10.47,846.64539,530,True,True,False,86.3,99.7,,,,6471,0,0,20088,24244,0,0,0,0,20955,4952,0,0,23689,20089,1.907729681405533
17567,25605,5.728,1400.04724,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,359309,134698,0,0,0,410956,114217,0,0,0,323600,155303,0,0,1.9085506598435218
15340,20209,5.926,866.54376,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,0,366068,0,579593,686539,0,358469,0,530135,694878,0,316106,0,527701,755159,1.908574176692428
2914,609,12.246,149.02386,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,8175398,7891447,8294061,8672965,8701872,8177814,7909369,7736900,8555568,8675721,8416440,7817326,8411322,8383552,8795459,1.9095110230990768
24570,3028,3.295,241.17339,w/o MS2:RIKEN P-VS1 ID-634 from Mouse_Feces_WT_ABX_Ctr,[M+H]+,False,3.79,241.1777,530,True,True,False,91.1,100.0,,,,0,262847,301918,0,0,0,218346,250558,0,0,0,203654,291473,0,241272,1.9095795075817155
6561,4448,9.822,300.3262,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,62465,54060,129195,287192,201536,64970,58001,150100,280973,195639,58791,42965,142674,260440,186875,1.909646427319595
22507,14081,4.365,666.44653,w/o MS2:PE O-8:0_24:6,[M+Na]+,False,8.02,666.44928,530,True,True,False,96.3,99.9,,,,0,10455,10873,0,0,0,0,8811,0,0,0,8769,8085,0,0,1.9099487614446409
7558,5611,0.449,344.22842,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,111410,103077,115809,346136,265936,126661,101988,243619,347447,259009,109726,120580,208939,345446,269765,1.9100541668779336
11132,10473,6.916,518.5293,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,44409,16119,15390,0,0,41071,19648,19746,0,0,37083,19254,11602,0,0,1.910139019620286
12505,12780,2.2,611.30701,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,120491,131314,98882,81289,68302,126013,132772,96711,85872,63219,115621,122846,105042,82835,66510,1.9105877828707747
16199,23213,4.753,987.47534,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,40888,0,9832,26000,34036,48851,14610,16360,24073,27515,42030,13537,7318,24432,34127,1.910754305700322
2915,610,5.97,149.0239,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,3692848,0,4058627,0,0,3530712,4384958,4098945,0,0,3871348,4159975,3849589,0,0,1.911325775421403
23337,19686,6.288,849.54047,w/o MS2:RIKEN P-VS1 ID-13345 from Mouse_Adipose_WT_N_F1,[M+H]+,False,13.0,849.53998,530,True,True,False,99.9,99.8,,,,0,77577,0,128148,160606,0,83176,0,123135,171918,0,82045,0,131262,164464,1.912211853299574
20462,16168,9.114,743.56073,w/o MS2:DG 44:8,[M+Na]+,False,12.31,743.55847,530,True,True,False,97.5,100.0,,,,0,0,0,22897,26612,0,0,0,0,25323,0,0,0,22383,24006,1.9126703288839615
2887,582,0.455,147.12112,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,1282322,946474,1290854,608411,0,1213091,954453,1372341,674402,46882,1255977,937106,1327984,583364,0,1.9133042280485901
652,10516,1.154,520.34167,LPC 18:2,[M+H]+,True,5.97,520.33978,410,True,True,True,100.0,99.9,67.0,70.8,100.0,74970,6485975,11681610,506316,3528638,79561,6465012,11756167,528438,3684622,77220,6480460,11923352,549798,3600294,1.9137258950895482
14242,16856,1.253,765.98895,Unknown,[M+2H]2+,True,,,999,False,False,False,,,,,,0,0,0,89936,328442,0,0,0,155219,370186,0,0,0,152637,310997,1.9137975849486184
5671,3462,1.361,260.23743,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,14033,11358,23976,39320,29250,15275,9726,20514,36309,26685,16562,12080,18969,41253,28024,1.9144977774952125
5851,3660,6.643,270.30652,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,54708,50007,44881,39396,21670,55193,42920,58083,28143,30810,48227,42891,56011,27451,32175,1.9149401486606246
12494,12762,1.165,610.30878,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,73544,127073,0,32232,0,78247,140099,0,43783,0,66018,140661,0,36757,1.9149432142433431
11209,10592,9.02,522.56061,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,57657,32373,102198,165454,137763,64290,36964,91649,151460,133761,51898,38030,102182,163290,126670,1.9156680398877428
5084,2834,9.829,231.21077,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,15518,0,0,0,0,17019,13712,0,0,0,12945,12925,0,0,1.9157414298677748
16585,24036,1.518,1077.61389,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,8434,12278,6222,0,0,9913,12093,9118,4138,0,11957,9849,7015,5693,0,1.9160987694414788
3465,1177,12.698,178.12283,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,148596,171112,0,0,0,165462,0,0,0,0,152665,152427,1.9172717357004645
12399,12613,1.116,605.2467,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,9071,10710,5166,6602,0,8098,9046,10758,0,0,6857,6547,7838,0,0,1.9175640508190632
20402,13289,8.169,633.54565,w/o MS2:DG 35:0,[M+Na]+,False,12.96,633.54279,530,True,True,False,96.0,99.9,,,,0,28542,30459,0,0,0,26252,31471,0,0,0,23876,0,0,0,1.917800217630681
12385,12590,1.228,604.29449,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,20117,33255,0,9698,9163,23898,42156,0,9768,0,23016,43249,0,13732,1.918532170197877
21532,8704,1.953,452.31436,w/o MS2:LPC O-14:1,[M+H]+,False,5.87,452.3136,530,True,True,False,99.7,99.9,,,,15615,38864,13113,0,0,22524,46599,17807,0,0,19802,45832,18936,0,0,1.9185629623150333
