,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
319,12093,5.959,582.50916,DG 32:2|DG 14:0_18:2,[M+NH4]+,True,9.73,582.50922,410,True,True,True,100.0,99.9,65.0,84.1,100.0,0,120171,299329,0,49919,0,160776,246990,0,0,0,145468,304471,0,0,2.0002044266317154
36,15225,5.678,709.55634,1_PE 17:0-16:1-d5_ISTD_[M+H]+,[M+H]+,True,5.68,709.55725,annotated by user-defined text library,True,True,False,99.9,99.7,,,,4203512,4399260,4597438,3568088,2865476,4359016,4389608,5026117,3634297,2914805,4569283,4221796,5020406,3799162,2922370,2.0018006138563496
8200,6392,7.198,370.40433,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,87538,52230,102797,232582,179984,77890,0,113653,216802,181877,84758,45114,113554,233832,170682,2.0027169991711675
18993,21408,3.512,904.69757,w/o MS2:BMP 16:0_28:2,[M+H]+,False,13.07,904.70007,530,True,True,False,96.9,99.6,,,,0,0,0,22175,12353,0,0,0,22673,15732,0,0,4839,25081,8771,2.0028559857900214
19303,8374,1.794,438.43277,w/o MS2:Cer 12:0;2O/16:0,[M+H]+,False,8.43,438.4306,530,True,True,False,97.7,99.8,,,,0,12592,14388,0,7793,0,15374,13931,0,0,0,16067,12159,0,7927,2.003030049508192
5358,3123,6.692,245.22647,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,5020,13617,0,0,0,5957,12205,0,0,0,6230,9174,0,0,2.003040876384451
1148,10771,1.405,530.28979,PE 21:4,[M+H]+,True,5.24,530.28772,420,True,True,True,78.7,99.9,30.5,67.6,75.0,30017,32253,27068,14410,0,28322,33916,34993,18981,0,31583,34959,48992,14515,0,2.00367493585987
17194,25041,4.662,1227.76257,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,6600,13580,0,0,0,4549,12492,0,0,0,7665,12964,2.0045909674138316
19370,11462,10.526,556.53455,w/o MS2:Cer 12:0;2O/22:0;O,[M+NH4]+,True,9.89,556.52991,530,True,True,False,91.7,100.0,,,,198769,307809,195760,402813,376447,198978,279943,219753,369491,398474,197860,277867,227823,392597,387660,2.004630010214975
10217,9119,9.827,468.51395,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,186782,106628,327824,659280,557196,211998,110620,361751,612592,524101,207663,107867,348941,626110,553004,2.005984804702895
20319,13902,9.732,659.50641,w/o MS2:CoQ7,[M+H]+,False,10.75,659.50342,530,True,True,False,95.6,100.0,,,,0,67184,32559,0,0,0,53658,19929,0,0,0,68976,39835,0,0,2.006284167395632
5807,3603,4.256,268.29993,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,8278,0,0,21915,10237,0,0,0,22829,13286,10219,0,0,21124,9504,2.006761035198085
4238,1969,9.955,205.08656,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,34159,31963,12328,0,0,51977,24481,0,0,0,35331,21488,8955,0,2.007107023917543
18898,7263,3.561,401.34079,w/o MS2:25-hydroxycholecalciferol,[M+H]+,False,7.21,401.3414,530,True,True,False,99.8,99.9,,,,49422,47147,107694,0,0,58210,47790,96239,12035,0,49982,50005,109794,0,0,2.0073768541747214
12301,12431,5.827,597.48547,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,27520,11050,0,0,0,26846,12203,0,0,0,27055,13544,0,0,2.0079492796548357
5357,3122,9.687,245.22638,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,23973,11551,0,0,0,23100,9052,0,0,0,29399,16575,0,0,2.0082492965640673
19216,11451,1.589,556.44147,w/o MS2:CAR 28:6,[M+H]+,False,7.52,556.43597,530,True,True,False,86.0,99.8,,,,5342,0,0,57070,27410,0,0,7405,53150,32870,8649,0,9282,55857,25267,2.0089938240135674
20316,10610,9.729,523.38037,w/o MS2:CoQ5,[M+H]+,False,7.34,523.37817,530,True,True,False,97.6,100.0,,,,0,85532,43125,0,0,0,84988,37360,16865,0,4974,70379,52275,18844,0,2.0094859618544105
20410,13907,8.222,659.56006,w/o MS2:DG 37:1,[M+H]+,False,13.13,659.55847,530,True,True,False,98.7,99.9,,,,7710,19253,31726,0,0,16233,18684,47502,0,0,12642,19333,39128,0,0,2.00991182751153
10819,9980,1.515,499.31989,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,91020,91554,88185,64144,39059,88233,103612,87227,65118,39810,97403,108544,95143,67121,34936,2.0100444919645457
12316,12460,0.429,598.83423,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,35519,21849,18417,0,0,34225,28109,18416,0,0,41122,22056,22570,0,0,2.010565029151118
25240,15323,9.729,713.55145,w/o MS2:SL 12:1;O/28:3;O,[M+H]+,False,9.22,713.54968,530,True,True,False,98.4,100.0,,,,7734,100345,77087,37341,0,0,101290,64290,32886,0,0,123262,72821,29874,0,2.0117728933999683
1887,18948,10.745,827.71014,TG 48:1|TG 14:0_16:0_18:1,[M+Na]+,True,14.28,827.7099,410,True,True,True,100.0,99.9,69.3,74.8,100.0,521058,15173800,13297552,7150604,5869928,552670,15071165,13094401,7439207,5832512,526794,14685854,12337442,7394140,5928245,2.012331433081885
18958,13632,6.221,648.48578,w/o MS2:ASG 28:2;O;Hex;FA 4:0,[M+H]+,False,8.28,648.4834,530,True,True,False,97.2,100.0,,,,0,30464,28730,108842,83434,0,36185,17145,91148,93574,0,31626,19769,59062,93408,2.0124848670089506
9047,7480,5.18,410.43521,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,63858,0,0,100896,56745,27852,0,0,87851,47394,52681,0,0,112191,44176,2.013946986601461
11697,11430,0.938,555.24469,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,88367,109700,92285,64597,39386,98458,106729,93680,65066,41196,84574,117464,91708,75246,39500,2.014937717926735
24905,13841,8.677,656.63275,w/o MS2:SE 28:1/16:0,[M+H]+,False,15.11,656.63397,530,True,True,False,99.3,99.8,,,,48986,0,0,24937,24220,50646,0,0,30423,26718,43102,0,0,29038,21680,2.0149430222582656
