index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
1834,16953,10.31,768.70667,TG 44:0|TG 14:0_14:0_16:0,[M+NH4]+,TRUE,13.99,768.70758,410,TRUE,TRUE,TRUE,100.0,100.0,70.3,88.0,100.0,21897,7146624,822029,10070516,350876,18416,8810168,802660,10133220,339413,0,8036536,794998,9951084,339213,1.5004518223754300
2180,22677,11.225,954.84845,TG 58:5|TG 18:0_18:2_22:3,[M+NH4]+,TRUE,15.01,954.84839,410,TRUE,TRUE,TRUE,100.0,99.9,22.2,84.8,100.0,83688,740059,1546672,5373884,1491751,88912,693005,1507501,1353225,1469618,62110,0,1603533,5369568,1499365,1.5006419411798100
864,17367,4.864,782.56915,PC 36:4|PC 18:2_18:2,[M+H]+,TRUE,8.93,782.5694,410,TRUE,TRUE,TRUE,100.0,99.9,87.2,82.4,100.0,111734,8844602,18103434,2410714,8353080,151925696,9273962,19786812,2334013,8467148,109211,9089485,19863452,2432352,8004640,1.5008084161928500
1392,19108,6.359,832.6662,RIKEN P-VS1 ID-12702 from Mouse_Brain_WT_N_F1AA,[M+H]+,TRUE,10.2,832.66742,430,TRUE,TRUE,TRUE,79.7,99.9,60.4,81.1,75.0,1014863,0,0,87312,46798,1090618,58179,0,79203,50658,1159207,0,0,87441,41586,1.5020941617607400
18458,26915,5.954,1597.20312,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5023493557252500
1397,19173,10.53,834.69891,RIKEN P-VS1 ID-12800 from Mouse_Heart_WT_N_F1,[M+NH4]+,TRUE,14.32,834.71088,430,TRUE,TRUE,TRUE,82.0,99.9,82.8,80.4,84.0,1400421,575048,810801,0,867203,1565606,568328,750681,0,861708,1503966,530247,782840,0,807237,1.502952061877720
2076,21228,11.525,898.79083,TG 54:5|TG 18:1_18:2_18:2,[M+NH4]+,TRUE,14.32,898.78583,410,TRUE,TRUE,TRUE,100.0,99.9,32.3,74.4,100.0,44990,0,0,0,0,85776,132827,0,0,77565,84043,42516,55453,0,86197,1.5038089531250400
418,16574,5.013,757.5741,DG 45:8,[M+Na]+,TRUE,12.9,757.5741,420,TRUE,TRUE,TRUE,100.0,99.7,6.0,75.0,100.0,4386482,1731706,0,1707403,1504985,3611931,1467600,1663842,1767414,1554330,4208242,1855249,1725652,1627320,1647381,1.5042660642527800
26572,23036,11.578,974.91559,w/o MS2:TG 8:0_13:0_38:2,[M+H]+,TRUE,16.24,974.91101,530,TRUE,TRUE,FALSE,98.0,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5049641142910800
24199,26956,5.89,1602.14954,w/o MS2:RIKEN P-VS1 ID-21054 from Mouse_Brain_fat1TG_N_w6rich,[M+H]+,FALSE,9.92,1602.14575,530,TRUE,TRUE,FALSE,93.1,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,353025,0,0,1.5061352557265100
