,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
25652,21677,10.534,913.7959,w/o MS2:SL 18:1;O/36:1;O,[M+H]+,False,13.93,913.80011,530,True,True,False,91.5,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.500307004257515
830,17175,6.594,776.61951,PC 35:0|PC 17:0_18:0,[M+H]+,True,11.03,776.61639,410,True,True,True,100.0,99.9,67.8,61.3,100.0,276327,228677,1200605,0,0,0,0,1352331,0,0,2024983,212414,1292377,0,0,2.501006623109128
1651,15117,5.211,705.5929,SM 34:0;2O|SM 17:0;2O/17:0,[M+H]+,True,9.3,705.59052,410,True,True,True,100.0,99.9,64.4,67.6,100.0,1573186,1649393,19813202,1537878,2702866,1544944,1666260,21045966,1572728,2386997,1547932,1643911,21817320,1600091,2512134,2.5019180561453673
588,18191,7.038,806.65027,HexCer 42:3;3O,[M+H-H2O]+,True,11.18,806.65039,420,True,True,True,82.7,99.9,71.4,42.0,92.9,3360121,37226,112761,42863,0,3186944,0,115588,50118,103158,3272275,34954,113571,41078,112869,2.50366152642693
19696,14884,6.61,696.64972,w/o MS2:Cer 12:1;3O/31:0;(2OH),[M+H]+,False,12.89,696.65009,530,True,True,False,99.9,99.8,,,,0,7059,46810,24444,0,0,0,36313,25611,0,0,4500,60755,25176,0,2.50372248621704
23997,26136,5.068,1509.13647,w/o MS2:RIKEN P-VS1 ID-20259 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,False,8.82,1509.14282,530,True,True,False,81.8,99.9,,,,0,268968,0,96364,81273,0,0,0,0,77024,0,314047,58263,0,60937,2.5055733775668285
1231,16010,5.916,738.54547,PE P-37:4|PE P-15:0_22:4,[M+H]+,True,10.16,738.54321,410,True,True,True,100.0,99.9,61.7,94.4,100.0,0,39036,2752664,0,0,179861,0,0,685107,0,187242,41974,0,0,0,2.5065279984218254
6551,4434,0.447,300.20129,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.508381153909037
2160,22329,10.145,938.81805,TG 57:6|TG 17:0_18:1_22:5,[M+NH4]+,True,14.55,938.81708,410,True,True,True,100.0,99.9,17.7,80.4,100.0,0,0,0,367410,47053,0,109183,0,395682,0,0,0,22197,400563,0,2.508455321322527
1836,17094,10.298,773.66272,TG 44:0|TG 14:0_14:0_16:0,[M+Na]+,True,13.99,773.66302,410,True,True,True,100.0,99.9,72.1,74.6,100.0,0,3686323,675093,1027354,308377,0,4029271,649537,909547,266852,0,3833882,687320,948488,305113,2.509826064240404
26577,22968,10.899,970.88245,w/o MS2:TG 8:0_13:0_38:4,[M+NH4]+,True,15.49,970.8797,530,True,True,False,99.0,99.9,,,,0,0,0,104374,141347,0,54917,52674,88236,0,0,0,260324,105755,0,2.510026838021379
363,14165,7.526,669.54565,DG 38:3,[M+Na]+,True,12.62,669.54279,420,True,True,True,100.0,99.9,74.7,75.0,100.0,391078,439948,10676109,90685,15170,408349,443250,10605486,75268,12682,438142,420006,11002347,76620,14217,2.510538210334194
1568,12533,5.355,601.52155,RIKEN P-VS1 ID-5826 from Mouse_Feces_WT_N_Ctr,[M+Na]+,True,12.88,601.51538,430,True,True,True,70.2,99.7,27.1,81.3,100.0,37308,103609,424668,0,0,0,123952,253257,0,22654,45843,104337,464449,0,0,2.510608510080036
1505,26691,5.934,1572.19971,RIKEN P-VS1 ID-20824 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,True,9.93,1572.20056,430,True,True,True,87.0,99.9,86.1,84.7,55.6,0,0,35888572,0,0,0,0,0,0,0,0,0,36129560,0,0,2.5115501408743315
13197,14248,6.593,672.70123,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,145051,149700,139313,100213,80828,141966,144478,143391,110014,96850,130037,139386,126104,100977,86566,2.511950713295643
1063,17235,5.114,778.57745,PC O-37:6,[M+H]+,True,9.55,778.57452,420,True,True,True,100.0,99.9,86.8,86.2,100.0,0,937966,24875904,186331,0,0,1046434,25668300,180855,0,0,700607,26440146,171534,0,2.5134625113008293
26630,23342,11.095,996.89441,w/o MS2:TG 8:0_15:0_38:5,[M+NH4]+,False,15.52,996.89539,530,True,True,False,99.5,99.9,,,,14627,124939,218805,905598,311626,9327,125597,219096,1135523,280290,14587,132457,225247,1073906,291201,2.5145897020728727
23948,25833,4.992,1468.1178,w/o MS2:RIKEN P-VS1 ID-19992 from Mouse_Brain_WT_N_w6rich,[M+H]+,False,9.57,1468.11499,530,True,True,False,96.1,99.9,,,,0,62416,0,0,0,0,60517,0,0,0,0,74311,0,0,0,2.5148137466361473
24041,26299,5.345,1528.05542,w/o MS2:RIKEN P-VS1 ID-20420 from Mouse_Liver_fads2KO_N_Ctr,[M+H]+,False,8.93,1528.04749,530,True,True,False,73.0,99.9,,,,0,0,0,0,0,0,0,124256,0,0,13051,0,79445,0,0,2.5165864827843203
21552,9656,2.809,488.31268,w/o MS2:LPC O-17:4,[M+Na]+,True,5.56,488.3136,530,True,True,False,99.3,100.0,,,,194832,266303,0,20243,16812,206624,243273,0,17104,18645,199842,250522,0,15406,20381,2.518202171874055
12186,12256,1.711,590.4281,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,39849,34118,41642,2233832,57149,46772,32206,46939,2310306,64100,42185,28604,40949,2284998,56256,2.519604588507728
16265,23351,12.017,997.98688,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,15204,0,0,0,5498,18650,0,0,0,7827,22460,0,0,0,12228,2.520192987935107
8179,6352,2.538,369.30048,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,688193,669063,659064,481936,387684,655472,648324,588864,510979,378287,590600,687259,584492,481432,376595,2.5204369684271866
