,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
15149,19570,5.262,846.53839,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,109091,0,0,0,150162,106360,0,0,0,130991,94035,72395,0,0,134458,2.0023501347331334
5074,2824,0.801,230.24876,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,816854,666064,2384663,724861,532670,821799,684995,2493647,693670,568973,788601,694098,2422637,720389,552306,2.002854404575145
11586,11217,10.754,547.47235,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,348398,0,0,0,0,424601,0,0,0,0,400144,0,31873,0,2.0037568029558854
26366,21464,5.876,906.61011,w/o MS2:TG 15:3_16:4_20:5;4O,[M+H]+,False,8.95,906.60901,530,True,True,False,99.4,100.0,,,,0,0,814533,0,0,0,0,948687,0,0,0,0,841399,0,0,2.0044158181833147
799,16312,4.445,748.57111,PC 33:0,[M+H]+,True,10.18,748.58508,420,True,True,True,70.5,99.8,25.2,57.1,83.3,162909,116886,112687,100139,113226,157836,135340,133889,114109,81029,147449,130839,142437,127228,107026,2.0050487005162414
217,12713,6.887,608.52966,Cer 41:6;2O|Cer 19:2;2O/22:4,[M+H-H2O]+,True,10.45,608.5401,410,True,True,True,89.7,99.9,37.8,54.0,100.0,8013940,5486349,5367444,5055124,4907590,7939795,5742902,5378946,5108512,5072648,8020990,5301913,5328284,5287718,4885036,2.005734998732149
16158,23080,11.025,977.92505,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,592709,388890,536544,435795,643815,701068,0,566239,423755,632345,0,449431,542168,511336,614227,2.0062362280512396
27212,20118,9.925,862.78497,w/o MS2:TG 8:0_9:0_34:2,[M+H]+,False,14.43,862.78583,530,True,True,False,99.6,99.9,,,,0,422469,133046,4315244,86125,0,437105,117614,3992544,113544,0,424025,110492,4369946,104384,2.006758481446098
13077,13971,5.757,662.65796,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,0,0,0,1903422,0,0,0,0,1932395,0,0,0,0,1950882,0,2.0076117403890255
17672,25749,5.94,1452.08557,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,64798,0,0,0,0,71820,0,0,0,0,77676,0,0,0,2.0080150797284175
21121,17969,5.66,800.63123,w/o MS2:HexCer 16:1;3O/23:1;(2OH),[M+H]+,False,10.06,800.62457,530,True,True,False,80.1,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008208457343528
7980,6118,0.923,361.31506,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,122640,101660,94399,109541,59577,123354,108273,98804,106767,60615,118472,99558,99221,100136,58236,2.0084009329844883
16448,23747,12.071,1040.01196,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,7493,0,0,0,0,0,0,0,0,0,0,0,0,0,2.010136171272759
24492,11747,4.782,568.53607,w/o MS2:RIKEN P-VS1 ID-5279 from Mouse_Feces_WT_ABX_Ctr,[M+H]+,True,8.99,568.54211,530,True,True,False,90.8,99.9,,,,1339011,1496075,1422019,1299847,1214445,1430880,1509828,1447152,1236311,1246194,1395834,1604742,1396278,1283316,1154432,2.0120649570812223
941,19162,6.137,834.59998,PC 40:6|PC 18:0_22:6,[M+H]+,True,9.48,834.60071,410,True,True,True,100.0,99.9,65.5,60.1,100.0,48433796,773150,946051,316026,3204228,47445072,639135,984747,319605,3117351,0,697669,1072338,320843,3081740,2.0123266925318344
1409,19731,7.581,850.67853,RIKEN P-VS1 ID-13404 from Mouse_Brain_WT_N_F1EPA,[M+H]+,True,13.01,850.68201,430,True,True,True,84.5,99.8,72.7,75.0,100.0,7204447,0,38714,35595,25375,7210800,0,32549,28990,20051,7029056,0,32974,32972,20810,2.0135933645085076
8337,6572,11.601,376.39679,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,28034,40053,38565,45695,50120,31068,41775,36593,35966,39321,30613,42641,33464,37763,2703670,2.013800210273815
1471,24917,5.106,1210.81482,RIKEN P-VS1 ID-18975 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,True,8.61,1210.8175,430,True,True,True,75.2,99.9,65.1,67.0,50.0,60012,0,0,24734,80318,0,0,20176,23194,63809,0,0,0,27516,56814,2.014104446223161
10975,10248,10.523,509.45602,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,186731,16723,115824,0,0,184088,18757,120206,0,0,178878,22159,106043,0,2.014853941331141
1530,8135,2.654,430.39066,RIKEN P-VS1 ID-3037 from Mouse_Eye_fads2KO_N_Ctr,[M+H]+,True,7.16,430.3905,430,True,True,True,84.9,99.9,83.2,74.2,66.7,62545,0,481036,257207,326493,513658,174739,473627,238239,66001,511681,170542,479915,273801,349721,2.0151321484001814
1973,20701,11.121,880.82324,TG 52:0|TG 16:0_18:0_18:0,[M+NH4]+,True,15.39,880.83282,410,True,True,True,100.0,99.9,76.1,82.3,100.0,0,112936592,227519,194754,122820,3716,125509432,0,108875,0,0,122143096,202637,44626952,0,2.0159464875035766
24355,8188,2.776,431.3927,w/o MS2:RIKEN P-VS1 ID-3060 from Mouse_Brain_WT_N_F1AA,[M+H]+,False,6.71,431.39319,530,True,True,False,99.9,99.9,,,,0,0,31538,0,0,0,0,39537,0,0,0,0,0,0,0,2.016473179749337
