index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
183,12605,8.009,604.60248,Cer 40:1;2O|Cer 18:1;2O/22:0,[M+H-H2O]+,TRUE,13.02,604.60272,410,TRUE,TRUE,TRUE,100.0,99.9,73.0,95.1,100.0,900269,194160,4792774,140826,195579,927537,175952,4863790,144349,228293,897668,183584,4886943,125301,189506,1.5000245638152200
23629,5355,3.328,336.20279,w/o MS2:RIKEN P-VS1 ID-1609 from Mouse_Aorta_WT_N_Ctr,[M+H]+,TRUE,3.93,336.2023,530,TRUE,TRUE,FALSE,99.9,100.0,,,,0,0,0,5310,0,0,0,0,0,0,0,0,0,0,0,1.5011095920735400
1249,16879,6.4,766.57544,PE P-39:4|PE P-17:0_22:4,[M+H]+,TRUE,10.98,766.57452,410,TRUE,TRUE,TRUE,100.0,99.9,68.5,94.1,100.0,0,0,403374,0,0,880909,0,0,0,0,0,0,0,0,0,1.5011409636365800
9436,7993,6.367,427.23181,Unknown,[M+Na]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,1.5011426939384100
2028,20996,11.347,890.82092,TG 53:2|TG 17:0_18:1_18:1,[M+NH4]+,TRUE,14.8,890.81708,410,TRUE,TRUE,TRUE,100.0,99.9,71.7,91.0,100.0,161391,123022104,3220187,32404024,701876,158204,131613456,3322750,31895776,756339,236211,136409584,3469453,32955644,829820,1.5012820286514000
2073,21384,10.624,903.74396,TG 54:5|TG 16:0_18:1_20:4,[M+Na]+,TRUE,14.36,903.74121,410,TRUE,TRUE,TRUE,100.0,99.9,71.6,74.9,100.0,357549,0,3656018,0,4194492,0,0,0,0,3894768,0,0,3731984,0,0,1.5013513383747500
1480,25425,11.2,1319.23914,RIKEN P-VS1 ID-19454 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,TRUE,14.75,1319.23706,430,TRUE,TRUE,TRUE,80.4,99.9,77.1,63.9,64.3,0,0,0,0,2711792,0,0,0,0,2431522,0,0,0,0,2399588,1.5019281241894900
11080,10398,3.129,515.38641,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,5429,0,0,0,0,0,0,0,0,0,0,0,0,1.5019689724713600
377,14570,7.394,685.57092,DG 39:2,[M+Na]+,TRUE,13.01,685.5741,420,TRUE,TRUE,TRUE,100.0,99.8,52.1,75.0,100.0,65839,165214,0,143457,125196,74450,169537,141205,126208,137978,100026,143199,153451,132003,127621,1.5025659741292800
22471,16349,7.945,750.40869,w/o MS2:PE 36:10,[M+H]+,FALSE,7.32,750.41052,530,TRUE,TRUE,FALSE,98.3,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5026060551900500
