,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
25152,13338,7.863,635.50092,w/o MS2:SL 12:1;O/22:0;O,[M+H]+,True,8.37,635.50269,530,True,True,False,99.0,100.0,,,,17888,86457,87205,23215,36648,23596,83623,86643,0,29106,17899,77957,93961,16155,31526,2.5001225610627547
1023,15944,4.906,736.52686,PC O-34:6,[M+H]+,True,8.86,736.52759,420,True,True,True,99.2,99.9,27.1,58.4,100.0,0,1453363,1753380,0,0,0,1534104,808165,0,0,0,1489206,1056163,0,0,2.500213423057011
1073,17791,6.096,794.60852,PC O-38:5,[M+H]+,True,10.16,794.60577,420,True,True,True,100.0,99.9,81.4,86.6,100.0,0,19002636,15456796,7709360,1378635,0,17860504,15866354,7937473,1422962,0,17515832,15344091,8168690,1371165,2.5005126129349495
314,11967,6.819,577.48047,DG 31:0,[M+Na]+,True,10.92,577.48022,420,True,True,True,100.0,99.9,67.4,75.0,100.0,0,30535,108768,0,0,0,32836,120051,0,8180,0,33476,121904,0,0,2.502388644831671
7883,5994,3.031,357.15366,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7083,0,0,2.5030199444624412
6516,4399,0.471,299.09012,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,39585,0,0,0,0,40383,0,0,0,0,40549,0,2.503223386066135
3714,1436,0.471,189.05231,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,91910,0,36825,0,64097,132383,33280,90016,0,48798,95610,0,120630,0,59517,2.509277677828367
26744,20863,6.131,886.59595,w/o MS2:TG 8:0_18:4_22:5;4O,[M+NH4]+,False,9.05,886.60388,530,True,True,False,73.0,100.0,,,,0,56157,0,0,108695,0,46753,0,0,0,0,52227,0,0,107160,2.5150169918840697
12617,13016,3.62,621.31006,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51554922196464
524,7584,4.783,413.26785,Dioctyl phthalate (also known as the production of plastic),[M+Na]+,True,6.76,413.26624,430,True,True,True,91.3,100.0,84.4,84.9,100.0,3294527,3084514,10274688,1832274,3396269,8338730,3175814,0,1858401,3457715,0,3116894,7607180,3420653,3383304,2.5162662803932285
15493,20716,7.453,881.62762,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,130863,224662,0,35294,0,137009,211525,0,36707,0,129937,189284,0,32291,2.5189235150979057
24418,9974,2.088,499.25351,w/o MS2:RIKEN P-VS1 ID-4243 from Mouse_Feces_WT_N_Ctr,[M+H]+,False,3.78,499.2619,530,True,True,False,70.3,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5224454740035043
65,4867,0.578,316.2496,CAR 10:0,[M+H]+,True,2.59,316.2482,410,True,True,True,100.0,100.0,75.3,86.8,100.0,9350,73754,9568,551650,848300,0,86021,29512,522652,852734,0,61193,15754,598378,845061,2.524849941567238
1083,17511,5.025,786.54364,PC O-38:9,[M+H]+,True,8.78,786.54321,420,True,True,True,100.0,99.9,39.7,87.0,100.0,0,906906,925396,526673,0,0,886121,948889,533557,0,26740,902193,986034,588117,0,2.52723164762694
23034,16966,4.784,769.50299,w/o MS2:RIKEN P-VS1 ID-10087 from Mouse_Muscle_WT_CTX0_Ctr,[M+Na]+,False,8.35,769.50049,530,True,True,False,96.9,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5282575122094
