index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
9318,7853,3.144,422.38562,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,45380,0,0,0,0,46284,0,0,0,0,42630,1.5009547155297500
5678,3469,0.6,261.1095,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,61164,76166,101921,164017,216109,83446,74063,110300,157497,228616,77040,67943,108574,160441,216295,1.5012421320599500
1729,17939,6.348,799.65149,SM 40:3;3O,[M+H]+,TRUE,9.33,799.63239,420,TRUE,TRUE,TRUE,100.0,100.0,17.5,90.1,100.0,1394894,0,0,0,0,44104,0,0,0,0,0,0,0,0,0,1.5015551109162600
9810,8513,1.258,444.30423,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,93922,93708,92227,93693,69227,97040,104262,102714,96869,65139,91401,98806,94368,91958,67831,1.5020645824266900
401,15873,9.258,733.57416,DG 43:6,[M+Na]+,TRUE,13.07,733.5741,420,TRUE,TRUE,TRUE,100.0,99.9,43.6,75.0,100.0,0,121078,0,192626,27393,0,113850,0,200408,22757,0,111975,0,212270,23005,1.5021388392704000
14811,18517,4.891,815.21356,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,257941,0,0,0,0,0,0,0,1.5024198705475700
11913,11807,1.487,571.2533,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,8504,0,0,0,0,13397,11201,5286,0,0,0,10015,0,0,1.5024495596854300
4773,2509,10.63,219.21138,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,54564,128398,0,0,0,0,108073,0,8491,7067,0,115785,1.502511637525790
6205,4051,0.734,285.20624,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,1132984,1003100,917502,826141,568591,1251798,1013555,1031965,875500,563069,1204539,1022590,1070331,956079,578079,1.5039032540285400
20576,21501,10.641,907.71497,w/o MS2:DG 56:10,[M+H]+,FALSE,13.81,907.71503,530,TRUE,TRUE,FALSE,100.0,99.9,,,,12360,193715,54133,337332,66278,0,186311,54059,350034,66735,0,190423,0,342428,61328,1.5042711378581100
2284,21059,12.062,892.86938,TG O-54:1|TG O-18:0_18:0_18:1,[M+NH4]+,TRUE,16.1,892.8692,410,TRUE,TRUE,TRUE,100.0,99.9,71.9,90.1,100.0,0,492526,0,0,0,0,0,0,0,0,0,561491,0,0,0,1.5043049102309800
19192,11055,4.268,540.50531,w/o MS2:CAR 26:0,[M+H]+,TRUE,8.8,540.4986,530,TRUE,TRUE,FALSE,86.9,99.9,,,,813450,851585,725392,756989,642538,799612,864261,769101,737414,644372,770503,821998,762166,737577,657781,1.5044682885173800
23306,19347,9.082,839.67358,w/o MS2:RIKEN P-VS1 ID-12981 from Mouse_Ear_fads2KO_N_Ctr,[M+NH4]+,FALSE,13.2,839.67499,530,TRUE,TRUE,FALSE,99.0,99.9,,,,0,35946,65882,83541,0,0,39736,0,0,0,0,0,74170,0,0,1.5048703080676500
24173,26831,6.387,1587.71204,w/o MS2:RIKEN P-VS1 ID-20940 from Mouse_Brain_WT_N_Ctr,[M+H]+,FALSE,10.7,1587.71606,530,TRUE,TRUE,FALSE,92.2,99.9,,,,428788,0,0,0,0,483857,0,464005,0,0,422253,0,0,0,0,1.5056913993178000
935,19980,6.011,858.59796,PC 40:5,[M+Na]+,TRUE,9.82,858.59833,420,TRUE,TRUE,TRUE,100.0,99.9,87.8,92.7,100.0,962395,241187,1195135,0,214436,947597,265062,1074336,101394,212817,1047834,256773,1151639,0,215554,1.5059218256399800
1075,17718,4.729,792.58533,PC O-38:6,[M+H]+,TRUE,9.77,792.59021,420,TRUE,TRUE,TRUE,92.9,99.9,50.4,76.9,100.0,341237,0,20685,0,0,340184,14254,22646,0,0,0,12493,26072,0,0,1.5059953847169500
24714,14991,5.12,701.52991,w/o MS2:RIKEN P-VS1 ID-8002 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,FALSE,12.89,701.52911,530,TRUE,TRUE,FALSE,99.7,99.7,,,,1200278,0,0,0,0,0,0,10983,0,0,0,0,269602,0,0,1.5061929648075700
1632,16513,5.151,755.54138,RIKEN P-VS1 ID-9509 from Cell_HEK293_WT_N_Ctr,[M+H]+,TRUE,9.14,755.53699,430,TRUE,TRUE,TRUE,87.1,99.9,84.1,82.2,77.3,2733494,0,0,708441,546611,2415596,0,409111,765421,0,2262389,16521,0,782184,0,1.5064644870535000
892,18500,6.546,814.63538,PC 38:2|PC 18:0_20:2,[M+H]+,TRUE,11.03,814.63202,410,TRUE,TRUE,TRUE,100.0,99.9,87.1,74.5,100.0,12032500,325477,21836864,147213,861655,11956871,339565,23658358,156847,896471,11684534,364566,23564764,149897,819326,1.5070069290790500
1903,19252,10.956,836.77002,TG 49:1|TG 15:0_16:0_18:1,[M+NH4]+,TRUE,14.38,836.7702,410,TRUE,TRUE,TRUE,100.0,99.9,68.1,94.6,100.0,110908,50933896,9929102,26989920,825989,99246,58739708,10112893,27937398,761790,94899,54818680,9688694,28400700,798617,1.5072561785398600
24158,26782,5.879,1582.17786,w/o MS2:RIKEN P-VS1 ID-20896 from Mouse_AdrenalGlands_WT_N_Ctr,[M+NH4]+,FALSE,9.12,1582.18506,530,TRUE,TRUE,FALSE,77.2,99.9,,,,0,0,0,0,17783,0,0,489102,0,0,0,0,436986,0,0,1.5072994393634500
23348,19773,10.275,851.78589,w/o MS2:RIKEN P-VS1 ID-13448 from Mouse_Ear_fads2KO_N_Ctr,[M+H]+,FALSE,15.71,851.78552,530,TRUE,TRUE,FALSE,99.9,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.507704067663780
18052,26321,6.33,1530.12048,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,40706,0,0,27736,0,55260,0,0,0,0,0,0,0,0,0,1.5079441899699600
22082,20018,5.285,859.69214,w/o MS2:NAOrn 22:3;O(FA 28:6),[M+Na]+,FALSE,12.24,859.69232,530,TRUE,TRUE,FALSE,100.0,99.8,,,,0,0,0,0,0,14232,0,0,0,0,0,0,0,0,0,1.5083619205658000
20493,17879,6.511,797.60925,w/o MS2:DG 48:9,[M+H]+,FALSE,13.06,797.60541,530,TRUE,TRUE,FALSE,92.9,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,102259,0,0,1.5093952931673800
19097,7846,2.976,422.32733,w/o MS2:CAR 18:3,[M+H]+,TRUE,5.58,422.32651,530,TRUE,TRUE,FALSE,99.7,100.0,,,,332648,324076,305017,253709,294202,309203,314338,275871,277184,296632,282684,324098,286026,265476,298926,1.5096513366352900
26304,25437,5.288,1323.09375,w/o MS2:TG 10:0_38:7_38:10,[M+H]+,TRUE,16.3,1323.09875,530,TRUE,TRUE,FALSE,98.2,99.4,,,,207776,1153630,415961,1072151,1152054,211688,1041436,502306,1234244,1297290,169610,1217004,546889,1156442,1129273,1.5097685426639600
20313,6882,0.565,387.2598,w/o MS2:CoQ3,[M+H]+,FALSE,4.37,387.25299,530,TRUE,TRUE,FALSE,79.3,99.9,,,,0,398084,0,0,0,0,406218,0,0,0,0,390735,0,0,0,1.5114624265165400
