,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
19837,12410,3.881,596.51135,w/o MS2:Cer 13:0;2O/26:6;O,[M+H]+,False,9.36,596.50372,530,True,True,False,74.7,99.9,,,,0,0,0,0,0,0,0,0,0,13111,11610,0,0,0,19015,2.5003126595397838
1052,16656,4.857,760.52795,PC O-36:8,[M+H]+,True,8.48,760.52759,420,True,True,True,100.0,99.9,52.2,85.6,100.0,84676,140759,649589,163108,0,0,149847,712908,147010,0,0,161335,715628,151245,0,2.5016768598292387
23972,25973,6.055,1488.09998,w/o MS2:RIKEN P-VS1 ID-20105 from Mouse_Muscle_fads2KO_N_Ctr,[M+H]+,True,8.85,1488.09192,530,True,True,False,96.4,100.0,,,,0,571975,3984659,0,0,0,610584,4240736,0,0,0,551379,4427361,0,0,2.501694226213751
7245,5233,3.219,330.28375,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,75618,88660,214834,0,0,74560,80877,203570,0,0,67943,80368,209505,0,0,2.5024549653671624
1102,18406,5.121,812.54248,PC O-40:10,[M+H]+,True,8.75,812.5589,420,True,True,True,94.7,99.9,15.3,74.5,100.0,0,10900,0,267846,0,0,206429,0,0,0,929686,0,1111713,0,0,2.5037804530217884
24029,26254,6.314,1522.12634,w/o MS2:RIKEN P-VS1 ID-20375 from Mouse_SmallIntestine_WT_N_Ctr,[M+H]+,False,10.12,1522.1272,530,True,True,False,99.6,99.9,,,,253557,0,97560,0,0,250487,31818,166052,0,0,19187,24751,0,0,0,2.5038971112367707
2281,20299,10.766,869.69873,TG O-53:8|TG O-15:2_19:3_19:3,[M+Na]+,True,14.38,869.69928,410,True,True,True,100.0,99.9,23.7,74.3,100.0,187605,1092144,1256641,1175528,795209,216904,1071904,1251799,1468613,705936,207332,1005743,1184376,1489831,759575,2.506711684871435
2887,582,0.455,147.12112,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,1282322,946474,1290854,608411,0,1213091,954453,1372341,674402,46882,1255977,937106,1327984,583364,0,2.5076540194489865
11680,11399,5.795,553.53851,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5090065939772535
4204,1935,0.471,203.08705,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,179110,42692,0,0,0,183529,37643,0,0,0,189287,42834,0,0,0,2.5095702208063813
15738,21610,10.762,911.68665,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,186353,211126,0,100927,0,153238,178470,0,83792,0,207618,186399,85961,107872,2.5100330204169503
