,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
6554,4438,3.534,300.27295,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,208158,821856,659996,0,0,228937,742929,645024,0,0,197726,769876,685096,0,8301,3.073894322853301
11803,11621,4.946,563.50287,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,9838,45012,0,0,0,0,39015,0,0,0,0,27891,0,0,3.062418525877711
339,13559,7.901,645.54584,DG 36:1,[M+Na]+,True,12.8,645.54279,420,True,True,True,100.0,99.9,75.0,75.0,100.0,3249186,2680939,4170687,194911,282388,3379061,2669504,3849602,165150,277773,3188322,2660141,4273525,196257,258102,3.05732494719974
7273,5269,0.514,332.20779,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,15758,27431,21154,93256,0,15485,26088,24192,81364,0,11154,26047,21031,0,0,3.049121026088464
22086,19884,6.0,855.6604,w/o MS2:NAOrn 22:5;O(FA 28:6),[M+H]+,False,11.47,855.66101,530,True,True,False,99.8,99.8,,,,250078,532442,485049,123686,0,249925,672518,597096,117114,0,238930,606099,494383,0,0,3.0382312796918516
25177,13944,7.908,661.51642,w/o MS2:SL 12:1;O/24:1;O,[M+H]+,True,8.61,661.51837,530,True,True,False,98.9,100.0,,,,256929,285760,449029,0,53251,281595,293645,425117,0,46896,263777,296381,454280,0,42447,3.0358465481177763
23533,21309,9.722,901.64642,w/o MS2:RIKEN P-VS1 ID-15230 from Mouse_Kidney_WT_N_F1AA,[M+H]+,True,13.86,901.65179,530,True,True,False,95.7,99.9,,,,256934,738830,764508,0,79154,281056,692941,619943,0,0,266157,653987,731821,0,69400,3.0272544579682
21185,22582,9.722,950.80017,w/o MS2:HexCer 16:1;3O/35:1;(2OH),[M+H]+,True,13.33,950.80188,530,True,True,False,99.3,99.9,,,,183945,1266475,1085290,449976,0,170945,1265398,784534,424292,0,179700,1321050,1041113,416313,0,3.0232104560891138
21798,19545,6.089,845.67493,w/o MS2:NAGly 24:4;O(FA 28:6),[M+Na]+,False,12.56,845.67657,530,True,True,False,98.7,99.8,,,,76166,155126,222959,0,0,79079,141628,0,18942,0,63269,158482,290659,0,0,3.0194012702055915
2714,408,7.229,140.06828,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,138672,0,177756,0,0,132964,0,136607,0,104237,123206,0,151796,0,108050,3.018368146389455
17622,25680,5.718,1434.09363,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,156378,26930,35826,0,0,58906,0,0,0,0,102025,0,38753,0,0,3.003925860809182
5295,3059,1.17,242.28419,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,443474,388805,650235,758403,309411,454146,386764,686106,752123,316950,407975,389325,631212,756674,332581,3.002427119146309
24576,13156,10.524,627.53424,w/o MS2:RIKEN P-VS1 ID-6350 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,False,8.62,627.54132,530,True,True,False,77.8,100.0,,,,0,45442,36275,363717,0,0,40331,31336,223370,13211,0,54902,28677,298550,0,2.997688045987947
5858,3667,1.995,270.31564,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,76982,3440397,102205,113323,5663404,80467,47633,115705,121455,73515,79594,51267,101680,118954,73871,2.995444192994589
91,9116,2.947,468.40646,CAR 21:1,[M+H]+,True,7.2,468.40469,410,True,True,True,100.0,99.9,80.7,87.7,100.0,0,351182,342453,0,0,0,350717,244236,0,0,0,43285,240707,0,0,2.995111640515638
25013,14414,7.787,679.56714,w/o MS2:SL 12:0;O/25:0;O,[M+H]+,False,10.1,679.56531,530,True,True,False,98.3,100.0,,,,88246,47400,48429,0,0,76577,45796,48916,0,0,78859,48279,53267,0,0,2.9943958977805614
6910,4822,3.775,314.28879,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,26525,102646,31273,14850,0,25045,91070,31357,0,0,22633,102838,32907,12900,0,2.9886878863138517
677,9061,1.384,466.33038,LPC O-15:1,[M+H]+,True,6.08,466.32919,410,True,True,True,100.0,99.9,70.9,93.4,100.0,0,145270,134914,0,0,0,167930,125896,0,0,0,152097,134929,0,0,2.9886848111026314
17949,26145,6.142,1510.08032,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,281526,532268,0,0,0,267678,466421,0,0,0,271084,608943,0,0,2.9859536392632733
23868,24963,7.859,1216.06885,w/o MS2:RIKEN P-VS1 ID-19012 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,False,12.89,1216.06641,530,True,True,False,97.1,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9835495718185716
15571,21014,8.94,891.70605,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,0,0,59881,0,0,0,0,0,0,0,0,0,68333,0,2.980433283652994
15997,22555,7.431,949.61688,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,70070,102754,0,16158,0,60351,70996,0,28221,0,62114,80715,0,20984,2.9796939689238684
25646,20839,9.721,885.67651,w/o MS2:SL 17:3;O/36:6;O,[M+Na]+,True,12.78,885.67493,530,True,True,False,99.6,100.0,,,,2172482,7870213,7830311,2926558,533421,2242043,7612622,6308018,2946710,526048,2232063,159302,7623208,2739265,512361,2.978373346298982
