,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
1261,17167,5.906,776.56165,PE P-40:6|PE P-18:0_22:6,[M+H]+,True,10.18,776.5589,410,True,True,True,100.0,99.9,70.4,93.9,100.0,2054784,471109,721077,496322,359783,2139561,443308,636625,449207,28894,2004059,421958,823240,482989,366662,1.9005488372120944
2016,20280,9.698,868.74219,TG 52:6|TG 16:1_18:2_18:3,[M+NH4]+,True,13.86,868.73889,410,True,True,True,100.0,99.9,71.7,94.4,100.0,0,0,115266,3508504,135322,0,0,122003,3632166,143433,0,0,101349,3558529,213180,1.9008913360498483
26555,22790,11.196,960.89917,w/o MS2:TG 8:0_12:0_38:2,[M+H]+,True,16.04,960.89539,530,True,True,False,98.7,99.9,,,,992596,13430241,0,0,0,0,0,0,0,0,0,12850455,0,0,0,1.9011044767671952
1491,26098,6.242,1504.11572,RIKEN P-VS1 ID-20223 from Mouse_Testis_WT_N_Ctr,[M+H]+,True,10.19,1504.11072,430,True,True,True,72.7,99.9,50.3,64.6,80.0,0,170648,0,66309,0,0,179293,0,65828,0,0,147892,0,0,0,1.9011783092185985
18925,22998,9.168,972.85938,w/o MS2:ASG 28:1;O;Hex;FA 27:0,[M+H]+,False,14.52,972.85901,530,True,True,False,99.9,99.8,,,,0,19378,0,56707,0,0,0,0,0,14391,0,0,0,69231,0,1.901258411004941
760,6566,2.636,376.32242,NAE 22:4,[M+H]+,True,6.67,376.32101,410,True,True,True,100.0,99.9,68.2,75.0,100.0,135753,0,197356,0,58642,130744,9810,209919,0,57983,120946,0,205089,8586,55810,1.901277622642285
1952,20231,11.716,866.81696,TG 51:0|TG 16:0_17:0_18:0,[M+NH4]+,True,15.2,866.81708,410,True,True,True,100.0,99.9,70.2,92.4,100.0,45097,19785924,256316,0,0,44033,36359240,217568,0,0,44872,28989008,241482,0,0,1.9014209632574508
13507,14979,6.63,700.73376,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,206738,234854,170293,183633,169556,222155,254064,215575,198114,162351,233189,247769,173415,215435,162818,1.9026413751158917
22165,16870,1.67,766.53412,w/o MS2:PC 33:2,[M+H]+,True,8.92,766.53571,530,True,True,False,99.5,99.7,,,,20367,0,17265,992662,24898,21208,0,21344,1038583,24227,23059,0,19971,1024568,28488,1.9027554368819446
1554,11976,7.257,577.52124,RIKEN P-VS1 ID-5423 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,True,13.05,577.51569,430,True,True,True,74.7,99.8,59.7,75.5,50.0,0,261344,734517,0,338026,394045,262780,781551,0,330060,450458,254361,743196,0,304265,1.9034635243174163
11752,11521,3.078,559.13129,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,3113,3476,19319,0,5822,4918,11368,6612,0,0,7925,0,21853,0,0,1.9034928482632627
22338,15543,1.68,722.5072,w/o MS2:PC O-33:6,[M+H]+,True,8.36,722.5119,530,True,True,False,94.8,99.8,,,,29682,16774,29578,1487746,39238,24764,17869,33289,1549327,39778,28257,18247,27847,1486781,41494,1.9038329153616895
1801,6360,5.057,369.35266,ST 27:1;O,[M+H-H2O]+,True,9.0,369.35159,410,True,True,True,100.0,99.9,78.5,88.8,100.0,21602458,2975290,2403909,3038073,3172493,19610426,3004868,2280270,3027000,3350995,20316912,3031088,2380478,3115458,3208740,1.9043439069664656
26475,24176,11.121,1100.94104,w/o MS2:TG 21:0_22:0_22:5;3O,[M+H]+,False,14.28,1100.94275,530,True,True,False,98.6,99.9,,,,23180,0,0,0,0,33972,0,0,0,0,20396,0,0,0,0,1.9052042443202009
219,13748,8.862,652.6626,Cer 42:0;2O|Cer 18:0;2O/24:0,[M+H]+,True,13.42,652.66022,410,True,True,True,100.0,99.9,51.3,60.6,100.0,251362,48493,624032,0,122491,289256,54130,636064,0,123031,261970,45684,715097,22108,120671,1.9056530163293204
24955,15651,3.309,726.61365,w/o MS2:SE 28:2/22:6,[M+H]+,True,14.12,726.61841,530,True,True,False,94.8,99.4,,,,41196,0,0,32374,8497,39712,0,38009,38821,30995,32414,0,39055,0,32675,1.9057676501601057
