SOURCE	TARGET	ENZYMES
C00267	C04911	3.2.1.23
C06373	C04911	3.2.1.23
CE5741	C04911	2.4.1.92
G10517	C04911	3.2.1.23
C04911	G00124	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C04911	C06138	;2.4.99.8
C04911	C05401	3.2.1.23
C04911	G00113	2.4.1.92;2.4.99.8
C04911	C01190	3.2.1.23
C04911	C00270	3.2.1.18
C04911	C04901	2.4.99.4
C04911	G10621	;2.4.99.4;2.4.99.8;2.4.99.9
C04911	G00097	2.4.99.4
C04911	C06140	;3.2.1.18;2.4.99.4;2.4.99.8
C04911	G13032	3.2.1.23
C04911	G00026	2.4.99.4
C04911	G10238	3.2.1.23
C04911	C06139	;3.2.1.18;2.4.99.8
C04911	C00124	;3.2.1.23
C04911	G00062	3.2.1.18;2.4.99.8
C04911	C04730	3.2.1.18;2.4.1.92;2.4.99.9;2.4.99.8;3.2.1.52
C04911	G10534	3.2.1.23
C04911	C04884	;3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
C04911	G10531	3.2.1.23
C04911	C00128	;2.4.99.4;2.4.99.8;2.4.99.9
C04911	C05394	3.2.1.23
C04911	C01290	3.2.1.18;2.4.1.92;3.2.1.23;2.4.99.9;3.2.1.52
C04911	G00109	3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
C04911	G00116	3.2.1.18;2.4.99.4;2.4.99.8
C04911	G00117	3.2.1.18;2.4.99.8
C04911	C02686	3.2.1.18
C04911	G00024	2.4.99.4
C04911	G06780	3.2.1.23;3.2.1.52
C04911	C00325	;2.4.99.8
C04911	C06134	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04911	C06141	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04911	C04927	;3.2.1.18;2.4.99.4;2.4.99.8
C04911	G10504	3.2.1.23
C04911	G00111	3.2.1.18;2.4.99.4;2.4.99.8
C04911	C00243	3.2.1.23
C04911	C06136	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C04911	C04750	2.4.99.4
C04911	G00064	3.2.1.18;2.4.99.8
C04911	C01582	3.2.1.23
C04911	G11121	3.2.1.18
C04911	G00110	3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
C04911	C00203	;2.4.1.92;2.4.1.62
C04911	C00052	;2.4.1.62
C04911	C05796	3.2.1.23
C04911	C00116	3.2.1.23
C04911	G00115	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04911	C04776	2.4.99.4
C04911	G00112	3.2.1.18;2.4.99.8
C04911	G00317	3.2.1.18
C04911	C06128	3.2.1.18
C04911	C04936	2.4.99.8
C04911	G00092	3.2.1.18;2.4.1.92;3.2.1.23;2.4.99.9;3.2.1.52
C04911	C00015	;2.4.1.92;2.4.1.62
C04911	C05396	3.2.1.23
C04911	C00221	3.2.1.23
C04911	C00035	;2.4.99.8
C04911	G00108	3.2.1.18;2.4.1.92;2.4.99.9;2.4.99.8;3.2.1.52
C04911	G00125	2.4.99.4
C04911	C04887	3.2.1.18;2.4.99.8
C04911	C06135	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C04911	G00114	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04911	G00123	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C04911	C00055	;2.4.99.4;2.4.99.8;2.4.99.9
C04911	C05403	3.2.1.23
C04911	C06133	;2.4.1.92;2.4.99.8
C04911	C04683	3.2.1.18;2.4.99.8
C04911	G00098	2.4.99.4
