pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Selenoamino acid metabolism	2	2	0.001596504495420553	E50,E27	C05699,C00265	Selenocystathionine$Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol
Glycosphingolipid biosynthesis - ganglioseries	1	1	0.016973363582892195	E77	C04911	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer
Sialic acid metabolism	1	1	0.016973363582892195	E77	C04911	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer
Propanoate metabolism	1	1	0.016973363582892195	E8	C05985	2-Propyn-1-al
Pentose and Glucuronate Interconversions	1	1	0.016973363582892195	E51	C05385	
Pyrimidine metabolism	2	8	0.09352155281068818	E62,E33	,	$
Purine metabolism	1	5	0.10604150911688093	E62		
Vitamin D3 (cholecalciferol) metabolism	0	0	0.11587261574657592			
Hyaluronan Metabolism	0	0	0.11587261574657592			
N-Glycan biosynthesis	0	0	0.11587261574657592			
Glycolysis and Gluconeogenesis	0	4	0.11587261574657592			
R Group Synthesis	0	0	0.11587261574657592			
C5-Branched dibasic acid metabolism	0	1	0.11587261574657592			
Pyruvate Metabolism	0	1	0.11587261574657592			
Chondroitin sulfate degradation	0	0	0.11587261574657592			
Di-unsaturated fatty acid beta-oxidation	0	0	0.11587261574657592			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.11587261574657592			
Linoleate metabolism	0	0	0.11587261574657592			
Hexose phosphorylation	0	1	0.11587261574657592			
Vitamin B2 (riboflavin) metabolism	0	0	0.11587261574657592			
Squalene and cholesterol biosynthesis	0	0	0.11587261574657592			
Galactose metabolism	0	2	0.11587261574657592			
Keratan sulfate degradation	0	0	0.11587261574657592			
Glycerolipid metabolism	0	0	0.11587261574657592			
Carnitine shuttle	0	0	0.11587261574657592			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.11587261574657592			
Alkaloid biosynthesis II	0	0	0.11587261574657592			
Vitamin B1 (thiamin) metabolism	0	1	0.11587261574657592			
Glycosphingolipid biosynthesis - globoseries	0	0	0.11587261574657592			
Histidine metabolism	0	0	0.11587261574657592			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.11587261574657592			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.11587261574657592			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.11587261574657592			
Bile acid biosynthesis	0	0	0.11587261574657592			
Parathio degradation	0	0	0.11587261574657592			
Blood Group Biosynthesis	0	0	0.11587261574657592			
Electron transport chain	0	0	0.11587261574657592			
Vitamin H (biotin) metabolism	0	0	0.11587261574657592			
Biopterin metabolism	0	3	0.11587261574657592			
Vitamin E metabolism	0	0	0.11587261574657592			
Androgen and estrogen biosynthesis and metabolism	0	0	0.11587261574657592			
Glycine, serine, alanine and threonine metabolism	0	4	0.11587261574657592			
Caffeine metabolism	0	0	0.11587261574657592			
Lipoate metabolism	0	0	0.11587261574657592			
Heparan sulfate biosynthesis	0	0	0.11587261574657592			
Drug metabolism - cytochrome P450	0	0	0.11587261574657592			
Vitamin B9 (folate) metabolism	0	0	0.11587261574657592			
