massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row52	51.0	345.1535	2.746	0.039829940233779115	2.0821645762115257
row53	52.0	357.0994	1.493	0.13379747735703637	1.5113257191511578
row54	53.0	322.06	2.697	0.0021878309190363947	3.1433023846692367
row55	54.0	343.138	2.831	0.31342005952038143	1.0130779513016281
row56	55.0	317.1229	3.032	0.724782935016054	0.35304543892432527
row57	56.0	321.057	2.595	0.12062163290179403	1.5652498775015689
row58	57.0	201.1132	3.251	0.17752235947409303	1.3578031796666525
row59	58.0	194.046	3.633	0.05705493994929622	1.9246847898011694
row60	59.0	330.0273	3.76	0.02288037270090789	2.310385217732877
row61	60.0	230.9964	3.781	0.026583300759313498	2.250201390645539
row62	61.0	297.1806	2.803	0.0015072193266307485	3.261559822442855
row63	62.0	245.0118	3.149	0.573301090133469	0.5650195481112223
row64	63.0	301.0012	2.024	0.025502791909865347	2.26695968169584
row65	64.0	279.0977	3.14	0.31671226103892847	1.0061752436589504
row66	65.0	350.0863	3.397	0.09391736032061365	-1.690858936119755
row67	66.0	403.1582	3.131	0.2284394743804372	1.2116667762317896
row68	67.0	243.077	3.121	0.04827835189570499	1.9989119296604196
row69	68.0	439.158	5.22	0.5409492358932658	-0.6134426903669685
row70	69.0	797.0378	5.671	0.8590196886449912	-0.1780719015495309
row71	70.0	232.0281	2.215	0.0835155100977444	-1.7477562878140451
row72	71.0	283.0507	2.633	0.8414696805942113	0.2005245034979359
row73	72.0	614.1965	3.397	0.19709393128879596	-1.2983531846802765
row74	73.0	96.9625	6.638	0.29432679779255017	-1.0541019560375364
row75	74.0	128.0365	4.627	0.21276816025889772	-1.2538347598179744
row76	75.0	213.9988	0.431	0.7280916619969889	0.34862201265488946
row77	76.0	323.0537	2.693	0.0019454360296612678	3.1808896641795856
row78	77.0	344.0871	1.516	0.5146459170280802	0.653902887486384
row79	78.0	181.072	4.686	0.07256772655160493	1.814321876009178
row80	79.0	389.179	3.103	0.007067055862283732	2.7492201487583436
row81	80.0	187.0978	5.304	0.9782225628527923	-0.02736439601637479
row82	81.0	204.9811	0.361	0.20764837292565855	-1.2681020842728774
row83	82.0	447.0551	2.709	0.07271770343079517	1.8133554268035192
row84	83.0	179.0543	3.075	0.722724626844877	0.3558006981692959
row85	84.0	243.1342	3.316	0.9729840458038314	-0.03394915077730976
row86	85.0	446.2883	3.001	0.45084241225618127	-0.7569204491820071
row87	86.0	167.0217	5.066	0.0011255617277088656	3.3522210331978615
row88	87.0	243.9914	0.906	2.2956078110155953e-06	-5.009719337727095
row89	88.0	204.0664	2.908	0.7742919911641697	0.2875272505817575
row90	89.0	261.0066	3.637	0.12385656602982653	1.5515947686313478
row91	90.0	303.0168	4.039	0.5461365427208313	-0.6055834341526035
row92	91.0	283.0812	3.429	0.0615094187512043	1.8906479023876486
row93	92.0	377.0683	0.594	0.37809710147602815	0.8852627874171926
row94	93.0	552.0319	5.668	0.19182114030831798	1.3139182472319006
row95	94.0	218.9965	0.707	0.23965544006720468	1.1827560998993998
row96	95.0	189.0407	3.73	0.04868237461854696	-1.9952525142019617
row97	96.0	539.2466	4.104	0.19006361287247628	-1.3191772550843348
row98	97.0	216.9811	3.517	0.7734523678796353	0.28862726622981305
row99	98.0	879.0417	5.672	0.4770208614283211	-0.7137353001646615
row100	99.0	372.1105	0.484	0.9047160403808725	-0.12000399277781088
row101	100.0	267.109	5.072	0.09525903443447349	-1.683899908031091
row102	101.0	223.9944	0.752	0.0011419761111390895	-3.347764842294983
row103	102.0	441.2046	3.096	0.23985899195061722	1.18224047825028
row104	103.0	341.1225	2.888	0.4304057196562975	-0.7916434634209344
row105	104.0	182.0461	0.675	0.02484642818991618	-2.277446490182916
row106	105.0	343.084	1.727	0.09027502444218037	1.710167975502119
row107	106.0	381.0263	0.423	0.0699638059658418	1.8313720422913609
row108	107.0	458.1537	3.376	0.04821453352541674	1.99949234649435
row109	108.0	465.2465	3.139	0.5055004348052351	-0.6682232158492029
row110	109.0	194.9277	6.634	0.049985406435657895	1.983624025971461
row111	110.0	230.0487	2.36	0.006426855341497057	2.7825538499356464
row112	111.0	274.0018	3.954	0.3500773474757962	0.9387488765320231
row113	112.0	300.0383	3.117	0.17367986626032006	-1.3700487203206118
row114	113.0	326.1439	4.706	0.10829190470478203	1.620130666529667
row115	114.0	188.0354	3.026	0.9213410404087946	-0.09898930930904537
row116	115.0	195.0514	5.911	0.07642797228552926	1.789957344424709
row117	116.0	465.2464	3.237	0.9560448565767401	-0.0552531657264237
row118	117.0	135.0311	4.884	0.1355735378084302	-1.504380967123777
row119	118.0	173.01	6.842	0.01711050619709657	-2.4240086595505015
row120	119.0	245.0924	2.981	0.48540462262037154	0.700186833186246
row121	120.0	255.1342	3.172	0.16439948121004927	1.4004962424777474
row122	121.0	177.0106	3.871	0.00011126184852186313	4.02095349876667
row123	122.0	124.9927	3.147	0.3025301473690955	1.036262571339245
row124	123.0	203.0018	0.398	0.17222956066317957	1.3747240392217772
row125	124.0	293.0325	1.196	0.026811181643525826	2.246743493355259
row126	125.0	511.2512	3.021	0.032913448612588304	2.1625427742014285
row127	126.0	322.0597	2.342	0.000959948374991183	3.4009482302077263
row128	127.0	124.9927	2.799	0.02646261490443948	-2.2520432312814807
row129	128.0	632.2009	6.751	0.000635014729220131	-3.5253328720519725
row130	129.0	339.1068	3.173	0.13066792311075465	1.5237410920061307
row131	130.0	231.0362	0.353	0.8073598411362071	0.24446753678610142
row132	131.0	293.0327	1.275	0.17591531356457743	1.362899984839481
row133	132.0	232.9756	3.607	0.003706803065694172	2.970565138925315
row134	133.0	224.9887	0.742	0.013080649946040888	-2.5258365370076348
row135	134.0	320.061	7.485	0.9172201637753588	0.10419379084019367
row136	135.0	289.0375	1.122	0.1406782160206882	1.4848096532736932
row137	136.0	315.04	0.797	0.17282469445849247	-1.3728019191250276
row138	137.0	151.0619	3.842	0.4440927302309522	-0.7682854483843717
row139	138.0	443.1531	4.312	0.08416218521311086	1.744054497637091
row140	139.0	174.0414	6.092	0.011030524698949227	-2.58901898666857
row141	140.0	295.165	2.888	0.0003710726360732302	3.682818290806791
row142	141.0	166.0187	3.148	0.7780419173469828	0.28261862149030537
row143	142.0	307.0506	2.919	0.3407353871060256	-0.9571884659265817
row144	143.0	439.1584	3.057	0.15971282964853037	-1.4163737583603835
row145	144.0	399.1637	3.68	0.2965663215500023	1.0491986711475885
row146	145.0	281.1133	3.126	0.4074532003956566	0.8318209411834367
row147	146.0	395.0742	2.921	0.8849244511787957	-0.14509213230371742
row148	147.0	470.0296	5.666	0.5465481365924953	0.6049614458748969
row149	148.0	254.9808	0.691	1.5663427389193764e-05	-4.5363314020385435
row150	149.0	229.0169	0.383	0.8193082874085134	0.2290247142403612
row151	150.0	315.0401	0.205	0.14653123601248863	-1.4630395999390367
row152	151.0	246.0434	2.967	0.03091618552095312	2.18848225616625
row153	152.0	274.0377	0.628	0.5070641847853012	0.6657649353843342
row154	153.0	643.1201	2.347	0.1406862262119946	1.484779381598286
row155	154.0	215.1036	4.489	0.001976259487685479	3.1758754313268738
row156	155.0	315.0401	0.278	0.9813713413759343	-0.023407013070918227
row157	156.0	315.0401	0.052	0.200216576558202	-1.28928069381499
row158	157.0	388.0273	5.664	0.5289898946640472	0.6317096334569383
row159	158.0	479.2254	3.425	0.3577553970354179	0.9238295279775114
