SOURCE	TARGET	ENZYMES
C00361	C00459	2.7.1.40;2.7.4.6;2.7.1.48
C00361	C00286	2.7.1.40;2.7.1.21;2.7.4.6;2.7.1.48
C00460	C00459	2.7.1.48;2.7.4.6
C00460	C00286	2.7.1.48;3.6.1.19;2.7.4.6
C00700	C04392	3.6.1.17;3.6.1.19
C00700	C00286	3.6.1.19
C03345	C00288	;6.4.1.4
C00044	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00044	C00286	2.7.1.40;2.7.4.6;3.6.1.19;2.7.1.48
C00526	C00286	2.7.1.21
G10619	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
G10619	C00286	2.7.1.40;2.7.4.6;2.7.1.48
C00020	C00459	3.6.1.5
C00144	C00459	3.6.1.5
C00144	C00286	3.6.1.19
C00100	C00288	;6.4.1.3
C01345	C00459	2.7.4.6
C01345	C00286	2.7.4.6;3.6.1.19
C00035	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00035	C00286	2.7.1.40;2.7.4.6;2.7.1.48
C16634	C00459	2.7.1.48
C16634	C00286	2.7.1.48
C05385	C00167	
C05385	C00191	
C05385	C00105	
C00064	C00288	;6.3.5.5
C16617	C00286	3.6.1.19
G10621	C00459	2.7.1.48;3.6.1.5
G10621	C00286	2.7.1.48
C00683	C00288	6.4.1.3
C00063	C00459	2.7.4.6;3.6.1.5;2.7.1.40
C00063	C00286	2.7.4.6;2.7.1.40
C00299	C00459	2.7.1.48
C00299	C00286	2.7.1.48
C00022	C00459	2.7.1.40
C00022	C00288	;6.4.1.1
C00022	C00286	2.7.1.40
C00459	C00055	2.7.1.48;3.6.1.5
C00459	C00104	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00459	C00705	2.7.1.40;2.7.4.6;2.7.1.48
C00459	C00454	2.7.1.40;2.7.4.6
C00459	C00363	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00459	C00103	5.1.3.2;2.7.7.24
C00459	C00842	4.2.1.46;3.6.1.5;2.7.7.24;2.7.4.6;2.7.1.48;5.1.3.2;2.7.1.40;2.7.7.7;3.6.1.39
C00459	C00075	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00459	C00081	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00459	C00475	2.7.1.48
C00459	C00112	2.7.4.6;3.6.1.5;2.7.1.40
C00459	C00201	2.7.4.6;2.7.1.40
C00459	G10620	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00459	C00458	2.7.1.40;2.7.7.7;2.7.1.48;2.7.4.6
C00459	C00015	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00459	C00074	2.7.1.40
C00459	C00131	2.7.1.40;2.7.4.6;2.7.7.7;2.7.1.48
C00459	C16633	2.7.1.48
C00459	C00206	2.7.1.40;2.7.4.6;2.7.7.7;2.7.1.48
C00459	C01344	2.7.4.6
C00459	C00130	3.6.1.5
C00459	C00105	2.7.1.48;3.6.1.5
C00459	C00286	2.7.1.40;2.7.4.6;2.7.7.7;2.7.1.48
C00459	C00364	3.6.1.5
C00459	C01346	2.7.1.48;2.7.4.6
C00459	C00039	2.7.7.7
CE5875	C00288	6.4.1.4
C00055	C00286	2.7.1.48
C00083	C00288	;6.4.1.2
C00655	C04392	3.6.1.17;3.6.1.19
C00655	C00286	3.6.1.19
C00014	C00288	;6.3.4.16;6.3.5.5
C00104	C00286	2.7.1.40;2.7.4.6;3.6.1.19;2.7.1.48
C00362	C00286	3.6.1.19
C00705	C00286	2.7.1.40;2.7.4.6;2.7.1.48
C00454	C00286	2.7.1.40;2.7.4.6
C00363	C00286	2.7.1.40;2.7.4.6;2.7.1.48
C00215	C00286	3.6.1.19
C00365	C00286	2.7.1.21;3.6.1.19
C00288	C00024	;6.4.1.2;6.4.1.4
C00288	C03231	6.4.1.4
C00288	C04419	;6.3.4.15;6.3.5.5;6.3.4.9;6.4.1.2;6.3.4.10;6.3.4.16;6.4.1.3;6.3.4.14;6.4.1.1;6.4.1.4;6.3.4.11
C00288	C06250	;6.3.4.15;6.3.5.5;6.3.4.9;6.4.1.2;6.3.4.10;6.3.4.16;6.4.1.3;6.3.4.14;6.4.1.1;6.4.1.4;6.3.4.11
C00288	C03069	6.4.1.4
C00288	C00025	;6.3.5.5
C00288	C00169	;6.3.4.16;6.3.5.5
C00288	C00036	;6.3.4.16;6.4.1.1
C00288	C01342	;6.3.4.16;6.4.1.1
C00075	C06198	3.6.1.17
C00075	C00286	2.7.1.40;2.7.4.6;3.6.1.19;2.7.1.48
