massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row52	51.0	358.2596	3.312	0.004947629773953761	2.8729803706502968
row53	52.0	162.113	5.521	0.33746991667002857	-0.963711284814366
row54	53.0	102.1288	2.992	0.2071544943927226	1.2694920003813341
row55	54.0	235.1192	2.199	0.046115241836469915	-2.0189604725461376
row56	55.0	447.3001	0.81	0.8880143901669159	0.14116960219744865
row57	56.0	185.1288	1.256	0.13083857404870392	-1.5230581017763312
row58	57.0	132.0775	5.411	0.11149675930084618	-1.6054035742338726
row59	58.0	241.1551	5.848	0.012687710006957615	-2.5372212063643813
row60	59.0	243.1343	3.323	0.8697174035963204	-0.1644308301987645
row61	60.0	290.1605	6.133	0.0025680103235343798	-3.091514326966144
row62	61.0	153.0661	1.362	0.6576172283901753	0.44450779155931225
row63	62.0	403.2736	0.798	0.668636138592412	-0.42926444123986507
row64	63.0	257.1137	2.553	0.1567003862913307	-1.4267690382414588
row65	64.0	246.1705	3.7	0.298440466648815	-1.0451146431445797
row66	65.0	446.2965	1.03	0.9855865191692279	0.018109948489227277
row67	66.0	271.093	2.922	0.5586147736803134	-0.5868295885777046
row68	67.0	244.1547	3.84	0.008048899103528176	2.703093211547235
row69	68.0	189.1602	8.387	0.7495712643051214	0.320068305166834
row70	69.0	184.0605	0.65	0.293269490150001	1.0564256788567135
row71	70.0	311.2056	3.076	0.32733376784366897	0.9842250178924449
row72	71.0	338.2332	2.886	0.4315309007034275	0.789706984914751
row73	72.0	925.0241	5.633	0.5498178025215485	0.6000287534049837
row74	73.0	491.3262	0.83	0.36564232948032405	0.9087157142000324
row75	74.0	146.0814	4.703	0.08083521420415335	1.7633551583795575
row76	75.0	220.0641	3.878	9.40009466652917e-05	4.0668282806302205
row77	76.0	287.2053	3.223	0.3677677560814935	0.9046781938614236
row78	77.0	116.1077	2.909	0.10728786666808472	1.6248164048832732
row79	78.0	479.2847	5.759	0.4349936699300121	0.7837659798262343
row80	79.0	578.375	1.264	0.43444118685674016	0.7847119990587899
row81	80.0	460.2759	3.481	0.8266039650244923	-0.21962265391508887
row82	81.0	312.2176	2.981	0.6478899195713792	0.45805130959913304
row83	82.0	314.2178	0.778	0.25690699724124855	-1.140118637273764
row84	83.0	376.2602	0.542	5.507735246545684e-07	-5.346340858773445
row85	84.0	622.4012	1.091	0.4507272056206185	0.7571136067796953
row86	85.0	248.0921	3.403	0.7455746233517643	-0.3253606086326141
row87	86.0	330.2282	3.788	0.0005640410055582412	3.5604702627695555
row88	87.0	203.1506	8.133	0.32843531103085166	0.9819756756881872
row89	88.0	356.2438	2.979	0.16845195694092918	1.3870438080189402
row90	89.0	416.2499	3.452	0.4477645987876846	-0.7620905578115909
row91	90.0	359.2629	3.055	0.0024251396849301493	3.1100844841981723
row92	91.0	257.15	3.175	0.07295411567372097	1.8118353453235942
row93	92.0	301.2208	3.027	0.0008318723692151014	3.444392195711341
row94	93.0	229.119	6.437	0.6682408410437382	0.42980953202323735
row95	94.0	144.1023	4.373	0.09905673005734582	1.6646245306750447
row96	95.0	318.3009	0.893	0.004410082321061107	2.9121223996223367
row97	96.0	304.1761	5.934	0.6561627886183302	-0.44652755785403603
row98	97.0	280.191	0.799	0.22064610482116012	1.2323644587357587
row99	98.0	284.0625	2.863	0.12066291444887078	1.5650738020168982
row100	99.0	260.1498	4.414	0.20730099937013016	1.2690794389926348
row101	100.0	504.3021	3.507	0.7719769579054369	0.29056109998952445
row102	101.0	312.2173	3.149	0.5252411118539658	-0.637479235458745
row103	102.0	204.1235	4.725	0.6114741779652931	-0.5095403583408409
row104	103.0	151.0617	2.34	0.0008896616322425906	-3.424062685331859
row105	104.0	153.0661	1.494	0.4905810719175655	0.6918856993599665
row106	105.0	351.0023	5.633	0.7013119572258011	-0.3846305187635052
row107	106.0	516.0117	5.635	0.9818969625578085	0.022746450431126
row108	107.0	170.0927	5.92	0.6153238939748936	-0.5040348151202008
row109	108.0	339.1419	2.78	0.0011764795496773926	-3.338590418556626
row110	109.0	241.1299	6.277	0.03892783250569513	-2.091929340270146
row111	110.0	130.0503	3.877	4.825627895576958e-05	4.245208828685659
row112	111.0	290.1605	6.023	0.012449809518524504	-2.5442687714442904
row113	112.0	174.124	4.84	0.006335181048505919	2.787573046121689
row114	113.0	248.1133	6.057	0.08895404511142567	-1.7173280993304316
row115	114.0	328.2126	3.537	0.10519148693025006	1.6347147912747415
row116	115.0	144.0478	0.664	0.0003429586395193291	3.705540795240177
row117	116.0	622.4011	1.346	0.44952402745728803	0.7591325759572625
row118	117.0	272.1689	3.036	0.0416283466583701	2.063252897698307
row119	118.0	323.0735	2.409	0.006980468668136588	2.7535634481830598
row120	119.0	354.1014	0.405	0.39986224245413426	-0.8454073233574719
row121	120.0	230.1582	4.648	0.36974839299223694	-0.90092897355105
row122	121.0	128.0822	1.723	0.06262956375789618	-1.8824161245248552
row123	122.0	274.2744	0.869	0.5846684580589698	0.5483226949106013
row124	123.0	262.1655	4.732	0.34994094370014917	0.9390158156607544
row125	124.0	319.1875	4.55	0.34569280666049185	0.9473631287729564
row126	125.0	374.1273	0.465	0.8628478268976453	-0.17318678307653956
row127	126.0	535.352	0.889	0.4730609710897743	0.720180539403687
row128	127.0	212.1034	4.6	0.639569403546705	-0.4697035973022307
row129	128.0	384.1481	0.524	0.5106258703388731	0.6601808467444434
row130	129.0	548.3285	3.535	0.5401778050306487	0.6146147317036261
row131	130.0	565.2005	2.338	0.011236331249621723	-2.582219235921672
row132	131.0	288.2004	4.188	1.0291144328085474e-05	4.642199778302808
row133	132.0	359.2475	0.788	0.40190392853685064	-0.8417377825875754
row134	133.0	186.9956	5.632	0.41118438821941994	-0.8251990054830352
row135	134.0	393.2867	0.542	8.084495790343636e-08	-5.782859607971809
row136	135.0	386.163	0.556	0.26750842896130966	1.1149113446527497
row137	136.0	309.1792	4.182	1.3244711502224854e-05	4.578776721141471
row138	137.0	402.2702	0.952	0.5157444727607978	-0.652191822835516
row139	138.0	229.1189	5.454	0.01742743109636333	-2.416942069805122
row140	139.0	326.1468	3.808	0.6786005392327932	-0.4155660168521405
row141	140.0	458.3062	4.649	0.18881357770696558	-1.322939865620323
row142	141.0	282.1205	4.444	0.014865756381069711	-2.4776929814745143
row143	142.0	283.1043	2.34	0.0026138030389741616	-3.085764904048179
row144	143.0	332.8949	5.06	0.003588523271590872	2.9813869003305307
row145	144.0	282.1203	4.553	0.22214921049266706	1.2283316704642062
row146	145.0	302.1969	3.841	0.00439725119832346	2.913109276975446
row147	146.0	144.1022	4.575	0.004254366982714769	2.924281605573931
row148	147.0	262.1804	0.798	0.24019935977561066	1.1813789840351057
row149	148.0	304.2125	3.677	0.15412393720817566	1.4357824926834037
row150	149.0	239.2252	2.979	0.5438505950344221	0.6090421930339157
row151	150.0	245.0957	2.062	0.9571567380337839	-0.05385410852934006
row152	151.0	203.1395	5.987	0.797119197864412	0.2577499484382797
row153	152.0	303.2365	2.93	3.90275840570704e-05	4.301029079053462
row154	153.0	184.0639	2.343	0.19736448695388542	1.2975629121731362
row155	154.0	357.2504	8.633	0.6853068444329549	-0.4063908329761316
row156	155.0	357.2472	3.125	6.786443187343907e-05	4.154579287585844
row157	156.0	551.2115	3.404	0.7270367954172581	0.350031509241621
row158	157.0	226.0825	2.784	1.1160576635595975e-05	-4.621868035927156
row159	158.0	276.0541	0.521	0.03269843876709472	2.1652684221765903
row160	159.0	258.1704	3.611	0.06844382916496611	1.8415703972333877
row161	160.0	284.1863	3.342	0.3525385145815014	0.933943879416256
row162	161.0	1089.0308	5.634	0.22609594314825246	1.2178362071173767
row163	162.0	336.2176	2.95	0.23584525581963448	-1.19246616998236
row164	163.0	141.0661	4.694	0.690847953158925	-0.3988357749810759
row165	164.0	400.2701	3.313	0.0261705573403386	2.2565311134879598
row166	165.0	344.2439	3.176	0.1138658620941116	1.5947334316842459
row167	166.0	369.2391	2.299	0.8444179629178094	-0.19674579181158763
row168	167.0	315.2366	2.941	0.529738969414822	0.630559299724863
row169	168.0	277.1481	6.215	0.2811537859959016	-1.083471346180515
row170	169.0	241.0933	1.906	0.0034518823881001413	-2.994306241752815
row171	170.0	579.3789	1.016	0.4583760222967237	0.7443502946857465
row172	171.0	251.137	5.742	0.19790630413068527	1.2959827211814146
row173	172.0	245.1498	3.321	0.8704052930420585	-0.1635547590383634
row174	173.0	458.2028	5.226	0.7507375097068785	-0.3185256867406653
row175	174.0	316.1763	5.891	0.44734214311220244	-0.7628017945307342
row176	175.0	866.9819	5.631	0.6270014721819808	-0.48742736103387746
row177	176.0	180.0658	2.997	0.16303211011139795	1.405092447748789
row178	177.0	115.0697	2.616	0.630819948705756	-0.4820263284967172
row179	178.0	432.281	1.591	0.7067897180920912	0.37722553694515065
row180	179.0	702.9755	5.628	0.25335288153394836	-1.1487328489391415
row181	180.0	160.1335	6.006	0.2456367605252794	1.1677332692840945
row182	181.0	372.2388	3.684	0.23239407634249232	1.2013590128130043
row183	182.0	434.009	5.633	0.7466578143773881	0.3239253581270263
row184	183.0	666.4278	1.45	0.3850827983281504	0.8723196917199193
row185	184.0	784.9788	5.629	0.19498462729263286	-1.304542114504336
row186	185.0	234.9175	5.061	0.002486522665147579	3.101984791984429
row187	186.0	250.0938	1.605	0.7650215365768196	0.2996925546031769
row188	187.0	266.1391	3.699	0.017788787489069854	2.4090229490454544
row189	188.0	136.0397	1.495	0.3257783346812684	0.9874097092734362
row190	189.0	382.1324	0.697	0.09153419751583206	1.7034220665748974
row191	190.0	784.9776	5.619	0.13359271009379786	1.5121310424894037
