input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row54	E1	row54_M+Na[1+]	C00067	Formaldehyde	row54	53.0	102.1288	2.992	0.2071544943927226	1.2694920003813341
row63	E2	row63_M+H[1+]	C00288	Bicarbonate	row63	62.0	403.2736	0.798	0.668636138592412	-0.42926444123986507
row78	E8	row78_M+Na[1+]	C05985	2-Propyn-1-al	row78	77.0	116.1077	2.909	0.10728786666808472	1.6248164048832732
row128	E14	row128_M+Na[1+]	C00168;C01146	Hydroxypyruvate$2-Hydroxy-3-oxopropanoate; Tartronate semialdehyde	row128	127.0	212.1034	4.6	0.639569403546705	-0.4697035973022307
row140	E20	row140_M+Na[1+]	C00122	Fumarate	row140	139.0	326.1468	3.808	0.6786005392327932	-0.4155660168521405
row155	E24	row155_M+H[1+]	C01962	Thiocysteine	row155	154.0	357.2504	8.633	0.6853068444329549	-0.4063908329761316
row177	E27	row177_M+Na[1+]	C00606	3-Sulfino-L-alanine	row177	176.0	180.0658	2.997	0.16303211011139795	1.405092447748789
row178	E28	row178_M+Na[1+]	C00265	Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol	row178	177.0	115.0697	2.616	0.630819948705756	-0.4820263284967172
row188	E29	row188_M+H[1+]	C00631;C00197	D-Glycerate 2-phosphate$3-Phospho-D-glycerate	row188	187.0	266.1391	3.699	0.017788787489069854	2.4090229490454544
row209	E36	row209_M+Na[1+]	C01005	O-Phospho-L-serine	row209	208.0	180.088	2.947	0.062366578952693534	-1.884337589659305
row214	E37	row214_M+Na[1+]	C05379	Oxalosuccinate; Oxalosuccinic acid	row214	213.0	598.0146	5.636	0.7322134895219432	-0.3431211515748535
row224	E43	row224_M+Na[1+]	C00279	D-Erythrose 4-phosphate	row224	223.0	318.1918	5.793	0.0010328952873876497	-3.3785836549921417
row284	E53	row284_M+Na[1+]	C04582;C04188	5-Methylthio-5-deoxy-D-ribulose 1-phosphate$5-Methylthio-5-deoxy-D-ribose 1-phosphate	row284	283.0	288.2175	3.067	0.06303330870530453	1.8794793475101854
row294	E54	row294_M+Na[1+]	C05699	Selenocystathionine	row294	293.0	334.1868	6.269	0.0016778507141238465	-3.227828226479195
row298	E55	row298_M+Na[1+]	C05385		row298	297.0	447.2999	1.026	0.9469168126578846	0.06674317437158904
row342	E56	row342_M+H[1+]	C03785;C05378;C00354;C03693;C00665;C01220;C01231;C04063;C04062	D-Tagatose 1,6-bisphosphate$beta-D-Fructose 1,6-bisphosphate$D-Fructose 1,6-bisphosphate$D-Mannose 1,6-bisphosphate$D-Fructose 2,6-bisphosphate$1D-myo-Inositol 1,4-bisphosphate$alpha-D-Glucose 1,6-bisphosphate; alpha-D-Glucose 1,6-biphosphate$D-myo-Inositol 3,4-bisphosphate; 1D-myo-Inositol 3,4-bisphosphate; Inositol 3,4-bisphosphate$D-myo-Inositol 1,3-bisphosphate; 1D-myo-Inositol 1,3-bisphosphate; myo-Inositol 1,3-bisphosphate; Inositol 1,3-bisphosphate	row342	341.0	100.0766	2.428	0.2315896690684377	1.2034454131586005
row412	E34	row412_M+Na[1+]	C01346	dUDP	row412	411.0	293.1478	3.034	0.837626178470357	0.2054549395466273
row452	E61	row452_M+Na[1+]	C00104	IDP	row452	451.0	261.145	6.454	0.15398800119773903	-1.436261267010518
row469	E63	row469_M+H[1+]	C00458	dCTP	row469	468.0	336.1057	5.828	0.039989145970880456	2.0804610831177435
row484	E45	row484_M+H[1+]	C00459	dTTP	row484	483.0	281.194	0.804	0.22880923973404224	1.21069754098253
row497	E66	row497_M+H[1+]	C04895	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	row497	496.0	231.1703	5.868	0.878771583795806	0.15290968276617217
row509	E69	row509_M+H[1+]	C00286	dGTP	row509	508.0	667.431	1.45	0.3850827983281504	0.8723196917199193
row525	E70	row525_M+H[1+];row526_M(C13)+H[1+]	C00044	GTP	row525	524.0	170.0928	9.209	0.39490739323666235	0.8543605749163381
row526	E70	row525_M+H[1+];row526_M(C13)+H[1+]	C00044	GTP	row526	525.0	170.0928	9.239	0.12420487975484767	-1.5501414060216454
row529	E71	row529_M+Na[1+]	C03028	Thiamin triphosphate; Thiamine triphosphate	row529	528.0	346.2231	4.355	0.9705279667576965	0.03703690777926341
row537	E73	row537_M+Na[1+]	C06148;C05923	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine$2,5-Diaminopyrimidine nucleoside triphosphate	row537	536.0	313.2207	3.149	0.5359804748511066	-0.6210067392526932
row743	E78	row743_M+Na[1+]	C02739	1-(5-Phospho-D-ribosyl)-ATP; Phosphoribosyl-ATP; N1-(5-Phospho-D-ribosyl)-ATP; 1-(5-Phosphoribosyl)-ATP	row743	742.0	681.0193	5.632	0.4624577599211602	0.7375888820765284
row792	E80	row792_M+H[1+]	C06198	P1,P4-Bis(5'-uridyl) tetraphosphate; UppppU	row792	791.0	327.2018	1.379	0.6835752409384714	0.4087565817536327
row894	E58	row894_M+Na[1+];row940_M+HCOONa[1+]	C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate; XppppX	row894	893.0	133.0801	5.412	0.17631111559033885	-1.3616414262825522
row940	E58	row894_M+Na[1+];row940_M+HCOONa[1+]	C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate; XppppX	row940	939.0	142.0613	2.145	0.0011149180166324065	-3.355143294095142
row1646	E83	row1646_M+H[1+]	C04911	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer	row1646	1645.0	271.1043	6.661	0.03173048477112567	2.1777353695750308
