	m/z	retention_time	p-value	t-stat	FDR_BH	custom_id
0	265.1188	3.403	0.8372759886422106	-0.20590441115307584		1
1	446.2965	0.806	0.8512841947591949	0.18795646310535527		2
2	402.2703	0.798	0.6704683550547792	-0.4267396034805482		3
3	286.2021	3.223	0.35164535811478714	0.9356851102661569		4
4	310.2022	3.076	0.3425359182727601	0.9536092560396102		5
5	114.0671	2.615	0.19705998109180603	-1.2984524075163193		6
6	229.1553	4.648	0.5139828620558975	-0.6549365663923966		7
7	490.3227	0.836	0.5704890174578069	0.5691744346404232		8
8	300.2176	3.028	0.0009830714430363423	3.393690995099984		9
9	271.1658	3.036	0.0428342951743592	2.0509609337451624		10
10	515.0085	5.634	0.9085212979246613	0.11518960566925707		11
11	287.1972	4.188	8.07644981963422e-06	4.702647178778782		12
12	358.2595	3.054	0.002624867414921961	3.084389758976529		13
13	358.244	0.789	0.3613381076077685	-0.9169379399464181		14
14	276.1449	6.215	0.32559077364595534	-0.9877944105229808		15
15	268.9992	5.632	0.5723584682470313	-0.5664111911207811		16
16	144.1024	4.186	9.242045591564906e-08	5.7529303351106105		17
17	229.1551	5.761	0.0002320912195577242	-3.8168441319601483		18
18	229.1189	6.639	0.05699441347091184	-1.9251624848941387		19
19	302.2333	2.93	4.0700556871841195e-05	4.290025964643629		20
20	433.0055	5.633	0.8386082688462977	0.20419464140832277		21
21	166.0726	2.838	0.7077951202001991	-0.37586868249198635		22
22	534.3488	0.884	0.4683007729914711	0.7279684039971304		23
23	314.2332	2.942	0.6607142259850607	0.4402130903123441		24
24	232.1547	3.97	0.05130346211467473	1.9721209372041055		25
25	356.244	3.125	7.25604236772805e-05	4.136652738752619		26
26	597.0113	5.634	0.5198580886966	0.6458015889392554		27
27	330.2283	3.326	0.15731419876288458	1.4246385228474678		28
28	457.303	4.649	0.30187909177063454	-1.0376663377898017		29
29	227.1255	2.614	0.05299138170742297	-1.9577509971158933		30
30	343.2237	3.424	0.0032197796171099503	3.0173752531069047		31
31	262.1292	6.197	0.029355895590908117	-2.2097826156552585		32
32	328.2126	3.386	0.00024755098940199515	3.7986091351534608		33
33	138.0554	4.423	0.013693829062200529	2.50866962907757		34
34	326.1969	3.021	0.8925934978080088	-0.13536065553662802		35
35	679.0142	5.634	0.8177781804790526	0.2309991550636935		36
36	287.1009	3.402	0.8797741027464717	0.15163529748440382		37
37	217.1551	6.149	0.3038157636122042	1.0334965800303815		38
38	203.1508	7.866	0.49625208211642236	-0.6828461211305511		39
39	266.122	3.404	0.7511607134960122	-0.3179660950104084		40
40	312.1309	2.947	0.04917709493790912	-1.9908066854404503		41
41	298.0974	1.625	0.0841461494574472	1.7441460088251572		42
42	761.0174	5.634	0.7892165071450025	0.26803130721316465		43
43	843.0207	5.634	0.6344127435028368	-0.47695741684566406		44
44	578.3753	0.979	0.46755597737382193	0.729190928707714		45
45	203.1508	7.903	0.050345205230809015	-1.9804585975881277		46
46	490.3226	1.105	0.6408474031606727	0.46790970763073075		47
47	374.2544	3.611	0.16514578664492563	1.3979999691091198		48
48	160.0972	4.553	0.005361770789785503	2.8454032176567914		49
49	241.1551	4.698	0.14803886538892128	-1.4575417522998393		50
50	534.349	1.182	0.4794070992876771	0.7098657395224839		51
51	358.2596	3.312	0.004947629773953761	2.8729803706502968		52
52	162.113	5.521	0.33746991667002857	-0.963711284814366		53
53	102.1288	2.992	0.2071544943927226	1.2694920003813341		54
54	235.1192	2.199	0.046115241836469915	-2.0189604725461376		55
55	447.3001	0.81	0.8880143901669159	0.14116960219744865		56
56	185.1288	1.256	0.13083857404870392	-1.5230581017763312		57
57	132.0775	5.411	0.11149675930084618	-1.6054035742338726		58
58	241.1551	5.848	0.012687710006957615	-2.5372212063643813		59
59	243.1343	3.323	0.8697174035963204	-0.1644308301987645		60
60	290.1605	6.133	0.0025680103235343798	-3.091514326966144		61
61	153.0661	1.362	0.6576172283901753	0.44450779155931225		62
62	403.2736	0.798	0.668636138592412	-0.42926444123986507		63
63	257.1137	2.553	0.1567003862913307	-1.4267690382414588		64
