	m/z	retention_time	p-value	t-stat
0	265.1188	3.403	0.8372759886422106	-0.20590441115307584
1	446.2965	0.806	0.8512841947591949	0.18795646310535527
2	402.2703	0.798	0.6704683550547794	-0.426739603480548
3	286.2021	3.223	0.35164535811478814	0.9356851102661548
4	310.2022	3.076	0.342535918272761	0.9536092560396086
5	114.0671	2.615	0.19705998109180614	-1.298452407516319
6	229.1553	4.648	0.5139828620558975	-0.6549365663923966
7	490.3227	0.836	0.5704890174578066	0.5691744346404235
8	300.2176	3.028	0.0009830714430363356	3.3936909950999867
9	271.1658	3.036	0.042834295174359716	2.0509609337451575
10	515.0085	5.634	0.9085212979246629	0.11518960566925512
11	287.1972	4.188	8.076449819634252e-06	4.70264717877878
12	358.2595	3.054	0.002624867414921989	3.084389758976526
13	358.244	0.789	0.36133810760776874	-0.9169379399464179
14	276.1449	6.215	0.3255907736459521	-0.9877944105229872
15	268.9992	5.632	0.5723584682470295	-0.5664111911207835
16	144.1024	4.186	9.24204559156499e-08	5.752930335110608
17	229.1551	5.761	0.0002320912195577271	-3.8168441319601447
18	229.1189	6.639	0.05699441347091184	-1.9251624848941387
19	302.2333	2.93	4.070055687184142e-05	4.290025964643628
20	433.0055	5.633	0.8386082688463071	0.20419464140831062
21	166.0726	2.838	0.7077951202002017	-0.3758686824919829
22	534.3488	0.884	0.4683007729914711	0.7279684039971304
23	314.2332	2.942	0.6607142259850616	0.44021309031234307
24	232.1547	3.97	0.05130346211467444	1.972120937204108
25	356.244	3.125	7.25604236772801e-05	4.136652738752621
26	597.0113	5.634	0.5198580886966	0.6458015889392554
27	330.2283	3.326	0.1573141987628846	1.4246385228474676
28	457.303	4.649	0.30187909177063266	-1.0376663377898059
29	227.1255	2.614	0.05299138170742336	-1.9577509971158902
30	343.2237	3.424	0.0032197796171100053	3.0173752531069
31	262.1292	6.197	0.029355895590907906	-2.2097826156552616
32	328.2126	3.386	0.0002475509894019957	3.79860913515346
33	138.0554	4.423	0.013693829062200614	2.5086696290775676
34	326.1969	3.021	0.8925934978080088	-0.13536065553662802
35	679.0142	5.634	0.8177781804790553	0.23099915506368995
36	287.1009	3.402	0.8797741027464717	0.15163529748440382
37	217.1551	6.149	0.3038157636122022	1.0334965800303857
38	203.1508	7.866	0.4962520821164278	-0.6828461211305425
39	266.122	3.404	0.7511607134960155	-0.317966095010404
40	312.1309	2.947	0.04917709493790954	-1.990806685440447
41	298.0974	1.625	0.08414614945744697	1.7441460088251586
42	761.0174	5.634	0.7892165071450009	0.26803130721316676
43	843.0207	5.634	0.6344127435028368	-0.47695741684566395
44	578.3753	0.979	0.46755597737382193	0.729190928707714
45	203.1508	7.903	0.05034520523080907	-1.9804585975881273
46	490.3226	1.105	0.6408474031606728	0.4679097076307306
47	374.2544	3.611	0.1651457866449259	1.3979999691091192
48	160.0972	4.553	0.005361770789785495	2.845403217656792
49	241.1551	4.698	0.1480388653889213	-1.457541752299839
50	534.349	1.182	0.4794070992876771	0.7098657395224839
