p_value,vip_150
11,38738
16,12045
83,8205
131,6839
134,840
136,203
157,2675
202,1599
220,2395
233,38470
270,1207
344,12074
355,13651
366,27596
368,8052
747,46843
839,7260
917,14438
988,13148
999,8278
1147,135
1188,8480
1196,234
1199,38489
1206,221
1291,9997
1303,10096
1381,35281
1384,14887
1470,2345
1493,369
1598,3360
1651,30510
1852,6731
1892,84
2194,2195
2344,8229
2394,10123
2640,38467
2674,356
2773,1382
2792,3213
3027,6692
3212,38458
3359,345
3544,35265
3784,8101
4150,2774
4310,4151
4497,6653
4556,6027
5120,748
5473,3028
5531,15084
5602,28030
6026,1853
6072,46895
6583,46845
6652,4557
6691,17
6708,41379
6730,41370
6731,38434
6734,6740
6739,38429
6838,38435
7176,8079
7178,1385
7211,271
7259,6735
7735,35239
8051,3520
8065,4853
8077,5603
8078,13789
8100,24952
8204,8512
8228,5121
8277,38422
8479,989
8511,2067
9996,38455
10095,1200
10122,7177
10856,5130
11149,4867
12044,46847
12073,46907
13147,2641
13650,158
13788,2793
14886,46849
15083,5532
15104,10857
26572,1471
28029,3785
30509,5156
35238,1148
35264,3423
35280,6709
38421,47148
38428,3545
38433,4959
38434,46850
38453,4498
38454,5474
38457,7736
38466,47140
38469,15151
38488,8078
38737,10265
41315,46831
41369,46881
41378,1813
41969,46858
46842,24848
46844,4311
46846,926
46849,9008
46880,10998
46894,192
46906,7914
47139,3234
59213,6073
,18
,26573
,8926
,7212
,1189
,39064
,678
,4939
,3226
,367
,47560
,10108
,6574
,17468
,18811
,13151
,34653
,796
,7920
,111
,17718
,6299
,4221
,1422
,1970
,6584
