pvalue_5,vip_300
11,38738
16,12045
19,8205
25,6839
75,840
83,203
110,2675
131,1599
134,2395
136,38470
152,1207
155,12074
157,13651
202,27596
212,8052
220,46843
233,7260
250,14438
270,13148
285,8278
344,135
355,8480
366,234
368,38489
439,221
446,9997
512,10096
520,35281
535,14887
552,2345
558,369
571,3360
677,30510
747,6731
748,84
751,2195
797,8229
839,10123
851,38467
912,356
913,1382
917,3213
935,6692
953,38458
988,345
999,35265
1039,8101
1071,2774
1147,4151
1170,6653
1188,6027
1196,748
1199,3028
1206,15084
1285,28030
1291,1853
1303,46895
1322,46845
1381,4557
1384,17
1415,41379
1421,41370
1470,38434
1493,6740
1537,38429
1598,38435
1612,8079
1651,1385
1812,271
1852,6735
1866,35239
1892,3520
1900,4853
1931,5603
1960,13789
2038,24952
2066,8512
2150,5121
2194,38422
2340,989
2344,2067
2394,38455
2396,1200
2464,7177
2640,5130
2644,4867
2674,46847
2773,46907
2792,2641
2800,158
2858,2793
2900,46849
3011,5532
3027,10857
3212,1471
3221,3785
3225,5156
3233,1148
3320,3423
3359,6709
3422,47148
3528,3545
3544,4959
3584,46850
3639,4498
3662,5474
3759,7736
3784,47140
3991,15151
4150,8078
4176,10265
4281,46831
4310,46881
4497,1813
4556,46858
4582,24848
4824,4311
4826,926
4852,9008
4866,10998
4938,192
5099,7914
5120,3234
5155,6073
5377,18
5473,26573
5531,8926
5602,7212
6026,1189
6072,39064
6212,678
6234,4939
6573,3226
6583,367
6610,47560
6652,10108
6691,6574
6694,17468
6696,18811
6697,13151
6708,34653
6717,796
6719,7920
6720,111
6721,17718
6730,6299
6731,4221
6734,1422
6739,1970
6740,6584
6749,1494
6750,2645
6751,918
6776,8170
6777,1292
6838,15105
6859,1961
6908,7674
7011,47151
7176,9296
7178,39571
7211,2465
7259,8066
7264,35267
7311,1238
7385,1323
7520,224
7591,137
7673,8991
7735,936
7820,4282
7919,2181
7989,1197
8051,7521
8065,2397
8077,4825
8078,4201
8099,2019
8100,11150
8204,1072
8228,26213
8277,1652
8476,47142
8479,6611
8511,76
8990,31453
9007,3760
9191,22971
9295,513
9807,46875
9996,927
10095,12
10122,3012
10264,6652
10856,38797
11149,7990
11795,6732
12044,1021
12073,46886
12688,521
13147,1083
13150,5100
13538,3663
13650,20685
13788,1464
14437,18543
14886,1501
15057,7012
15083,954
15104,565
15135,132
15150,3222
16368,1000
18542,15058
18810,41316
20684,2664
20918,23805
21056,1918
26572,2952
27595,47152
28029,27772
30509,9808
34652,1693
35238,61
35264,6213
35280,13681
38421,41970
38428,16369
38433,6608
38434,1125
38453,47167
38454,8013
38457,913
38466,2033
38469,38454
38488,1546
38600,9115
38737,7404
38796,7539
39560,7821
39570,39561
41315,6632
41369,46358
41378,6697
41969,18737
42286,38499
46830,8100
46842,14655
46844,9192
46846,7312
46848,286
46849,2093
46857,2604
46880,44403
46885,914
46894,1932
46906,5876
47139,5653
47141,6698
47147,7365
47559,653
59213,31692
,8998
,8477
,4828
,47661
,496
,6695
,6751
,9839
,38504
,153
,7179
,1389
,447
,8148
,1006
,21057
,5378
,4177
,38518
,2631
,1832
,8046
,9600
,20
,2319
,1406
,5395
,6860
,8645
,2607
,3640
,7660
,38878
,6642
,7345
,20919
,536
,422
