,Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,Score,Dot Product,Prob(%),Peptide,Charge,Formula,Prec.Type,FlankRes,Mods,Pep,CAS,NIST r.n.,InChIKey,Nreps,Tfratio,Protein,VIP
0,#38738 288.1447@5.891 MS1+,,1,hr_msms_nist,470099,287.142,287,643,643,95.2,"4,4'-[(4-Imino-2,5-cyclohexadien-1-ylidene)methylene]bis[benzenamine]",1,C19H17N3,[M+H]+,,,,479732,1775266,AFAIELJLZYUNPW-UHFFFAOYSA-N,,,,6.232153367908658
1,#6839 189.1469@1.897 MS1+,,1,hr_msms_nist,230989,188.131,188,446,446,79.4,.alpha.-Ethyltryptamine,1,C12H16N2,[M+H]+,,,,2235907,1413357,ZXUMUPVQYAFTLF-UHFFFAOYSA-N,,,,5.469629464905697
2,#2675 191.1512@1.896 MS1+,,1,apci_msms_nist,183,586.351,586,975,975,58.3,Irganox 245,1,C34H50O8,[M+H-C21H32O7]+,,,,36443682,3485304,QSRJVOOOWGXUDY-UHFFFAOYSA-N,,,,5.325833901312019
3,#203 415.2121@0.589 MS1+,,1,lr_msms_nist,19249,414.205,414,990,990,38.1,His-Met-Lys,1,C17H30N6O4S,[M+H]+,,,,0,1083086,YYOCMTFVGKDNQP-UHFFFAOYSA-N,,,,5.194153115533479
4,#840 115.0507@1.245 MS1+,,1,hr_msms_nist,182013,132.053,132,745,745,93.5,3-Ureidopropionic acid,1,C4H8N2O3,[M+H-H2O]+,,,,462884,1342447,JSJWCHRYRHKBBW-UHFFFAOYSA-N,,,,5.186172144668793
5,#1599 288.1447@5.910 MS1+,,1,hr_msms_nist,470099,287.142,287,590,590,93.9,"4,4'-[(4-Imino-2,5-cyclohexadien-1-ylidene)methylene]bis[benzenamine]",1,C19H17N3,[M+H]+,,,,479732,1775266,AFAIELJLZYUNPW-UHFFFAOYSA-N,,,,4.843180923078428
6,#2395 268.1045@2.677 MS1+,,1,hr_msms_nist,183644,267.097,267,997,997,47.7,Adenosine,1,C10H13N5O4,[M+H]+,,,,58617,1344849,OIRDTQYFTABQOQ-CRKDRTNXSA-N,,,,4.737928266898171
7,#12074 216.1709@4.419 MS1+,,1,hr_msms_nist,733852,215.163,215,931,931,50.7,tert-Butyl 3-(aminomethyl)piperazine-1-carboxylate,1,C10H21N3O2,[M+H]+,,,,1376099807,3130373,SYPBUUQIMIYTEN-UHFFFAOYSA-N,,,,4.5927586395960205
8,#1207 166.0844@4.187 MS1+,,1,hr_msms_nist,3570,165.079,165,903,903,15.0,DL-Phenylalanine,1,C9H11NO2,[M+H]+,,,,150301,1057623,COLNVLDHVKWLRT-UHFFFAOYSA-N,,,,4.531214324280104
9,#38470 394.2230@1.152 MS1+,,1,hr_msms_nist,245300,387.217,387,787,787,97.3,"1,3-Propanediol, 2-amino-2-[2-(4-octylphenyl)ethyl]-, 1-(dihydrogen phosphate)",1,C19H34NO5P,[M+Li]+,,,,402615912,1433590,LRFKWQGGENFBFO-UHFFFAOYSA-N,,,,4.393566753796064
10,#6692 263.0876@0.804 MS1+,,1,hr_msms_nist,761255,326.1,326,549,549,98.3,"3-[5-(3,4-dihydroxy-4-methyl-5-oxooxolan-2-yl)-2-hydroxy-4-methoxyphenyl]propanoic acid",1,C15H18O8,[M+H-CH4O3]+,,,,1212148587,3158734,BNLUQONOBPMVBG-UHFFFAOYSA-N,,,,4.350610307296881
11,#8278 177.1367@2.281 MS1+,,1,hr_msms_nist,394873,176.131,176,651,651,96.8,1-Phenyl-4-piperidinamine,1,C11H16N2,[M+H]+,,,,63921233,1645901,QFJSOVLHTDPFAB-UHFFFAOYSA-N,,,,4.306834345806258
12,#234 460.2700@0.589 MS1+,,1,hr_msms_nist,28290,459.255,459,328,328,100.0,Arg-Glu-Arg,1,C17H33N9O6,[M+H]+,,,,0,1095588,QAODJPUKWNNNRP-UHFFFAOYSA-N,,,,4.287857196724022
13,#8480 357.2395@3.534 MS1+,,1,hr_msms_nist,645361,356.235,356,893,893,75.2,Ilicicolin B,1,C23H32O3,[M+H]+,,,,22581073,1997107,QAPOXOGEDXIOHD-VZRGJMDUSA-N,,,,4.27265830135889
14,#7260 140.0686@4.215 MS1+,,1,hr_msms_nist,434846,139.063,139,358,358,91.1,Methyl 1-methyl-1H-pyrrole-2-carboxylate,1,C7H9NO2,[M+H]+,,,,37619242,1697807,APHVGKYWHWFAQV-UHFFFAOYSA-N,,,,4.237013746020199
15,#6731 131.1181@1.020 MS1+,,1,hr_msms_nist,121083,130.111,130,997,997,44.7,DL-Leucinamide,1,C6H14N2O,[M+H]+,,,,13079204,1251856,FORGMRSGVSYZQR-UHFFFAOYSA-N,,,,4.180559156829885
16,#3360 203.1505@4.286 MS1+,,1,hr_msms_nist,978142,202.143,202,673,673,99.0,L-Arginine ethyl ester,1,C8H18N4O2,[M+H]+,,,,28696313,3424428,AKGWUHIOEVNNPC-LURJTMIESA-N,,,,4.025604934091599
17,#38489 394.2228@1.344 MS1+,,1,hr_msms_nist,58775,376.189,376,565,565,100.0,"Bisphenol A bis(2,3-dihydroxypropyl) ether",1,C21H28O6,[M+NH4]+,,,,5581328,1153559,NISVZEWKUNUGQQ-UHFFFAOYSA-N,,,,4.0045800477401885
18,#38467 288.2900@1.062 MS1+,,1,hr_msms_nist,141446,287.282,287,884,884,100.0,Heptadecasphinganine,1,C17H37NO2,[M+H]+,,,,32164026,1281105,KFQUQCFJDMSIJF-DLBZAZTESA-N,,,,3.956616452746428
19,#17 144.1024@4.186 MS1+,,1,hr_msms_nist,135713,143.095,143,914,914,35.0,Stachydrine,1,C7H13NO2,[M+H]+,,,,471874,1272022,CMUNUTVVOOHQPW-UHFFFAOYSA-N,,,,3.9354985676038474
