SOURCE	TARGET	ENZYMES
G00114	C04911	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
G00115	C04911	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04927	C04911	;3.2.1.18;2.4.99.4;2.4.99.8
C06128	C04911	3.2.1.18
G10619	C00458	2.7.1.40;2.7.1.48;2.7.4.6
G10619	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C04776	C04911	2.4.99.4
C04887	C04911	3.2.1.18;2.4.99.8
C00475	C00458	2.7.1.48
C00475	C00459	2.7.1.48
C00705	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00705	C00459	2.7.1.40;2.7.4.6;2.7.1.48
C00361	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00361	C00459	2.7.1.40;2.7.4.6;2.7.1.48
C04750	C04911	2.4.99.4
G00123	C04911	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C00020	C00459	3.6.1.5
G00117	C04911	3.2.1.18;2.4.99.8
C00144	C00459	3.6.1.5
C04730	C04911	3.2.1.18;2.4.1.92;2.4.99.9;2.4.99.8;3.2.1.52
C00128	C04911	;2.4.99.4;2.4.99.8;2.4.99.9
C00074	C00458	2.7.1.40
C00074	C00459	2.7.1.40
C00206	C00458	2.7.1.40;2.7.7.7;2.7.1.48;2.7.4.6
C00206	C00459	2.7.1.40;2.7.4.6;2.7.7.7;2.7.1.48
G10504	C04911	3.2.1.23
G00112	C04911	3.2.1.18;2.4.99.8
C06136	C04911	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
G00111	C04911	3.2.1.18;2.4.99.4;2.4.99.8
G10621	C04911	;2.4.99.4;2.4.99.8;2.4.99.9
G10621	C00459	2.7.1.48;3.6.1.5
G10621	C00458	2.7.1.48
C06373	C04911	3.2.1.23
C05796	C04911	3.2.1.23
C00460	C00458	2.7.1.48;2.7.4.6
C00460	C00459	2.7.1.48;2.7.4.6
G00109	C04911	3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
G00124	C04911	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
G00092	C04911	3.2.1.18;2.4.1.92;3.2.1.23;2.4.99.9;3.2.1.52
G10620	C00458	2.7.1.40;2.7.1.48;2.7.4.6
G10620	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
G00024	C04911	2.4.99.4
G00098	C04911	2.4.99.4
C00015	C04911	;2.4.1.92;2.4.1.62
C00015	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00015	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00130	C00459	3.6.1.5
C01190	C04911	3.2.1.23
C16633	C00458	2.7.1.48
C16633	C00459	2.7.1.48
C00203	C04911	;2.4.1.92;2.4.1.62
C00075	C06198	3.6.1.17
C00075	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00075	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C16634	C00458	2.7.1.48
C16634	C00459	2.7.1.48
C06133	C04911	;2.4.1.92;2.4.99.8
C00105	C06198	3.6.1.17
C00105	C00458	2.7.1.48
C00105	C00459	2.7.1.48;3.6.1.5
C06134	C04911	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
G00026	C04911	2.4.99.4
C00063	C00458	2.7.1.40;2.7.4.6
C00063	C00459	2.7.4.6;3.6.1.5;2.7.1.40
G13032	C04911	3.2.1.23
C00039	C00458	2.7.7.7
C00039	C00459	2.7.7.7
C00201	C00458	2.7.1.40;2.7.4.6
C00201	C00459	2.7.4.6;2.7.1.40
C00299	C00458	2.7.1.48
C00299	C00459	2.7.1.48
C02686	C04911	3.2.1.18
C00055	C04911	;2.4.99.4;2.4.99.8;2.4.99.9
C00055	C00459	2.7.1.48;3.6.1.5
C00055	C00458	2.7.1.48
C00325	C04911	;2.4.99.8
C00104	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00104	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00112	C00458	2.7.1.40;2.7.4.6
C00112	C00459	2.7.4.6;3.6.1.5;2.7.1.40
G10534	C04911	3.2.1.23
C00035	C04911	;2.4.99.8
C00035	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00035	C00458	2.7.1.40;2.7.1.48;2.7.4.6
G10238	C04911	3.2.1.23
G00113	C04911	2.4.1.92;2.4.99.8
C00363	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00363	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C05394	C04911	3.2.1.23
C05401	C04911	3.2.1.23
C00270	C04911	3.2.1.18
C00842	C00459	4.2.1.46;3.6.1.5;2.7.7.24;2.7.4.6;2.7.1.48;5.1.3.2;2.7.1.40;2.7.7.7;3.6.1.39
C00103	C00459	5.1.3.2;2.7.7.24
G00062	C04911	3.2.1.18;2.4.99.8
C01344	C00458	2.7.4.6
C01344	C00459	2.7.4.6
C05396	C04911	3.2.1.23
G00317	C04911	3.2.1.18
C04936	C04911	2.4.99.8
G10531	C04911	3.2.1.23
C04901	C04911	2.4.99.4
CE5741	C04911	2.4.1.92
C01346	C00458	2.7.1.48;2.7.4.6
C01346	C00459	2.7.1.48;2.7.4.6
C05403	C04911	3.2.1.23
C00052	C04911	;2.4.1.62
C04911	G00108	3.2.1.18;2.4.1.92;2.4.99.9;2.4.99.8;3.2.1.52
C04911	C01582	3.2.1.23
C04911	G10517	3.2.1.23
C04911	G11121	3.2.1.18
C04911	G00125	2.4.99.4
C04911	C06139	;3.2.1.18;2.4.99.8
C04911	C04683	3.2.1.18;2.4.99.8
C04911	C06135	3.2.1.23;3.2.1.52;3.2.1.18;2.4.99.4;2.4.1.62;2.4.1.92;2.4.99.9
C04911	G00110	3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
C04911	C06141	3.2.1.18;2.4.1.92;2.4.99.4;2.4.99.8;2.4.1.62
C04911	C00243	3.2.1.23
C04911	C06138	;2.4.99.8
C04911	G00064	3.2.1.18;2.4.99.8
C04911	G00116	3.2.1.18;2.4.99.4;2.4.99.8
C04911	C00124	;3.2.1.23
C04911	C00116	3.2.1.23
C04911	C06140	;3.2.1.18;2.4.99.4;2.4.99.8
C04911	G00097	2.4.99.4
C04911	C00267	3.2.1.23
C04911	C01290	3.2.1.18;2.4.1.92;3.2.1.23;2.4.99.9;3.2.1.52
C04911	C04884	;3.2.1.23;2.4.1.62;3.2.1.18;2.4.99.4;3.2.1.52;2.4.1.92;2.4.99.8;2.4.99.9
C04911	G06780	3.2.1.23;3.2.1.52
C04911	C00221	3.2.1.23
C00044	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00044	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00459	C00022	2.7.1.40
C00459	C00458	2.7.1.40;2.7.7.7;2.7.1.48;2.7.4.6
C00459	C01345	2.7.4.6
C00459	C00454	2.7.1.40;2.7.4.6
