EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row155	row155_M+H[1+]	C01962	Thiocysteine
E11	row54	row54_M+Na[1+]	C00067	Formaldehyde
E14	row177	row177_M+Na[1+]	C00606	3-Sulfino-L-alanine
E15	row525;row526	row525_M+H[1+];row526_M(C13)+H[1+]	C00044	GTP
E17	row469	row469_M+H[1+]	C00458	dCTP
E18	row792	row792_M+H[1+]	C06198	P1,P4-Bis(5'-uridyl) tetraphosphate; UppppU
E19	row452	row452_M+Na[1+]	C00104	IDP
E25	row188	row188_M+H[1+]	C00631;C00197	D-Glycerate 2-phosphate$3-Phospho-D-glycerate
E27	row178	row178_M+Na[1+]	C00265	Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol
E28	row214	row214_M+Na[1+]	C05379	Oxalosuccinate; Oxalosuccinic acid
E29	row298	row298_M+Na[1+]	C05385	
E30	row63	row63_M+H[1+]	C00288	Bicarbonate
E34	row284	row284_M+Na[1+]	C04582;C04188	5-Methylthio-5-deoxy-D-ribulose 1-phosphate$5-Methylthio-5-deoxy-D-ribose 1-phosphate
E39	row294	row294_M+Na[1+]	C05699	Selenocystathionine
E43	row484	row484_M+H[1+]	C00459	dTTP
E44	row497	row497_M+H[1+]	C04895	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate
E46	row894	row894_M+Na[1+]	C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate; XppppX
E49	row743	row743_M+Na[1+]	C02739	1-(5-Phospho-D-ribosyl)-ATP; Phosphoribosyl-ATP; N1-(5-Phospho-D-ribosyl)-ATP; 1-(5-Phosphoribosyl)-ATP
E52	row537	row537_M+Na[1+]	C05923;C06148	2,5-Diaminopyrimidine nucleoside triphosphate$2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
E56	row1646	row1646_M+H[1+]	C04911	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer
E57	row140	row140_M+Na[1+]	C00122	Fumarate
E59	row412	row412_M+Na[1+]	C01346	dUDP
E68	row78	row78_M+Na[1+]	C05985	2-Propyn-1-al
E73	row529	row529_M+Na[1+]	C03028	Thiamin triphosphate; Thiamine triphosphate
E74	row209	row209_M+Na[1+]	C01005	O-Phospho-L-serine
E76	row509	row509_M+H[1+]	C00286	dGTP
E77	row224	row224_M+Na[1+]	C00279	D-Erythrose 4-phosphate
E81	row128	row128_M+Na[1+]	C00168;C01146	Hydroxypyruvate$2-Hydroxy-3-oxopropanoate; Tartronate semialdehyde
E82	row342	row342_M+H[1+]	C01220;C04063;C00665;C04062;C01231;C00354;C05378;C03785;C03693	1D-myo-Inositol 1,4-bisphosphate$D-myo-Inositol 3,4-bisphosphate; 1D-myo-Inositol 3,4-bisphosphate; Inositol 3,4-bisphosphate$D-Fructose 2,6-bisphosphate$D-myo-Inositol 1,3-bisphosphate; 1D-myo-Inositol 1,3-bisphosphate; myo-Inositol 1,3-bisphosphate; Inositol 1,3-bisphosphate$alpha-D-Glucose 1,6-bisphosphate; alpha-D-Glucose 1,6-biphosphate$D-Fructose 1,6-bisphosphate$beta-D-Fructose 1,6-bisphosphate$D-Tagatose 1,6-bisphosphate$D-Mannose 1,6-bisphosphate
