massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row52	51.0	206.1634	20.175	0.08033550577047904	1.7980330850233217
row53	52.0	500.279	20.159	4.288507038529145e-08	6.865282766157115
row54	53.0	327.2333	24.246	0.0025340978836634566	3.2392116926844166
row55	54.0	363.1851	30.747	0.002948523285470561	3.183391316802058
row56	55.0	233.1551	17.336	0.0007108513698980493	3.693408885129561
row57	56.0	277.1664	20.808	0.00037385191296148123	3.9152760599119745
row58	57.0	282.2521	28.815	7.864670134475784e-05	4.438688515071011
row59	58.0	241.2176	25.842	4.686757179030539e-08	-6.8364409650473865
row60	59.0	792.577	50.734	0.0546979014825618	1.9841172891515195
row61	60.0	337.1333	21.908	0.06030314256050279	1.9378384293277058
row62	61.0	790.5614	44.525	0.0257027484625746	2.324353314241074
row63	62.0	722.5141	49.549	0.0017306761712518187	3.3779823484162628
row64	63.0	480.3102	22.172	1.8390034542395645e-05	4.914080622598998
row65	64.0	329.2489	26.497	0.004049707322886179	3.065021365213228
row66	65.0	864.5031	23.503	0.23938730747783607	-1.195786767006782
row67	66.0	697.3189	23.503	0.001528028101406127	-3.422795520041365
row68	67.0	337.1334	21.783	0.29487577138473914	1.0625421658209595
row69	68.0	305.249	27.299	9.451234158649022e-05	4.37785381697398
row70	69.0	311.296	38.393	0.3641321930225758	-0.9188372197686518
row71	70.0	480.3101	22.417	0.0022463722311758397	3.283335291476755
row72	71.0	661.4396	29.919	0.14088883298505853	-1.5047071119912796
row73	72.0	478.2946	22.781	2.596944021835999e-07	6.28347644295331
row74	73.0	337.1334	22.029	0.24182782148346826	1.1894809372976767
row75	74.0	764.5241	45.583	0.2917089009257289	1.0696424974460648
row76	75.0	485.2833	18.624	0.04462343161819076	2.0788094663533117
row77	76.0	305.249	27.12	0.0010114981028169479	3.5696386650135974
row78	77.0	706.6364	62.435	0.01946979317378079	2.4427682466074123
row79	78.0	554.347	22.417	6.525739075344645e-05	4.500278722165908
row80	79.0	554.347	22.417	0.03195074599853889	2.2292693301066824
row81	80.0	790.5611	43.986	0.005834422615521129	2.926202360179811
row82	81.0	1139.5921	28.002	0.9009002392427814	-0.1253816119972637
row83	82.0	409.3116	36.604	0.7921883056418477	0.26538192919337317
row84	83.0	361.2601	22.694	0.2083518592803961	1.2804621255066548
row85	84.0	764.5459	43.146	1.1707496141986742e-05	5.060265628558164
row86	85.0	761.5829	42.846	0.053964060650202664	1.9904772509074053
row87	86.0	270.2523	30.354	4.4531044848333276e-05	-4.6258462441543005
row88	87.0	554.3471	22.104	1.3537227911335293e-06	5.7536805344102575
row89	88.0	865.5027	30.117	0.0034598194866445006	3.1239920942588255
row90	89.0	751.5484	55.386	0.8904793423839511	0.1386490824863613
row91	90.0	739.513	45.583	0.0015945951995809424	3.407477667396861
row92	91.0	511.473	28.231	0.03457746930571042	-2.1941984755632147
row93	92.0	1139.5922	27.828	0.8566714011885519	-0.18187781585338136
row94	93.0	745.503	32.963	0.004654557773008667	3.01244711386082
row95	94.0	750.5451	53.725	0.00011954482798869972	4.299777169055702
row96	95.0	864.5032	23.7	0.18012039641864155	-1.3662074554381518
row97	96.0	364.1888	33.338	0.7458483046892047	0.32655003811010025
row98	97.0	817.5027	30.496	4.56948675727671e-05	4.617390805042109
row99	98.0	297.244	19.884	0.6180320222007147	0.5028757452917092
row100	99.0	700.5295	54.727	0.09633715459676308	1.7062828362928026
row101	100.0	765.5275	46.181	0.12798151467994107	1.5570097759968011
row102	101.0	465.3048	26.599	8.768789346501607e-05	4.4026880785675395
row103	102.0	330.195	22.393	0.0003806961014624579	3.9090700258025213
row104	103.0	819.5181	33.05	0.2896966488911866	1.07418215082815
row105	104.0	270.2523	30.511	0.4771658259435593	-0.7181655253697998
row106	105.0	211.1343	14.986	0.01615836967004829	2.520575465221176
