Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,Score,Dot Product,Prob(%),Peptide,Charge,Formula,Prec.Type,FlankRes,Mods,Pep,CAS,NIST r.n.,InChIKey,Nreps,Tfratio,Protein
#5 376.2591@36.241 MS1+ [Scan #4130 @36.0777 MS2 +],,1,hr_msms_nist,28921,375.248,375,419,419,88.3,Thr-Lys-Lys,1,C16H33N5O5,[M+H]+,,,,0,1096219,MGJLBZFUXUGMML-UHFFFAOYSA-N,,,
#7 542.0687@9.672 MS1+ [Scan #1141 @9.5862 MS2 +],,1,lr_msms_nist,41228,541.061,541,357,357,100,Cyclic adenosine diphosphate ribose,1,C15H21N5O13P2,[M+H]+,,,,119340533,1173070,BQOHYSXSASDCEA-AUFQSWFVSA-N,,,
#25 428.0367@9.672 MS1+ [Scan #1155 @9.7389 MS2 +],,1,lr_msms_nist,13809,427.029,427,389,389,99,Adenosine 5'-diphosphate,1,C10H15N5O10P2,[M+H]+,,,,58640,1053868,XTWYTFMLZFPYCI-KQYNXXCUSA-N,,,
#75 481.2117@20.374 MS1+ [Scan #2313 @20.2075 MS2 +],,1,hr_msms_nist,506413,458.23,458,774,774,100,"Methyl 16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxo-3,19-epoxyandrost-11-ene-14-carboxylate",1,C26H34O7,[M+Na]+,,,,1229025131,1821042,UPJBUABBBFMLGN-UHFFFAOYSA-N,,,
#214 414.2150@36.241 MS1+ [Scan #4136 @36.1230 MS2 +],,1,hr_msms_nist,28135,413.202,413,800,800,99,PyroGlu-Gln-Arg,1,C16H27N7O6,[M+H]+,,,,0,1095433,YREWIBVCENPXOR-UHFFFAOYSA-N,,,
#286 370.0523@8.061 MS1+ [Scan #948 @8.0169 MS2 +],,1,lr_msms_nist,77976,347.063,347,332,332,73.6,Adenosine 2'-monophosphate,1,C10H14N5O7P,[M+Na]+,,,,130494,1415069,QDFHPFSBQFLLSW-CRKDRTNXSA-N,,,
#287 771.2638@8.218 MS1+ [Scan #972 @8.2257 MS2 +],,1,hr_msms_nist,353447,748.275,748,485,485,97.8,Lec,1,C28H48N2O21,[M+Na]+,,,,0,1590885,,,,
#327 615.2889@35.829 MS1+ [Scan #4125 @36.0312 MS2 +],,1,biopep_msms_nist,31520,614.277,614,865,865,96.6,Gly-Arg-Gly-Asp-Asn-Pro,1,C23H38N10O10,[M+H]+,,,,114681651,0,,,,
#470 457.1583@30.052 MS1+ [Scan #3418 @29.9330 MS2 +],,1,hr_msms_nist,737135,456.142,456,535,535,99,Steganacin,1,C24H24O9,[M+H]+,,,,41451687,3134576,XJTXBUKLGQCZHC-XFQAVAEZSA-N,,,
#624 355.0699@25.562 MS1+ [Scan #2892 @25.5073 MS2 +],,1,lr_msms_nist,33268,370.094,370,948,948,100,Decamethylcyclopentasiloxane,1,C10H30O5Si5,[M+H-CH4]+,,,,541026,1122520,XMSXQFUHVRWGNA-UHFFFAOYSA-N,,,
#628 469.1830@36.241 MS1+ [Scan #4142 @36.1600 MS2 +],,1,hr_msms_nist,700090,446.194,446,417,417,48.3,Gnaphalidin,1,C24H30O8,[M+Na]+,,,,70544922,3070025,GXQZOQHVBGNFHI-CZQCRYLRSA-N,,,
#630 457.1581@28.856 MS1+ [Scan #3278 @28.7752 MS2 +],,1,hr_msms_nist,737136,456.142,456,558,558,98.8,Steganacin,1,C24H24O9,[M+H]+,,,,41451687,3134577,XJTXBUKLGQCZHC-XFQAVAEZSA-N,,,
#745 467.1674@29.619 MS1+ [Scan #3374 @29.5732 MS2 +],,1,hr_msms_nist,109437,910.328,910,652,652,55.9,Man3 b,2,C34H58N2O26,[M+H+Na]2+,,,,0,1234405,,,,
#838 1175.3689@8.783 MS1+ [Scan #1033 @8.6998 MS2 +],,1,lr_msms_nist,48654,1152.38,1152,384,384,99,Maltoheptaose,1,C42H72O36,[M+Na]+,,,,34620785,1261391,BNABBHGYYMZMOA-WPQHDQNLSA-N,,,
