,position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,DMEM_1.mzXML retention_time,DMEM_1.mzXML height,DMEM_1.mzXML area,DMEM_1.mzXML mz,DMEM_2.mzXML retention_time,DMEM_2.mzXML height,DMEM_2.mzXML area,DMEM_2.mzXML mz,DMEM_3.mzXML retention_time,DMEM_3.mzXML height,DMEM_3.mzXML area,DMEM_3.mzXML mz,DMEM_4.mzXML retention_time,DMEM_4.mzXML height,DMEM_4.mzXML area,DMEM_4.mzXML mz,KIC_1.mzXML retention_time,KIC_1.mzXML height,KIC_1.mzXML area,KIC_1.mzXML mz,KIC_2.mzXML retention_time,KIC_2.mzXML height,KIC_2.mzXML area,KIC_2.mzXML mz,KIC_3.mzXML retention_time,KIC_3.mzXML height,KIC_3.mzXML area,KIC_3.mzXML mz,KIC_4.mzXML retention_time,KIC_4.mzXML height,KIC_4.mzXML area,KIC_4.mzXML mz,KIV_1.mzXML retention_time,KIV_1.mzXML height,KIV_1.mzXML area,KIV_1.mzXML mz,KIV_2.mzXML retention_time,KIV_2.mzXML height,KIV_2.mzXML area,KIV_2.mzXML mz,KIV_3.mzXML retention_time,KIV_3.mzXML height,KIV_3.mzXML area,KIV_3.mzXML mz,KIV_4.mzXML retention_time,KIV_4.mzXML height,KIV_4.mzXML area,KIV_4.mzXML mz,KMV_1.mzXML retention_time,KMV_1.mzXML height,KMV_1.mzXML area,KMV_1.mzXML mz,KMV_2.mzXML retention_time,KMV_2.mzXML height,KMV_2.mzXML area,KMV_2.mzXML mz,KMV_3.mzXML retention_time,KMV_3.mzXML height,KMV_3.mzXML area,KMV_3.mzXML mz,KMV_4.mzXML retention_time,KMV_4.mzXML height,KMV_4.mzXML area,KMV_4.mzXML mz,VIP
0,12469,#12469 350.9871@34.304 MS1+,1,+,34.304,807403.25,168768.7458,350.9871,,,0.787,34.304,724939.6224,151531.6552,350.9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3073,514263.0693,123905.86,350.9872,,,,,,,,,,,,,,,,,,,,,34.2963,702400.2285,156563.2908,350.9872,0.0634140590060173
1,32985,#32985 367.1054@19.519 MS1+,1,+,19.519,13884.3496,2238.8757,367.1054,,,0.4052,,,,,,,,,,,,,,,,,,,,,19.5188,14881.585,2399.6816,367.1054,,,,,,,,,,,,,,,,,19.6102,8295.437,1326.3384,367.1053,,,,,,,,,,,,,19.51,8080.2911,1214.4544,367.1054,,,,,0.07536992658407607
2,27738,#27738 389.1141@26.239 MS1+,1,+,26.239,40521.3477,4999.0318,389.1141,,,0.0563,,,,,,,,,,,,,26.2385,32533.472,4013.5847,389.1142,,,,,,,,,,,,,26.2135,27995.498,2967.4706,389.1139,,,,,,,,,,,,,26.2612,39794.574,578.8363,389.1143,26.1438,20258.0128,2631.8051,389.1141,26.1963,26225.3815,3141.1602,389.1141,,,,,,,,,0.12469384634074147
3,11640,#11640 467.1674@27.435 MS1+,1,+,27.435,50529.3203,5714.2386,467.1674,,,0.2799,27.4353,45368.5397,5130.6184,467.1679,,,,,,,,,,,,,,,,,,,,,27.44,31333.1303,1828.4794,467.1674,,,,,27.4675,22031.722,586.2505,467.1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13759702057819792
4,18281,#18281 469.1833@34.106 MS1+,1,+,34.106,77353.7969,8721.2843,469.1833,,,0.7625,,,,,34.2033,47295.9285,6995.4529,469.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1968,50161.3801,8999.3412,469.1834,,,,,34.1062,79178.7962,8927.0446,469.1831,,,,,,,,,,,,,0.1405179626270804
5,10553,#10553 417.2595@20.156 MS1+,1,+,20.156,60531.418,10636.247,417.2595,,,0.2637,20.151,5695.9026,1510.2084,417.2595,20.1557,68875.1009,12102.3529,417.2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1367,41488.3172,7548.2152,417.2596,,,,,,,,,,,,,,,,,,,,,20.1118,48115.5859,8947.9367,417.2595,0.15527021695276647
6,23757,#23757 499.2051@30.122 MS1+,1,+,30.122,58744.0625,6947.5095,499.2051,,,0.6237,,,,,,,,,30.14,44601.1273,2202.4737,499.2051,,,,,,,,,30.1357,21931.0622,1146.8354,499.2052,30.0707,55322.0773,3015.9195,499.2052,30.0857,20751.1445,1671.1001,499.2049,30.1215,49739.2905,5882.5382,499.2054,,,,,,,,,,,,,,,,,30.0322,27616.6319,2428.8643,499.2047,,,,,,,,,0.16309060428358813
7,24342,#24342 357.1471@35.646 MS1+,1,+,35.646,85918.9766,13448.811,357.1471,,,0.3809,,,,,,,,,35.6695,48955.3225,9695.9041,357.1471,35.6382,38564.2387,3913.1863,357.1471,,,,,,,,,35.6462,85522.4096,13386.7368,357.1471,,,,,35.583,55256.0379,7231.498,357.1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645430412170135
8,8858,#8858 413.2031@9.187 MS1+,1,+,9.187,6746.2192,746.0738,413.2031,,,0.501,9.3133,4972.9015,657.74,413.2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2215,5233.6759,657.1777,413.2031,,,,,,,,,,,,,,,,,9.1871,6863.0802,758.9976,413.2032,9.2986,4157.6879,684.0218,413.2032,0.17181723826964473
9,49974,#49974 560.0793@5.761 MS1+,1,+,5.761,14533.3916,1750.6966,560.0793,,,0.1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7023,10325.6454,3419.5855,560.0793,,,,,,,,,,,,,5.7036,13145.5723,781.7507,560.0793,,,,,5.7607,12714.2725,1531.565,560.0793,0.19058078051367136
10,21394,#21394 413.0545@15.154 MS1+,1,+,15.154,56407.3164,13304.3505,413.0545,,,0.2122,,,,,,,,,15.1537,51184.8002,12072.5566,413.0545,,,,,,,,,,,,,15.1407,26425.1639,3416.0755,413.0545,,,,,,,,,,,,,,,,,15.2123,25742.5576,4033.6179,413.0545,,,,,,,,,,,,,,,,,0.19565782718888755
11,27836,#27836 457.1582@27.101 MS1+,1,+,27.101,55612.6602,5848.095,457.1582,,,0.3065,,,,,,,,,,,,,27.1013,44649.8705,4695.2741,457.1581,,,,,27.0603,54022.5635,6376.9078,457.1582,,,,,,,,,,,,,,,,,,,,,27.0838,41763.6884,1913.9539,457.1583,,,,,,,,,,,,,,,,,0.20083594778047287
12,12525,#12525 478.2736@34.815 MS1+,1,+,34.815,89782.7891,12101.6198,478.2736,,,0.5471,34.7733,57930.262,9756.3647,478.2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8152,73350.808,9886.7901,478.2737,,,,,,,,,,,,,,,,,34.7457,51004.6648,6242.2673,478.2736,34.8453,74318.5295,12453.6384,478.2735,0.2027794179176349
13,18492,#18492 359.1642@35.583 MS1+,1,+,35.583,101176.25,15724.4977,359.1642,,,0.6526,,,,,35.6983,54965.1426,9438.6247,359.1643,35.687,68123.6323,11542.3087,359.1642,,,,,,,,,,,,,,,,,35.5943,82590.6563,17222.2437,359.1642,35.583,85667.124,13314.1177,359.1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22308734684184486
14,12694,#12694 437.1934@35.736 MS1+,1,+,35.736,1250493.125,233154.1142,437.1934,,,0.471,35.7362,1122774.7892,209341.0641,437.1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8243,972495.9666,197677.8063,437.1934,,,,,,,,,,,,,,,,,35.7142,1213286.2142,225287.41,437.1934,35.815,1093804.0015,193577.2363,437.1933,0.23927506476779223
15,17999,#17999 526.2585@32.057 MS1+,1,+,32.057,67945.3203,4249.6738,526.2585,,,0.3109,,,,,32.0565,77310.9395,4835.4511,526.2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1373,54456.3353,7897.7663,526.2586,,,,,,,,,,,,,,,,,32.106,57247.8892,5578.2797,526.2586,32.1052,23228.6387,1349.2497,526.2584,0.24132751473636793
16,11647,#11647 467.1678@27.553 MS1+,1,+,27.553,59632.6563,6368.2258,467.1678,,,0.0189,27.492,27649.0336,986.9925,467.1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5457,22863.0491,762.9582,467.1675,,,,,,,,,,,,,27.553,61039.5628,6518.4706,467.1677,,,,,,,,,,,,,0.24307946782291737
17,19820,#19820 1175.3687@7.321 MS1+,1,+,7.321,104652.5547,11903.9748,1175.3687,,,0.2212,,,,,,,,,7.3212,94963.2147,10801.8358,1175.3687,7.2316,36047.6069,4539.8106,1175.3688,,,,,,,,,7.2258,45110.7164,6210.7606,1175.3687,,,,,,,,,,,,,,,,,7.2023,62094.0702,7001.0637,1175.3688,,,,,,,,,,,,,,,,,0.2540592555765269
18,19338,#19338 365.1055@3.799 MS1+,1,+,3.799,1442467.875,503107.3863,365.1055,,,0.1285,,,,,,,,,3.7212,1154190.9427,156134.5478,365.1055,3.7458,1125613.3695,450558.9862,365.1054,,,,,,,,,3.7993,1435810.0319,500785.2479,365.1055,3.8283,223505.0625,22853.8872,365.1054,,,,,,,,,,,,,3.7059,1348965.9113,585308.6897,365.1054,,,,,,,,,,,,,,,,,0.2719023539731054
19,17554,#17554 457.1581@27.656 MS1+,1,+,27.656,55494.8281,6982.4539,457.1581,,,0.4168,,,,,27.6218,24160.0458,707.9088,457.1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6157,44833.2629,4398.6021,457.158,,,,,,,,,,,,,,,,,27.6185,36813.2909,1103.2012,457.1582,27.6557,48548.6378,6108.4724,457.1578,0.2729719919227899
20,39778,#39778 376.2591@33.313 MS1+,1,+,33.313,16880332.0,2912640.0082,376.2591,,,0.5521,,,,,,,,,,,,,,,,,,,,,,,,,33.313,16802419.2751,2899196.4503,376.2592,,,,,33.3698,8428277.5646,1104577.9805,376.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27710201630492903
21,15198,#15198 460.1941@11.231 MS1+,1,+,11.231,188391.0781,21751.9315,460.1941,,,0.4534,,,,,11.2307,214359.0047,24750.2293,460.1941,,,,,,,,,,,,,,,,,,,,,,,,,11.1704,31145.1985,4057.2775,460.1942,11.2565,16808.1322,2125.1994,460.1941,11.2661,23335.4626,2590.9867,460.1941,,,,,,,,,,,,,11.236,32471.0011,3612.4679,460.1942,,,,,0.2846778652667751
