,position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,DMEM_1.mzXML retention_time,DMEM_1.mzXML height,DMEM_1.mzXML area,DMEM_1.mzXML mz,DMEM_2.mzXML retention_time,DMEM_2.mzXML height,DMEM_2.mzXML area,DMEM_2.mzXML mz,DMEM_3.mzXML retention_time,DMEM_3.mzXML height,DMEM_3.mzXML area,DMEM_3.mzXML mz,DMEM_4.mzXML retention_time,DMEM_4.mzXML height,DMEM_4.mzXML area,DMEM_4.mzXML mz,KIC_1.mzXML retention_time,KIC_1.mzXML height,KIC_1.mzXML area,KIC_1.mzXML mz,KIC_2.mzXML retention_time,KIC_2.mzXML height,KIC_2.mzXML area,KIC_2.mzXML mz,KIC_3.mzXML retention_time,KIC_3.mzXML height,KIC_3.mzXML area,KIC_3.mzXML mz,KIC_4.mzXML retention_time,KIC_4.mzXML height,KIC_4.mzXML area,KIC_4.mzXML mz,KIV_1.mzXML retention_time,KIV_1.mzXML height,KIV_1.mzXML area,KIV_1.mzXML mz,KIV_2.mzXML retention_time,KIV_2.mzXML height,KIV_2.mzXML area,KIV_2.mzXML mz,KIV_3.mzXML retention_time,KIV_3.mzXML height,KIV_3.mzXML area,KIV_3.mzXML mz,KIV_4.mzXML retention_time,KIV_4.mzXML height,KIV_4.mzXML area,KIV_4.mzXML mz,KMV_1.mzXML retention_time,KMV_1.mzXML height,KMV_1.mzXML area,KMV_1.mzXML mz,KMV_2.mzXML retention_time,KMV_2.mzXML height,KMV_2.mzXML area,KMV_2.mzXML mz,KMV_3.mzXML retention_time,KMV_3.mzXML height,KMV_3.mzXML area,KMV_3.mzXML mz,KMV_4.mzXML retention_time,KMV_4.mzXML height,KMV_4.mzXML area,KMV_4.mzXML mz,VIP
327,46525,#46525 350.1525@8.077 MS1+,1,+,8.077,47118.8047,10702.639,350.1525,,,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0243,31870.3443,9306.817,350.1525,8.0772,38495.1552,8743.8498,350.1525,,,,,,,,,,,,,,,,,,,,,,,,,2.5289145841839042
326,47507,#47507 351.1316@19.264 MS1+,1,+,19.264,20370.2617,2841.9427,351.1316,,,0.0729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2637,17247.7408,2406.3064,351.1316,,,,,,,,,19.2572,16543.2393,2809.8183,351.1316,,,,,,,,,,,,,,,,,2.5172037839155417
325,47510,#47510 418.2637@19.370 MS1+,1,+,19.37,3722.1289,678.5711,418.2637,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.347,3086.3062,519.0708,418.2638,,,,,,,,,19.3697,3858.255,703.3879,418.2635,,,,,,,,,,,,,,,,,2.500583304283993
324,18544,#18544 357.1471@35.953 MS1+,1,+,35.953,78439.7344,14586.6355,357.1471,,,0.021,,,,,36.005,43851.7074,8584.5248,357.1471,35.9568,47068.4184,10283.6077,357.1472,,,,,,,,,,,,,35.9382,66638.8943,9592.7832,357.147,,,,,35.9242,47750.3678,6387.2305,357.1471,36.006,62004.3436,12213.6777,357.1471,35.9532,95688.5453,17794.2205,357.1471,35.9438,44729.1066,3959.5465,357.1471,,,,,35.901,22675.9654,3152.2711,357.147,35.984,55130.0186,11213.1149,357.1471,,,,,2.366776239368466
323,8371,#8371 665.1004@7.437 MS1+,1,+,7.437,11192.8936,1248.1865,665.1004,,,0.1166,7.5254,6339.7989,876.1771,665.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4368,9477.155,1056.8542,665.101,7.4524,6748.8041,716.7252,665.1005,7.3966,8680.0095,809.4979,665.0997,,,,,,,,,,,,,7.4077,8468.4414,959.6909,665.1006,,,,,2.2218020720891802
322,43307,#43307 367.1054@19.264 MS1+,1,+,19.264,11573.292,1889.0435,367.1054,,,0.1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2677,6754.6738,1042.7796,367.1055,19.2637,9799.2428,1599.4754,367.1053,,,,,,,,,19.2572,8047.4579,1362.6791,367.1054,,,,,,,,,,,,,,,,,2.0018988483619866
321,16353,#16353 417.2596@19.797 MS1+,1,+,19.797,62974.375,10971.6949,417.2596,,,0.1505,,,,,19.7945,10779.7012,2163.5509,417.2597,19.8603,53727.0097,9614.5691,417.2596,,,,,,,,,,,,,,,,,,,,,19.782,49194.8052,8484.3435,417.2596,,,,,19.7172,11387.2809,1215.3917,417.2596,19.7972,65277.4804,11372.9529,417.2596,,,,,,,,,,,,,19.7972,7108.2972,1229.5574,417.2596,1.9772110142933854
320,21823,#21823 365.1571@17.301 MS1+,1,+,17.301,31250.1348,4436.0441,365.1571,,,0.2069,,,,,,,,,17.3248,20094.8683,2657.4112,365.1571,,,,,,,,,,,,,,,,,,,,,17.3488,21097.225,2921.3336,365.1571,,,,,,,,,17.3008,32393.0179,4598.2795,365.1571,,,,,,,,,,,,,,,,,1.975945108603836
319,45618,#45618 413.2662@3.089 MS1+,1,+,3.089,44376.3633,2920.4904,413.2662,,,0.2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0892,37573.9901,2472.8137,413.2663,3.1202,36072.3861,3877.0898,413.2661,,,,,,,,,,,,,,,,,,,,,3.1119,30726.4936,3018.9824,413.2661,1.9425630980221016
318,52434,#52434 414.2151@33.684 MS1+,1,+,33.684,313388.3125,35822.0948,414.2151,,,0.2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6843,256032.2105,29265.961,414.2151,33.638,304040.9675,15139.3246,414.2151,,,,,,,,,,,,,,,,,33.7042,232319.6646,39898.4827,414.2152,1.9354548353021088
