,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#62 87.0000@17.1453 MS1+,"50    replib
Name: Library, dtype: object","50    12999.0
Name: Id, dtype: float64","50    200.178
Name: Mass, dtype: float64","50    200.0
Name: Lib MW, dtype: float64","50   -168.0
Name: InLib, dtype: float64","50    883.0
Name: MF, dtype: float64","50    29.6
Name: Prob(%), dtype: float64","50    Undecanoic acid, methyl ester
Name: Name, dtype: object","50    C12H24O2
Name: Formula, dtype: object","50    1731868.0
Name: CAS, dtype: float64","50    XPQPWPZFBULGKT-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.002129576361054
1,#71 160.0000@8.2999 MS1+,"55    mainlib
Name: Library, dtype: object","55    51431.0
Name: Id, dtype: float64","55    277.117
Name: Mass, dtype: float64","55    277.0
Name: Lib MW, dtype: float64","55    454.0
Name: InLib, dtype: float64","55    885.0
Name: MF, dtype: float64","55    94.3
Name: Prob(%), dtype: float64","55    L-Aspartic acid, 2TMS derivative
Name: Name, dtype: object","55    C10H23NO4Si2
Name: Formula, dtype: object","55    0.0
Name: CAS, dtype: float64","55    UTGZLLJGNUQPMX-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0260653089914311
2,#22 144.0000@6.8485 MS1+,"18    mainlib
Name: Library, dtype: object","18    164203.0
Name: Id, dtype: float64","18    261.158
Name: Mass, dtype: float64","18    261.0
Name: Lib MW, dtype: float64","18    125.0
Name: InLib, dtype: float64","18    913.0
Name: MF, dtype: float64","18    58.8
Name: Prob(%), dtype: float64","18    L-Norvaline, 2TMS derivative
Name: Name, dtype: object","18    C11H27NO2Si2
Name: Formula, dtype: object","18    7364456.0
Name: CAS, dtype: float64","18    FPLJIDNLONPGBI-JTQLQIEISA-N
Name: InChIKey, dtype: object",1.0285429527574987
3,#3 147.0000@12.0013 MS1+,"2    replib
Name: Library, dtype: object","2    12342.0
Name: Id, dtype: float64","2    612.301
Name: Mass, dtype: float64","2    612.0
Name: Lib MW, dtype: float64","2    405.0
Name: InLib, dtype: float64","2    951.0
Name: MF, dtype: float64","2    75.5
Name: Prob(%), dtype: float64","2    Myo-Inositol, 6TMS
Name: Name, dtype: object","2    C24H60O6Si6
Name: Formula, dtype: object","2    2582798.0
Name: CAS, dtype: float64","2    FRTKXRNTVMCAKI-HPEVMFQJSA-N
Name: InChIKey, dtype: object",1.041875278227698
4,#7 156.0000@10.3833 MS1+,"5    replib
Name: Library, dtype: object","5    30959.0
Name: Id, dtype: float64","5    362.188
Name: Mass, dtype: float64","5    362.0
Name: Lib MW, dtype: float64","5    181.0
Name: InLib, dtype: float64","5    858.0
Name: MF, dtype: float64","5    88.7
Name: Prob(%), dtype: float64","5    L-Glutamine, 3TMS derivative
Name: Name, dtype: object","5    C14H34N2O3Si3
Name: Formula, dtype: object","5    70591285.0
Name: CAS, dtype: float64","5    KQLPBEWWXARCMA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0450801676055963
5,#73 147.0000@13.4184 MS1+,"56    replib
Name: Library, dtype: object","56    12745.0
Name: Id, dtype: float64","56    764.306
Name: Mass, dtype: float64","56    764.0
Name: Lib MW, dtype: float64","56    146.0
Name: InLib, dtype: float64","56    891.0
Name: MF, dtype: float64","56    45.4
Name: Prob(%), dtype: float64","56    Myo-Inositol, 1,3,4,5,6-pentakis-O-(trimethyls...
Name: Name, dtype: object","56    C27H69O9PSi7
Name: Formula, dtype: object","56    33910064.0
Name: CAS, dtype: float64","56    WOZUKLPEHGPIJE-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0466071802613766
6,#43 87.0000@12.2101 MS1+,"34    replib
Name: Library, dtype: object","34    12999.0
Name: Id, dtype: float64","34    200.178
Name: Mass, dtype: float64","34    200.0
Name: Lib MW, dtype: float64","34    109.0
Name: InLib, dtype: float64","34    929.0
Name: MF, dtype: float64","34    24.0
Name: Prob(%), dtype: float64","34    Undecanoic acid, methyl ester
Name: Name, dtype: object","34    C12H24O2
Name: Formula, dtype: object","34    1731868.0
Name: CAS, dtype: float64","34    XPQPWPZFBULGKT-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0494301656889282
7,#75 147.0000@9.2034 MS1+,"58    replib
Name: Library, dtype: object","58    12185.0
Name: Id, dtype: float64","58    364.156
Name: Mass, dtype: float64","58    364.0
Name: Lib MW, dtype: float64","58   -133.0
Name: InLib, dtype: float64","58    838.0
Name: MF, dtype: float64","58    72.7
Name: Prob(%), dtype: float64","58    Pentanedioic acid, 2-[(trimethylsilyl)oxy]-, b...
Name: Name, dtype: object","58    C14H32O5Si3
Name: Formula, dtype: object","58    55530626.0
Name: CAS, dtype: float64","58    GFDIGKRHNMDEJF-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0549171379778697
8,#15 100.0000@8.8781 MS1+,"11    mainlib
Name: Library, dtype: object","11    52898.0
Name: Id, dtype: float64","11    349.156
Name: Mass, dtype: float64","11    349.0
Name: Lib MW, dtype: float64","11    445.0
Name: InLib, dtype: float64","11    933.0
Name: MF, dtype: float64","11    95.2
Name: Prob(%), dtype: float64","11    L-Aspartic acid, 3TMS derivative
Name: Name, dtype: object","11    C13H31NO4Si3
Name: Formula, dtype: object","11    55268536.0
Name: CAS, dtype: float64","11    CTMXPIJTHHSEEF-NSHDSACASA-N
Name: InChIKey, dtype: object",1.0733471673306432
9,#36 147.0000@6.7025 MS1+,"29    replib
Name: Library, dtype: object","29    29349.0
Name: Id, dtype: float64","29    203.116
Name: Mass, dtype: float64","29    203.0
Name: Lib MW, dtype: float64","29   -256.0
Name: InLib, dtype: float64","29    845.0
Name: MF, dtype: float64","29    46.7
Name: Prob(%), dtype: float64","29    Ethanimidic acid, N-(trimethylsilyl)-, trimeth...
Name: Name, dtype: object","29    C8H21NOSi2
Name: Formula, dtype: object","29    10416598.0
Name: CAS, dtype: float64","29    SIOVKLKJSOKLIF-CMDGGOBGSA-N
Name: InChIKey, dtype: object",1.1130335011627264
