,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#50 97.0000@5.6235 MS1+,"42    mainlib
Name: Library, dtype: object","42    10783.0
Name: Id, dtype: float64","42    169.11
Name: Mass, dtype: float64","42    169.0
Name: Lib MW, dtype: float64","42   -284.0
Name: InLib, dtype: float64","42    822.0
Name: MF, dtype: float64","42    35.1
Name: Prob(%), dtype: float64","42    Pentane, 1-acetoxy-2-isocyano-4-methyl-
Name: Name, dtype: object","42    C9H15NO2
Name: Formula, dtype: object","42    0.0
Name: CAS, dtype: float64","42    QKYKFVLZUMSESL-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0032309105314352
1,#90 89.0000@7.0082 MS1+,"60    mainlib
Name: Library, dtype: object","60    52216.0
Name: Id, dtype: float64","60    231.129
Name: Mass, dtype: float64","60    231.0
Name: Lib MW, dtype: float64","60    257.0
Name: InLib, dtype: float64","60    878.0
Name: MF, dtype: float64","60    94.0
Name: Prob(%), dtype: float64","60    2-Ketoisocaproic acid mo-tms
Name: Name, dtype: object","60    C10H21NO3Si
Name: Formula, dtype: object","60    0.0
Name: CAS, dtype: float64","60    OWRQZYHPMBQGDO-LUAWRHEFSA-N
Name: InChIKey, dtype: object",1.014579295591084
2,#56 147.0000@14.8149 MS1+,"48    mainlib
Name: Library, dtype: object","48    52350.0
Name: Id, dtype: float64","48    947.459
Name: Mass, dtype: float64","48    947.0
Name: Lib MW, dtype: float64","48   -407.0
Name: InLib, dtype: float64","48    816.0
Name: MF, dtype: float64","48    15.1
Name: Prob(%), dtype: float64","48    Maltose, octakis(trimethylsilyl) ether, methyl...
Name: Name, dtype: object","48    C37H89NO11Si8
Name: Formula, dtype: object","48    0.0
Name: CAS, dtype: float64","48    KNAZTEWBFRPMHZ-DZTJYMNTSA-N
Name: InChIKey, dtype: object",1.0291168305760197
3,#24 156.0000@9.1280 MS1+,"19    mainlib
Name: Library, dtype: object","19    181368.0
Name: Id, dtype: float64","19    273.122
Name: Mass, dtype: float64","19    273.0
Name: Lib MW, dtype: float64","19    195.0
Name: InLib, dtype: float64","19    963.0
Name: MF, dtype: float64","19    34.0
Name: Prob(%), dtype: float64","19    DL-Pyroglutamic acid, 2TMS
Name: Name, dtype: object","19    C11H23NO3Si2
Name: Formula, dtype: object","19    0.0
Name: CAS, dtype: float64","19    QACGFKAUSXGLCU-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0584104537052836
4,#17 174.0000@7.6903 MS1+,"14    replib
Name: Library, dtype: object","14    33559.0
Name: Id, dtype: float64","14    291.151
Name: Mass, dtype: float64","14    291.0
Name: Lib MW, dtype: float64","14    141.0
Name: InLib, dtype: float64","14    942.0
Name: MF, dtype: float64","14    65.5
Name: Prob(%), dtype: float64","14    Glycine, 3TMS derivative
Name: Name, dtype: object","14    C11H29NO2Si3
Name: Formula, dtype: object","14    5630820.0
Name: CAS, dtype: float64","14    YVBMCPFZLGEMJT-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0657084323049484
5,#49 131.0000@6.3781 MS1+,"41    replib
Name: Library, dtype: object","41    26330.0
Name: Id, dtype: float64","41    248.126
Name: Mass, dtype: float64","41    248.0
Name: Lib MW, dtype: float64","41    146.0
Name: InLib, dtype: float64","41    966.0
Name: MF, dtype: float64","41    61.5
Name: Prob(%), dtype: float64","41    2-Hydroxybutyric acid, 2TMS
Name: Name, dtype: object","41    C10H24O3Si2
Name: Formula, dtype: object","41    55133932.0
Name: CAS, dtype: float64","41    NSEFDIGCPFOEIV-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.178493720967223
6,#63 147.0000@9.2622 MS1+,"53    replib
Name: Library, dtype: object","53    12239.0
Name: Id, dtype: float64","53    424.195
Name: Mass, dtype: float64","53    424.0
Name: Lib MW, dtype: float64","53    177.0
Name: InLib, dtype: float64","53    856.0
Name: MF, dtype: float64","53    78.5
Name: Prob(%), dtype: float64","53    2,3,4-Trihydroxybutyric acid tetrakis(trimethy...
Name: Name, dtype: object","53    C16H40O5Si4
Name: Formula, dtype: object","53    38191887.0
Name: CAS, dtype: float64","53    IEXXQBIANMZJJP-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1887936822626717
7,#20 204.0000@11.5574 MS1+,"17    mainlib
Name: Library, dtype: object","17    233930.0
Name: Id, dtype: float64","17    540.261
Name: Mass, dtype: float64","17    540.0
Name: Lib MW, dtype: float64","17   -110.0
Name: InLib, dtype: float64","17    947.0
Name: MF, dtype: float64","17    6.0
Name: Prob(%), dtype: float64","17    .beta.-D-Glucopyranose, 5TMS derivative
Name: Name, dtype: object","17    C21H52O6Si5
Name: Formula, dtype: object","17    2775908.0
Name: CAS, dtype: float64","17    PPFHNIVPOLWPCF-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.245145060032803
8,#33 156.0000@10.5647 MS1+,"26    replib
Name: Library, dtype: object","26    30959.0
Name: Id, dtype: float64","26    362.188
Name: Mass, dtype: float64","26    362.0
Name: Lib MW, dtype: float64","26    181.0
Name: InLib, dtype: float64","26    853.0
Name: MF, dtype: float64","26    89.0
Name: Prob(%), dtype: float64","26    L-Glutamine, 3TMS derivative
Name: Name, dtype: object","26    C14H34N2O3Si3
Name: Formula, dtype: object","26    70591285.0
Name: CAS, dtype: float64","26    KQLPBEWWXARCMA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2532614214961415
9,#60 218.0000@9.7856 MS1+,"51    mainlib
Name: Library, dtype: object","51    52674.0
Name: Id, dtype: float64","51    309.158
Name: Mass, dtype: float64","51    309.0
Name: Lib MW, dtype: float64","51    631.0
Name: InLib, dtype: float64","51    929.0
Name: MF, dtype: float64","51    63.6
Name: Prob(%), dtype: float64","51    Phenylalanine, 2TMS derivative
Name: Name, dtype: object","51    C15H27NO2Si2
Name: Formula, dtype: object","51    2899527.0
Name: CAS, dtype: float64","51    DWNFNBPPSFIIBG-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.264652696452998
