,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#32 73.0000@37.5103 MS1+,"26    mainlib
Name: Library, dtype: object","26    55513.0
Name: Id, dtype: float64","26    488.329
Name: Mass, dtype: float64","26    488.0
Name: Lib MW, dtype: float64","26    901.0
Name: InLib, dtype: float64","26    927.0
Name: MF, dtype: float64","26    95.8
Name: Prob(%), dtype: float64","26    L-Glutamine, 3TBDMS derivative
Name: Name, dtype: object","26    C23H52N2O3Si3
Name: Formula, dtype: object","26    96381429.0
Name: CAS, dtype: float64","26    SCHQVORKBCRFQF-SFHVURJKSA-N
Name: InChIKey, dtype: object",1.004006712311344
1,#202 56.0000@36.7412 MS1+,"73    replib
Name: Library, dtype: object","73    6740.0
Name: Id, dtype: float64","73    340.334
Name: Mass, dtype: float64","73    340.0
Name: Lib MW, dtype: float64","73    333.0
Name: InLib, dtype: float64","73    894.0
Name: MF, dtype: float64","73    80.1
Name: Prob(%), dtype: float64","73    Octadecanoic acid, butyl ester
Name: Name, dtype: object","73    C22H44O2
Name: Formula, dtype: object","73    123955.0
Name: CAS, dtype: float64","73    ULBTUVJTXULMLP-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0528709801358789
2,#25 184.0000@22.1912 MS1+,"21    mainlib
Name: Library, dtype: object","21    213959.0
Name: Id, dtype: float64","21    343.236
Name: Mass, dtype: float64","21    343.0
Name: Lib MW, dtype: float64","21    584.0
Name: InLib, dtype: float64","21    959.0
Name: MF, dtype: float64","21    97.4
Name: Prob(%), dtype: float64","21    L-Proline, 2TBDMS derivative
Name: Name, dtype: object","21    C17H37NO2Si2
Name: Formula, dtype: object","21    107715913.0
Name: CAS, dtype: float64","21    ZSQADQXTZNAIQH-AWEZNQCLSA-N
Name: InChIKey, dtype: object",1.0630243174163905
3,#61 339.0000@38.7428 MS1+,"40    mainlib
Name: Library, dtype: object","40    293439.0
Name: Id, dtype: float64","40    396.342
Name: Mass, dtype: float64","40    396.0
Name: Lib MW, dtype: float64","40    160.0
Name: InLib, dtype: float64","40    938.0
Name: MF, dtype: float64","40    31.9
Name: Prob(%), dtype: float64","40    13-Octadecenoic acid, (E)-, TBDMS derivative
Name: Name, dtype: object","40    C24H48O2Si
Name: Formula, dtype: object","40    0.0
Name: CAS, dtype: float64","40    VHNVVKIRQGPQFX-ZHACJKMWSA-N
Name: InChIKey, dtype: object",1.0697765933515797
4,#1 147.0000@11.5067 MS1+,"0    replib
Name: Library, dtype: object","0    29531.0
Name: Id, dtype: float64","0    290.173
Name: Mass, dtype: float64","0    290.0
Name: Lib MW, dtype: float64","0    284.0
Name: InLib, dtype: float64","0    920.0
Name: MF, dtype: float64","0    91.5
Name: Prob(%), dtype: float64","0    Bis(tert-butyldimethylsilyl) carbonate
Name: Name, dtype: object","0    C13H30O3Si2
Name: Formula, dtype: object","0    39981925.0
Name: CAS, dtype: float64","0    IJWRJTUXZVVLND-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0806950638097843
5,#24 302.0000@43.1090 MS1+,"20    mainlib
Name: Library, dtype: object","20    284254.0
Name: Id, dtype: float64","20    447.338
Name: Mass, dtype: float64","20    447.0
Name: Lib MW, dtype: float64","20   -135.0
Name: InLib, dtype: float64","20    860.0
Name: MF, dtype: float64","20    26.5
Name: Prob(%), dtype: float64","20    2-Amino-2-methyl-1,3-propanediol, 3TBDMS deriv...
Name: Name, dtype: object","20    C22H53NO2Si3
Name: Formula, dtype: object","20    0.0
Name: CAS, dtype: float64","20    OAQMHHBNKNLTKN-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.113425884041764
6,#3 149.0000@40.5382 MS1+,"2    replib
Name: Library, dtype: object","2    29860.0
Name: Id, dtype: float64","2    390.277
Name: Mass, dtype: float64","2    390.0
Name: Lib MW, dtype: float64","2    138.0
Name: InLib, dtype: float64","2    940.0
Name: MF, dtype: float64","2    59.8
Name: Prob(%), dtype: float64","2    Bis(2-ethylhexyl) phthalate
Name: Name, dtype: object","2    C24H38O4
Name: Formula, dtype: object","2    117817.0
Name: CAS, dtype: float64","2    BJQHLKABXJIVAM-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1155499855289903
7,#11 73.0000@20.2707 MS1+,"9    mainlib
Name: Library, dtype: object","9    49761.0
Name: Id, dtype: float64","9    404.277
Name: Mass, dtype: float64","9    404.0
Name: Lib MW, dtype: float64","9    934.0
Name: InLib, dtype: float64","9    935.0
Name: MF, dtype: float64","9    98.2
Name: Prob(%), dtype: float64","9    Boric acid, 3TBDMS derivative
Name: Name, dtype: object","9    C18H45BO3Si3
Name: Formula, dtype: object","9    0.0
Name: CAS, dtype: float64","9    HURPMAKXMNYTRR-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1187254529142718
8,#167 71.0000@20.9525 MS1+,"65    mainlib
Name: Library, dtype: object","65    29184.0
Name: Id, dtype: float64","65    352.407
Name: Mass, dtype: float64","65    352.0
Name: Lib MW, dtype: float64","65   -253.0
Name: InLib, dtype: float64","65    888.0
Name: MF, dtype: float64","65    7.9
Name: Prob(%), dtype: float64","65    Pentacosane
Name: Name, dtype: object","65    C25H52
Name: Formula, dtype: object","65    629992.0
Name: CAS, dtype: float64","65    YKNWIILGEFFOPE-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.157032469248474
9,#8 383.0000@26.3258 MS1+,"6    mainlib
Name: Library, dtype: object","6    300075.0
Name: Id, dtype: float64","6    398.137
Name: Mass, dtype: float64","6    398.0
Name: Lib MW, dtype: float64","6   -197.0
Name: InLib, dtype: float64","6    836.0
Name: MF, dtype: float64","6    25.1
Name: Prob(%), dtype: float64","6    1,6-Dihydroxy-3-methylanthraquinone, O,O'-bis(...
Name: Name, dtype: object","6    C21H26O4Si2
Name: Formula, dtype: object","6    91701198.0
Name: CAS, dtype: float64","6    ZDBGLGJAGZVMGO-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.22728152992202
10,#15 200.0000@21.3405 MS1+,"13    replib
Name: Library, dtype: object","13    36601.0
Name: Id, dtype: float64","13    359.268
Name: Mass, dtype: float64","13    359.0
Name: Lib MW, dtype: float64","13    197.0
Name: InLib, dtype: float64","13    972.0
Name: MF, dtype: float64","13    64.6
Name: Prob(%), dtype: float64","13    Isoleucine, 2TBDMS derivative
Name: Name, dtype: object","13    C18H41NO2Si2
Name: Formula, dtype: object","13    107715902.0
Name: CAS, dtype: float64","13    YSWZBRBBXWCEQZ-GJZGRUSLSA-N
Name: InChIKey, dtype: object",1.2355540318787452
11,#83 147.0000@22.1410 MS1+,"47    mainlib
Name: Library, dtype: object","47    279922.0
Name: Id, dtype: float64","47    346.2
Name: Mass, dtype: float64","47    346.0
Name: Lib MW, dtype: float64","47    140.0
Name: InLib, dtype: float64","47    822.0
Name: MF, dtype: float64","47    51.5
Name: Prob(%), dtype: float64","47    Butanedioic acid, 2TBDMS derivative
Name: Name, dtype: object","47    C16H34O4Si2
Name: Formula, dtype: object","47    98847520.0
Name: CAS, dtype: float64","47    XQWHUDQRNDFVPG-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.250761783473009
12,#101 218.0000@18.9195 MS1+,"53    mainlib
Name: Library, dtype: object","53    52671.0
Name: Id, dtype: float64","53    317.221
Name: Mass, dtype: float64","53    317.0
Name: Lib MW, dtype: float64","53    237.0
Name: InLib, dtype: float64","53    884.0
Name: MF, dtype: float64","53    93.2
Name: Prob(%), dtype: float64","53    .beta.-Alanine, 2TBDMS derivative
Name: Name, dtype: object","53    C15H35NO2Si2
Name: Formula, dtype: object","53    110024889.0
Name: CAS, dtype: float64","53    GUNFYOAOWPCRHX-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.3468760341698849
