,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#8 383.0000@26.3258 MS1+,"6    mainlib
Name: Library, dtype: object","6    300075.0
Name: Id, dtype: float64","6    398.137
Name: Mass, dtype: float64","6    398.0
Name: Lib MW, dtype: float64","6   -197.0
Name: InLib, dtype: float64","6    836.0
Name: MF, dtype: float64","6    25.1
Name: Prob(%), dtype: float64","6    1,6-Dihydroxy-3-methylanthraquinone, O,O'-bis(...
Name: Name, dtype: object","6    C21H26O4Si2
Name: Formula, dtype: object","6    91701198.0
Name: CAS, dtype: float64","6    ZDBGLGJAGZVMGO-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.107364792105119
1,#86 386.0000@45.1672 MS1+,"49    replib
Name: Library, dtype: object","49    2550.0
Name: Id, dtype: float64","49    386.355
Name: Mass, dtype: float64","49    386.0
Name: Lib MW, dtype: float64","49   -168.0
Name: InLib, dtype: float64","49    882.0
Name: MF, dtype: float64","49    50.9
Name: Prob(%), dtype: float64","49    Cholesterol
Name: Name, dtype: object","49    C27H46O
Name: Formula, dtype: object","49    57885.0
Name: CAS, dtype: float64","49    HVYWMOMLDIMFJA-DPAQBDIFSA-N
Name: InChIKey, dtype: object",1.1097806015542624
2,#35 147.0000@16.7112 MS1+,"28    replib
Name: Library, dtype: object","28    29364.0
Name: Id, dtype: float64","28    303.205
Name: Mass, dtype: float64","28    303.0
Name: Lib MW, dtype: float64","28    327.0
Name: InLib, dtype: float64","28    936.0
Name: MF, dtype: float64","28    92.0
Name: Prob(%), dtype: float64","28    Glycine, 2TBDMS derivative
Name: Name, dtype: object","28    C14H33NO2Si2
Name: Formula, dtype: object","28    107715888.0
Name: CAS, dtype: float64","28    KWGCEVDISSEKES-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1149762479714609
3,#4 147.0000@11.5880 MS1+,"3    replib
Name: Library, dtype: object","3    29531.0
Name: Id, dtype: float64","3    290.173
Name: Mass, dtype: float64","3    290.0
Name: Lib MW, dtype: float64","3    273.0
Name: InLib, dtype: float64","3    948.0
Name: MF, dtype: float64","3    89.5
Name: Prob(%), dtype: float64","3    Bis(tert-butyldimethylsilyl) carbonate
Name: Name, dtype: object","3    C13H30O3Si2
Name: Formula, dtype: object","3    39981925.0
Name: CAS, dtype: float64","3    IJWRJTUXZVVLND-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1948824919017031
4,#210 207.0000@11.3317 MS1+,"77    mainlib
Name: Library, dtype: object","77    236394.0
Name: Id, dtype: float64","77    222.093
Name: Mass, dtype: float64","77    222.0
Name: Lib MW, dtype: float64","77   -464.0
Name: InLib, dtype: float64","77    800.0
Name: MF, dtype: float64","77    60.8
Name: Prob(%), dtype: float64","77    1,1,1,3,5,5,5-Heptamethyltrisiloxane
Name: Name, dtype: object","77    C7H22O2Si3
Name: Formula, dtype: object","77    1873887.0
Name: CAS, dtype: float64","77    QNWOFLWXQGHSRH-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2176672419183503
5,#3 149.0000@40.5382 MS1+,"2    replib
Name: Library, dtype: object","2    29860.0
Name: Id, dtype: float64","2    390.277
Name: Mass, dtype: float64","2    390.0
Name: Lib MW, dtype: float64","2    138.0
Name: InLib, dtype: float64","2    940.0
Name: MF, dtype: float64","2    59.8
Name: Prob(%), dtype: float64","2    Bis(2-ethylhexyl) phthalate
Name: Name, dtype: object","2    C24H38O4
Name: Formula, dtype: object","2    117817.0
Name: CAS, dtype: float64","2    BJQHLKABXJIVAM-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2283592096528246
6,#36 75.0000@41.2325 MS1+,"29    mainlib
Name: Library, dtype: object","29    56847.0
Name: Id, dtype: float64","29    418.327
Name: Mass, dtype: float64","29    418.0
Name: Lib MW, dtype: float64","29   -315.0
Name: InLib, dtype: float64","29    818.0
Name: MF, dtype: float64","29    60.5
Name: Prob(%), dtype: float64","29    Arachidonic Acid, TBDMS derivative
Name: Name, dtype: object","29    C26H46O2Si
Name: Formula, dtype: object","29    0.0
Name: CAS, dtype: float64","29    YQNWZGLWMUXCMW-FORXSXPXSA-N
Name: InChIKey, dtype: object",1.2448536213646515
7,#1 147.0000@11.5067 MS1+,"0    replib
Name: Library, dtype: object","0    29531.0
Name: Id, dtype: float64","0    290.173
Name: Mass, dtype: float64","0    290.0
Name: Lib MW, dtype: float64","0    284.0
Name: InLib, dtype: float64","0    920.0
Name: MF, dtype: float64","0    91.5
Name: Prob(%), dtype: float64","0    Bis(tert-butyldimethylsilyl) carbonate
Name: Name, dtype: object","0    C13H30O3Si2
Name: Formula, dtype: object","0    39981925.0
Name: CAS, dtype: float64","0    IJWRJTUXZVVLND-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.328092624530545
8,#16 186.0000@19.3573 MS1+,"14    replib
Name: Library, dtype: object","14    35134.0
Name: Id, dtype: float64","14    345.252
Name: Mass, dtype: float64","14    345.0
Name: Lib MW, dtype: float64","14    646.0
Name: InLib, dtype: float64","14    968.0
Name: MF, dtype: float64","14    65.9
Name: Prob(%), dtype: float64","14    L-Valine, 2TBDMS derivative
Name: Name, dtype: object","14    C17H39NO2Si2
Name: Formula, dtype: object","14    107715899.0
Name: CAS, dtype: float64","14    KPMGOLUDVQVDCW-AWEZNQCLSA-N
Name: InChIKey, dtype: object",1.406236817857193
9,#22 73.0000@25.8755 MS1+,"19    mainlib
Name: Library, dtype: object","19    53982.0
Name: Id, dtype: float64","19    353.188
Name: Mass, dtype: float64","19    353.0
Name: Lib MW, dtype: float64","19    631.0
Name: InLib, dtype: float64","19    926.0
Name: MF, dtype: float64","19    97.2
Name: Prob(%), dtype: float64","19    Taurine, 2TBDMS derivative
Name: Name, dtype: object","19    C14H35NO3SSi2
Name: Formula, dtype: object","19    0.0
Name: CAS, dtype: float64","19    PEOZIAHCNULCBU-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.412694573742092
