,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#29 147.0300@11.9925 MS1+,"20    mainlib
Name: Library, dtype: object","20    168052.0
Name: Id, dtype: float64","20    310.145
Name: Mass, dtype: float64","20    310.0
Name: Lib MW, dtype: float64","20    257.0
Name: InLib, dtype: float64","20    864.0
Name: MF, dtype: float64","20    88.2
Name: Prob(%), dtype: float64","20    Bis(tert-butyldimethylsilyl) sulfite
Name: Name, dtype: object","20    C12H30O3SSi2
Name: Formula, dtype: object","20    0.0
Name: CAS, dtype: float64","20    KWEWSQWHFIJJFE-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0106142002130123
1,#12 186.1200@15.7333 MS1+,"7    mainlib
Name: Library, dtype: object","7    216913.0
Name: Id, dtype: float64","7    345.252
Name: Mass, dtype: float64","7    345.0
Name: Lib MW, dtype: float64","7    347.0
Name: InLib, dtype: float64","7    962.0
Name: MF, dtype: float64","7    45.3
Name: Prob(%), dtype: float64","7    DL-Norvaline, 2TBDMS derivative
Name: Name, dtype: object","7    C17H39NO2Si2
Name: Formula, dtype: object","7    0.0
Name: CAS, dtype: float64","7    XATDKTHYOZZXNB-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0240117625498848
2,#109 414.1500@31.3780 MS1+,"48    mainlib
Name: Library, dtype: object","48    302694.0
Name: Id, dtype: float64","48    414.144
Name: Mass, dtype: float64","48    414.0
Name: Lib MW, dtype: float64","48   -101.0
Name: InLib, dtype: float64","48    833.0
Name: MF, dtype: float64","48    88.3
Name: Prob(%), dtype: float64","48    4H-thiopyran, 4-(diphenylmethylene)-2,6-diphenyl-
Name: Name, dtype: object","48    C30H22S
Name: Formula, dtype: object","48    0.0
Name: CAS, dtype: float64","48    OMMGJDOTJWOLBY-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0320238359924696
3,#5 441.2500@51.5953 MS1+,"2    mainlib
Name: Library, dtype: object","2    32062.0
Name: Id, dtype: float64","2    646.451
Name: Mass, dtype: float64","2    646.0
Name: Lib MW, dtype: float64","2    133.0
Name: InLib, dtype: float64","2    925.0
Name: MF, dtype: float64","2    59.8
Name: Prob(%), dtype: float64","2    Phenol, 2,4-bis(1,1-dimethylethyl)-, phosphite...
Name: Name, dtype: object","2    C42H63O3P
Name: Formula, dtype: object","2    31570044.0
Name: CAS, dtype: float64","2    JKIJEFPNVSHHEI-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0713916101546817
4,#90 221.0400@13.8003 MS1+,"44    replib
Name: Library, dtype: object","44    38383.0
Name: Id, dtype: float64","44    278.136
Name: Mass, dtype: float64","44    278.0
Name: Lib MW, dtype: float64","44   -135.0
Name: InLib, dtype: float64","44    868.0
Name: MF, dtype: float64","44    71.8
Name: Prob(%), dtype: float64","44    Boric acid, 3TMS derivative
Name: Name, dtype: object","44    C9H27BO3Si3
Name: Formula, dtype: object","44    4325853.0
Name: CAS, dtype: float64","44    YZYKZHPNRDIPFA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.086309919340232
5,#20 313.2000@34.3805 MS1+,"13    replib
Name: Library, dtype: object","13    42294.0
Name: Id, dtype: float64","13    370.327
Name: Mass, dtype: float64","13    370.0
Name: Lib MW, dtype: float64","13   -100.0
Name: InLib, dtype: float64","13    947.0
Name: MF, dtype: float64","13    35.2
Name: Prob(%), dtype: float64","13    Palmitic Acid, TBDMS derivative
Name: Name, dtype: object","13    C22H46O2Si
Name: Formula, dtype: object","13    58160875.0
Name: CAS, dtype: float64","13    GPNFTJMLPUJTAA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1065162585861794
6,#11 313.2100@34.1867 MS1+,"6    replib
Name: Library, dtype: object","6    42294.0
Name: Id, dtype: float64","6    370.327
Name: Mass, dtype: float64","6    370.0
Name: Lib MW, dtype: float64","6    116.0
Name: InLib, dtype: float64","6    946.0
Name: MF, dtype: float64","6    31.9
Name: Prob(%), dtype: float64","6    Palmitic Acid, TBDMS derivative
Name: Name, dtype: object","6    C22H46O2Si
Name: Formula, dtype: object","6    58160875.0
Name: CAS, dtype: float64","6    GPNFTJMLPUJTAA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1084306146655638
7,#43 147.0200@6.7193 MS1+,"27    replib
Name: Library, dtype: object","27    29355.0
Name: Id, dtype: float64","27    246.184
Name: Mass, dtype: float64","27    246.0
Name: Lib MW, dtype: float64","27   -278.0
Name: InLib, dtype: float64","27    838.0
Name: MF, dtype: float64","27    41.0
Name: Prob(%), dtype: float64","27    Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3...
Name: Name, dtype: object","27    C12H30OSi2
Name: Formula, dtype: object","27    67875552.0
Name: CAS, dtype: float64","27    FGTJJHCZWOVVNH-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1268374369706515
8,#18 383.1200@23.8652 MS1+,"12    mainlib
Name: Library, dtype: object","12    300047.0
Name: Id, dtype: float64","12    440.236
Name: Mass, dtype: float64","12    440.0
Name: Lib MW, dtype: float64","12    133.0
Name: InLib, dtype: float64","12    929.0
Name: MF, dtype: float64","12    47.6
Name: Prob(%), dtype: float64","12    Phosphoric acid, tris(tert-butyldimethylsilyl)...
Name: Name, dtype: object","12    C18H45O4PSi3
Name: Formula, dtype: object","12    85197280.0
Name: CAS, dtype: float64","12    XKIUTLXREGOBOW-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.237832600636496
9,#133 111.0800@18.5982 MS1+,"52    mainlib
Name: Library, dtype: object","52    48212.0
Name: Id, dtype: float64","52    196.165
Name: Mass, dtype: float64","52    196.0
Name: Lib MW, dtype: float64","52   -201.0
Name: InLib, dtype: float64","52    829.0
Name: MF, dtype: float64","52    59.2
Name: Prob(%), dtype: float64","52    Cyclopropane, 2-methylene-1-pentyl-1-trimethyl...
Name: Name, dtype: object","52    C12H24Si
Name: Formula, dtype: object","52    167300472.0
Name: CAS, dtype: float64","52    XQSJVDUDKSGPPF-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2425861355798404
10,#350 111.0700@30.9652 MS1+,"56    replib
Name: Library, dtype: object","56    4951.0
Name: Id, dtype: float64","56    242.261
Name: Mass, dtype: float64","56    242.0
Name: Lib MW, dtype: float64","56    239.0
Name: InLib, dtype: float64","56    822.0
Name: MF, dtype: float64","56    88.3
Name: Prob(%), dtype: float64","56    2-Hexadecanol
Name: Name, dtype: object","56    C16H34O
Name: Formula, dtype: object","56    14852314.0
Name: CAS, dtype: float64","56    FVDRFBGMOWJEOR-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2505032696613427
11,#14 213.0900@8.0079 MS1+,"9    mainlib
Name: Library, dtype: object","9    92471.0
Name: Id, dtype: float64","9    300.194
Name: Mass, dtype: float64","9    300.0
Name: Lib MW, dtype: float64","9   -334.0
Name: InLib, dtype: float64","9    828.0
Name: MF, dtype: float64","9    29.9
Name: Prob(%), dtype: float64","9    Succinic acid, octyl 3-oxobut-2-yl ester
Name: Name, dtype: object","9    C16H28O5
Name: Formula, dtype: object","9    0.0
Name: CAS, dtype: float64","9    SPAFUQKCFKORLB-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2781654925967063
12,#45 147.0300@13.3688 MS1+,"29    mainlib
Name: Library, dtype: object","29    50996.0
Name: Id, dtype: float64","29    303.205
Name: Mass, dtype: float64","29    303.0
Name: Lib MW, dtype: float64","29    202.0
Name: InLib, dtype: float64","29    875.0
Name: MF, dtype: float64","29    91.1
Name: Prob(%), dtype: float64","29    Glycine, 2TBDMS derivative
Name: Name, dtype: object","29    C14H33NO2Si2
Name: Formula, dtype: object","29    107715888.0
Name: CAS, dtype: float64","29    KWGCEVDISSEKES-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.3848742732540855
13,#27 341.2300@38.9595 MS1+,"18    mainlib
Name: Library, dtype: object","18    293826.0
Name: Id, dtype: float64","18    386.34
Name: Mass, dtype: float64","18    386.0
Name: Lib MW, dtype: float64","18    354.0
Name: InLib, dtype: float64","18    917.0
Name: MF, dtype: float64","18    40.1
Name: Prob(%), dtype: float64","18    1,3-Dimethoxypropan-2-yl stearate
Name: Name, dtype: object","18    C23H46O4
Name: Formula, dtype: object","18    0.0
Name: CAS, dtype: float64","18    LEBHYYRSLSCGAZ-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.41700740817694
