,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#21 132.0100@4.3186 MS1+,"15    mainlib
Name: Library, dtype: object","15    143992.0
Name: Id, dtype: float64","15    261.194
Name: Mass, dtype: float64","15    261.0
Name: Lib MW, dtype: float64","15    993.0
Name: InLib, dtype: float64","15    960.0
Name: MF, dtype: float64","15    94.4
Name: Prob(%), dtype: float64","15    Hydroxylamine, 2TBDMS derivative
Name: Name, dtype: object","15    C12H31NOSi2
Name: Formula, dtype: object","15    0.0
Name: CAS, dtype: float64","15    VRBTWNDXRFWKHO-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0718714237273463
1,#135 285.2000@13.8581 MS1+,"51    mainlib
Name: Library, dtype: object","51    56533.0
Name: Id, dtype: float64","51    326.3
Name: Mass, dtype: float64","51    326.0
Name: Lib MW, dtype: float64","51    184.0
Name: InLib, dtype: float64","51    936.0
Name: MF, dtype: float64","51    33.9
Name: Prob(%), dtype: float64","51    7-Dimethyl(prop-2-enyl)silyloxypentadecane
Name: Name, dtype: object","51    C20H42OSi
Name: Formula, dtype: object","51    0.0
Name: CAS, dtype: float64","51    SFAGVCRKDKRBND-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.131608999878173
2,#99 321.1700@20.0510 MS1+,"37    mainlib
Name: Library, dtype: object","37    289476.0
Name: Id, dtype: float64","37    466.272
Name: Mass, dtype: float64","37    466.0
Name: Lib MW, dtype: float64","37    126.0
Name: InLib, dtype: float64","37    817.0
Name: MF, dtype: float64","37    93.8
Name: Prob(%), dtype: float64","37    HEPES, 2TBDMS derivative
Name: Name, dtype: object","37    C20H46N2O4SSi2
Name: Formula, dtype: object","37    0.0
Name: CAS, dtype: float64","37    BBEMAFORIXFEJT-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1465328175817098
3,#131 153.9900@6.7145 MS1+,"50    mainlib
Name: Library, dtype: object","50    63460.0
Name: Id, dtype: float64","50    154.111
Name: Mass, dtype: float64","50    154.0
Name: Lib MW, dtype: float64","50   -320.0
Name: InLib, dtype: float64","50    804.0
Name: MF, dtype: float64","50    42.9
Name: Prob(%), dtype: float64","50    3,9-Diazabicyclo[4.2.1]nonan-4-one, 9-methyl-
Name: Name, dtype: object","50    C8H14N2O
Name: Formula, dtype: object","50    7309424.0
Name: CAS, dtype: float64","50    ZPLMTUXXQQUKDH-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1624839831404534
4,#129 414.2000@14.6525 MS1+,"49    mainlib
Name: Library, dtype: object","49    302702.0
Name: Id, dtype: float64","49    414.295
Name: Mass, dtype: float64","49    414.0
Name: Lib MW, dtype: float64","49   -127.0
Name: InLib, dtype: float64","49    858.0
Name: MF, dtype: float64","49    58.2
Name: Prob(%), dtype: float64","49    Silane, dimethyl(2-naphthoxy)tetradecyloxy-
Name: Name, dtype: object","49    C26H42O2Si
Name: Formula, dtype: object","49    0.0
Name: CAS, dtype: float64","49    XNLWMYNVLQFAGQ-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1863711798638217
5,#10 383.1800@12.0378 MS1+,"9    mainlib
Name: Library, dtype: object","9    300047.0
Name: Id, dtype: float64","9    440.236
Name: Mass, dtype: float64","9    440.0
Name: Lib MW, dtype: float64","9    150.0
Name: InLib, dtype: float64","9    988.0
Name: MF, dtype: float64","9    50.0
Name: Prob(%), dtype: float64","9    Phosphoric acid, tris(tert-butyldimethylsilyl)...
Name: Name, dtype: object","9    C18H45O4PSi3
Name: Formula, dtype: object","9    85197280.0
Name: CAS, dtype: float64","9    XKIUTLXREGOBOW-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1972792353179935
6,#90 179.0200@8.3408 MS1+,"33    replib
Name: Library, dtype: object","33    34135.0
Name: Id, dtype: float64","33    236.123
Name: Mass, dtype: float64","33    236.0
Name: Lib MW, dtype: float64","33    273.0
Name: InLib, dtype: float64","33    948.0
Name: MF, dtype: float64","33    81.4
Name: Prob(%), dtype: float64","33    Benzoic Acid, TBDMS derivative
Name: Name, dtype: object","33    C13H20O2Si
Name: Formula, dtype: object","33    75732411.0
Name: CAS, dtype: float64","33    GPSVOHKZRIFVOF-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.285693812472862
7,#87 213.1600@12.3882 MS1+,"32    mainlib
Name: Library, dtype: object","32    241102.0
Name: Id, dtype: float64","32    325.237
Name: Mass, dtype: float64","32    325.0
Name: Lib MW, dtype: float64","32   -113.0
Name: InLib, dtype: float64","32    915.0
Name: MF, dtype: float64","32    44.8
Name: Prob(%), dtype: float64","32    Ethyl 4-(1-(cyclopentylamino)-3-methyl-1-oxobu...
Name: Name, dtype: object","32    C17H31N3O3
Name: Formula, dtype: object","32    0.0
Name: CAS, dtype: float64","32    CFZQZYJEADPAPA-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2876330824308546
8,#438 113.0700@9.8547 MS1+,"73    replib
Name: Library, dtype: object","73    7408.0
Name: Id, dtype: float64","73    380.438
Name: Mass, dtype: float64","73    380.0
Name: Lib MW, dtype: float64","73   -371.0
Name: InLib, dtype: float64","73    811.0
Name: MF, dtype: float64","73    51.6
Name: Prob(%), dtype: float64","73    Heptacosane
Name: Name, dtype: object","73    C27H56
Name: Formula, dtype: object","73    593497.0
Name: CAS, dtype: float64","73    BJQWYEJQWHSSCJ-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.3103466728857696
9,#161 242.1100@4.8067 MS1+,"58    mainlib
Name: Library, dtype: object","58    7827.0
Name: Id, dtype: float64","58    504.236
Name: Mass, dtype: float64","58    504.0
Name: Lib MW, dtype: float64","58    102.0
Name: InLib, dtype: float64","58    808.0
Name: MF, dtype: float64","58    93.4
Name: Prob(%), dtype: float64","58    3,19:14,15-Diepoxypregnan-20-one, 3,11,18-tria...
Name: Name, dtype: object","58    C27H36O9
Name: Formula, dtype: object","58    0.0
Name: CAS, dtype: float64","58    OPNWAAOIBIVFQD-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.33240533512688
