,name,pubchem_id
0,1-hexadecanol,2682
1,1-monoolein,5319879
2,2-aminoadipic acid,469
3,2-deoxyerythritol,18302
4,2-hydroxyglutaric acid,43
5,2-ketoisocaproic acid,70
6,2-monoolein,5319879
7,2-monopalmitin,3084463
8,3-phosphoglycerate,724
9,5-aminovaleric acid,138
10,5b-cholestanol,6665
11,5'-deoxy-5'-methylthioadenosine,439176
12,7-alpha-hydroxycholesterol,107722
13,aconitic acid,643757
14,adenine,190
15,adenosine,60961
16,adenosine-5-phosphate,6083
17,adipic acid,196
18,alanine,5950
19,alpha ketoglutaric acid,51
20,aminomalonic acid,100714
21,arachidic acid,10467
22,asparagine,6267
23,asparagine dehydrated,6267
24,aspartate,5960
25,aspartic acid,5960
26,behenic acid,8215
27,benzoic acid,243
28,beta alanine,239
29,"butane-2,3-diol",262
30,capric acid,2969
31,cellobiotol,160514
32,cholesterol,5997
33,citric acid,311
34,CMP,6131
35,conduritol beta epoxide,119054
36,creatinine,588
37,cysteine,594
38,cysteine-glycine,439498
39,cytidine-5'-diphosphate,6132
40,cytidine-5-monophosphate,6131
41,cytosin,597
42,elaidic acid,965
43,enolpyruvate NIST,1005
44,erythritol,222285
45,ethanolamine,700
46,fructose,5984
47,"fructose-1,6-bisphosphate",172313
48,fructose 1 phosphate,65246
49,fructose-6-phosphate,69507
50,fumarate,444972
51,GABA,119
52,galactinol isomer,11727586
53,galactose-6-phosphate_200536,99058
54,galacturonic acid,84740
55,gamma glutamyl-valine,7015683
56,glucoheptulose,102926
57,glucose,5793
58,glucose-1-phosphate,65533
59,glucose-6-phosphate,5958
60,glutamic acid,33032
61,glutamine,5961
62,glyceric acid,439194
63,glycerol-3-galactoside,656504
64,glycerol-alpha-phosphate,754
65,glycerol-beta-phosphate,2526
66,glycine,750
67,glycolic acid,757
68,guanine,764
69,guanosine,6802
70,heptadecanoic acid,10465
71,histidine,6274
72,homoserine,12647
73,hydroxycarbamate NIST,16639161
74,hydroxylamine,787
75,hypoxanthine,790
76,idonic acid NIST,193325
77,inosine,6021
78,inosine 5'-monophosphate,8582
79,inositol-4-monophosphate,6349
80,inositol myo-,892
81,isocitric acid,1198
82,isoleucine,6306
83,isothreonic acid,151152
84,lactamide,94220
85,lactic acid,107689
86,lauric acid,3893
87,leucine,6106
88,levoglucosan,2724705
89,lysine,5962
90,malate,222656
91,maleimide,10935
92,maltose,439186
93,maltotriose minor,92146
94,methanolphosphate,13130
95,methionine,6137
96,monopalmitin-1-glyceride,14900
97,myristic acid,11005
98,N-acetylaspartic acid,65065
99,N-acetyl-D-mannosamine,65150
100,N-acetylgalactosamine,35717
101,nicotinamide,936
102,ononitol,230881
103,oxalic acid,971
104,oxoproline,7405
105,palmitic acid,985
106,palmitoleic acid,445638
107,pantothenic acid,988
108,pelargonic acid,8158
109,pentadecanoic acid,13849
110,phenylalanine,6140
111,phenylethylamine,1001
112,proline,145742
113,putrescine,1045
114,"pyrazine 2,5-dihydroxy  NIST",15532987
115,pyrophosphate,644102
116,pyruvic acid,1060
117,ribitol,6912
118,ribulose-5-phosphate,439184
119,salicylic acid,338
120,serine,5951
121,sorbitol,453
122,spermidine,1102
123,stearic acid,5281
124,stigmasterol,222284
125,succinic acid,1110
126,sucrose,5988
127,taurine,1123
128,threonine,6288
129,thymidine-5-monophosphate,12803287
130,thymine,1135
131,tryptophan,6305
132,tyrosine,6057
133,UDP GlcNAc,445675
134,UDP-glucuronic acid,17473
135,uracil,1174
136,urea,1176
137,uridine,6029
138,uridine-5'-monophosphate,6030
139,valine,6287
140,xylulose NIST,5289590
