SpectrumId,SubmissionId,name
365808,126,"#1 73.0000@10.3700 MS1+"
365809,126,"#2 73.0000@11.3617 MS1+"
365810,126,"#3 73.0000@10.4800 MS1+"
365811,126,"#4 73.0000@5.5100 MS1+"
365812,126,"#5 73.0000@5.1425 MS1+"
365813,126,"#6 73.0000@5.6483 MS1+"
365814,126,"#7 73.0000@5.5933 MS1+"
365815,126,"#8 73.0000@5.4533 MS1+"
365816,126,"#9 73.0000@5.2275 MS1+"
365817,126,"#10 73.0000@4.5642 MS1+"
365818,126,"#11 73.0000@5.8992 MS1+"
365819,126,"#12 73.0000@5.5942 MS1+"
365820,126,"#13 73.0000@5.5583 MS1+"
365821,126,"#14 73.0000@10.8275 MS1+"
365822,126,"#15 73.0000@6.5942 MS1+"
365823,126,"#16 73.0000@8.4408 MS1+"
365824,126,"#17 100.0000@4.5175 MS1+"
365825,126,"#18 73.0000@5.0617 MS1+"
365826,126,"#19 73.0000@9.1533 MS1+"
365827,126,"#20 73.0000@8.9033 MS1+"
365828,126,"#21 100.0000@4.4417 MS1+"
365829,126,"#22 73.0000@5.0108 MS1+"
365830,126,"#23 73.0000@10.1442 MS1+"
365831,126,"#24 100.0000@4.4742 MS1+"
365832,126,"#25 73.0000@11.0400 MS1+"
365833,126,"#26 86.0000@4.2667 MS1+"
365834,126,"#27 86.0000@4.4125 MS1+"
365835,126,"#28 73.0000@6.2433 MS1+"
365836,126,"#29 75.0000@12.0450 MS1+"
365837,126,"#30 86.0000@4.4075 MS1+"
365838,126,"#31 73.0000@5.8583 MS1+"
365839,126,"#32 68.0000@4.7842 MS1+"
365840,126,"#33 75.0000@11.1350 MS1+"
365841,126,"#34 69.0000@4.9717 MS1+"
365842,126,"#35 69.0000@4.9158 MS1+"
365843,126,"#36 73.0000@6.3525 MS1+"
365844,126,"#37 73.0000@6.7783 MS1+"
365845,126,"#38 73.0000@6.5883 MS1+"
365846,126,"#39 73.0000@6.2008 MS1+"
365847,126,"#40 147.0000@5.8133 MS1+"
365848,126,"#41 73.0000@10.1033 MS1+"
365849,126,"#42 73.0000@10.9075 MS1+"
365850,126,"#43 73.0000@4.3400 MS1+"
365851,126,"#44 73.0000@10.6483 MS1+"
365852,126,"#45 73.0000@5.6975 MS1+"
365853,126,"#46 73.0000@10.3075 MS1+"
365854,126,"#47 73.0000@4.4867 MS1+"
365855,126,"#48 73.0000@10.0192 MS1+"
365856,126,"#49 174.0000@6.8758 MS1+"
365857,126,"#50 73.0000@8.0742 MS1+"
365858,126,"#51 73.0000@8.1408 MS1+"
365859,126,"#52 74.0000@10.5608 MS1+"
365860,126,"#53 73.0000@9.9300 MS1+"
365861,126,"#54 73.0000@4.6217 MS1+"
365862,126,"#55 147.0000@5.5017 MS1+"
365863,126,"#56 73.0000@8.1075 MS1+"
365864,126,"#57 73.0000@7.8725 MS1+"
365865,126,"#58 84.0000@8.1842 MS1+"
365866,126,"#59 73.0000@10.6667 MS1+"
365867,126,"#60 73.0000@9.2875 MS1+"
365868,126,"#61 73.0000@7.3333 MS1+"
365869,126,"#62 74.0000@6.3167 MS1+"
365870,126,"#63 75.0000@9.0300 MS1+"
365871,126,"#64 74.0000@8.3083 MS1+"
365872,126,"#65 75.0000@11.9333 MS1+"
365873,126,"#66 74.0000@7.0025 MS1+"
365874,126,"#67 59.0000@12.5958 MS1+"
365875,126,"#68 147.0000@8.8217 MS1+"
365876,126,"#69 73.0000@8.4092 MS1+"
365877,126,"#70 74.0000@5.6292 MS1+"
365878,126,"#71 71.0000@8.7483 MS1+"
365879,126,"#72 74.0000@9.4750 MS1+"
365880,126,"#73 73.0000@7.8408 MS1+"
365881,126,"#74 70.0000@6.0025 MS1+"
365882,126,"#75 73.0000@15.7367 MS1+"
365883,126,"#76 73.0000@8.3583 MS1+"
365884,126,"#77 73.0000@5.3600 MS1+"
365885,126,"#78 77.0000@4.6950 MS1+"
365886,126,"#79 73.0000@9.0592 MS1+"
365887,126,"#80 117.0000@12.8783 MS1+"
365888,126,"#81 149.0000@10.2692 MS1+"
365889,126,"#82 73.0000@9.6500 MS1+"
365890,126,"#83 57.0000@16.7817 MS1+"
365891,126,"#84 57.0000@6.6850 MS1+"
365892,126,"#85 73.0000@9.4350 MS1+"
365893,126,"#86 75.0000@11.8958 MS1+"
365894,126,"#87 73.0000@7.9058 MS1+"
365895,126,"#88 86.0000@5.8408 MS1+"
365896,126,"#89 57.0000@8.3850 MS1+"
365897,126,"#90 57.0000@9.3717 MS1+"
365898,126,"#91 57.0000@9.2025 MS1+"
365899,126,"#92 71.0000@9.7200 MS1+"
365900,126,"#93 57.0000@9.3300 MS1+"
365901,126,"#94 73.0000@7.7950 MS1+"
365902,126,"#95 71.0000@8.5208 MS1+"
365903,126,"#96 57.0000@7.6367 MS1+"
365904,126,"#97 57.0000@9.7642 MS1+"
365905,126,"#98 57.0000@8.5808 MS1+"
