,position,name,ms_level,polarity,retention_time,height,mz,neutral_mass,adducts,p_value,quantitation_mass,140111dlvsa01_1.cdf retention_time,140111dlvsa01_1.cdf height,140111dlvsa01_1.cdf mz,140111dlvsa02_1.cdf retention_time,140111dlvsa02_1.cdf height,140111dlvsa02_1.cdf mz,140111dlvsa03_1.cdf retention_time,140111dlvsa03_1.cdf height,140111dlvsa03_1.cdf mz,140111dlvsa04_1.cdf retention_time,140111dlvsa04_1.cdf height,140111dlvsa04_1.cdf mz,140111dlvsa05_1.cdf retention_time,140111dlvsa05_1.cdf height,140111dlvsa05_1.cdf mz,140111dlvsa06_1.cdf retention_time,140111dlvsa06_1.cdf height,140111dlvsa06_1.cdf mz,140111dlvsa08_1.cdf retention_time,140111dlvsa08_1.cdf height,140111dlvsa08_1.cdf mz,140111dlvsa09_1.cdf retention_time,140111dlvsa09_1.cdf height,140111dlvsa09_1.cdf mz,140111dlvsa11_1.cdf retention_time,140111dlvsa11_1.cdf height,140111dlvsa11_1.cdf mz,140111dlvsa12_1.cdf retention_time,140111dlvsa12_1.cdf height,140111dlvsa12_1.cdf mz,140111dlvsa13_1.cdf retention_time,140111dlvsa13_1.cdf height,140111dlvsa13_1.cdf mz,140111dlvsa14_1.cdf retention_time,140111dlvsa14_1.cdf height,140111dlvsa14_1.cdf mz,140111dlvsa15_1.cdf retention_time,140111dlvsa15_1.cdf height,140111dlvsa15_1.cdf mz,140111dlvsa16_1.cdf retention_time,140111dlvsa16_1.cdf height,140111dlvsa16_1.cdf mz,140111dlvsa17_1.cdf retention_time,140111dlvsa17_1.cdf height,140111dlvsa17_1.cdf mz,140111dlvsa18_1.cdf retention_time,140111dlvsa18_1.cdf height,140111dlvsa18_1.cdf mz,140111dlvsa19_1.cdf retention_time,140111dlvsa19_1.cdf height,140111dlvsa19_1.cdf mz,140111dlvsa20_1.cdf retention_time,140111dlvsa20_1.cdf height,140111dlvsa20_1.cdf mz,140111dlvsa21_1.cdf retention_time,140111dlvsa21_1.cdf height,140111dlvsa21_1.cdf mz,140111dlvsa22_1.cdf retention_time,140111dlvsa22_1.cdf height,140111dlvsa22_1.cdf mz,140111dlvsa23_1.cdf retention_time,140111dlvsa23_1.cdf height,140111dlvsa23_1.cdf mz,140111dlvsa24_1.cdf retention_time,140111dlvsa24_1.cdf height,140111dlvsa24_1.cdf mz,140111dlvsa25_1.cdf retention_time,140111dlvsa25_1.cdf height,140111dlvsa25_1.cdf mz,140111dlvsa26_1.cdf retention_time,140111dlvsa26_1.cdf height,140111dlvsa26_1.cdf mz,140111dlvsa27_1.cdf retention_time,140111dlvsa27_1.cdf height,140111dlvsa27_1.cdf mz,140111dlvsa28_1.cdf retention_time,140111dlvsa28_1.cdf height,140111dlvsa28_1.cdf mz,140111dlvsa29_1.cdf retention_time,140111dlvsa29_1.cdf height,140111dlvsa29_1.cdf mz,140111dlvsa30_1.cdf retention_time,140111dlvsa30_1.cdf height,140111dlvsa30_1.cdf mz,VIP
13,14,#14 117.0000@8.0078 MS1+,1,+,8.00782,245501.0,117.0,,,0.2348313835423106,117.0,8.0088,367256.0,117.0,8.00782,197172.0,117.0,8.0088,230914.0,117.0,8.00782,156350.0,117.0,8.0088,539789.0,117.0,8.00782,145814.0,117.0,8.00782,226570.0,117.0,8.00782,227393.0,117.0,8.00782,162610.0,117.0,8.00684,233243.0,117.0,8.00782,193409.42792840672,117.0,8.00684,80675.12360863204,117.0,8.0088,385133.5543235937,117.0,8.00782,181041.0,117.0,8.00586,78995.08864758495,117.0,8.00782,245501.0,117.0,8.00684,245706.3213622907,117.0,8.00684,230928.0,117.0,8.00586,117212.75376966305,117.0,8.00782,238805.0,117.0,8.00586,188258.6276314209,117.0,8.00684,117439.0,117.0,8.00684,136873.3762274198,117.0,8.00586,119216.40158983828,117.0,8.00586,111644.0,117.0,8.00782,383596.0,117.0,8.00684,208700.0,117.0,8.00684,130573.96514164784,117.0,0.8092541492926778
40,41,#41 103.0000@11.5172 MS1+,1,+,11.5172,66116.21157264695,103.0,,,0.0447831350901609,103.0,11.51818,89947.0,103.0,11.5172,88444.72315921051,103.0,11.5172,79241.0,103.0,11.51818,68855.56156333044,103.0,11.51818,110004.0,103.0,11.5172,54123.0,103.0,11.51622,42623.03434303943,103.0,11.5172,56098.0,103.0,11.5172,31488.0,103.0,11.51622,63494.0,103.0,11.5172,66116.21157264695,103.0,11.5172,54909.0,103.0,11.51818,84412.0,103.0,11.51818,72950.0,103.0,11.5172,50733.0,103.0,11.5172,65870.95502551066,103.0,11.5172,66449.44822290223,103.0,11.5172,86409.93920280668,103.0,11.5172,38071.479172430205,103.0,11.51622,55509.0,103.0,11.5172,44257.0,103.0,11.515240000000002,64413.57071681893,103.0,11.51622,73679.0,103.0,11.5172,50300.0,103.0,11.515240000000002,67336.0,103.0,11.51622,89030.27671592125,103.0,11.51622,68729.0,103.0,11.515240000000002,52212.0,103.0,0.8094139425807453
11,12,#12 147.0000@10.1178 MS1+,1,+,10.11776,66130.03277693281,147.0,,,0.2173216660772834,147.0,10.11972,265735.7646938598,147.0,10.11874,158165.0,147.0,10.11776,116768.58946328558,147.0,10.11776,59342.95496588248,147.0,10.1207,613132.6016303614,147.0,10.11776,44789.61870236788,147.0,10.115800000000002,31052.81745725731,147.0,10.11678,72418.2517720083,147.0,,,,10.11874,14894.0,147.0,10.11776,14671.196353677507,147.0,10.11776,16513.0,147.0,10.11972,319156.7791478755,147.0,10.11776,84533.62855117852,147.0,,,,10.11776,66130.03277693281,147.0,10.11776,156827.90124356744,147.0,10.11776,101482.77169756764,147.0,,,,,,,,,,10.11776,31726.0,147.0,10.11776,36170.9209412826,147.0,10.115800000000002,13444.0,147.0,10.11678,33150.0,147.0,10.11776,239230.38767188668,147.0,10.11678,72817.0,147.0,10.115800000000002,30534.0,147.0,0.8298588288508038
81,82,#82 107.0000@6.0900 MS1+,1,+,6.0899600000000005,2306.862075500163,107.0,,,0.0073970420084207,107.0,6.090940000000001,2199.016247741152,106.0,,,,6.090940000000001,2520.394888962141,151.0,6.08702,2746.653842674869,151.0,6.082120000000001,6328.512023847839,107.0,6.08898,3110.0,151.0,6.07624,3400.14375376231,107.0,6.07526,3872.439287210672,107.0,,,,6.07722,2971.065554915177,106.0,6.08604,5730.559637642499,107.0,6.09682,2621.068631559381,107.0,6.07722,4908.4356128638565,107.0,6.09584,4059.170544990786,107.0,,,,6.07722,2784.8760871131603,106.0,6.08408,2502.0,106.0,6.08408,3941.718893351777,106.0,,,,6.07918,9985.043806958469,107.0,6.07134,5263.380637248447,107.0,6.09192,1834.0,107.0,6.10172,2951.0,107.0,6.0929,3147.684810308762,107.0,6.09192,2056.2048488840487,151.0,6.0684,11220.483165824968,107.0,6.0831,5874.457082400731,107.0,6.0899600000000005,2306.862075500163,107.0,0.8303034366877162
82,83,#83 89.0000@9.9335 MS1+,1,+,9.93352,7354.785998231133,89.0,,,0.3133973234990486,89.0,9.934500000000002,7929.172112831975,89.0,9.93352,7354.785998231133,89.0,9.93156,5105.331617345808,89.0,9.93352,4278.522676854791,89.0,9.934500000000002,11070.451278626617,147.0,9.93352,3124.0709412677934,147.0,9.93156,2913.509799236135,89.0,9.93352,4301.452669473648,89.0,,,,9.93352,3332.0,89.0,9.93254,3637.2257638338415,89.0,9.93352,2978.0,89.0,9.934500000000002,9768.058063846836,89.0,9.93352,4962.853677193858,89.0,,,,9.93254,4858.947034250179,89.0,9.93352,5622.500812112443,89.0,9.934500000000002,4418.025002991009,89.0,9.93254,2033.0,89.0,9.934500000000002,2635.141124784531,89.0,9.93352,2744.0,89.0,9.93254,4213.453562934576,89.0,9.934500000000002,2977.549057235949,89.0,9.93352,2351.414010526776,89.0,9.93058,3588.0,89.0,9.93254,6014.382491577855,89.0,9.93352,4246.568143220179,89.0,9.93254,3613.752480615871,89.0,0.8337338455472266
93,94,#94 456.0000@16.7749 MS1+,1,+,16.7749,1862.0,456.0,,,7.20278725552248e-10,456.0,16.7749,1866.0,456.0,16.7749,1548.0,456.0,16.77392,1691.9873819418403,456.0,16.781760000000002,1627.0,456.0,16.77784,1687.5616074478366,456.0,16.77588,1466.0,456.0,16.77392,1522.0,456.0,,,,,,,16.776860000000003,1582.7402749696298,456.0,,,,16.781760000000002,1319.0,457.0,16.7798,1833.8238702327328,456.0,16.7749,1862.0,456.0,16.7749,1829.0,456.0,16.7798,1511.0,456.0,16.77392,1855.982826539079,456.0,,,,16.776860000000003,1452.0,456.0,16.776860000000003,1879.8970957394688,456.0,16.778820000000003,1479.0,456.0,16.77098,1486.0,456.0,16.776860000000003,1858.5694864309817,456.0,16.7749,1943.0,456.0,16.772940000000002,1689.0,456.0,,,,,,,16.77,1514.0,456.0,0.8408731798801953
29,30,#30 87.0000@6.9671 MS1+,1,+,6.96706,184022.63492388072,87.0,,,0.3440015911062778,87.0,6.96804,175100.4929177391,87.0,6.96804,185769.9853009913,87.0,6.96804,187259.4549773703,87.0,6.966080000000001,180125.90101135595,87.0,6.96804,192466.7620277489,87.0,6.96706,176326.56127852417,87.0,6.96706,191028.64049798145,87.0,6.96706,184022.63492388072,87.0,6.96706,174874.70014860752,87.0,6.96706,176624.0,87.0,6.96902,202185.14451505744,87.0,6.96804,185594.96212131917,87.0,6.966080000000001,196176.35717708225,87.0,6.96902,204973.3416355808,87.0,6.966080000000001,178465.4454149779,87.0,6.96706,199551.0,87.0,6.966080000000001,176289.2458354866,87.0,6.966080000000001,191473.5576992055,87.0,6.96706,183308.0,87.0,6.96706,193309.74066378412,87.0,6.966080000000001,187074.3903513425,87.0,6.96804,197372.7950335894,87.0,6.966080000000001,192485.6176096993,87.0,6.9651000000000005,183238.19141474547,87.0,6.96706,199568.1978680491,87.0,6.96804,186416.97501857183,87.0,6.96706,192221.5845937443,87.0,6.96804,196820.0,87.0,0.8487986664638659
35,36,#36 147.0000@6.7025 MS1+,1,+,6.70246,55884.0,147.0,,,0.0292622138755751,147.0,6.70246,147563.20589398145,147.0,6.7034400000000005,67475.88950685151,147.0,6.70246,64353.0,147.0,6.70246,56573.73586229675,147.0,6.70246,76839.73072936074,147.0,6.70246,57687.97999272196,147.0,6.70246,56339.266867729086,147.0,6.7034400000000005,46093.49777152025,147.0,6.70246,61964.85428653819,147.0,6.7005,68859.00994325617,147.0,6.7054,57421.0,147.0,6.70442,52842.86712599755,147.0,6.70246,66093.42077496073,147.0,6.7054,57782.0,147.0,6.70148,51476.709074562255,147.0,6.70246,55884.0,147.0,6.70148,50064.877950792696,147.0,6.70148,44779.30383907623,147.0,6.70246,64302.8898609357,147.0,6.70148,76106.0,147.0,6.7005,76532.9270085176,147.0,6.7034400000000005,63152.36808645654,147.0,6.70148,61301.201794483255,147.0,6.7005,70610.58963066555,147.0,6.7034400000000005,58008.62849948043,147.0,6.70246,62265.808024522834,147.0,6.70246,49589.94563450736,147.0,6.7034400000000005,56730.55727749876,147.0,0.8603215207773365
65,66,#66 174.0000@10.2246 MS1+,1,+,10.22458,13019.0,174.0,,,0.0006266977898302661,174.0,,,,10.22458,8225.0,217.0,,,,10.219680000000002,9517.156062770928,217.0,10.22654,14573.73916205168,174.0,,,,10.22458,15074.120588982109,174.0,,,,10.22654,11059.951450794386,174.0,,,,,,,10.2236,4979.0,174.0,10.22458,13019.0,174.0,,,,,,,,,,10.2236,9080.594589112094,217.0,10.2236,10096.0,174.0,10.22262,5415.73991729959,217.0,10.22458,28755.0,174.0,10.2236,26949.0,174.0,10.22262,7406.0,174.0,10.2236,7868.985488310243,174.0,,,,10.220660000000002,12499.0,217.0,,,,,,,10.22262,7359.0,174.0,0.8613579870596323
6,7,#7 156.0000@10.3833 MS1+,1,+,10.38334,741485.7040789805,156.0,,,0.152935924972424,156.0,10.38628,907703.2718450208,156.0,10.3853,898571.8328933727,156.0,10.38432,762435.7521432423,156.0,10.38334,588954.4313452332,156.0,10.38824,1406572.7386864536,156.0,10.381380000000002,525373.0607212997,156.0,10.382360000000002,391564.0392768688,156.0,10.38334,533483.1807631657,156.0,10.382360000000002,190878.650119262,156.0,10.382360000000002,510019.884611928,156.0,10.38432,578806.3362114893,156.0,10.382360000000002,447877.4672129056,156.0,10.38726,1355767.724652371,156.0,10.38334,741485.7040789805,156.0,10.380400000000002,222900.0,156.0,10.38334,642132.2806984714,156.0,10.38432,873088.7222706813,156.0,10.38432,665718.3377353325,156.0,10.381380000000002,387033.9882276988,156.0,10.3853,525760.2869900423,156.0,10.38334,429198.3711562526,156.0,10.381380000000002,573418.4102311824,156.0,10.382360000000002,462496.7179689167,156.0,10.382360000000002,444617.1170110802,156.0,10.381380000000002,546195.4561580672,156.0,10.3853,978397.7575691316,156.0,10.382360000000002,599395.9659563238,156.0,10.381380000000002,552228.2711607689,156.0,0.8954569676161337
