SpectrumId,SubmissionId,name
359417,96,"#1 147.0000@5.7087 MS1+"
359418,96,"#2 299.0000@7.2346 MS1+"
359419,96,"#3 147.0000@12.0013 MS1+"
359420,96,"#4 174.0000@7.5119 MS1+"
359421,96,"#5 147.0000@6.3085 MS1+"
359422,96,"#6 246.0000@9.4906 MS1+"
359423,96,"#7 156.0000@10.3833 MS1+"
359424,96,"#8 156.0000@8.9535 MS1+"
359425,96,"#9 110.0000@7.0170 MS1+"
359426,96,"#10 147.0000@8.6664 MS1+"
359427,96,"#11 116.0000@6.0174 MS1+"
359428,96,"#12 147.0000@10.1178 MS1+"
359429,96,"#13 102.0000@6.1644 MS1+"
359430,96,"#14 117.0000@8.0078 MS1+"
359431,96,"#15 100.0000@8.8781 MS1+"
359432,96,"#16 142.0000@7.4659 MS1+"
359433,96,"#17 204.0000@7.8314 MS1+"
359434,96,"#18 129.0000@16.4672 MS1+"
359435,96,"#19 218.0000@11.2663 MS1+"
359436,96,"#20 147.0000@10.2697 MS1+"
359437,96,"#21 169.0000@15.0148 MS1+"
359438,96,"#22 144.0000@6.8485 MS1+"
359439,96,"#23 87.0000@8.9800 MS1+"
359440,96,"#24 116.0000@7.1552 MS1+"
359441,96,"#25 86.0000@6.6192 MS1+"
359442,96,"#26 87.0000@7.6687 MS1+"
359443,96,"#27 87.0000@10.1619 MS1+"
359444,96,"#28 87.0000@11.2330 MS1+"
359445,96,"#29 86.0000@6.4545 MS1+"
359446,96,"#30 87.0000@6.9671 MS1+"
359447,96,"#31 117.0000@12.7099 MS1+"
359448,96,"#32 117.0000@11.7994 MS1+"
359449,96,"#33 87.0000@6.2468 MS1+"
359450,96,"#34 169.0000@15.8704 MS1+"
359451,96,"#35 147.0000@10.5921 MS1+"
359452,96,"#36 147.0000@6.7025 MS1+"
359453,96,"#37 228.0000@8.2636 MS1+"
359454,96,"#38 117.0000@7.4169 MS1+"
359455,96,"#39 218.0000@9.5944 MS1+"
359456,96,"#40 245.0000@7.7854 MS1+"
359457,96,"#41 103.0000@11.5172 MS1+"
359458,96,"#42 147.0000@10.6744 MS1+"
359459,96,"#43 87.0000@12.2101 MS1+"
359460,96,"#44 87.0000@13.1038 MS1+"
359461,96,"#45 147.0000@8.5743 MS1+"
359462,96,"#46 87.0000@13.9290 MS1+"
359463,96,"#47 87.0000@14.6924 MS1+"
359464,96,"#48 147.0000@10.5147 MS1+"
359465,96,"#49 147.0000@12.5295 MS1+"
359466,96,"#50 116.0000@9.7924 MS1+"
359467,96,"#51 87.0000@15.4166 MS1+"
359468,96,"#52 451.0000@9.7120 MS1+"
359469,96,"#53 169.0000@15.0658 MS1+"
359470,96,"#54 100.0000@8.8320 MS1+"
359471,96,"#55 99.0000@7.7236 MS1+"
359472,96,"#56 87.0000@16.2055 MS1+"
359473,96,"#57 241.0000@7.8638 MS1+"
359474,96,"#58 156.0000@11.1644 MS1+"
359475,96,"#59 147.0000@11.0027 MS1+"
359476,96,"#60 149.0000@13.9868 MS1+"
359477,96,"#61 147.0000@10.7273 MS1+"
359478,96,"#62 87.0000@17.1453 MS1+"
359479,96,"#63 169.0000@14.3798 MS1+"
359480,96,"#64 103.0000@14.0515 MS1+"
359481,96,"#65 147.0000@14.4631 MS1+"
359482,96,"#66 174.0000@10.2246 MS1+"
359483,96,"#67 123.0000@5.6254 MS1+"
359484,96,"#68 147.0000@14.2426 MS1+"
359485,96,"#69 110.0000@6.7632 MS1+"
359486,96,"#70 120.0000@9.1730 MS1+"
359487,96,"#71 160.0000@8.2999 MS1+"
359488,96,"#72 110.0000@14.8561 MS1+"
359489,96,"#73 147.0000@13.4184 MS1+"
359490,96,"#74 191.0000@8.7301 MS1+"
359491,96,"#75 147.0000@9.2034 MS1+"
359492,96,"#76 258.0000@13.2724 MS1+"
359493,96,"#77 147.0000@12.6060 MS1+"
359494,96,"#78 117.0000@10.8067 MS1+"
359495,96,"#79 179.0000@11.0448 MS1+"
359496,96,"#80 103.0000@12.3943 MS1+"
359497,96,"#81 169.0000@15.2265 MS1+"
359498,96,"#82 107.0000@6.0900 MS1+"
359499,96,"#83 89.0000@9.9335 MS1+"
359500,96,"#84 146.0000@5.9704 MS1+"
359501,96,"#85 103.0000@12.8823 MS1+"
359502,96,"#86 179.0000@8.7928 MS1+"
359503,96,"#87 204.0000@9.9962 MS1+"
359504,96,"#88 147.0000@14.5317 MS1+"
359505,96,"#89 241.0000@6.5711 MS1+"
359506,96,"#90 264.0000@10.9645 MS1+"
359507,96,"#91 167.0000@6.2134 MS1+"
359508,96,"#92 103.0000@10.0707 MS1+"
359509,96,"#93 131.0000@13.5438 MS1+"
359510,96,"#94 456.0000@16.7749 MS1+"
