,position,name,ms_level,polarity,retention_time,height,mz,neutral_mass,adducts,p_value,quantitation_mass,140111dlvsa01_1.cdf retention_time,140111dlvsa01_1.cdf height,140111dlvsa01_1.cdf mz,140111dlvsa02_1.cdf retention_time,140111dlvsa02_1.cdf height,140111dlvsa02_1.cdf mz,140111dlvsa03_1.cdf retention_time,140111dlvsa03_1.cdf height,140111dlvsa03_1.cdf mz,140111dlvsa04_1.cdf retention_time,140111dlvsa04_1.cdf height,140111dlvsa04_1.cdf mz,140111dlvsa05_1.cdf retention_time,140111dlvsa05_1.cdf height,140111dlvsa05_1.cdf mz,140111dlvsa06_1.cdf retention_time,140111dlvsa06_1.cdf height,140111dlvsa06_1.cdf mz,140111dlvsa08_1.cdf retention_time,140111dlvsa08_1.cdf height,140111dlvsa08_1.cdf mz,140111dlvsa09_1.cdf retention_time,140111dlvsa09_1.cdf height,140111dlvsa09_1.cdf mz,140111dlvsa11_1.cdf retention_time,140111dlvsa11_1.cdf height,140111dlvsa11_1.cdf mz,140111dlvsa12_1.cdf retention_time,140111dlvsa12_1.cdf height,140111dlvsa12_1.cdf mz,140111dlvsa13_1.cdf retention_time,140111dlvsa13_1.cdf height,140111dlvsa13_1.cdf mz,140111dlvsa14_1.cdf retention_time,140111dlvsa14_1.cdf height,140111dlvsa14_1.cdf mz,140111dlvsa15_1.cdf retention_time,140111dlvsa15_1.cdf height,140111dlvsa15_1.cdf mz,140111dlvsa16_1.cdf retention_time,140111dlvsa16_1.cdf height,140111dlvsa16_1.cdf mz,140111dlvsa17_1.cdf retention_time,140111dlvsa17_1.cdf height,140111dlvsa17_1.cdf mz,140111dlvsa18_1.cdf retention_time,140111dlvsa18_1.cdf height,140111dlvsa18_1.cdf mz,140111dlvsa19_1.cdf retention_time,140111dlvsa19_1.cdf height,140111dlvsa19_1.cdf mz,140111dlvsa20_1.cdf retention_time,140111dlvsa20_1.cdf height,140111dlvsa20_1.cdf mz,140111dlvsa21_1.cdf retention_time,140111dlvsa21_1.cdf height,140111dlvsa21_1.cdf mz,140111dlvsa22_1.cdf retention_time,140111dlvsa22_1.cdf height,140111dlvsa22_1.cdf mz,140111dlvsa23_1.cdf retention_time,140111dlvsa23_1.cdf height,140111dlvsa23_1.cdf mz,140111dlvsa24_1.cdf retention_time,140111dlvsa24_1.cdf height,140111dlvsa24_1.cdf mz,140111dlvsa25_1.cdf retention_time,140111dlvsa25_1.cdf height,140111dlvsa25_1.cdf mz,140111dlvsa26_1.cdf retention_time,140111dlvsa26_1.cdf height,140111dlvsa26_1.cdf mz,140111dlvsa27_1.cdf retention_time,140111dlvsa27_1.cdf height,140111dlvsa27_1.cdf mz,140111dlvsa28_1.cdf retention_time,140111dlvsa28_1.cdf height,140111dlvsa28_1.cdf mz,140111dlvsa29_1.cdf retention_time,140111dlvsa29_1.cdf height,140111dlvsa29_1.cdf mz,140111dlvsa30_1.cdf retention_time,140111dlvsa30_1.cdf height,140111dlvsa30_1.cdf mz,VIP
34,35,#35 147.0000@10.5921 MS1+,1,+,10.59208,128270.31332914135,147.0,,,0.0024458823877956,147.0,10.59306,81929.04097675893,147.0,10.59306,121289.24183546544,147.0,10.59208,63143.0,147.0,10.59306,63525.09390250252,147.0,10.59306,151657.61769313028,147.0,,,,10.59208,68366.0,147.0,10.59208,67118.34593697799,147.0,10.5911,41612.38218952705,147.0,10.59208,51776.572826932745,147.0,10.59306,84676.39870112634,147.0,10.59306,115122.31119428454,147.0,10.59306,103345.12436881402,147.0,10.59208,101232.45235158187,147.0,,,,10.59208,64348.310208109615,147.0,10.59208,99044.1340525967,147.0,10.59208,128270.31332914135,147.0,,,,10.59208,74918.20411502193,147.0,10.5911,71854.6747005703,147.0,,,,10.59208,100668.07905978333,147.0,,,,10.5911,75370.60473559848,147.0,10.59208,124220.0,147.0,10.5911,82772.59800745703,147.0,,,,1.5026222790731034
86,87,#87 204.0000@9.9962 MS1+,1,+,9.99624,3804.3621497831527,204.0,,,0.3259023462473036,204.0,9.9982,6794.022916132712,204.0,9.99624,4224.0,204.0,9.99722,6134.0,204.0,9.99624,3804.3621497831527,204.0,9.99526,6585.341237362437,204.0,9.99722,3867.720995622589,204.0,9.99624,2773.9622472625524,204.0,,,,,,,9.99722,4785.0,204.0,9.99722,3753.0,204.0,9.99722,3647.2623894651233,204.0,9.99722,4606.865627759617,204.0,9.99624,3702.0,204.0,9.99722,3205.3182040488414,204.0,,,,,,,,,,9.99722,3007.0,204.0,9.9982,3581.974171692544,204.0,,,,,,,,,,9.99722,2845.548070631158,204.0,,,,,,,,,,,,,1.5387787559455504
12,13,#13 102.0000@6.1644 MS1+,1,+,6.16444,244573.5115148425,102.0,,,0.1201045365615949,102.0,6.16346,581073.3162693781,102.0,6.16444,362824.0,102.0,6.166399999999999,277735.0,102.0,6.16346,208519.84188518304,102.0,6.16738,596954.325025664,102.0,6.1615,193021.20781762083,102.0,6.16542,291535.0,102.0,6.16444,257612.3267202694,102.0,6.16542,173110.79582717392,102.0,6.1615,162588.9197675204,102.0,6.1713000000000005,96065.80987853932,102.0,6.16738,68641.0,102.0,6.16444,244573.5115148425,102.0,6.1713000000000005,85005.16207899936,102.0,6.16346,47520.57524824439,102.0,6.16346,128864.0,102.0,6.16444,158316.0,102.0,6.16248,228322.47856089773,102.0,6.16444,36861.891252850844,102.0,6.16542,136157.63381390268,102.0,6.16444,91965.80503602471,102.0,6.17032,34104.84781349048,102.0,6.16346,69046.33490906961,102.0,6.16346,33379.04900473678,102.0,6.16738,28700.40544230749,102.0,6.166399999999999,128629.0063020322,102.0,6.16738,51388.63282169934,102.0,6.166399999999999,21108.70182090096,102.0,1.575555742973521
20,21,#21 169.0000@15.0148 MS1+,1,+,15.014820000000002,176594.43935934643,169.0,,,0.0820637626620209,169.0,15.01678,331651.24968960474,169.0,15.01384,177202.2297294425,169.0,15.01384,202110.0,169.0,15.015800000000002,138406.959528996,169.0,15.01678,298000.8188402393,169.0,15.014820000000002,155108.0,169.0,15.01188,139964.98703177238,169.0,15.01384,124302.0,169.0,15.01384,127746.0,169.0,15.014820000000002,209594.0,169.0,15.01678,204024.0,169.0,15.01678,147602.0,169.0,15.015800000000002,237509.64731359607,169.0,15.014820000000002,176594.43935934643,169.0,15.01384,154375.499592999,169.0,15.01384,150290.0,169.0,15.014820000000002,159608.0,169.0,15.015800000000002,161591.90308362822,169.0,15.01384,143880.92460268366,169.0,15.014820000000002,251396.0,169.0,15.014820000000002,199552.07776421576,169.0,15.0109,147482.0,169.0,15.014820000000002,176556.4827413562,169.0,15.01384,182678.73709988303,169.0,15.01188,139912.77833753714,169.0,15.01286,210244.3805125131,169.0,15.01188,168659.72474170703,169.0,15.0109,153470.0,169.0,1.5857276942060947
25,26,#26 87.0000@7.6687 MS1+,1,+,7.668740000000001,225919.0,87.0,,,0.0579535879373236,87.0,7.66972,198588.0,87.0,7.668740000000001,220507.58544265584,87.0,7.668740000000001,229459.0643523381,87.0,7.668740000000001,212294.23892066863,87.0,7.66972,220453.0,87.0,7.66776,209987.0,87.0,7.668740000000001,228078.0707580281,87.0,7.668740000000001,217495.2085394761,87.0,7.668740000000001,204983.0,87.0,7.668740000000001,203543.2911895451,87.0,7.668740000000001,242903.94094760172,87.0,7.668740000000001,225383.87866066064,87.0,7.668740000000001,233295.0,87.0,7.668740000000001,242544.0,87.0,7.66776,217834.3463747142,87.0,7.66776,227428.0,87.0,7.668740000000001,216631.0066186468,87.0,7.66776,227165.50067292305,87.0,7.668740000000001,211381.66439143967,87.0,7.668740000000001,223981.1689369461,87.0,7.66776,224635.0,87.0,7.668740000000001,225919.0,87.0,7.66776,232900.43461964536,87.0,7.66678,213807.0,87.0,7.66776,237318.0,87.0,7.66678,223801.60438355277,87.0,7.66678,224729.68199043453,87.0,7.66776,235418.0,87.0,1.6125696915143886
14,15,#15 100.0000@8.8781 MS1+,1,+,8.878060000000001,94043.07953474628,100.0,,,0.0233691942459947,232.0,8.881,270970.16215857945,232.0,8.88002,88096.0,100.0,8.88002,203285.6109736352,232.0,8.879040000000002,91012.86204604816,100.0,8.881,530670.8902828537,232.0,8.879040000000002,94684.29015673706,100.0,8.878060000000001,69685.42452199863,100.0,8.879040000000002,54331.65780437384,232.0,8.879040000000002,41854.36226574253,100.0,8.879040000000002,160756.0,232.0,8.878060000000001,48089.0,100.0,8.878060000000001,82470.0,232.0,8.881,273644.3161972887,232.0,8.879040000000002,117456.68358825464,100.0,8.878060000000001,52758.3592589409,100.0,8.879040000000002,147693.8240461203,232.0,8.879040000000002,181216.6832670296,232.0,8.879040000000002,148636.7521494032,232.0,8.878060000000001,81448.89297068639,100.0,8.878060000000001,62627.259830744726,232.0,8.878060000000001,94043.07953474628,100.0,8.878060000000001,78613.72671978558,100.0,8.878060000000001,81284.77631939184,100.0,8.878060000000001,104251.34094300042,232.0,8.877080000000001,62418.16201028233,100.0,8.878060000000001,139077.77073945772,232.0,8.877080000000001,63383.0,100.0,8.877080000000001,109275.88744602208,100.0,1.6364706019873867
76,77,#77 147.0000@12.6060 MS1+,1,+,12.60598,17518.37912848837,147.0,,,0.0132586449346371,147.0,12.60598,17518.37912848837,147.0,12.605,9017.88669477119,147.0,12.60402,9548.828095014696,129.0,12.60402,7718.608623850214,117.0,12.605,19340.0,147.0,12.605,10151.67268599912,129.0,12.60402,8658.40939607321,129.0,12.605,9848.31879619188,129.0,12.60696,7712.710076720932,117.0,12.605,10206.609618053517,129.0,12.60598,9134.213901834855,129.0,12.605,8902.621632188235,117.0,12.60598,11005.79830501079,129.0,,,,12.60304,9797.373023356671,117.0,12.60402,9336.499081934957,129.0,12.605,8228.25927831607,147.0,12.605,11768.339955550224,117.0,,,,12.60402,11388.461575118678,117.0,12.605,12354.00837851647,117.0,,,,12.605,9990.566083819242,117.0,12.60402,8436.192312114375,117.0,12.86274,2314.1237096743407,147.0,12.807860000000002,5794.996321642466,217.0,12.60402,9378.698044351564,117.0,12.60304,9736.0,117.0,1.6422610709993974
9,10,#10 147.0000@8.6664 MS1+,1,+,8.66638,544452.5810188465,147.0,,,2.248774236257578e-05,147.0,8.66834,766380.3493930465,147.0,8.66736,584621.6872301365,147.0,8.66736,598276.6504243294,147.0,8.66736,499176.6286224408,147.0,8.66834,911847.287942588,147.0,8.66736,552578.9490793187,147.0,8.66638,355361.32746838016,147.0,8.66638,331681.0,147.0,8.66638,287561.0,147.0,8.66638,579670.3476518155,147.0,8.66638,435094.690754094,147.0,8.66638,590786.1429520623,147.0,8.66736,755622.955844869,147.0,8.66736,713004.7904429999,147.0,8.66638,491868.0,147.0,8.66638,536670.0,147.0,8.66736,651043.1830570917,147.0,8.66736,734961.5147778027,147.0,8.6654,440172.03450156143,147.0,8.6654,391243.7553032112,147.0,8.6654,313686.3597212367,147.0,8.6654,443409.7587754909,147.0,8.66736,775625.5787360603,147.0,8.6654,516516.6425811954,147.0,8.6654,493896.50743083376,147.0,8.66638,496133.0141669992,147.0,8.6654,448661.8051659286,147.0,8.66638,544452.5810188465,147.0,1.6517902840160017
17,18,#18 129.0000@16.4672 MS1+,1,+,16.467180000000003,220185.0,129.0,,,0.119867837264067,129.0,16.47012,455768.1998136621,129.0,16.46424,219371.7354578,129.0,16.46424,227008.0,129.0,16.4711,216161.0,129.0,16.4662,222179.147094038,129.0,16.467180000000003,220185.0,129.0,16.46424,200263.0,129.0,16.465220000000002,200074.0,129.0,16.465220000000002,169873.76987315755,129.0,16.467180000000003,197573.5619398657,129.0,16.4711,229172.0,129.0,16.47306,240123.0,129.0,16.46914,224750.0,129.0,16.467180000000003,263568.7481109843,129.0,16.467180000000003,248982.0,129.0,16.46816,217954.0,129.0,16.46816,216683.0,129.0,16.46816,214319.67731492064,129.0,16.4662,210553.0,129.0,16.4662,209183.0,129.0,16.467180000000003,231894.0,129.0,16.46424,242616.0,129.0,16.467180000000003,245651.7201095741,129.0,16.4662,240166.0,129.0,16.467180000000003,246426.0,129.0,16.46424,193891.28410703488,129.0,16.46228,215578.0,129.0,16.46228,253019.53576746583,129.0,1.6572728756073885
39,40,#40 245.0000@7.7854 MS1+,1,+,7.78536,68209.0,245.0,,,3.0418455767122765e-05,147.0,7.78634,119836.01130816064,147.0,7.78536,73933.63098826417,147.0,7.78536,80032.0,245.0,7.78634,61790.0,245.0,7.78536,118837.0,245.0,7.78536,68209.0,245.0,7.78634,43623.0,245.0,7.78536,49591.68971578717,147.0,7.78634,34443.98409520659,245.0,7.78438,77746.0551887801,147.0,7.78634,54202.02505700738,245.0,7.78536,82255.60022358362,245.0,7.78438,96291.83145112405,245.0,7.78536,102613.67191068268,245.0,7.78438,56406.65420245281,245.0,7.78536,69533.60901210844,245.0,7.78536,76400.0,245.0,7.78438,98974.2420346294,147.0,7.78438,58657.79928392054,147.0,7.78438,52072.0365620863,147.0,7.78438,42979.0,245.0,7.78536,58502.80184580857,147.0,7.78438,106993.08819508852,245.0,7.78438,64453.58348264867,147.0,7.78438,60461.766253303336,245.0,7.78536,66259.0,245.0,7.78438,56144.44095734525,147.0,7.78438,68809.33224674345,245.0,1.7819268129281205
35,36,#36 147.0000@6.7025 MS1+,1,+,6.70246,55884.0,147.0,,,0.0292622138755751,147.0,6.70246,147563.20589398145,147.0,6.7034400000000005,67475.88950685151,147.0,6.70246,64353.0,147.0,6.70246,56573.73586229675,147.0,6.70246,76839.73072936074,147.0,6.70246,57687.97999272196,147.0,6.70246,56339.266867729086,147.0,6.7034400000000005,46093.49777152025,147.0,6.70246,61964.85428653819,147.0,6.7005,68859.00994325617,147.0,6.7054,57421.0,147.0,6.70442,52842.86712599755,147.0,6.70246,66093.42077496073,147.0,6.7054,57782.0,147.0,6.70148,51476.709074562255,147.0,6.70246,55884.0,147.0,6.70148,50064.877950792696,147.0,6.70148,44779.30383907623,147.0,6.70246,64302.8898609357,147.0,6.70148,76106.0,147.0,6.7005,76532.9270085176,147.0,6.7034400000000005,63152.36808645654,147.0,6.70148,61301.201794483255,147.0,6.7005,70610.58963066555,147.0,6.7034400000000005,58008.62849948043,147.0,6.70246,62265.808024522834,147.0,6.70246,49589.94563450736,147.0,6.7034400000000005,56730.55727749876,147.0,1.7853146710334318
58,59,#59 147.0000@11.0027 MS1+,1,+,11.0027,5008.455259577666,147.0,,,0.0010262565075916,147.0,11.00368,9160.228296467298,147.0,11.00172,7115.519890998081,147.0,11.00172,8533.599523538995,147.0,11.00368,7006.177705771261,147.0,11.00368,13433.122412997924,147.0,11.0027,7679.217426441121,147.0,11.00172,4354.10761158214,147.0,11.0027,3880.0,147.0,,,,11.0027,7061.030895098224,147.0,11.00368,6689.0,147.0,11.0027,6375.0,147.0,11.00172,7782.626144610827,147.0,11.00074,5908.0,147.0,11.0027,5008.455259577666,147.0,11.00172,5049.612906023305,147.0,11.00172,5217.0,147.0,11.0027,9023.586040599555,147.0,11.00172,4784.0,147.0,11.00172,3283.0,147.0,11.0027,3854.4597982148016,147.0,11.00074,6076.7948588436375,147.0,11.00074,6846.824767191056,147.0,11.00074,6932.338011648386,147.0,11.00172,6013.0,147.0,11.00074,7366.821351189006,147.0,11.00074,5391.904143334255,147.0,11.00172,5725.026044416149,147.0,1.8611787618544189
56,57,#57 241.0000@7.8638 MS1+,1,+,7.86376,46410.86460905241,241.0,,,0.0009516813626599953,241.0,7.86376,50276.91920831095,241.0,7.86376,19616.0,241.0,7.86376,25143.0,241.0,7.86376,19502.0,241.0,7.86376,46410.86460905241,241.0,7.86376,22958.23853176945,241.0,7.86474,11559.0,241.0,7.86376,14332.095905647167,241.0,,,,7.86376,23221.0,241.0,7.86376,18385.215342050964,241.0,7.86376,24496.0,241.0,7.86278,38222.78972916357,241.0,7.86376,26862.13221912436,241.0,7.86376,12513.491622058153,241.0,7.86376,17912.0,241.0,7.86376,23625.964070898463,241.0,7.86278,31619.597757750747,241.0,7.86376,18491.0,241.0,7.86376,15804.0,241.0,7.86376,12990.948020126334,241.0,7.86376,17270.209421389663,241.0,7.86278,31191.0,241.0,7.86278,21527.0,241.0,7.86474,17460.0,241.0,7.86278,22977.0,241.0,7.86278,16959.6612372091,241.0,7.86278,21908.59078960217,241.0,1.8986228745843303
