SpectrumId,SubmissionId,name
366036,128,"#1 147.0000@11.5067 MS1+"
366037,128,"#2 383.0000@26.1943 MS1+"
366038,128,"#3 149.0000@40.5382 MS1+"
366039,128,"#4 147.0000@11.5880 MS1+"
366040,128,"#5 73.0000@11.5256 MS1+"
366041,128,"#6 149.0000@40.5505 MS1+"
366042,128,"#7 313.0000@34.5265 MS1+"
366043,128,"#8 383.0000@26.3258 MS1+"
366044,128,"#9 147.0000@14.7159 MS1+"
366045,128,"#10 313.0000@34.5143 MS1+"
366046,128,"#11 73.0000@20.2707 MS1+"
366047,128,"#12 341.0000@39.2807 MS1+"
366048,128,"#13 432.0000@34.2452 MS1+"
366049,128,"#14 200.0000@20.5147 MS1+"
366050,128,"#15 200.0000@21.3405 MS1+"
366051,128,"#16 186.0000@19.3573 MS1+"
366052,128,"#17 302.0000@41.4263 MS1+"
366053,128,"#18 339.0000@38.5365 MS1+"
366054,128,"#19 73.0000@41.1323 MS1+"
366055,128,"#20 443.0000@42.4272 MS1+"
366056,128,"#21 300.0000@26.9138 MS1+"
366057,128,"#22 73.0000@25.8755 MS1+"
366058,128,"#23 73.0000@41.1637 MS1+"
366059,128,"#24 302.0000@43.1090 MS1+"
366060,128,"#25 184.0000@22.1912 MS1+"
366061,128,"#26 147.0000@14.8598 MS1+"
366062,128,"#27 158.0000@16.0482 MS1+"
366063,128,"#28 147.0000@11.8947 MS1+"
366064,128,"#29 337.0000@38.4112 MS1+"
366065,128,"#30 303.0000@28.6278 MS1+"
366066,128,"#31 73.0000@40.3942 MS1+"
366067,128,"#32 73.0000@37.5103 MS1+"
366068,128,"#33 302.0000@30.0980 MS1+"
366069,128,"#34 73.0000@40.9447 MS1+"
366070,128,"#35 147.0000@16.7112 MS1+"
366071,128,"#36 75.0000@41.2325 MS1+"
366072,128,"#37 433.0000@33.0503 MS1+"
366073,128,"#38 147.0000@14.8408 MS1+"
366074,128,"#39 73.0000@27.9210 MS1+"
366075,128,"#40 73.0000@19.8640 MS1+"
366076,128,"#41 159.0000@17.2430 MS1+"
366077,128,"#42 73.0000@41.7893 MS1+"
366078,128,"#43 73.0000@42.0707 MS1+"
366079,128,"#44 307.0000@33.1628 MS1+"
366080,128,"#45 193.0000@27.0763 MS1+"
366081,128,"#46 73.0000@31.6992 MS1+"
366082,128,"#47 298.0000@26.6198 MS1+"
366083,128,"#48 147.0000@13.8526 MS1+"
366084,128,"#49 339.0000@43.6785 MS1+"
366085,128,"#50 73.0000@41.7078 MS1+"
366086,128,"#51 73.0000@41.9207 MS1+"
366087,128,"#52 213.0000@19.2072 MS1+"
366088,128,"#53 73.0000@41.3263 MS1+"
366089,128,"#54 117.0000@28.2587 MS1+"
366090,128,"#55 73.0000@37.1413 MS1+"
366091,128,"#56 300.0000@26.9138 MS1+"
366092,128,"#57 57.0000@45.6487 MS1+"
366093,128,"#58 73.0000@41.6390 MS1+"
366094,128,"#59 184.0000@10.5685 MS1+"
366095,128,"#60 302.0000@30.1167 MS1+"
366096,128,"#61 339.0000@38.7428 MS1+"
366097,128,"#62 73.0000@34.8583 MS1+"
366098,128,"#63 73.0000@36.5097 MS1+"
366099,128,"#64 213.0000@24.5432 MS1+"
366100,128,"#65 57.0000@44.7417 MS1+"
366101,128,"#66 73.0000@41.0010 MS1+"
366102,128,"#67 258.0000@22.6915 MS1+"
366103,128,"#68 57.0000@43.9473 MS1+"
366104,128,"#69 57.0000@46.7122 MS1+"
366105,128,"#70 73.0000@42.2520 MS1+"
366106,128,"#71 117.0000@28.1523 MS1+"
366107,128,"#72 73.0000@41.5390 MS1+"
366108,128,"#73 117.0000@29.9477 MS1+"
366109,128,"#74 147.0000@10.4871 MS1+"
366110,128,"#75 147.0000@17.8373 MS1+"
366111,128,"#76 70.0000@26.4195 MS1+"
366112,128,"#77 117.0000@25.5127 MS1+"
366113,128,"#78 369.0000@41.8203 MS1+"
366114,128,"#79 73.0000@16.4109 MS1+"
366115,128,"#80 73.0000@12.2138 MS1+"
366116,128,"#81 344.0000@28.6840 MS1+"
366117,128,"#82 73.0000@30.7733 MS1+"
366118,128,"#83 147.0000@22.1410 MS1+"
366119,128,"#84 57.0000@43.2217 MS1+"
366120,128,"#85 73.0000@42.1520 MS1+"
366121,128,"#86 386.0000@45.1672 MS1+"
366122,128,"#87 284.0000@22.9355 MS1+"
366123,128,"#88 117.0000@25.9880 MS1+"
366124,128,"#89 57.0000@45.1672 MS1+"
366125,128,"#90 73.0000@33.1317 MS1+"
366126,128,"#91 207.0000@42.8088 MS1+"
366127,128,"#92 179.0000@20.6147 MS1+"
366128,128,"#93 73.0000@42.7587 MS1+"
366129,128,"#94 207.0000@42.4458 MS1+"
366130,128,"#95 207.0000@42.6587 MS1+"
366131,128,"#96 73.0000@41.6828 MS1+"
366132,128,"#97 73.0000@40.1565 MS1+"
366133,128,"#98 57.0000@41.5138 MS1+"
366134,128,"#99 73.0000@37.8983 MS1+"
366135,128,"#100 417.0000@40.4505 MS1+"
366136,128,"#101 218.0000@18.9195 MS1+"
366137,128,"#102 75.0000@42.7025 MS1+"
366138,128,"#103 61.0000@42.6648 MS1+"
366139,128,"#104 147.0000@24.4742 MS1+"
366140,128,"#105 73.0000@18.1438 MS1+"
366141,128,"#106 325.0000@29.5973 MS1+"
366142,128,"#107 73.0000@43.0777 MS1+"
366143,128,"#108 147.0000@18.6255 MS1+"
366144,128,"#109 100.0000@13.3333 MS1+"
366145,128,"#110 72.0000@43.8285 MS1+"
