,position,name,ms_level,polarity,retention_time,height,mz,neutral_mass,adducts,p_value,quantitation_mass,10_25_2016_islet_OA_12.mzXML retention_time,10_25_2016_islet_OA_12.mzXML height,10_25_2016_islet_OA_12.mzXML mz,10_25_2016_islet_OB_13.mzXML retention_time,10_25_2016_islet_OB_13.mzXML height,10_25_2016_islet_OB_13.mzXML mz,10_25_2016_islet_OC_14.mzXML retention_time,10_25_2016_islet_OC_14.mzXML height,10_25_2016_islet_OC_14.mzXML mz,10_25_2016_islet_OD_15.mzXML retention_time,10_25_2016_islet_OD_15.mzXML height,10_25_2016_islet_OD_15.mzXML mz,10_25_2016_islet_OHA_16.mzXML retention_time,10_25_2016_islet_OHA_16.mzXML height,10_25_2016_islet_OHA_16.mzXML mz,10_25_2016_islet_OHB_17.mzXML retention_time,10_25_2016_islet_OHB_17.mzXML height,10_25_2016_islet_OHB_17.mzXML mz,10_25_2016_islet_OHC_18.mzXML retention_time,10_25_2016_islet_OHC_18.mzXML height,10_25_2016_islet_OHC_18.mzXML mz,10_25_2016_islet_OHD_19.mzXML retention_time,10_25_2016_islet_OHD_19.mzXML height,10_25_2016_islet_OHD_19.mzXML mz,10_25_2016_islet_OHE_20.mzXML retention_time,10_25_2016_islet_OHE_20.mzXML height,10_25_2016_islet_OHE_20.mzXML mz,10_25_2016_islet_YA_1.mzXML retention_time,10_25_2016_islet_YA_1.mzXML height,10_25_2016_islet_YA_1.mzXML mz,10_25_2016_islet_YB_2.mzXML retention_time,10_25_2016_islet_YB_2.mzXML height,10_25_2016_islet_YB_2.mzXML mz,10_25_2016_islet_YC_3.mzXML retention_time,10_25_2016_islet_YC_3.mzXML height,10_25_2016_islet_YC_3.mzXML mz,10_25_2016_islet_YD_4.mzXML retention_time,10_25_2016_islet_YD_4.mzXML height,10_25_2016_islet_YD_4.mzXML mz,10_25_2016_islet_YE_5.mzXML retention_time,10_25_2016_islet_YE_5.mzXML height,10_25_2016_islet_YE_5.mzXML mz,10_25_2016_islet_YHA_6.mzXML retention_time,10_25_2016_islet_YHA_6.mzXML height,10_25_2016_islet_YHA_6.mzXML mz,10_25_2016_islet_YHB_7.mzXML retention_time,10_25_2016_islet_YHB_7.mzXML height,10_25_2016_islet_YHB_7.mzXML mz,10_25_2016_islet_YHC_8.mzXML retention_time,10_25_2016_islet_YHC_8.mzXML height,10_25_2016_islet_YHC_8.mzXML mz,10_25_2016_islet_YHD_9.mzXML retention_time,10_25_2016_islet_YHD_9.mzXML height,10_25_2016_islet_YHD_9.mzXML mz,10_25_2016_islet_YHE_10.mzXML retention_time,10_25_2016_islet_YHE_10.mzXML height,10_25_2016_islet_YHE_10.mzXML mz,10_25_2016_islet_YHF_11.mzXML retention_time,10_25_2016_islet_YHF_11.mzXML height,10_25_2016_islet_YHF_11.mzXML mz,VIP
162,163,#163 125.0500@46.6475 MS1+,1,+,46.6475,25781.410218521767,125.05,,,0.362014053601166,257.145,46.7475,10790.589527684357,125.04,46.81,13654.492431640623,125.1,46.62233333333334,8057.26904296875,206.95,,,,46.897666666666666,21237.066519852844,125.06,,,,,,,46.7475,16498.05078125,125.1,46.8975,11140.4619140625,125.09,,,,46.84766666666667,8792.616579143127,125.1,46.7225,13456.930638773016,125.1,,,,46.50966666666667,8141.673484978884,257.16,,,,46.6475,25781.410218521767,125.05,,,,,,,46.5035,10272.64563944592,125.06,,,,1.511162855408569
135,136,#136 271.1700@46.9790 MS1+,1,+,46.979,16903.03635185828,271.17,,,0.9744656358046327,271.16600000000005,47.31666666666667,15819.157333029172,271.15,47.298,18357.264640376903,271.17,,,,47.13533333333333,5226.720412945844,271.16,46.94766666666667,13315.528615629504,271.17,46.8975,7263.0876466468,271.15,47.373000000000005,10880.775349132227,271.17,,,,47.01016666666667,19030.542138874323,271.15,46.93516666666667,4150.812061548824,271.15,46.91016666666667,16221.389211742173,271.15,47.23533333333333,23408.813854535605,271.18,47.098,10485.807521064678,271.16,47.03516666666667,8178.569826983916,271.16,46.9665,4922.202612059343,111.03,,,,,,,47.10416666666666,13536.205977355974,271.16,46.979,16903.03635185828,271.17,47.06033333333333,15355.14374438575,271.16,1.5177441335981106
327,328,#328 113.0500@22.6518 MS1+,1,+,22.65183333333333,5858.9278475175,113.05,,,0.9300082502872,113.09833333333331,22.81433333333333,4335.144425157727,111.08,22.7455,3409.8271788132715,111.08,,,,,,,,,,22.22,3405.8464073657096,113.1,,,,,,,22.845666666666663,4199.613151295051,113.1,,,,22.65183333333333,5858.9278475175,113.05,22.676666666666662,3212.703369140625,112.08,22.389166666666664,2413.547250732885,113.05,,,,22.270166666666668,3304.7361342879976,113.1,,,,22.71433333333333,5041.90765863506,111.07,,,,22.81433333333333,3953.916680622123,113.06,,,,1.5269219033573247
298,299,#299 206.9900@43.6137 MS1+,1,+,43.61366666666667,5773.8310217112285,206.99,,,0.5396129094633922,206.9925,,,,43.83866666666667,5330.188844670181,206.99,43.795,6420.401406514746,206.99,43.50716666666666,7539.360546454898,206.98,43.46966666666666,8493.596162187878,207.0,,,,43.644666666666666,6214.10219383326,207.02,,,,43.14433333333333,2927.6660646737278,207.02,43.6635,5778.327583825388,206.95,43.51983333333333,4128.072678607965,113.1,43.9075,5812.2465413708815,206.95,43.945166666666665,3518.6961117978626,206.99,43.726,5782.814587788305,206.95,,,,,,,43.813833333333335,3770.054009971276,206.99,44.09533333333333,3621.383923838911,206.99,43.576,5710.575341490474,206.95,43.61366666666667,5773.8310217112285,206.99,1.5348293420277463
45,46,#46 127.0200@6.4128 MS1+,1,+,6.4128,208905.90625,127.02,,,0.8803509191029404,127.01923076923076,6.40645,203809.78125,127.03,6.4002,145533.31340175588,127.02,6.406483333333333,205729.46875,127.02,6.419016666666667,200279.7255738009,127.03,6.41275,208687.7665690593,127.03,6.400166666666666,205019.2186445893,127.02,6.412633333333333,182252.87576043155,127.02,6.4002,204358.390625,127.03,6.425183333333334,211123.796875,127.02,6.4002,195911.06653064807,127.01,6.406583333333333,203488.653842511,127.02,6.425183333333334,211301.78125,127.03,6.406583333333333,201391.796875,127.02,6.412633333333333,193563.8987626269,127.02,6.41275,202701.484375,127.03,6.406483333333333,202750.35011980732,127.02,6.419033333333333,191863.4375,127.02,6.4128,208905.90625,127.02,6.419016666666667,179251.3501183328,127.03,6.4003,191748.16162218657,127.02,1.5476784699983914
119,120,#120 285.1700@29.2198 MS1+,1,+,29.219833333333334,33947.90034148153,285.17,,,0.0984635028782089,285.16769230769233,,,,,,,,,,29.27,22318.381796809357,285.17,29.14483333333333,45274.601487223495,285.18,29.182333333333336,33721.329545040026,285.17,29.219833333333334,33947.90034148153,285.17,29.19483333333333,30151.265625,285.17,29.219833333333334,30799.72265625,285.17,29.25733333333333,24211.40637949545,285.16,29.2325,26685.368116428894,285.17,,,,,,,29.294833333333333,15007.503718855563,285.16,29.245,37832.52734375,285.17,29.163666666666664,35843.83853026551,285.17,29.2075,29515.274468592448,285.16,,,,29.169833333333333,30008.42483605126,285.16,,,,1.5539989064471031
193,194,#194 271.1500@47.8797 MS1+,1,+,47.87966666666667,18957.578416944554,271.15,,,0.4407729711619869,271.1657142857143,47.80466666666667,9713.69746328248,271.17,47.79833333333333,17558.27810557747,271.17,,,,,,,47.87966666666667,18957.578416944554,271.15,,,,47.698166666666665,8045.164186913604,125.09,47.785833333333336,13607.147682539771,271.17,47.8735,9724.50012376155,271.15,,,,,,,,,,47.736,8355.150827267054,271.16,47.86716666666667,6364.1327086546025,271.16,,,,47.91733333333333,10265.90587514207,271.17,,,,48.105,7051.02478257971,271.13,47.95483333333333,10232.564459547675,271.15,47.79216666666667,11450.9677734375,271.16,1.5549104774221425
109,110,#110 152.0100@10.4037 MS1+,1,+,10.4037,46844.24317871544,152.01,,,0.6114258420342801,152.0075,10.4099,41914.58353375708,152.01,10.3974,51517.3046875,152.02,10.43495,18586.689453125,152.01,10.4037,40636.86185450031,152.01,10.4037,46844.24317871544,152.01,,,,10.403566666666668,42311.6878362734,152.01,10.384883333333333,22056.422580224906,152.02,10.403616666666666,37890.6796875,152.0,10.3974,41236.89401876619,152.0,10.385016666666669,28007.16301642888,152.01,,,,10.410033333333333,44264.29296875,152.01,10.403566666666668,45018.57473103389,152.01,10.40995,50391.328125,152.01,10.403683333333332,46356.62219133911,152.01,10.397466666666666,43128.75390625,152.0,10.409983333333336,47730.953125,152.01,10.40995,45908.38720455612,152.0,10.3975,51071.5703125,152.01,1.5656939748551082
295,296,#296 252.9700@52.1960 MS1+,1,+,52.196000000000005,10665.878538935804,252.97,,,0.804048184333053,125.094,,,,,,,52.196000000000005,10665.878538935804,252.97,52.321000000000005,8807.99119586333,252.98,52.121,11064.3623046875,252.97,,,,,,,,,,51.970666666666666,11214.474609375,253.0,,,,,,,,,,,,,52.07066666666666,11665.2314453125,253.01,,,,,,,,,,52.133500000000005,8479.38073610929,252.98,,,,52.3525,9706.548257985618,252.99,1.5765215812529108
73,74,#74 302.1400@29.7703 MS1+,1,+,29.770333333333333,51715.21484375,302.14,,,0.3951797901356613,302.139,29.770333333333333,50620.38314391412,302.13,,,,29.739,48520.25468027115,302.15,29.770333333333333,51715.21484375,302.14,,,,,,,,,,,,,,,,29.7515,66035.609375,302.13,29.733,92094.265625,302.14,29.739,90707.09375,302.14,29.808,21218.466207766774,302.15,29.7765,72302.7421875,302.14,29.751666666666665,25611.193359375,302.14,,,,,,,,,,,,,29.733,47886.04742448488,147.03,1.5773145046142538
319,320,#320 253.0200@52.5587 MS1+,1,+,52.55866666666667,5906.035071824138,253.02,,,0.2773063127966755,206.9928571428572,,,,52.49616666666667,8880.31934249674,253.01,,,,,,,,,,52.55866666666667,5906.035071824138,253.02,,,,,,,52.53366666666667,4534.20383949134,206.99,,,,52.52766666666666,6806.721397972062,252.98,52.33983333333333,6979.542497579976,253.0,,,,,,,52.59,6585.096902264399,252.99,,,,52.38366666666666,6569.59885146323,252.98,,,,52.58383333333334,6295.952585781308,206.99,,,,1.5776593489065067
200,201,#201 252.9600@52.1083 MS1+,1,+,52.10833333333333,10913.07057777282,252.96,,,0.5975871919947223,206.99375,,,,52.10833333333333,9847.226158463813,253.01,51.927,10203.362992567156,206.99,52.027,10946.6767578125,253.02,52.23350000000001,9876.577836508864,252.97,52.47733333333333,11630.365445451123,253.02,51.839333333333336,17442.78125,207.02,52.214666666666666,7396.699318640662,253.0,52.10833333333333,10913.07057777282,252.96,51.927,10151.973518479792,253.0,,,,51.8205,10314.066446994846,206.99,,,,,,,,,,,,,,,,52.32733333333333,6048.914092468731,252.98,52.25233333333333,9842.028124427494,252.98,,,,1.5884423561501548
266,267,#267 111.0800@48.5365 MS1+,1,+,48.5365,8875.103866988075,111.08,,,0.7437587766183797,141.08666666666667,,,,,,,48.580333333333336,8747.841805176273,111.08,48.649166666666666,6810.193626202497,206.98,48.7805,9418.921066417272,111.04,48.5365,8875.103866988075,111.08,48.499,6391.982251997882,207.02,48.793,11771.601570078748,207.0,,,,48.5115,7313.664955583728,206.95,48.31766666666667,9722.421325935931,111.08,,,,,,,,,,48.255,6252.673906422009,111.07,,,,48.524,8052.506215427417,207.05,,,,,,,,,,1.5900233874793601
219,220,#220 253.0300@50.4882 MS1+,1,+,50.488166666666665,12723.529890852606,253.03,,,0.7745359531072142,206.993,,,,50.65083333333334,7859.809561055733,252.98,,,,50.213,13132.507107214433,206.98,,,,50.72583333333333,9097.102059378354,253.02,50.488166666666665,12723.529890852606,253.03,50.53833333333333,9051.466265743034,207.0,,,,,,,50.56333333333334,7153.120713462362,207.0,50.6195,11438.546875,125.06,50.450833333333335,7616.232594968904,252.98,50.3505,8193.8505859375,113.13,50.26933333333333,8343.797571567255,207.03,,,,50.407,10232.94987840143,206.96,50.41316666666667,9086.757652843047,111.08,50.55083333333334,15406.766526479638,206.99,50.60083333333333,6429.437812313301,127.09,1.5901131967573128
