,position,name,ms_level,polarity,retention_time,height,mz,neutral_mass,adducts,p_value,quantitation_mass,1_9_2018_islet_ugluc_timecourse_0_1.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_1.mzXML height,1_9_2018_islet_ugluc_timecourse_0_1.mzXML mz,1_9_2018_islet_ugluc_timecourse_0_2.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_2.mzXML height,1_9_2018_islet_ugluc_timecourse_0_2.mzXML mz,1_9_2018_islet_ugluc_timecourse_0_3.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_3.mzXML height,1_9_2018_islet_ugluc_timecourse_0_3.mzXML mz,1_9_2018_islet_ugluc_timecourse_0_4.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_4.mzXML height,1_9_2018_islet_ugluc_timecourse_0_4.mzXML mz,1_9_2018_islet_ugluc_timecourse_0_6.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_6.mzXML height,1_9_2018_islet_ugluc_timecourse_0_6.mzXML mz,1_9_2018_islet_ugluc_timecourse_0_7.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_0_7.mzXML height,1_9_2018_islet_ugluc_timecourse_0_7.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_10.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_10.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_10.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_11.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_11.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_11.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_12.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_12.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_12.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_13.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_13.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_13.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_14.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_14.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_14.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_8.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_8.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_8.mzXML mz,1_9_2018_islet_ugluc_timecourse_30mins_9.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_30mins_9.mzXML height,1_9_2018_islet_ugluc_timecourse_30mins_9.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_15.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_15.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_15.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_16.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_16.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_16.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_17.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_17.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_17.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_18.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_18.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_18.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_19.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_19.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_19.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_20.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_20.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_20.mzXML mz,1_9_2018_islet_ugluc_timecourse_60mins_21.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_60mins_21.mzXML height,1_9_2018_islet_ugluc_timecourse_60mins_21.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_22.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_22.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_22.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_23.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_23.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_23.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_24.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_24.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_24.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_25.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_25.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_25.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_26.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_26.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_26.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_27.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_27.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_27.mzXML mz,1_9_2018_islet_ugluc_timecourse_90mins_28.mzXML retention_time,1_9_2018_islet_ugluc_timecourse_90mins_28.mzXML height,1_9_2018_islet_ugluc_timecourse_90mins_28.mzXML mz,VIP
523,524,#524 132.0600@11.1934 MS1+,1,+,11.193416666666668,19972.998343242856,132.06,,,,164.98,,,,,,,,,,,,,,,,,,,11.1245,10550.343079273556,132.02,,,,,,,,,,11.318433333333331,15172.657028569854,132.07,,,,,,,11.20585,12222.283597293892,132.04,,,,11.105783333333331,20120.380461952813,132.06,,,,11.130683333333334,18065.671875,132.04,11.193416666666668,19972.998343242856,132.06,11.1934,21743.875,132.06,,,,,,,,,,,,,,,,11.349716666666666,9272.456700856652,132.06,,,,1.5056056236719562
335,336,#336 111.0700@7.0460 MS1+,1,+,7.045983333333334,14571.64510407587,111.07,,,,174.01,,,,7.045966666666667,22271.84375,111.06,7.0334666666666665,17495.99441738522,111.07,7.045983333333334,14571.64510407587,111.07,7.046049999999999,10088.556968403573,111.08,6.958483333333334,24323.08793484283,111.08,,,,7.0334666666666665,20810.646484375,111.08,6.8459,40481.20703125,111.07,,,,7.03975,12378.727991653786,111.06,,,,7.039716666666666,20457.13671875,111.07,,,,7.039666666666666,12446.0802640515,111.07,,,,7.033483333333334,10264.885128670045,111.08,,,,7.039833333333333,13923.742853136286,111.1,,,,,,,,,,7.045916666666667,13602.73828125,111.08,,,,7.039633333333333,15157.003119670186,111.09,7.03975,9186.1914556564,111.09,,,,1.515473874091482
420,421,#421 253.0000@26.2437 MS1+,1,+,26.243666666666662,22224.7265349164,253.0,,,,149.03375,,,,,,,,,,,,,,,,,,,,,,,,,26.156333333333336,25018.72287508454,253.04,,,,26.1,27411.087890625,253.0,,,,26.087333333333333,30389.804840698587,253.01,26.15,19956.89615816924,253.0,26.3375,17732.16163897639,253.03,26.47533333333333,26440.58908032672,252.98,26.4065,27185.60546875,253.0,26.2875,23345.92845974562,253.03,,,,26.068666666666665,25101.05819422964,253.01,,,,,,,26.58783333333333,16366.424974356683,253.01,,,,26.243666666666662,22224.7265349164,253.0,26.206333333333337,23144.763671875,253.04,,,,1.5197119037432407
455,456,#456 113.0900@13.3827 MS1+,1,+,13.382683333333334,18672.930462366738,113.09,,,,132.05900000000003,13.670333333333334,18128.918585656364,113.07,13.34515,13968.780993286353,132.06,13.382683333333334,18672.930462366738,113.09,13.057416666666668,6454.671162856918,132.01,13.382766666666669,13529.100327594628,127.12,,,,13.16375,15932.295991300269,132.02,13.320133333333333,18513.65837960437,113.12,13.532916666666669,15950.03298745762,132.06,,,,13.520333333333332,28264.58616293478,113.09,13.582833333333332,13668.97123939498,127.13,,,,13.53285,13944.711415003418,132.04,13.376383333333331,15177.20767541397,132.05,13.32645,13351.604425135178,113.07,13.539083333333334,19208.53021128312,113.09,,,,,,,,,,,,,13.3701,18574.322832788275,113.1,13.376366666666666,14676.394377701712,132.04,13.501416666666668,20959.064453125,132.05,,,,,,,13.370283333333331,11188.56803985058,113.08,1.5200984319462256
108,109,#109 158.1000@7.6215 MS1+,1,+,7.621533333333333,117465.53301510804,158.1,,,,253.0605,7.633866666666666,86055.46875,158.1,7.640233333333333,86224.4296875,111.09,7.627733333333333,151087.04460004132,158.11,7.64025,73484.1328125,111.07,7.6278,146395.59375,158.09,7.634066666666667,123830.04419302664,158.1,7.627733333333333,142641.9653428874,147.05,7.627716666666667,329285.96875,158.11,7.627816666666666,128415.64258232572,253.07,7.627766666666667,84153.9140625,111.08,7.627750000000001,87890.29447291789,253.06,7.6277,95326.78514720044,111.08,7.627733333333333,74412.8471313697,111.07,7.627766666666667,105864.78995713254,253.07,,,,7.634033333333333,58684.267325532186,158.1,,,,7.621416666666667,77669.7421875,158.1,7.621583333333334,199645.87757223088,253.06,7.621566666666666,167241.546875,158.1,7.621533333333333,117465.53301510804,158.1,,,,,,,7.6276,131028.484375,158.1,7.621383333333333,263848.5275950198,253.06,7.627766666666667,189035.921875,158.11,,,,1.5309573333072106
561,562,#562 111.0900@18.9187 MS1+,1,+,18.918666666666663,19003.873046875,111.09,,,,153.12714285714284,18.943666666666665,18728.5390625,127.08,18.9375,22468.927734375,111.09,18.76233333333333,12744.467721800947,111.07,19.05633333333333,20623.0078125,111.09,,,,,,,,,,,,,18.987666666666662,11556.278700927656,127.08,,,,,,,,,,,,,,,,18.88733333333333,16129.96779285426,111.09,18.731166666666663,17017.80401797806,132.06,,,,,,,18.5935,20247.92685184483,111.06,,,,19.087666666666667,13780.9687327223,111.07,18.918666666666663,19003.873046875,111.09,,,,,,,,,,18.781166666666664,18061.81485609593,111.09,,,,1.5322482104530726
376,377,#377 321.1500@21.4147 MS1+,1,+,21.41466666666667,22639.02193860928,321.15,,,,321.14888888888885,,,,21.35833333333333,13647.375286198754,113.09,,,,,,,21.5835,30147.72174624991,321.16,21.41466666666667,17768.23237096978,125.07,21.41466666666667,22639.02193860928,321.15,21.383333333333333,24103.00500430867,113.12,21.34583333333333,20390.394266154966,321.15,21.41466666666667,27421.556640625,207.05,21.2895,18906.59743302059,207.05,,,,21.821166666666667,21703.05006766749,321.14,21.4585,25148.084856850284,271.22,,,,,,,,,,,,,,,,21.40216666666667,26339.474386506397,271.2,21.35216666666667,20049.695197702407,321.15,21.3645,17093.181640625,113.07,,,,,,,21.48333333333333,22265.94898714486,321.17,,,,,,,1.5380407327365957
350,351,#351 113.0800@6.5517 MS1+,1,+,6.551666666666667,35169.06423230008,113.08,,,,113.09375,6.55795,39117.4296875,155.12,6.4392,27795.92574888529,113.07,,,,6.65815,31509.478515625,155.13,,,,6.651966666666667,24946.217681431423,113.1,6.764483333333334,40394.8046875,155.14,6.764483333333334,32815.95844835506,155.11,,,,,,,6.664416666666667,18632.061769339278,113.09,6.432916666666667,32452.619140625,113.09,,,,6.576866666666667,9556.8046875,113.07,6.55175,27012.187645292688,113.09,,,,,,,,,,6.551916666666667,41771.0234375,113.1,,,,,,,,,,,,,6.551666666666667,35169.06423230008,113.08,6.64555,38848.70980281329,155.15,,,,6.864683333333333,27541.98607474726,113.11,1.5388759707799307
254,255,#255 247.1100@5.4195 MS1+,1,+,5.4195,55950.32421875,247.11,,,,247.1216666666667,5.431966666666667,57313.81640625,247.11,5.432083333333334,59272.75,247.12,5.432083333333334,54756.1015625,247.12,5.43835,62730.3046875,247.12,5.438416666666667,59102.39453125,247.12,5.432166666666666,57445.0390625,247.11,,,,5.432083333333334,47432.74527790454,247.12,5.438433333333333,61542.78515625,247.13,5.438383333333333,38263.81982299073,247.12,5.4196,55886.5078125,247.13,5.4258,57441.28125,247.12,,,,5.425866666666667,33340.80197858738,247.13,5.4195166666666665,49007.31640625,247.1,5.425883333333333,57683.2578125,247.12,,,,,,,,,,5.419666666666667,54400.671875,247.13,,,,5.4195,55950.32421875,247.11,5.425766666666666,55764.03515625,247.13,5.43195,60070.53125,247.12,,,,5.419616666666667,55881.4055187083,247.14,5.42595,36694.74072578875,247.13,1.5390213313277135
401,402,#402 111.0700@19.3128 MS1+,1,+,19.312833333333334,26356.28316392759,111.07,,,,153.12842105263158,19.300166666666662,29530.333376871364,111.1,19.3315,20387.55047539949,111.09,19.225166666666667,28324.85699499632,111.09,19.387833333333333,29821.208984375,111.07,,,,19.23783333333333,14877.272987485028,113.1,19.28783333333333,19088.37131228491,111.09,19.3565,24492.16330404955,111.08,19.23783333333333,24696.40370843561,111.09,19.5005,17489.447497142923,125.09,19.225166666666667,15311.181272438616,111.09,,,,19.100166666666667,15518.50385610632,111.09,19.119000000000003,15408.876754635054,111.07,19.312833333333334,26356.28316392759,111.07,19.256500000000003,17400.354378553613,125.13,19.312833333333334,16171.6220703125,113.07,19.319000000000003,24983.845243399555,111.07,19.069000000000003,24696.1953125,111.1,19.312833333333334,18555.50639490173,125.08,19.494333333333334,28900.138671875,111.09,19.19383333333333,17753.38784909669,111.09,,,,19.168833333333332,15513.96842095194,111.07,19.538,16190.926210136631,111.09,19.319000000000003,29414.84332300252,111.09,19.16283333333333,24301.542191743065,111.07,1.568842771941381
