,Study ID,Study Summary,Sample Source,Species,disease
0,ST000889,"Qualitative metabolomics study on leaves, roots and acorns from Quercus ilex plantlets. We analyzed polar(metanol:water) and apolar (chloroform) fractions.",Plant,Oak tree,
1,ST000949,NK versus CD8 T naïve and CD8 T memory SIRM experiment using 13C-Glucose tracer,Cultured cells,Human,
2,ST000950,NK versus CD8 T naïve and CD8 T memory SIRM experiment using 13C-Glucose tracer with/out galactose,Cultured cells,Human,
3,ST000951,NK versus CD8 T naïve and CD8 T memory SIRM experiment using 13C-Glucose tracer with/out oligomycin,Cultured cells,Human,
4,ST000952,Human NK vs T cell metabolism using 13C-Glucose tracer with/out oligomycin and galactose,Cultured cells,Human,
5,ST000964,Pancreatic islets from young and old mice were traced with either 2.8mM or 16.8mM U13C glucose to determine the effect of age upon glucose metabolism in basal and stimulated states.,Pancreas,Mouse,
6,ST000965,Pancreatic islets from young mice were traced with 16.8mM U13C glucose over a 90 minute timecourse to determine the rate of metabolite labeling during glucose stimulation.,Pancreas,Mouse,
7,ST001037,We explored the possibility of performing quantitative metabolomics using a QEGC-MS using both FID and MS detectors as complementary techniques.,Blood,Human,
8,ST001044,13C6-glucose used to track the effects of PGC1-A on RCC4 and Caki-1 metabolism,Cultured cells,Mouse,
9,ST001045,13C6-glucose tracer used to track the effects of FASN on HCT116 CRC cells metabolism,Cultured cells,Human,
10,ST001046,13C6-glucose tracer used to track the effects of FASN on KM20 cells metabolism,Cultured cells,Human,
11,ST001049,Determine the effect of knocking down P4HA1 in the MDA231 cell line (including alterations to metabolic pathways). Control versus knockdown,Breast,Human,Cancer
12,ST001050,Determine the effect on glutamine metabolism of knocking down P4HA1 in the MDA231 cell line.,Breast,Human,Cancer
13,ST001056,"Allelopathy is a plant defense mechanism by which they protect themselves from competitive species using specialized biochemicals in the form of secretion or volatiles released to the environment. Though, umbelliferone is a well-known allelochemical, its mechanism of action in a short-term treatment is far from established. We used ≈ 10–days old wheat seedlings treated with104 µM umbelliferone over a time course experiment covering 6 times points, i.e., 0h, 6h, 12h, 24h, 48h, and 96h and compared the metabolomic changes to control (mock-treated) plants. Using gas chromatography mass-spectrometry (GC-MS) based metabolomics efforts, we collectively obtained quantitative data on 177 metabolites that were derivatized (either derivatized singly or multiple times) or not representing 139 non-redundant (unique) metabolites. Out of these 139 metabolites, 118 were associated with a unique HMDB identifier, while 113 were associated with a KEGG identifier. Relative quantification of these metabolites across the time-course of umbelliferone treatment, revealed 22 compounds (sugars, fatty acids, secondary metabolites, organic acids, and amino acids) that changed significantly (repeated measures ANOVA, P-value < 0.05) with time. Using multivariate partial least squares discriminant analysis (PLS-DA) we showed the grouping of samples based on time-course across the control and umbelliferone treated plants, whereas the metabolite-metabolite Pearson correlation revealed tightly formed clusters of umbelliferone-derived metabolites, fatty acids, amino acids, and carbohydrates. Also, time-course of umbelliferone treatment revealed, that phospho-L-serine, maltose, and dehydroquinic acid were the top three metabolites showing highest importance in discrimination among the time-points. The above indicate a system-wide changes induced by umbelliferone, through dysregulation of primary as well as specialized metabolism.",Plant,Wheat,
14,ST001075,"Colon cancer onset and progression is strongly associated with the presence, absence, or relative abundances of certain microbial taxa in the gastrointestinal tract. However, specific mechanisms affecting disease susceptibility related to complex commensal bacterial mixtures are poorly understood. We used a multi-omics approach to determine how differences in the complex gut microbiome (GM) influence the metabolome and host transcriptome and ultimately affect susceptibility to adenoma development. Fecal samples collected from a preclinical rat model of colon cancer harboring distinct complex GMs were analyzed using ultra-high performance liquid chromatography mass spectrometry (UHPLC-MS). We collected samples prior to observable disease onset and identified putative metabolite profiles that predicted future disease severity, independent of GM status. Transcriptome analyses performed after disease onset from normal epithelium and tumor tissues between the high and low tumor GMs suggests that the GM is also correlated with altered host gene expression. Integrated pathway (IP) analyses of the metabolome and transcriptome based on putatively identified metabolic features indicate that bile acid biosynthesis was enriched in rats with high tumors (GM:F344) along with increased fatty acid metabolism and mucin biosynthesis. These data emphasize the utility of using untargeted metabolomics to reveal signatures of susceptibility and resistance and integrated analysis reveals common pathways that are likely to be universal targets for intervention.",Feces,Rat,Cancer
15,ST001190,"Rationale: Sepsis is a multi-organ disease affecting the ileum and jejunum (small intestine),liver, ""skeletal muscle, and lung clinically. Recently, specific alterations in circulating metabolites have been found in patients with sepsis which are thought to contribute to the pathogenesis of disease. The specific metabolic ""changes in the ileum, jejunum, liver, skeletal muscle, and lung have not previously been investigated."" Methods: Live Pseudomonas aeruginosa isolated from a patient was given via IV catheter to pigs "" to induce severe sepsis. Eighteen hours later, ileum, jejunum, medial gastrocnemius skeletal muscle, liver, "" and lung were harvested and flash frozen. Tissues were subsequently processed for non-targeted metabolomics analysis using gas chromatography/mass spectrometry. ""Results: After 18 hours of sepsis, the ileum and the liver demonstrated significant changes in "" ""metabolites involved in linoleic acid metabolism, the ileum and lung had significant changes in "" ""valine/leucine/isoleucine metabolism, the jejunum, skeletal muscle, and liver had significant changes in "" ""arginine/ proline metabolism, and the skeletal muscle and lung had significant changes in aminoacyl-tRNA "" biosynthesis by pathway analysis. Pathway analysis also identified changes in metabolic pathways unique for ""different tissues, including changes in the citric acid cycle (jejunum), beta-alanine metabolism (skeletal muscle), and purine metabolism (liver)."" Conclusion: These findings demonstrate both overlapping metabolic pathways affected in different tissues and those that are unique to others and provide insight into the metabolic changes in sepsis leading to organ dysfunction. This may allow therapeutic interventions that focus on multiple tissues or single tissues once the relationship of the altered metabolites/metabolism to the underlying pathogenesis of sepsis is determined.","['Ileum', 'Jejunum', 'Liver', 'Lung', 'Muscle']",Pig,Sepsis
16,ST001190,"Rationale: Sepsis is a multi-organ disease affecting the ileum and jejunum (small intestine),liver, ""skeletal muscle, and lung clinically. Recently, specific alterations in circulating metabolites have been found in patients with sepsis which are thought to contribute to the pathogenesis of disease. The specific metabolic ""changes in the ileum, jejunum, liver, skeletal muscle, and lung have not previously been investigated."" Methods: Live Pseudomonas aeruginosa isolated from a patient was given via IV catheter to pigs "" to induce severe sepsis. Eighteen hours later, ileum, jejunum, medial gastrocnemius skeletal muscle, liver, "" and lung were harvested and flash frozen. Tissues were subsequently processed for non-targeted metabolomics analysis using gas chromatography/mass spectrometry. ""Results: After 18 hours of sepsis, the ileum and the liver demonstrated significant changes in "" ""metabolites involved in linoleic acid metabolism, the ileum and lung had significant changes in "" ""valine/leucine/isoleucine metabolism, the jejunum, skeletal muscle, and liver had significant changes in "" ""arginine/ proline metabolism, and the skeletal muscle and lung had significant changes in aminoacyl-tRNA "" biosynthesis by pathway analysis. Pathway analysis also identified changes in metabolic pathways unique for ""different tissues, including changes in the citric acid cycle (jejunum), beta-alanine metabolism (skeletal muscle), and purine metabolism (liver)."" Conclusion: These findings demonstrate both overlapping metabolic pathways affected in different tissues and those that are unique to others and provide insight into the metabolic changes in sepsis leading to organ dysfunction. This may allow therapeutic interventions that focus on multiple tissues or single tissues once the relationship of the altered metabolites/metabolism to the underlying pathogenesis of sepsis is determined.","['Ileum', 'Jejunum', 'Liver', 'Lung', 'Muscle']",Pig,Sepsis
