,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
251,#252 217.1000@22.8076 MS1+,1,+,22.80763333333333,12982.712206017712,271.91385020527616,217.1000061035156,,,4.440892098500626e-15,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84515,7309.739053641744,217.1000061035156,,,,,,,,,,22.8451,6425.526439435575,217.1000061035156,,,,,,,,,,22.81395,17808.337132663873,58.0,22.80133333333333,16790.609482652406,58.0,22.79518333333333,24414.769608655013,58.0,22.8202,12521.452343501427,217.1999969482422,22.807683333333333,15764.951562653529,58.0,22.795016666666665,32392.636807644623,58.0,22.807516666666668,14277.330590545427,217.1999969482422,22.77003333333333,16916.847962176776,58.09999847412109,22.8264,13595.19581996018,58.09999847412109,22.82643333333333,11860.415459213074,217.1999969482422,22.826283333333333,20366.853464420183,58.0,22.82016666666667,14325.553101956031,217.1999969482422,,,,22.80763333333333,12982.712206017712,217.1000061035156,22.838766666666668,15483.93757667592,217.1999969482422,,,,22.82643333333333,13860.838444207717,217.1999969482422,22.826366666666665,12336.453240108054,217.1999969482422,,,,,,,22.832566666666665,7285.363145515445,217.1000061035156,22.820183333333333,9295.368646588253,217.1000061035156,,,,22.83275,10073.0,217.1000061035156,22.81403333333333,9346.0,217.1000061035156,,,,22.8264,11276.942471721068,217.1000061035156,22.82653333333333,12114.849152578008,217.1000061035156,22.832716666666663,15446.852991340333,217.1000061035156,22.832666666666668,11733.06822430318,217.1000061035156,22.82633333333333,12741.59664424838,217.1000061035156,22.8326,15120.0,217.1000061035156,22.832766666666668,18245.410792380862,217.1000061035156,22.820016666666668,10301.0,217.1000061035156,22.84508333333333,15024.760729400312,217.1000061035156,22.826416666666667,10199.036116170715,217.1000061035156,22.83258333333333,5898.764989151361,217.1000061035156,22.832516666666667,8437.51162075633,217.1000061035156,22.832733333333334,7633.299078406419,217.1000061035156,22.8202,13017.0,217.1000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5065789700959455
45,#46 174.1000@10.3220 MS1+,1,+,10.321966666666668,345460.394124272,9351.366981386593,174.10000610351562,,,5.898798892123303e-06,174.10000610351562,10.32215,62165.905081545294,174.10000610351562,10.3159,60737.013306534485,174.10000610351562,10.322,29753.85358405544,174.10000610351562,10.315816666666668,206589.9456006466,174.10000610351562,10.309466666666667,110514.80480641391,174.10000610351562,10.309666666666669,48575.93044068711,174.10000610351562,10.315833333333334,45804.75108648064,174.10000610351562,10.3158,73676.04664387874,174.10000610351562,10.328416666666667,111513.79163796236,174.10000610351562,10.328183333333332,113804.32678558286,174.10000610351562,10.328233333333332,57048.60051232761,174.10000610351562,10.328416666666667,77366.08473524974,174.10000610351562,10.322033333333334,89177.97877485884,174.10000610351562,10.31585,87620.09610023447,174.10000610351562,10.3346,13106.387305126556,174.10000610351562,10.334616666666667,53349.24921817209,174.10000610351562,10.328233333333332,106728.33618099047,174.10000610351562,10.321983333333334,110115.347220231,174.10000610351562,10.334483333333331,137750.57170041668,174.10000610351562,10.322016666666666,40934.471230878495,174.10000610351562,10.31585,425502.6747326651,174.10000610351562,10.309483333333333,635660.6021766429,174.10000610351562,10.322116666666666,746606.9520377654,174.10000610351562,10.31585,513610.7820247456,174.10000610351562,10.309583333333334,788077.7760031599,174.10000610351562,10.309416666666667,990533.0191684142,174.10000610351562,10.309416666666667,892547.9763275326,174.10000610351562,10.309466666666667,677675.6549989401,174.10000610351562,10.315783333333334,371296.6335328383,174.10000610351562,10.322083333333332,297271.3499060554,174.10000610351562,10.321933333333334,609652.3347383391,174.10000610351562,10.315816666666668,509840.78751757846,174.10000610351562,10.31575,441371.7802763545,174.10000610351562,10.3158,412631.1986853761,174.10000610351562,10.328166666666666,108864.55050773564,174.10000610351562,10.322066666666666,217375.0417982027,174.10000610351562,10.322083333333332,809174.4965064734,174.10000610351562,10.322016666666666,674813.0316238501,174.10000610351562,10.309499999999998,736456.5117538791,174.10000610351562,10.3158,547756.6539181244,174.10000610351562,10.328216666666666,482155.1383463695,174.10000610351562,10.32835,230259.48282610136,174.10000610351562,10.334616666666667,178343.46000034155,174.10000610351562,10.3284,631872.0,174.10000610351562,10.309666666666669,778592.1318511816,174.10000610351562,10.353433333333331,515969.0984638832,174.10000610351562,10.3158,569132.2115683313,174.10000610351562,10.3347,405021.53486777743,174.10000610351562,10.322116666666666,964780.9813362744,174.10000610351562,10.32205,890074.5926237489,174.10000610351562,10.321966666666668,440474.638923103,174.10000610351562,10.321983333333334,875328.0,174.10000610351562,10.32215,1063204.4021366,174.10000610351562,10.315666666666669,443712.0,174.10000610351562,10.3595,759071.5705535262,174.10000610351562,10.340833333333334,680327.5828789779,174.10000610351562,10.321966666666668,345460.394124272,174.10000610351562,10.3219,841825.591716273,174.10000610351562,10.315866666666668,930176.0,174.10000610351562,10.31585,654272.0,174.10000610351562,10.315916666666665,459499.232315631,174.10000610351562,10.315733333333334,1041280.0,174.10000610351562,10.347166666666665,745395.3529380017,174.10000610351562,10.340683333333333,948886.6408733164,174.10000610351562,10.3157,1320251.503941494,174.10000610351562,10.315716666666669,1154048.0,174.10000610351562,,,,10.315916666666665,1152699.6486838874,174.10000610351562,,,,10.315866666666668,1183724.220294158,174.10000610351562,,,,,,,,,,10.32195,1361035.4268732856,174.10000610351562,,,,,,,,,,,,,,,,10.31585,1562376.136165966,174.10000610351562,1.531336706189723
299,#300 73.1000@16.3271 MS1+,1,+,16.327083333333334,7748.84368605879,264.34431851801526,73.0999984741211,,,1.4537579885454122e-06,73.0999984741211,,,,,,,,,,16.31465,6279.802985764851,73.0999984741211,,,,,,,,,,16.31465,3504.478901279188,73.0999984741211,16.333516666666668,5229.370083249611,73.0999984741211,16.333283333333334,3319.770502507061,73.0999984741211,,,,16.32725,4879.0,312.3999938964844,16.327116666666665,8348.219888188556,73.0999984741211,16.32095,6025.921241966978,73.0999984741211,,,,16.33345,3215.540729741726,73.0999984741211,16.327066666666667,3986.357013674436,312.3999938964844,16.327083333333334,7748.84368605879,73.0999984741211,16.32705,5004.0,312.3999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.320916666666665,6409.479769418438,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,16.320833333333333,5943.343219533388,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5687983588438243
159,#160 73.1000@16.1584 MS1+,1,+,16.15835,52883.5838453716,1702.463003741511,73.0999984741211,,,2.02146410721582e-10,73.0999984741211,16.1646,35549.74783563812,73.0999984741211,16.15835,78702.45317039412,73.0999984741211,16.170716666666667,9207.4720171284,73.0999984741211,16.164533333333335,70656.4779044179,73.0999984741211,16.151916666666665,62608.262026990575,73.0999984741211,16.152116666666668,127503.6743333375,73.0999984741211,16.158283333333333,112386.54986152226,73.0999984741211,16.152,82155.67893269644,73.0999984741211,16.170866666666665,27114.65506076085,73.0999984741211,16.170633333333335,46362.858699363496,73.0999984741211,16.164433333333335,63994.56655610619,73.0999984741211,16.170866666666665,64409.20283436193,73.0999984741211,16.170733333333335,90588.87406727015,73.0999984741211,16.1583,116753.34252833833,73.0999984741211,,,,16.170816666666667,27618.43502655618,73.0999984741211,16.170683333333333,66261.69399259122,73.0999984741211,16.1707,61291.36596251615,73.0999984741211,16.170666666666666,95447.84518810632,73.0999984741211,16.164466666666666,106081.21138329653,73.0999984741211,,,,16.1582,56697.26283821429,73.0999984741211,16.170816666666667,44916.96127019928,73.0999984741211,16.1583,20562.49321177167,174.10000610351562,,,,16.201916666666666,39772.61251377175,73.0999984741211,16.164383333333333,91147.66332237097,73.0999984741211,16.1832,80139.34503378766,73.0999984741211,,,,,,,16.164383333333333,74352.86095014587,73.0999984741211,16.164533333333335,48834.16984947084,73.0999984741211,16.1582,33483.27771401196,73.0999984741211,16.1645,43515.091417502845,73.0999984741211,,,,16.158266666666666,16947.271211708256,73.0999984741211,,,,,,,,,,16.152,101143.05519687424,73.0999984741211,,,,16.152033333333332,22537.43314933969,73.0999984741211,,,,16.158333333333335,16572.79161216214,73.0999984741211,16.139616666666665,79615.57015873957,73.0999984741211,16.1521,22394.81761343713,73.0999984741211,16.152,29995.686587279284,73.0999984741211,16.15213333333333,29077.42352953348,73.0999984741211,16.170816666666667,18588.249633716187,73.0999984741211,16.15825,25458.809293444705,73.0999984741211,16.158166666666666,29239.92898094938,73.0999984741211,16.158183333333334,40495.49769468565,73.0999984741211,16.15835,52883.5838453716,73.0999984741211,16.151866666666667,27715.279181225967,73.0999984741211,16.170683333333333,29728.2142007691,73.0999984741211,16.158266666666666,29512.83531180775,73.0999984741211,,,,16.1581,28036.081805475056,73.0999984741211,16.158316666666668,12098.869883687712,299.20001220703125,16.15205,33933.58043720164,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6146378332831899
174,#175 73.1000@12.5489 MS1+,1,+,12.548866666666669,27783.15703353393,670.9440255527019,73.0999984741211,,,2.5291191363407956e-10,73.0999984741211,,,,,,,12.573916666666667,92162.83276272136,73.0999984741211,,,,,,,12.567833333333333,45116.41123659352,73.0999984741211,12.56775,78004.89309026176,73.0999984741211,,,,12.586583333333332,21925.67607786553,73.0999984741211,12.5801,69090.96210522187,73.0999984741211,12.58015,39395.95516590713,73.0999984741211,12.580316666666668,42151.47367694683,73.0999984741211,12.5802,65457.48808547051,73.0999984741211,,,,,,,12.586516666666666,60163.63056834714,73.0999984741211,12.580133333333333,64911.37709939739,73.0999984741211,12.58015,18180.47842681761,73.0999984741211,12.580133333333333,29586.715339147544,73.0999984741211,12.573916666666667,32647.050278655486,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.549066666666668,22394.23442359373,73.0999984741211,12.548883333333333,33710.24350314727,73.0999984741211,12.56155,36075.64564424375,73.0999984741211,12.54255,27129.29207684408,73.0999984741211,12.542583333333331,27629.549273524783,73.0999984741211,12.548866666666669,27783.15703353393,73.0999984741211,12.542766666666669,39910.62288135672,73.0999984741211,12.549066666666668,21268.05379733059,73.0999984741211,12.55515,39360.012692762015,73.0999984741211,12.549,30592.435891833906,158.10000610351562,12.549,28077.251059881528,73.0999984741211,12.548933333333334,22775.016032286512,73.0999984741211,12.549083333333334,19435.14129533384,68.0,12.548833333333333,38967.08784438798,73.0999984741211,12.567716666666668,20987.81211384962,73.0999984741211,12.542733333333333,34044.496319954924,73.0999984741211,,,,12.5365,14742.747416936996,73.0999984741211,,,,12.548983333333334,21216.49532485238,158.10000610351562,1.6616768762644742
175,#176 73.1000@18.3413 MS1+,1,+,18.341266666666662,47633.124632421874,182.8916401376229,73.0999984741211,,,1.4609702014833914e-07,159.10000610351562,18.33518333333333,40709.25084719848,73.0999984741211,18.32268333333333,34447.991371979624,73.0999984741211,18.33505,26603.567696369348,73.0999984741211,18.328866666666663,49485.92226845941,73.0999984741211,18.322516666666665,20944.21285387812,73.0999984741211,18.32271666666667,27364.091710839508,73.0999984741211,18.322616666666665,31379.872143638306,73.0999984741211,18.3226,38803.95874388056,73.0999984741211,18.341466666666665,57879.55922666828,73.0999984741211,18.34123333333333,47209.899709787234,73.0999984741211,18.33503333333333,50168.49537452954,73.0999984741211,18.3352,59349.83865025817,73.0999984741211,18.335066666666663,59445.08848992432,73.0999984741211,18.32265,40405.46609866709,73.0999984741211,18.360166666666668,8067.99571531812,73.0,18.3414,44958.50601554165,73.0999984741211,18.341266666666662,47633.124632421874,73.0999984741211,18.33503333333333,46717.34411355111,73.0999984741211,18.335016666666668,21962.87318973719,73.0999984741211,18.3288,44164.24370221637,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36015,26452.808822367675,73.0999984741211,18.36,37767.6645463382,73.0999984741211,18.347633333333334,31168.213427671988,73.0999984741211,18.353816666666667,19826.43650079635,73.0999984741211,18.34135,20542.39470968684,73.0999984741211,,,,,,,,,,,,,,,,,,,18.32875,6496.151003095925,73.0999984741211,18.316366666666667,8703.38088530831,73.0999984741211,18.341416666666667,6522.5131691544375,73.0999984741211,18.32893333333333,10610.939426364268,73.0999984741211,18.310216666666665,15895.822270385586,73.0999984741211,18.31643333333333,9896.055811524984,73.0999984741211,18.316333333333333,10899.123140085629,73.0999984741211,18.316466666666667,11306.17859717147,73.0999984741211,18.3289,10927.92702640056,73.0999984741211,18.32258333333333,9782.503584487502,73.0999984741211,18.3225,10135.31312763036,73.0999984741211,18.32878333333333,11682.450186205577,73.0999984741211,18.32268333333333,20093.488950881685,73.0999984741211,18.3162,9400.409712750006,73.0999984741211,18.341266666666662,11976.26074781704,73.0999984741211,18.3226,9053.85391085031,73.0999984741211,18.3225,6614.640919839261,73.0999984741211,18.3287,9885.9352869313,73.0999984741211,18.328916666666668,3815.049913555551,73.0999984741211,18.316383333333334,13480.256436124151,73.0999984741211,18.328966666666663,29120.008511383523,73.0999984741211,18.3413,75265.58885629874,73.0999984741211,,,,,,,18.309966666666664,36004.19934624771,73.0999984741211,,,,,,,18.328966666666663,20514.32803418057,73.0999984741211,18.34755,62270.67233558116,73.0999984741211,18.32265,16464.83045846154,73.0999984741211,18.3289,14866.235107899774,73.0999984741211,18.34133333333333,41066.08240837218,73.0999984741211,18.341483333333333,90783.25955976744,73.0999984741211,,,,18.360133333333334,64642.93624369393,73.0999984741211,,,,,,,,,,,,,,,,1.6829516315444484
57,#58 73.1000@12.6991 MS1+,1,+,12.699116666666669,944910.9001726646,50.54031315368311,73.0999984741211,,,6.463453161575927e-08,144.10000610351562,12.705416666666666,1180904.2591159812,73.0999984741211,12.699166666666668,807657.2870907981,73.0999984741211,12.705266666666668,730634.9706975664,73.0999984741211,12.70535,1122796.4900699577,73.0999984741211,12.692733333333331,289438.5767117824,73.0999984741211,12.692933333333333,448173.628758062,73.0999984741211,12.6991,595590.4034040463,73.0999984741211,12.692816666666667,743851.3626888429,73.0999984741211,12.71795,1102802.9114795856,73.0999984741211,12.711449999999996,625123.109428619,73.0999984741211,12.70525,602062.1942107866,73.0999984741211,12.711683333333331,544275.9296707294,73.0999984741211,12.71155,606707.7100663246,73.0999984741211,12.699116666666669,944910.9001726646,73.0999984741211,12.724133333333333,179772.7960821341,73.0,12.717883333333331,597360.3597324891,73.0999984741211,12.7115,564808.0734311669,73.0999984741211,12.711516666666666,620401.2892832699,73.0999984741211,12.7115,352721.51719652035,73.0999984741211,12.699033333333334,675409.7822659593,73.0999984741211,12.692866666666667,429772.71945276257,73.0999984741211,12.6865,276015.61916557094,73.0999984741211,12.705383333333334,304483.39631383406,73.0999984741211,12.69285,412791.5525195154,73.0999984741211,12.6866,186734.0579878437,73.0999984741211,12.686433333333332,134859.8007523925,73.0999984741211,12.686433333333332,276129.17482307967,73.0999984741211,12.686483333333332,393372.03622448427,73.0999984741211,12.699066666666663,317982.56348164805,73.0999984741211,12.6991,773897.4397933938,73.0999984741211,12.69895,774716.3622235594,73.0999984741211,12.692833333333333,670818.1047460174,73.0999984741211,12.699016666666669,701457.9206624159,73.0999984741211,12.68655,500802.1144034782,73.0999984741211,12.711433333333334,391119.3209633488,73.0999984741211,12.699083333333334,379568.2541978631,73.0999984741211,12.6991,289753.4613588724,73.0999984741211,12.705283333333334,308480.0,73.0999984741211,12.6865,491456.0,73.0999984741211,12.692816666666667,479295.1313240831,73.0999984741211,12.705233333333334,253314.69144449255,73.0999984741211,12.6991,310643.1131823489,73.0999984741211,12.711633333333332,358095.9378562386,73.0999984741211,12.69915,345680.97792563407,73.0999984741211,12.686683333333333,205504.0,73.0999984741211,12.692916666666669,234664.27432970543,73.0999984741211,12.692816666666667,281092.8249310207,73.0999984741211,12.69295,255778.0148158437,73.0999984741211,12.699116666666669,355030.99187194294,73.0999984741211,12.699066666666663,310305.3108462342,73.0999984741211,12.692733333333331,223614.07311755253,73.0999984741211,12.699,285357.45450586424,73.0999984741211,12.699166666666668,448938.2144837803,73.0999984741211,12.692683333333331,285302.73664824537,73.0999984741211,12.7115,275454.9812284283,73.0999984741211,12.692833333333333,320352.4511512672,73.0999984741211,12.698983333333333,155383.08414074575,73.0999984741211,12.698916666666667,272313.47211515746,73.0999984741211,12.699133333333334,172056.56111834932,73.0999984741211,12.692866666666667,331117.1955148053,73.0999984741211,12.680416666666666,333312.0,73.0999984741211,12.6865,605351.3598626154,73.0999984741211,12.705416666666666,288375.6237817534,73.0999984741211,12.686416666666666,367586.7940147845,73.0999984741211,12.68645,318493.6540466925,73.0999984741211,12.686483333333332,299129.5221887959,73.0999984741211,12.686633333333331,417359.867736384,73.0999984741211,12.686683333333333,644337.7349648466,73.0999984741211,12.692766666666667,578975.3080969104,73.0999984741211,12.686616666666668,355881.97339953505,73.0999984741211,12.686616666666668,325219.4226159761,73.0999984741211,12.68655,255745.42747974844,73.0999984741211,12.6867,467759.42668347503,73.0999984741211,12.68645,687025.086926865,73.0999984741211,12.705333333333334,360646.0358164497,73.0999984741211,12.686616666666668,301022.02375897474,73.0999984741211,12.6804,262490.6472785044,73.0999984741211,12.680383333333332,215449.86455367616,73.0999984741211,,,,12.6866,577861.7971329482,73.0999984741211,1.733408334727444
29,#30 156.1000@13.1808 MS1+,1,+,13.180816666666669,563003.2406407055,20060.80509424249,156.10000610351562,,,0.0,156.10000610351562,13.180816666666669,954423.3194096892,156.10000610351562,13.174566666666667,821598.3680070624,156.10000610351562,13.186933333333334,1473423.4046642685,156.10000610351562,13.18075,1629063.0949785856,156.10000610351562,13.16815,845939.1800674736,156.10000610351562,13.1746,1834083.5218499284,156.10000610351562,13.174516666666667,2031039.681596136,156.10000610351562,13.174483333333333,1603137.8806674315,156.10000610351562,13.174583333333333,327258.113188879,156.10000610351562,13.186866666666669,1434531.638504821,156.10000610351562,13.180649999999998,1250009.350776224,156.10000610351562,13.187083333333334,1592718.8766077135,156.10000610351562,13.18695,1680275.3200144554,156.10000610351562,13.174533333333333,875005.113999923,156.10000610351562,13.199533333333331,268560.5378555995,156.10000610351562,13.193283333333332,1789561.1972042972,156.10000610351562,13.19315,2107257.6064287378,156.10000610351562,13.186916666666669,1690053.2736002577,156.10000610351562,13.1869,2000384.0,156.10000610351562,13.180683333333333,1885451.803194748,156.10000610351562,13.168266666666666,516829.7050503538,156.10000610351562,13.1619,1000832.8786362848,156.10000610351562,13.180783333333334,931046.2404343472,156.10000610351562,13.174516666666667,1526579.739414462,156.10000610351562,13.174516666666667,994967.9802036048,156.10000610351562,13.17435,901250.5901142666,156.10000610351562,13.1681,1274104.8807912327,156.10000610351562,13.168133333333332,795270.6208901535,156.10000610351562,13.180716666666669,819114.8153718766,156.10000610351562,13.18075,700224.0,156.10000610351562,13.1806,1533081.1300082172,156.10000610351562,13.1745,964426.5590732244,156.10000610351562,13.174416666666668,1046191.2480727672,156.10000610351562,13.16195,903384.2259929448,156.10000610351562,13.193083333333334,1028813.2199075624,156.10000610351562,13.180733333333333,859776.0,156.10000610351562,13.180766666666669,573419.4314137868,156.10000610351562,13.180683333333333,675279.6777646266,156.10000610351562,13.168166666666666,686483.2106772196,156.10000610351562,13.168216666666666,1415542.918319482,156.10000610351562,13.180633333333333,490971.9634517301,156.10000610351562,13.1745,525145.922675467,156.10000610351562,13.1933,354641.77947533247,156.10000610351562,13.180816666666669,563003.2406407055,156.10000610351562,13.16835,313504.27984702913,156.10000610351562,13.174566666666667,722646.3628819888,156.10000610351562,13.174466666666667,747054.1840660257,156.10000610351562,13.1746,801543.5400025713,156.10000610351562,13.180783333333334,523570.6727342049,156.10000610351562,13.180733333333333,470122.34523656894,156.10000610351562,13.174383333333331,389863.1568027007,156.10000610351562,13.180666666666667,476432.3181352957,156.10000610351562,13.180816666666669,707188.6442376256,156.10000610351562,13.174333333333331,505779.86050128506,156.10000610351562,13.19315,941376.0,156.10000610351562,13.174483333333333,982144.0,156.10000610351562,13.180649999999998,170112.0,156.10000610351562,13.174316666666666,581763.4884780515,156.10000610351562,13.1808,638525.383104074,156.10000610351562,13.174533333333333,672260.6229415026,156.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7356285034586414
226,#227 73.1000@5.9245 MS1+,1,+,5.9245,28513.745383228867,546.4775842609694,73.0999984741211,,,7.797346623927838e-08,75.0,5.949683333333334,41134.78315083838,73.0999984741211,,,,,,,,,,5.93075,40762.76067401795,73.0999984741211,,,,,,,5.9371,36273.00339576498,73.0999984741211,5.955966666666667,44558.35356687997,73.0999984741211,,,,5.9245,28974.018735790272,73.0999984741211,5.949699999999999,39952.07170660337,73.0999984741211,5.9308,32309.93236277936,73.0999984741211,5.94965,35361.89354895574,73.0999984741211,5.8996,7816.205602309135,73.0,5.930883333333333,31821.19704655748,73.0999984741211,5.9245,28513.745383228867,73.0999984741211,5.962033333333333,36886.60071689207,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.930883333333333,42944.73119993424,73.0999984741211,,,,5.9183,36035.34673572122,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,1.7665233763589696
278,#279 73.1000@26.7484 MS1+,1,+,26.748366666666666,12731.037567051128,564.0968113934487,73.0999984741211,,,3.1056951454999653e-09,73.0999984741211,,,,,,,,,,,,,,,,,,,26.736,11683.526316052856,73.0999984741211,,,,26.76735,9564.02985902084,73.0999984741211,26.748366666666666,12731.037567051128,73.0999984741211,26.748416666666667,9220.480137882609,73.0999984741211,26.75485,13520.324451553724,73.0999984741211,26.754716666666663,9289.787472820608,73.0999984741211,,,,,,,26.76105,8795.245376333187,73.0999984741211,26.760916666666667,15241.094128771918,73.0999984741211,26.754666666666665,9654.950610495493,73.0999984741211,26.7484,19694.405929488363,73.0999984741211,26.74843333333333,11254.83238109367,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7485,5578.385081559944,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.846091417365311
