,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
111,#112 73.1000@9.6403 MS1+,1,+,9.64025,41768.28626483714,1052.187260176202,73.0999984741211,,,0.5421377965416205,73.0999984741211,9.634066666666667,77950.5532376878,73.0999984741211,,,,,,,9.633983333333331,72928.9008304691,73.0999984741211,9.627633333333334,30702.754960849707,73.0999984741211,,,,,,,9.627716666666666,47493.32234045016,73.0999984741211,9.640333333333333,79573.39700043114,73.0999984741211,,,,9.6339,39552.36876866536,73.0999984741211,9.640333333333333,102067.1515024918,73.0999984741211,9.63395,53462.52862760518,73.0999984741211,9.627766666666666,41161.27204118413,73.0999984741211,,,,9.640283333333333,28916.538530001475,73.0999984741211,9.64015,62875.844720346126,73.0999984741211,9.6339,83350.51643874776,73.0999984741211,,,,,,,9.634016666666666,36996.46709981776,73.0999984741211,,,,,,,9.634016666666666,64686.648385492736,73.0999984741211,9.62775,53222.19732053974,147.10000610351562,9.6276,52185.32459793333,147.10000610351562,,,,,,,9.640216666666667,107039.54981025727,147.10000610351562,9.64025,42952.47276807297,73.0999984741211,,,,9.64025,65244.39459591487,147.10000610351562,,,,9.640216666666667,32936.44774906919,147.10000610351562,9.646333333333333,42625.68099988019,147.10000610351562,9.6465,32211.998388905893,73.0999984741211,9.64025,41768.28626483714,73.0999984741211,9.640183333333333,40665.90313831804,73.0999984741211,9.633916666666666,50858.74199708045,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,9.633966666666668,36019.7166376051,147.10000610351562,,,,9.640283333333333,58416.76868384157,73.0999984741211,9.633966666666668,43305.228978912,73.0999984741211,9.64015,18604.065794208786,73.0999984741211,9.640166666666667,44659.517198393936,73.0999984741211,9.640316666666669,93808.0,147.10000610351562,,,,9.690183333333334,37526.85417340323,73.0999984741211,,,,,,,9.640083333333331,34306.864960171864,73.0999984741211,9.634033333333331,27477.51667638337,116.0999984741211,9.634016666666666,48551.89753117645,147.10000610351562,,,,,,,,,,,,,9.633866666666666,175410.37956352532,147.10000610351562,,,,,,,,,,,,,9.627783333333332,174961.32561767177,116.0,,,,,,,,,,,,,,,,,,,9.652833333333335,247703.57573456876,73.0999984741211,9.659066666666666,286026.396854472,73.0999984741211,,,,,,,0.12539535405469054
94,#95 77.0000@15.3827 MS1+,1,+,15.3827,105107.50791130416,114.590899349727,77.0,,,1.986188991054405e-13,60.0,15.388933333333334,263362.7371246307,77.0,15.382683333333334,57110.76475056643,77.0,15.39505,137692.16830318506,77.0,15.382616666666667,262522.18975244294,77.0,15.382516666666668,149634.64149423246,77.0,15.376466666666667,131488.53544296348,77.0,15.382633333333333,147383.79205310956,77.0,15.3826,213632.0075510851,77.0,15.401466666666666,280259.28001236,77.0,15.394983333333334,199660.5199361978,77.0,15.395033333333334,186771.00598708345,77.0,15.395216666666666,242253.3400861687,77.0,15.395083333333334,213174.2840020258,77.0,15.38265,253952.0,77.0,15.420166666666669,19590.1773959064,77.0,15.401416666666666,221100.7166569493,77.0,15.395016666666669,242920.72312606056,77.0,15.395033333333334,265168.46452757926,77.0,15.395016666666669,101245.24042295173,77.0,15.38255,192234.67015678604,77.0,15.376383333333331,283110.23872716114,77.0999984741211,15.370033333333334,314940.8886361042,77.0999984741211,15.38265,410918.3092037407,77.0999984741211,15.376383333333331,383082.2205748264,77.0999984741211,15.370116666666666,401312.4034966739,77.0999984741211,15.369966666666668,375190.0243097536,77.0,15.369966666666668,349470.2075893924,77.0999984741211,15.37,411257.218669919,77.0999984741211,15.382583333333333,246228.36108368548,77.0,15.388883333333334,276725.63690249133,77.0999984741211,15.382466666666666,269366.4822753355,77.0,15.376366666666666,274022.5191188168,77.0,15.38255,244478.43856995643,77.0,15.370083333333334,353941.3452302571,77.0999984741211,15.394966666666669,298772.2786559778,77.0999984741211,15.3826,223614.58143111103,77.0999984741211,15.382633333333333,282685.1115511776,77.0,15.38255,261048.0597691936,77.0,15.376283333333332,231039.36434240092,77.0,15.370083333333334,355150.3060139536,77.0999984741211,15.395,125648.0,77.0,15.382633333333333,89887.16178818367,77.0,15.413933333333334,133502.47364840272,77.0,15.395183333333334,63945.32535678534,77.0,15.382733333333332,87031.40001794859,77.0,15.3827,105107.50791130416,77.0,15.3826,180136.78530922602,77.0,15.376466666666667,151405.50437484696,77.0,15.395166666666666,126567.23597319332,77.0,15.38885,116457.5603790211,77.0,15.388766666666667,72863.90311216895,77.0,15.388783333333333,157239.18774486275,77.0,15.38895,194195.90282349355,77.0,15.3762,103916.54374133504,77.0,15.401283333333334,61958.313974070086,77.0,15.388866666666669,122707.90655434348,77.0,15.388766666666667,94235.33342310476,77.0,15.3887,135607.3349120185,77.0,15.3639,40230.77979375035,77.0,15.3764,161862.30374134422,77.0,15.3702,157533.8033843225,77.0,15.370033333333334,241996.60508042516,77.0,15.382683333333334,20538.404055556428,77.0,15.36995,287523.10847764864,77.0,15.363716666666669,295680.66056461376,77.0,15.37,112062.29043517052,77.0,15.37015,272960.0,77.0,15.370216666666666,174841.59939012048,77.0,15.376283333333332,211872.5707295369,77.0,15.3764,137316.32307495884,77.0,15.376383333333331,132611.07981317537,77.0,15.382583333333333,101081.4943286642,77.0,15.370216666666666,140078.69131316294,77.0,15.363733333333334,261172.25943835123,77.0,15.388866666666669,158142.9738259548,77.0,15.370133333333332,248404.3237614589,77.0,15.376433333333331,123886.90859202963,77.0,15.37015,95729.89247874504,77.0,15.382616666666667,144302.37873670834,77.0,15.370133333333332,283405.6828602091,77.0,0.17159919772314206
197,#198 147.1000@8.7709 MS1+,1,+,8.77085,21299.9748446262,767.3808964112756,147.10000610351562,,,7.327471962526033e-15,147.10000610351562,8.770833333333334,17949.978836954448,147.10000610351562,8.758316666666667,15732.369943627333,147.10000610351562,8.764433333333333,12879.014123835688,147.10000610351562,8.77075,18000.754725210587,147.10000610351562,8.783166666666666,13101.0,147.10000610351562,8.75835,12682.918963112152,147.10000610351562,8.764516666666667,18996.538086353845,147.10000610351562,8.764483333333333,20906.234255239404,147.10000610351562,8.7771,18945.745993288718,147.10000610351562,8.770616666666667,17882.906199116347,147.10000610351562,8.770666666666667,14389.523184316688,147.10000610351562,8.77085,21299.9748446262,147.10000610351562,8.770716666666667,17003.524275760552,147.10000610351562,8.764533333333333,25038.95209388475,147.10000610351562,,,,8.802066666666667,17621.925485559892,147.10000610351562,8.77065,18942.60470838796,147.10000610351562,8.770666666666667,14343.780656892188,147.10000610351562,8.783166666666666,14819.9652651541,147.10000610351562,8.764433333333333,22165.45349129753,147.10000610351562,8.770783333333334,11958.835767872924,147.10000610351562,8.770683333333332,28347.366383726432,147.10000610351562,8.77705,36315.72346125322,147.10000610351562,8.777033333333334,27849.236026535247,147.10000610351562,8.770783333333334,27142.065149442948,147.10000610351562,8.770616666666667,45952.18612543581,147.10000610351562,8.776866666666667,41330.482430807024,147.10000610351562,8.77065,47883.4717967152,147.10000610351562,8.776983333333334,42333.39328705799,147.10000610351562,8.777016666666666,30410.92367208784,147.10000610351562,8.776866666666667,64152.22323564638,147.10000610351562,8.770766666666667,53125.67132828479,147.10000610351562,8.77695,32625.12327235978,147.10000610351562,8.776983333333334,32223.212055311364,147.10000610351562,8.7831,39671.7134923109,147.10000610351562,8.777,22565.57202498862,147.10000610351562,8.777016666666666,43472.30090319256,147.10000610351562,8.77695,33112.074109881214,147.10000610351562,8.770683333333332,28301.93552679069,147.10000610351562,8.770733333333334,50219.546870187085,147.10000610351562,,,,8.789533333333333,3908.087746491357,147.10000610351562,,,,,,,8.770866666666667,7789.334404060144,147.10000610351562,,,,,,,8.81465,15745.10190777792,147.10000610351562,,,,8.776983333333334,13487.769833334576,147.10000610351562,8.8207,30112.604612893425,147.10000610351562,,,,,,,,,,,,,8.8208,31189.94075475076,147.10000610351562,8.81445,23494.477559675182,147.10000610351562,,,,,,,,,,,,,8.78945,31543.260860970244,73.0999984741211,,,,,,,,,,8.789433333333333,28846.866393079705,73.0999984741211,,,,8.789633333333333,27225.283931608166,73.0999984741211,,,,8.783316666666666,15486.422016220822,73.0999984741211,,,,,,,,,,8.79565,25745.557305902155,73.0999984741211,8.795766666666667,22940.17227457992,147.10000610351562,,,,,,,,,,,,,,,,0.18876404980757325
224,#225 77.0000@15.3513 MS1+,1,+,15.351333333333333,40514.842967264936,43.47566960071399,77.0,,,0.4567003507603243,107.0999984741211,,,,15.38895,149449.2123096668,77.0,,,,15.351333333333333,40514.842967264936,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3201,23992.52429873892,77.0999984741211,,,,15.345116666666666,77977.62061289808,77.0999984741211,15.33885,15997.50133039034,77.0999984741211,15.307566666666666,24247.81729956012,77.0999984741211,15.307416666666668,19968.068780108995,77.0,15.319916666666666,46520.69858537929,77.0999984741211,15.319966666666666,29343.243887904857,77.0999984741211,,,,15.3576,8711.25557036206,77.0999984741211,,,,,,,,,,,,,15.344916666666666,28849.685974207125,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.376466666666667,50660.369016234064,77.0,,,,,,,,,,,,,,,,15.401283333333334,62299.442951363046,77.0,,,,,,,15.401216666666668,103208.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,15.38895,245176.71934530645,77.0,,,,,,,15.376266666666668,138564.06686486024,77.0,,,,15.36395,68684.83392433799,77.0,,,,,,,,,,,,,,,,,,,,,,15.32635,19436.17622869766,77.0,,,,,,,,,,,,,0.23140556182704333
84,#85 73.1000@13.1496 MS1+,1,+,13.149583333333334,49934.65920181846,1363.4992668102857,73.0999984741211,,,0.2113637793338043,73.0999984741211,,,,,,,13.1619,124178.79214330357,73.0999984741211,,,,,,,,,,13.162,80187.50774249967,73.0999984741211,,,,13.19335,1040443.4682780532,156.10000610351562,,,,,,,,,,,,,13.130733333333334,84137.18715402478,73.0999984741211,,,,,,,,,,,,,13.168133333333332,68432.78332722379,73.0999984741211,,,,,,,,,,13.155766666666668,334214.16603026283,156.10000610351562,,,,,,,13.143083333333331,82037.66652542399,156.10000610351562,,,,13.143116666666666,279583.7448882213,156.10000610351562,13.16195,448937.3832075113,156.10000610351562,13.155733333333334,136275.76688455528,156.10000610351562,13.11805,115792.0,156.10000610351562,13.149466666666669,311543.06784351385,156.10000610351562,,,,,,,13.168066666666666,76442.45411110978,73.0999984741211,13.155716666666669,61124.22465190757,156.10000610351562,,,,13.149399999999998,53482.16592689336,73.0999984741211,,,,,,,13.13685,22754.595753397152,73.0999984741211,,,,13.174533333333333,18805.154908205262,73.0999984741211,13.16205,35700.31254492409,73.0999984741211,13.149583333333334,49934.65920181846,73.0999984741211,13.168316666666666,180915.56102782828,156.10000610351562,13.14945,86510.27959531953,73.0999984741211,,,,13.162016666666666,39004.486521984334,73.0999984741211,13.1557,95120.0455926964,156.10000610351562,,,,13.1619,18409.621504049224,73.0999984741211,13.162066666666666,41534.089785054384,73.0999984741211,13.155566666666669,43508.8757938653,73.0999984741211,13.168133333333332,38112.13013689505,73.0999984741211,13.155716666666669,59941.49270125711,73.0999984741211,,,,,,,13.168283333333331,381660.7470842349,156.10000610351562,13.1495,170041.2741676572,156.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.143283333333333,42729.73728604722,73.0999984741211,,,,,,,,,,0.23626314442552224
154,#155 179.1000@9.5777 MS1+,1,+,9.577733333333333,72256.0,2762.973389308571,179.10000610351562,,,0.0027983604205875,179.10000610351562,,,,9.56525,41753.67035304524,179.10000610351562,,,,,,,9.565083333333332,50865.20157697551,179.10000610351562,,,,9.5652,41104.0,179.10000610351562,9.565166666666666,53952.06451630501,179.10000610351562,9.584033333333334,50901.20612154107,179.10000610351562,9.57755,36083.75790940911,179.10000610351562,9.5776,42857.29174519889,179.10000610351562,9.577783333333333,55400.0,179.10000610351562,9.571383333333332,48424.0,179.10000610351562,,,,,,,9.583983333333334,39552.47297718276,179.10000610351562,9.577583333333331,46332.61135827835,179.10000610351562,9.57135,60568.0,179.10000610351562,,,,9.571366666666666,49472.0,179.10000610351562,,,,9.571366666666666,120496.0,179.10000610351562,,,,,,,9.57145,189764.79449763332,147.10000610351562,9.5713,138573.1672656793,179.10000610351562,9.5713,131818.91671009242,179.10000610351562,9.571333333333332,313942.75344304,147.10000610351562,9.577666666666667,98632.8633027916,179.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.571366666666666,75447.01567964326,179.10000610351562,,,,,,,,,,,,,9.596516666666666,40559.39334568377,179.10000610351562,,,,,,,,,,9.609083333333333,59691.536387393375,179.10000610351562,,,,,,,,,,,,,,,,,,,,,,9.621466666666668,42400.85630006992,147.10000610351562,,,,,,,,,,9.577733333333333,72256.0,179.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24387811574948284
13,#14 73.1000@17.3218 MS1+,1,+,17.321766666666665,1051867.0658142285,19747.298944063143,73.0999984741211,,,0.2417735327483609,73.0999984741211,,,,,,,,,,17.321766666666665,1051867.0658142285,73.0999984741211,,,,,,,,,,,,,,,,17.334133333333334,1542832.0097763145,73.0999984741211,17.327916666666667,2015637.27070738,73.0999984741211,,,,,,,,,,,,,,,,17.327916666666667,412163.4236077762,73.0999984741211,,,,,,,,,,,,,,,,17.365583333333333,1167968.4173631405,319.20001220703125,,,,17.35931666666667,549603.4808109575,147.10000610351562,17.346633333333333,1340533.8438175677,73.0999984741211,17.3654,781699.6557742842,319.20001220703125,,,,,,,,,,,,,,,,,,,,,,17.309083333333334,1683353.172868841,319.20001220703125,,,,,,,17.3217,404649.6845352165,73.0999984741211,17.352966666666667,1149326.8676713342,73.0999984741211,,,,,,,17.309266666666666,1029569.0355179216,73.0999984741211,,,,,,,,,,,,,17.309233333333335,991734.3084655022,73.0999984741211,,,,,,,,,,,,,,,,17.303066666666666,195966.7814460192,73.0999984741211,,,,,,,,,,,,,17.315333333333335,821316.627182473,73.0999984741211,17.32806666666667,388038.0560773682,73.0999984741211,17.309283333333333,1682064.0516257207,73.0999984741211,17.290583333333334,3137480.896362299,73.0999984741211,17.371716666666668,1238445.199979473,73.0999984741211,,,,17.277816666666663,3399379.0863797367,73.0999984741211,17.34665,2733669.743765313,73.0999984741211,,,,,,,,,,,,,17.290516666666665,3804634.7232328095,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3178883066706392
28,#29 73.1000@13.5498 MS1+,1,+,13.549833333333334,8347.834945757393,8.517999146612642,73.0999984741211,,,1.2889489475753635e-10,144.10000610351562,13.56865,554365.3001716135,73.0999984741211,13.556133333333332,343922.0470583636,73.0999984741211,13.574766666666669,428740.0160584531,73.0999984741211,13.568583333333333,588640.2890973492,115.0999984741211,13.543466666666667,91143.52888549474,73.0999984741211,13.562433333333331,230016.5077275915,73.0999984741211,13.562333333333331,217433.28199250475,73.0999984741211,13.562316666666666,425470.5188480523,73.0999984741211,13.587433333333331,675259.6646161538,73.0999984741211,13.58095,552768.0,115.0999984741211,13.574733333333333,518242.007701318,115.0999984741211,13.574916666666669,634573.1936530772,115.0999984741211,13.574783333333333,496552.31072667695,115.0999984741211,13.56235,406797.322495072,115.0999984741211,13.593616666666666,193693.60136755253,73.0,13.581116666666668,674591.9549101924,73.0999984741211,13.580983333333334,634955.5012716763,115.0999984741211,13.555983333333334,65273.93941392313,73.0999984741211,13.574716666666667,58262.32290359249,73.0999984741211,13.562266666666666,253585.98219559703,73.0999984741211,13.549833333333334,8347.834945757393,73.0999984741211,13.543483333333333,14209.260167788045,73.0999984741211,13.562366666666666,18487.0955178531,73.0999984741211,13.549833333333334,15295.512123830496,120.0,13.537316666666667,11082.228973186284,73.0999984741211,13.537166666666666,16576.03051708761,73.0999984741211,13.543416666666667,13399.402814758738,73.0999984741211,13.54345,17601.01548621751,73.0999984741211,13.562283333333331,15182.923152462216,73.0999984741211,13.556083333333332,14464.92352481943,73.0999984741211,13.555916666666668,20716.45267325238,73.0999984741211,13.556066666666668,14216.400142142142,73.0999984741211,13.54975,15813.300087663823,73.0999984741211,13.543533333333333,14798.89113169894,73.0999984741211,13.56215,12851.820677851036,73.0999984741211,,,,13.556083333333332,20390.35346564467,73.0999984741211,13.556,20062.36056857239,73.0999984741211,13.543483333333333,14899.233140733731,73.0999984741211,13.549783333333334,18617.491652295343,73.0999984741211,13.574716666666667,2163760.862249233,115.0999984741211,13.562333333333331,356290.09086618485,115.0999984741211,13.587383333333332,1787510.716045326,115.0999984741211,13.56865,1048428.694213682,115.0999984741211,13.549916666666666,1271435.3716526586,115.0999984741211,13.55615,103829.34872589576,115.0999984741211,13.537283333333331,82278.19341039855,73.0999984741211,13.556183333333331,191432.74741328304,115.0999984741211,13.5561,149003.3540353009,73.0999984741211,13.56855,1544632.8225234123,115.0999984741211,13.562216666666666,1369600.0,115.0999984741211,13.5685,1502720.0,115.0999984741211,13.56865,1534332.897022135,115.0999984741211,13.562166666666666,1720953.8021011858,115.0999984741211,13.555966666666666,59909.30989891896,73.0999984741211,13.556066666666668,148209.83317857742,115.0999984741211,13.562216666666666,1035461.6605246452,115.0999984741211,13.56215,1251672.2245585974,115.0999984741211,13.562366666666666,99610.74951250327,115.0999984741211,13.56235,1488912.3836314415,115.0999984741211,13.5374,224945.36301591323,73.0999984741211,13.543483333333333,363473.1482334061,73.0999984741211,13.5624,314395.851191889,73.0999984741211,13.549650000000002,186196.6372655428,73.0999984741211,13.543433333333333,400400.1990752027,73.0999984741211,13.549716666666669,151450.99750227714,73.0999984741211,13.53735,260025.17805695152,73.0999984741211,13.543666666666669,150751.1597249092,73.0999984741211,13.543483333333333,483960.9336302183,73.0999984741211,13.5436,207963.8265519373,73.0999984741211,,,,13.549783333333334,57136.02416335444,115.0,,,,13.543433333333333,429961.4804464413,73.0999984741211,13.562316666666666,336860.919303779,73.0999984741211,,,,,,,,,,,,,,,,0.3434763018585173
238,#239 73.1000@6.9192 MS1+,1,+,6.919216666666666,53896.0,1227.1202028883183,73.0999984741211,,,0.0661348771100149,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.919216666666666,53896.0,73.0999984741211,,,,,,,,,,,,,,,,6.93155,55330.19288822985,73.0999984741211,,,,,,,,,,6.925283333333334,39853.56475909558,73.0999984741211,,,,,,,6.919116666666667,49695.72829463682,73.0999984741211,,,,,,,,,,,,,6.906716666666667,28368.80730493681,73.0999984741211,,,,6.91305,25532.737036775856,73.0999984741211,6.913016666666667,508480.0,73.0999984741211,,,,6.894283333333333,126054.60289507172,73.0999984741211,,,,,,,,,,6.937866666666666,35149.07461359212,73.0999984741211,6.9568,51733.74056221196,73.0999984741211,,,,,,,6.925433333333333,328139.2942348735,73.0999984741211,6.919083333333333,46820.03326715864,73.0999984741211,,,,6.944266666666667,1502563.298188291,73.0999984741211,6.937983333333333,38395.46250366466,73.0999984741211,,,,,,,6.938033333333333,3502371.878820207,73.0999984741211,6.919033333333333,2053489.7612852051,73.0999984741211,,,,6.944116666666667,54918.810136248736,147.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3492107325591899
99,#100 73.1000@17.1404 MS1+,1,+,17.14043333333333,32713.8760899201,1373.907409592647,73.0999984741211,,,0.0002149973185726628,73.0999984741211,17.14043333333333,32713.8760899201,73.0999984741211,17.134166666666665,22997.53801818905,73.0999984741211,17.146533333333334,21288.3116071596,73.0999984741211,17.1341,39883.0813264029,73.0999984741211,17.134,19052.44747864641,73.0999984741211,17.12795,22724.490764944792,73.0999984741211,17.127866666666666,24437.018068063076,73.0999984741211,17.127833333333335,35464.20095401227,73.0999984741211,17.1467,46875.44048632315,73.0999984741211,17.146466666666665,38075.31814895445,73.0999984741211,17.146516666666667,30833.684125594693,73.0999984741211,17.1467,41945.39313938923,73.0999984741211,17.146566666666665,33434.61092286243,73.0999984741211,17.134133333333335,31806.36787144655,73.0999984741211,17.1654,8993.966623208518,73.0,17.146633333333334,41004.87521171749,73.0999984741211,17.146516666666667,44380.208371518296,73.0999984741211,17.146516666666667,38801.4953647862,73.0999984741211,17.1465,8053.4384735934,73.0999984741211,17.134033333333335,28121.12073085876,73.0999984741211,,,,17.12151666666667,102962.71133252908,73.0999984741211,17.1404,93165.49824293311,73.0999984741211,17.127866666666666,63303.08761339384,73.0999984741211,17.140383333333332,151518.1728309095,73.0999984741211,17.1152,94296.51373971289,73.0999984741211,17.12145,126582.7691021482,73.0999984741211,17.121483333333334,120088.721395662,73.0999984741211,17.134066666666666,126370.43139887194,73.0999984741211,17.14036666666667,64001.39427282484,73.0999984741211,17.133949999999995,150051.97339082137,73.0999984741211,17.121583333333334,86544.07017764886,73.0999984741211,17.127783333333333,78425.10749877786,73.0999984741211,,,,17.14645,112600.74816263856,73.0999984741211,17.1341,121415.05109358352,73.0999984741211,17.12785,38630.91251556139,73.0999984741211,17.127783333333333,52660.00597429462,73.0999984741211,17.12151666666667,60293.9131639236,73.0999984741211,17.127816666666668,93935.62806000368,73.0999984741211,17.1465,25438.01674035861,73.0999984741211,17.134116666666667,16017.239313565558,73.0999984741211,17.15915,10746.465559343693,73.0999984741211,17.134166666666665,15827.876093641578,73.0999984741211,17.1217,31317.729871636155,73.0999984741211,17.134183333333333,7499.599135710057,73.0999984741211,17.127816666666668,20964.772690252958,73.0999984741211,17.134216666666667,17283.932420867175,73.0999984741211,17.140383333333332,22570.44991494945,73.0999984741211,17.134083333333333,19967.610343742548,73.0999984741211,17.14025,18340.956523021683,73.0999984741211,17.140266666666665,21346.376962250448,73.0999984741211,17.134183333333333,28593.988433956925,73.0999984741211,,,,17.15276666666667,12054.50527382773,73.0999984741211,17.127833333333335,11208.077218069546,73.0999984741211,,,,17.140183333333333,20433.487222580385,73.0999984741211,,,,17.134133333333335,19332.98373733455,73.0999984741211,,,,,,,,,,17.165216666666666,356032.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15915,220528.4587757536,73.0999984741211,17.152933333333333,84851.30930675566,73.0999984741211,,,,,,,,,,0.3569516968695956
