,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
147,#148 73.1000@18.4789 MS1+,1,+,18.478916666666667,123129.86595768208,4556.511590883165,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49758333333333,32837.23125822982,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46658333333333,23246.694659831293,73.0999984741211,,,,18.479066666666668,70634.9606425678,73.0999984741211,18.466316666666668,72698.01197746681,73.0999984741211,18.46635,83392.37512617308,73.0999984741211,18.466383333333333,73826.64064985968,73.0999984741211,18.46653333333333,107292.03247830598,73.0999984741211,18.46658333333333,63860.99995830082,73.0999984741211,18.478916666666667,123129.86595768208,73.0999984741211,18.466516666666667,59790.57929131694,73.0999984741211,18.472766666666665,130265.23129658046,73.0999984741211,18.46645,52520.48595241887,73.0999984741211,18.47285,154964.2904596583,73.0999984741211,18.472616666666667,76506.95773204014,73.0999984741211,18.49148333333333,163102.66040255764,73.0999984741211,18.460266666666666,56052.49453907012,73.0999984741211,18.4603,35509.69902326714,73.0999984741211,18.460283333333333,19774.674116893933,73.0999984741211,,,,18.4665,68374.3641641002,73.0999984741211,1.0013997445247196
221,#222 73.1000@12.9556 MS1+,1,+,12.955616666666666,42288.543604440434,1396.6709988267885,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.955483333333332,46339.81638000239,73.0999984741211,12.96815,36016.15635213902,73.0999984741211,12.9554,41483.89022520947,73.0999984741211,,,,,,,12.955616666666666,42288.543604440434,73.0999984741211,12.9494,33973.34159868324,73.0999984741211,12.961733333333331,37016.9755741579,73.0999984741211,12.96185,22470.17787492201,73.0999984741211,12.955583333333331,30680.383912520992,73.0999984741211,12.955516666666666,16104.07476411105,73.0999984741211,12.955666666666668,47511.74793745301,73.0999984741211,12.955433333333334,39611.227368958,73.0999984741211,12.974316666666668,36400.05892913323,73.0999984741211,12.955583333333331,33450.59256520687,73.0999984741211,12.949366666666666,21199.363518856782,73.0999984741211,12.955616666666666,20905.7364569512,73.0999984741211,,,,12.961833333333333,44081.91023578038,73.0999984741211,1.0016631843001003
153,#154 176.0000@13.1181 MS1+,1,+,13.118066666666667,99534.26121217484,3628.943999077368,176.0,,,0.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.112033333333333,33849.197125308085,176.0,13.118116666666667,38946.30445475647,176.0,13.130783333333332,32355.194498928984,176.0,13.111783333333332,41411.62706924848,176.0,13.118066666666667,54730.711379747285,176.0,13.111833333333331,72237.14197822532,73.0999984741211,13.11825,20146.789440753397,176.0,13.1183,75960.91327678847,176.0,13.124383333333334,138848.46891954503,176.0,13.118233333333333,90232.877295623,176.0,13.118233333333333,32119.98260349262,176.0,13.118166666666667,54073.26718903621,176.0,13.118316666666669,55066.903430496575,176.0,13.118066666666667,99534.26121217484,176.0,13.13695,50717.81097629119,176.0,13.118233333333333,43232.85716555268,73.0999984741211,13.112016666666667,14180.630162897258,176.0,13.105733333333337,17864.682378405705,176.0,,,,13.118216666666669,68940.00316283441,176.0,1.0056277237793478
172,#173 373.4000@11.6732 MS1+,1,+,11.673216666666669,30840.0,1193.8032034100563,373.3999938964844,,,1.6315176754155836e-05,373.3999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.691883333333331,24062.81924861161,373.3999938964844,,,,11.660733333333331,19456.0,373.3999938964844,,,,,,,,,,,,,,,,11.660566666666666,46733.6145443978,373.3999938964844,11.6606,39629.74623842345,373.3999938964844,11.673183333333334,36488.61673744883,373.3999938964844,11.673233333333334,25085.022028637846,373.3999938964844,11.673066666666667,15770.098070923132,373.3999938964844,,,,11.67315,35026.21757536852,373.3999938964844,11.660683333333331,13851.976945500735,373.3999938964844,11.67305,19992.61119700825,373.3999938964844,11.673216666666669,30840.0,373.3999938964844,11.660716666666668,12357.306931086914,373.3999938964844,11.6669,12896.0,373.3999938964844,11.660633333333331,17852.493248950414,373.3999938964844,11.666933333333333,26902.694676034636,373.3999938964844,11.67935,65545.64692143921,373.3999938964844,,,,11.692016666666667,44769.11564275053,373.3999938964844,11.679533333333334,55735.3530966768,373.3999938964844,11.660816666666667,54553.601208700646,373.3999938964844,,,,,,,,,,11.679516666666666,102342.21706949924,373.3999938964844,11.6732,73172.3826258796,373.3999938964844,11.673116666666669,82388.348406614,373.3999938964844,,,,11.6733,105406.17804384584,373.3999938964844,,,,,,,,,,11.679383333333334,26051.991856997967,373.3999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0090712982934391
169,#170 73.1000@13.7499 MS1+,1,+,13.749883333333331,63795.75764388277,2512.2522959032,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.768850000000002,70136.55023090763,73.0999984741211,13.768666666666666,15533.514925373636,129.10000610351562,,,,13.749833333333331,52256.66747171542,243.0,13.756116666666667,53595.82412270583,243.0,13.749883333333331,63795.75764388277,73.0999984741211,13.76255,82294.67856739863,73.0999984741211,13.768850000000002,64752.89391285772,73.0999984741211,13.756166666666669,82359.12882722163,73.0999984741211,13.750016666666664,27524.254319054293,243.0,13.762516666666668,41186.16546156908,73.0999984741211,13.76245,27122.12439765033,73.0999984741211,13.7501,64807.782995288086,73.0999984741211,13.768616666666668,101113.7567525484,73.0999984741211,13.768733333333332,33693.648642482905,243.0,13.750016666666664,39559.613540461374,243.0,13.75005,33415.67624205979,243.0,13.750033333333333,35332.652362975,73.0999984741211,,,,13.768766666666666,110594.70587507788,73.0999984741211,1.0131041788656865
2,#3 73.1000@6.8191 MS1+,1,+,6.819083333333333,338370.23586141947,9998.854097070283,73.0999984741211,,,0.0023846518702757,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.843983333333333,19337.6852881729,73.0999984741211,6.8502833333333335,20621.191614669056,73.0999984741211,6.862983333333333,24633.741352019835,73.0999984741211,,,,6.7691,465408.52552356326,73.0999984741211,,,,,,,6.8502833333333335,21794.44596567097,73.0999984741211,6.86905,32496.06988474843,73.0999984741211,,,,,,,6.825383333333333,234851.92524842592,73.0999984741211,6.812766666666667,400841.2738984132,73.0999984741211,6.850416666666667,3186200.0321464534,147.10000610351562,6.831633333333333,2226128.981850401,147.10000610351562,6.825383333333333,305465.7265220233,73.0999984741211,6.8565,199807.3646582059,73.0999984741211,,,,6.862783333333334,798865.7818997744,73.0999984741211,6.831583333333334,381725.996707082,73.0999984741211,6.8066,47201.16213667777,73.0999984741211,6.856483333333333,2947617.829678021,147.10000610351562,,,,6.77525,47040.0,73.0999984741211,6.862866666666666,2864383.676205231,147.10000610351562,6.850216666666666,3721259.703950937,147.10000610351562,,,,6.850383333333334,3993718.051807413,147.10000610351562,6.787766666666666,36868.65624421602,73.0999984741211,6.812783333333333,159323.01246034075,73.0999984741211,6.819083333333333,338370.23586141947,73.0999984741211,6.787716666666666,179561.71456548525,73.0999984741211,6.85665,3156480.0,73.0999984741211,6.819133333333334,3616256.0,73.0999984741211,6.837933333333333,1874679.7657114423,73.0999984741211,6.825466666666666,128213.32971965626,73.0999984741211,,,,6.862866666666666,4085803.720436381,73.0999984741211,,,,6.862933333333333,944126.1308718828,73.0999984741211,6.8441,3042709.4040993573,73.0999984741211,6.856533333333333,1183926.0573464704,147.10000610351562,6.8503,235400.588359836,73.0999984741211,6.856716666666666,179438.84081859328,73.0999984741211,6.850216666666666,410058.91734716657,73.0999984741211,,,,6.862883333333333,169836.7676889575,73.0999984741211,6.825266666666667,51538.38870547968,73.0999984741211,6.8377,2709507.932247468,73.0999984741211,6.781616666666666,555345.2448885606,73.0999984741211,6.844166666666666,140843.81230503437,73.0999984741211,6.844233333333333,3040805.269601901,73.0999984741211,6.8378,1850429.2349108355,73.0999984741211,6.856716666666666,1241706.4107962549,73.0999984741211,6.868983333333333,1352331.848148127,73.0999984741211,6.8627666666666665,5193975.66132261,73.0999984741211,6.8315166666666665,2877410.285205977,73.0999984741211,,,,6.8192,5713905.769401477,73.0999984741211,,,,6.77535,726683.4645305388,147.10000610351562,6.812883333333334,5713366.962654146,73.0999984741211,,,,6.819216666666667,541943.6956697062,73.0999984741211,6.856516666666667,3473017.1728727533,73.0999984741211,6.8191,3082762.472097637,73.0999984741211,,,,,,,6.81915,861301.17863383,73.0999984741211,,,,,,,1.0145831230700468
176,#177 73.1000@15.8204 MS1+,1,+,15.820366666666668,56043.32858164655,1653.990639585156,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.820583333333332,31785.0228192494,73.0999984741211,15.820416666666668,39011.65109523083,73.0999984741211,15.833066666666667,66210.03437751671,73.0999984741211,15.820333333333334,83412.39467168541,73.0999984741211,15.820366666666668,62587.954846566776,73.0999984741211,,,,15.820533333333334,80888.13893458818,73.0999984741211,15.820583333333332,33851.3929648702,73.0999984741211,15.820416666666668,59166.022923394805,73.0999984741211,15.820533333333334,37645.208475550346,73.0999984741211,15.814266666666668,46328.98129065725,73.0999984741211,15.8142,31219.17537502252,73.0999984741211,15.8206,70395.97556758136,73.0999984741211,15.820366666666668,56043.32858164655,73.0999984741211,15.839233333333333,42706.97899264563,73.0999984741211,15.814266666666668,28900.75336103176,73.0999984741211,,,,15.820533333333334,11133.119678331175,217.0,,,,15.820516666666666,38987.72684811865,73.0999984741211,1.019371051303949
112,#113 102.1000@7.7074 MS1+,1,+,7.707399999999999,110647.90590050498,2695.408209440892,102.0999984741211,,,0.00016188818439344388,73.0999984741211,,,,7.6699,26767.55313811673,102.0,7.6635,27687.632453990485,102.0,,,,,,,7.663666666666667,16802.712046508925,102.0,,,,7.682316666666667,17143.245083553902,102.0,,,,7.675933333333333,21730.950406300908,102.0,7.675983333333333,27552.0,102.0999984741211,7.682416666666667,35081.455041533445,102.0,7.682283333333333,34047.29325794378,102.0,,,,,,,7.682366666666667,40068.504429878085,102.0999984741211,7.675983333333333,34659.556161196306,102.0,,,,,,,7.682266666666667,16250.072588452376,102.0,7.7199,30017.39423364792,102.0,7.713533333333333,49569.527453940726,102.0999984741211,7.71365,69344.70649417517,102.0999984741211,7.713633333333333,125803.10552996807,102.0999984741211,7.719883333333334,121498.0475819488,102.0999984741211,7.725983333333334,115778.01232066251,102.0999984741211,7.725983333333334,77856.95954824459,102.0999984741211,7.719766666666667,92359.89770186484,102.0999984741211,7.713583333333333,130288.08322085,102.0999984741211,7.713616666666667,80608.0,102.0999984741211,7.719716666666667,22099.01571013263,102.0,,,,7.71355,48596.71911501689,102.0,7.7261,42946.76977828207,102.0,7.7197,277310.7583852881,102.0999984741211,7.70735,47697.94057161616,102.0999984741211,7.713616666666667,115258.24102199676,102.0999984741211,7.7198,86058.75521565336,102.0999984741211,7.707283333333334,90291.63583339004,102.0999984741211,7.713583333333333,40187.614633540776,102.0999984741211,7.7135,39029.75591340054,102.0,7.738649999999999,18695.853146608104,102.0999984741211,7.707399999999999,110647.90590050498,102.0999984741211,7.726183333333333,59434.01757186021,102.0999984741211,7.707466666666667,48213.39840177091,102.0,,,,7.7261,54116.7579520335,102.0999984741211,,,,7.732416666666666,116469.54081123356,102.0999984741211,7.71985,81255.70341855804,102.0999984741211,7.732283333333333,33144.0,102.0,7.7323,51795.89171416548,102.0999984741211,7.744966666666666,99740.39840689412,102.0999984741211,7.719716666666667,34962.29041256964,102.0999984741211,,,,,,,,,,7.7197,74461.95622975874,102.0999984741211,,,,7.72615,47365.09795992241,102.0999984741211,,,,7.701016666666667,103136.0,102.0,,,,,,,7.713483333333333,87272.0,102.0,7.70725,38074.415589324,102.0999984741211,,,,7.69495,41032.309608594944,102.0,7.707283333333334,201032.200743134,102.0,7.682383333333333,132924.34400159898,102.0,,,,7.67605,32129.19839620287,102.0,7.694966666666667,32068.236720246023,102.0,7.713483333333333,42735.508431990354,102.0,7.7136,102368.0,102.0,,,,,,,,,,,,,7.713633333333333,38427.29523237405,102.0999984741211,1.0238297267092142
137,#138 73.1000@17.7096 MS1+,1,+,17.709566666666667,136717.80093199934,4458.995879908218,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70325,85508.2300046329,73.0999984741211,17.722133333333332,91017.34245297348,73.0999984741211,17.709616666666665,96200.25011139672,73.0999984741211,17.70335,88189.67897418287,73.0999984741211,17.7032,127880.94731387727,73.0999984741211,17.7032,188649.7831873931,73.0999984741211,17.703233333333333,129283.86383598072,73.0999984741211,17.715816666666665,119939.19170331338,73.0999984741211,17.71585,83912.65156442107,73.0999984741211,17.715700000000002,71599.7639864774,73.0999984741211,17.709583333333335,103825.59622281784,73.0999984741211,17.709516666666666,103016.44290786596,73.0999984741211,17.7033,70697.60824535758,73.0999984741211,17.728183333333334,88868.45778775838,73.0999984741211,17.722083333333334,111006.80275441974,73.0999984741211,17.71585,139952.3490493521,73.0999984741211,17.715783333333334,90704.01398575172,73.0999984741211,17.709516666666666,111518.56865311594,73.0999984741211,17.709566666666667,136717.80093199934,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.027913547066782
266,#267 55.0000@28.2746 MS1+,1,+,28.27463333333333,7226.227268291812,296.64505425043365,55.0,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.28735,7392.069431328622,129.10000610351562,,,,,,,,,,,,,,,,28.281016666666662,5149.862470135427,133.0,28.287316666666666,4548.94050062084,129.10000610351562,28.287166666666668,3804.20049449832,119.0999984741211,,,,28.28098333333333,6872.753050513726,129.10000610351562,28.268516666666667,5247.285881824471,129.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2749,21240.998399323813,129.10000610351562,28.274716666666663,10513.569702703448,129.10000610351562,28.28738333333333,22760.626209382724,129.10000610351562,28.27463333333333,7226.227268291812,55.0,28.27466666666667,7900.449426189036,55.0,28.2747,39574.34768700562,129.10000610351562,28.2686,12495.829030468754,129.10000610351562,28.26865,24058.2791205002,129.0,28.28098333333333,23443.128689482022,129.10000610351562,28.274833333333333,19537.66178420525,129.0,28.26856666666667,25272.69739375217,129.0,28.274766666666668,10579.841457185204,129.0,28.274916666666662,22317.64226995691,129.0,28.268416666666667,24860.897825074386,129.0,,,,28.26858333333333,21288.748160388583,129.0,28.268616666666667,8505.475537279053,129.0,28.2686,15003.549111271072,129.0,,,,28.274816666666663,20730.9022539391,129.10000610351562,1.0302122577931998
